onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.60072562358,0.417641723356,4,1,-1,1,'4/4',Eb6,I1,0,39
3.01836734694,0.404081632653,4,1,-1,2,'4/4',Eb6,I1,0,39
3.42244897959,0.374648526077,4,1,-1,3,'4/4',Eb6,I1,0,39
3.79709750567,0.402902494331,4,1,-1,4,'4/4',Eb6,I1,0,39
4.2,0.375759637188,4,1,0,1,'4/4',Eb6,I1,0,39
4.57575963719,0.3820861678,4,1,0,2,'4/4',Eb6,I1,0,39
4.95784580499,0.379682539683,4,1,0,3,'4/4',Eb6,I1,0,39
5.33752834467,0.379750566893,4,1,0,4,'4/4',Eb6,I1,0,28
5.71727891156,0.389886621315,4,1,1,1,'4/4',F7,A1,1,41
6.10716553288,0.390793650794,4,1,1,2,'4/4',F7,A1,1,41
6.49795918367,0.390317460317,4,1,1,3,'4/4',F7,A1,1,41
6.88827664399,0.379614512472,4,1,1,4,'4/4',F7,A1,1,41
7.26789115646,0.374784580499,4,1,2,1,'4/4',Bb7,A1,1,41
7.64267573696,0.389977324263,4,1,2,2,'4/4',Bb7,A1,1,42
8.03265306122,0.404943310658,4,1,2,3,'4/4',Bb7,A1,1,28
8.43759637188,0.376984126984,4,1,2,4,'4/4',Bb7,A1,1,28
8.81458049887,0.380476190476,4,1,3,1,'4/4',Eb6,A1,1,39
9.19505668934,0.385555555556,4,1,3,2,'4/4',Eb6,A1,1,33
9.5806122449,0.38231292517,4,1,3,3,'4/4',Eb6,A1,1,34
9.96292517007,0.373038548753,4,1,3,4,'4/4',Eb6,A1,1,35
10.3359637188,0.374467120181,4,1,4,1,'4/4',Eb6,A1,1,34
10.710430839,0.37664399093,4,1,4,2,'4/4',Eb6,A1,1,33
11.0870748299,0.384467120181,4,1,4,3,'4/4',Eb6,A1,1,34
11.4715419501,0.388775510204,4,1,4,4,'4/4',Eb6,A1,1,42
11.8603174603,0.36970521542,4,1,5,1,'4/4',Bb-7,A1,1,31
12.2300226757,0.38179138322,4,1,5,2,'4/4',Bb-7,A1,1,33
12.611814059,0.386077097506,4,1,5,3,'4/4',Bb-7,A1,1,34
12.9978911565,0.377732426304,4,1,5,4,'4/4',Bb-7,A1,1,36
13.3756235828,0.373446712018,4,1,6,1,'4/4',Eb7,A1,1,37
13.7490702948,0.378480725624,4,1,6,2,'4/4',Eb7,A1,1,38
14.1275510204,0.373310657596,4,1,6,3,'4/4',Eb7,A1,1,39
14.500861678,0.38358276644,4,1,6,4,'4/4',Eb7,A1,1,43
14.8844444444,0.36022675737,4,1,7,1,'4/4',Abj7,A1,1,32
15.2446712018,0.364172335601,4,1,7,2,'4/4',Abj7,A1,1,36
15.6088435374,0.371723356009,4,1,7,3,'4/4',Abj7,A1,1,34
15.9805668934,0.365600907029,4,1,7,4,'4/4',Abj7,A1,1,37
16.3461678005,0.381111111111,4,1,8,1,'4/4',Abj7,A1,1,36
16.7272789116,0.372517006803,4,1,8,2,'4/4',Abj7,A1,1,38
17.0997959184,0.366848072562,4,1,8,3,'4/4',Abj7,A1,1,39
17.4666439909,0.364149659864,4,1,8,4,'4/4',Abj7,A1,1,41
17.8307936508,0.379183673469,4,1,9,1,'4/4',Ab6,A1,1,39
18.2099773243,0.389160997732,4,1,9,2,'4/4',Ab6,A1,1,37
18.599138322,0.37283446712,4,1,9,3,'4/4',Ab6,A1,1,36
18.9719727891,0.371972789116,4,1,9,4,'4/4',Ab6,A1,1,34
19.3439455782,0.360453514739,4,1,10,1,'4/4',Db7,A1,1,35
19.704399093,0.383628117914,4,1,10,2,'4/4',Db7,A1,1,38
20.0880272109,0.377278911565,4,1,10,3,'4/4',Db7,A1,1,39
20.4653061224,0.359954648526,4,1,10,4,'4/4',Db7,A1,1,34
20.825260771,0.369319727891,4,1,11,1,'4/4',Eb6,A1,1,34
21.1945804989,0.382879818594,4,1,11,2,'4/4',Eb6,A1,1,39
21.5774603175,0.368140589569,4,1,11,3,'4/4',Eb6,A1,1,41
21.945600907,0.382789115646,4,1,11,4,'4/4',Eb6,A1,1,38
22.3283900227,0.359909297052,4,1,12,1,'4/4',C7,A1,1,43
22.6882993197,0.363015873016,4,1,12,2,'4/4',C7,A1,1,40
23.0513151927,0.378163265306,4,1,12,3,'4/4',C7,A1,1,42
23.429478458,0.359319727891,4,1,12,4,'4/4',C7,A1,1,36
23.7887981859,0.363265306122,4,1,13,1,'4/4',F7,A1,1,33
24.1520634921,0.378639455782,4,1,13,2,'4/4',F7,A1,1,42
24.5307029478,0.351995464853,4,1,13,3,'4/4',F7,A1,1,36
24.8826984127,0.367641723356,4,1,13,4,'4/4',F7,A1,1,28
25.2503401361,0.358843537415,4,1,14,1,'4/4',F7,A1,1,41
25.6091836735,0.349727891156,4,1,14,2,'4/4',F7,A1,1,35
25.9589115646,0.378752834467,4,1,14,3,'4/4',F7,A1,1,36
26.3376643991,0.36589569161,4,1,14,4,'4/4',F7,A1,1,28
26.7035600907,0.374399092971,4,1,15,1,'4/4',Bb7,A1,1,41
27.0779591837,0.369523809524,4,1,15,2,'4/4',Bb7,A1,1,42
27.4474829932,0.367301587302,4,1,15,3,'4/4',Bb7,A1,1,43
27.8147845805,0.390612244898,4,1,15,4,'4/4',Bb7,A1,1,33
28.2053968254,0.367641723356,4,1,16,1,'4/4',C7,A1,1,34
28.5730385488,0.385782312925,4,1,16,2,'4/4',C7,A1,1,34
28.9588208617,0.387278911565,4,1,16,3,'4/4',C7,A1,1,50
29.3460997732,0.387528344671,4,1,16,4,'4/4',C7,A1,1,42
29.7336281179,0.388843537415,4,1,17,1,'4/4',F7,B1,1,33
30.1224716553,0.400158730159,4,1,17,2,'4/4',F7,B1,1,34
30.5226303855,0.405941043084,4,1,17,3,'4/4',F7,B1,1,36
30.9285714286,0.379591836735,4,1,17,4,'4/4',F7,B1,1,39
31.3081632653,0.365056689342,4,1,18,1,'4/4',Bb7,B1,1,38
31.6732199546,0.38664399093,4,1,18,2,'4/4',Bb7,B1,1,41
32.0598639456,0.381882086168,4,1,18,3,'4/4',Bb7,B1,1,44
32.4417460317,0.349455782313,4,1,18,4,'4/4',Bb7,B1,1,47
32.7912018141,0.381224489796,4,1,19,1,'4/4',Eb6,B1,1,46
33.1724263039,0.352811791383,4,1,19,2,'4/4',Eb6,B1,1,38
33.5252380952,0.363197278912,4,1,19,3,'4/4',Eb6,B1,1,39
33.8884353741,0.370793650794,4,1,19,4,'4/4',Eb6,B1,1,44
34.2592290249,0.379183673469,4,1,20,1,'4/4',Eb6,B1,1,43
34.6384126984,0.379931972789,4,1,20,2,'4/4',Eb6,B1,1,41
35.0183446712,0.366916099773,4,1,20,3,'4/4',Eb6,B1,1,34
35.385260771,0.386553287982,4,1,20,4,'4/4',Eb6,B1,1,44
35.771814059,0.366848072562,4,1,21,1,'4/4',Bb-7,B1,1,42
36.1386621315,0.377324263039,4,1,21,2,'4/4',Bb-7,B1,1,34
36.5159863946,0.368798185941,4,1,21,3,'4/4',Bb-7,B1,1,39
36.8847845805,0.362789115646,4,1,21,4,'4/4',Bb-7,B1,1,38
37.2475736961,0.366462585034,4,1,22,1,'4/4',Eb7,B1,1,37
37.6140362812,0.367142857143,4,1,22,2,'4/4',Eb7,B1,1,40
37.9811791383,0.38156462585,4,1,22,3,'4/4',Eb7,B1,1,39
38.3627437642,0.355351473923,4,1,22,4,'4/4',Eb7,B1,1,37
38.7180952381,0.359455782313,4,1,23,1,'4/4',Abj7,B1,1,36
39.0775510204,0.377505668934,4,1,23,2,'4/4',Abj7,B1,1,39
39.4550566893,0.359297052154,4,1,23,3,'4/4',Abj7,B1,1,41
39.8143537415,0.363242630385,4,1,23,4,'4/4',Abj7,B1,1,42
40.1775963719,0.373197278912,4,1,24,1,'4/4',Abj7,B1,1,43
40.5507936508,0.359637188209,4,1,24,2,'4/4',Abj7,B1,1,42
40.910430839,0.384399092971,4,1,24,3,'4/4',Abj7,B1,1,42
41.294829932,0.339569160998,4,1,24,4,'4/4',Abj7,B1,1,40
41.634399093,0.375011337868,4,1,25,1,'4/4',Ab7,B1,1,39
42.0094104308,0.355941043084,4,1,25,2,'4/4',Ab7,B1,1,33
42.3653514739,0.371632653061,4,1,25,3,'4/4',Ab7,B1,1,33
42.736984127,0.357301587302,4,1,25,4,'4/4',Ab7,B1,1,36
