onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
8.96580498866,0.444081632653,4,1,1,1,'4/4',Gj7,A1,1,43
9.40988662132,0.446893424036,4,1,1,2,'4/4',Gj7,A1,1,38
9.85678004535,0.441473922902,4,1,1,3,'4/4',Gj7,A1,1,40
10.2982539683,0.424353741497,4,1,1,4,'4/4',Gj7,A1,1,42
10.7226077098,0.432789115646,4,1,2,1,'4/4',Gj7,A1,1,43
11.1553968254,0.443718820862,4,1,2,2,'4/4',Gj7,A1,1,47
11.5991156463,0.441655328798,4,1,2,3,'4/4',Gj7,A1,1,36
12.0407709751,0.42514739229,4,1,2,4,'4/4',Gj7,A1,1,37
12.4659183673,0.441655328798,4,1,3,1,'4/4',Gj7,A1,1,38
12.9075736961,0.433832199546,4,1,3,2,'4/4',Gj7,A1,1,43
13.3414058957,0.43306122449,4,1,3,3,'4/4',Gj7,A1,1,42
13.7744671202,0.401315192744,4,1,3,4,'4/4',Gj7,A1,1,45
14.1757823129,0.428367346939,4,1,4,1,'4/4',Gj7,A1,1,43
14.6041496599,0.432811791383,4,1,4,2,'4/4',Gj7,A1,1,47
15.0369614512,0.433945578231,4,1,4,3,'4/4',Gj7,A1,1,45
15.4709070295,0.434761904762,4,1,4,4,'4/4',Gj7,A1,1,38
15.9056689342,0.440770975057,4,1,5,1,'4/4',Gj7,A1,1,43
16.3464399093,0.4510430839,4,1,5,2,'4/4',Gj7,A1,1,43
16.7974829932,0.425464852608,4,1,5,3,'4/4',Gj7,A1,1,36
17.2229478458,0.423106575964,4,1,5,4,'4/4',Gj7,A1,1,36
17.6460544218,0.405646258503,4,1,6,1,'4/4',Bbo,A1,1,35
18.0517006803,0.451519274376,4,1,6,2,'4/4',Bbo,A1,1,47
18.5032199546,0.433764172336,4,1,6,3,'4/4',Bbo,A1,1,34
18.936984127,0.413560090703,4,1,6,4,'4/4',Bbo,A1,1,46
19.3505442177,0.443673469388,4,1,7,1,'4/4',A-7,A1,1,45
19.7942176871,0.441473922902,4,1,7,2,'4/4',A-7,A1,1,43
20.23569161,0.453628117914,4,1,7,3,'4/4',A-7,A1,1,40
20.6893197279,0.432857142857,4,1,7,4,'4/4',A-7,A1,1,45
21.1221768707,0.404467120181,4,1,8,1,'4/4',D7,A1,1,38
21.5266439909,0.40566893424,4,1,8,2,'4/4',D7,A1,1,36
21.9323129252,0.442811791383,4,1,8,3,'4/4',D7,A1,1,35
