onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
4.27290249433,0.75380952381,4,1,0,2,'4/4',NC,I1,0,38
5.02671201814,0.763696145125,4,1,0,3,'4/4',NC,I1,0,39
5.79040816327,0.737596371882,4,1,0,4,'4/4',NC,I1,0,43
6.52800453515,0.727482993197,4,1,1,1,'4/4',Abj7,A1,1,44
7.25548752834,0.769002267574,4,1,1,2,'4/4',Abj7,A1,1,44
8.02448979592,0.756439909297,4,1,1,3,'4/4',Abj7,A1,1,39
8.78092970522,0.704920634921,4,1,1,4,'4/4',Abj7,A1,1,50
9.48585034014,0.744036281179,4,1,2,1,'4/4',Abj7,A1,1,44
10.2298866213,0.747891156463,4,1,2,2,'4/4',Abj7,A1,1,44
10.9777777778,0.728344671202,4,1,2,3,'4/4',Abj7,A1,1,41
11.706122449,0.719614512472,4,1,2,4,'4/4',Abj7,A1,1,39
12.4257369615,0.766099773243,4,1,3,1,'4/4',Abo7,A1,1,44
13.1918367347,0.767346938776,4,1,3,2,'4/4',Abo7,A1,1,44
13.9591836735,0.787777777778,4,1,3,3,'4/4',Abo7,A1,1,36
14.7469614512,0.779206349206,4,1,3,4,'4/4',Abo7,A1,1,39
15.5261678005,0.75970521542,4,1,4,1,'4/4',Abj7,A1,1,44
16.2858730159,0.715419501134,4,1,4,2,'4/4',Abj7,A1,1,39
17.001292517,0.712993197279,4,1,4,3,'4/4',Abj7,A1,1,36
17.7142857143,0.71074829932,4,1,4,4,'4/4',Abj7,A1,1,43
18.4250340136,0.709659863946,4,1,5,1,'4/4',Dbj7,A1,1,37
19.1346938776,0.686666666667,4,1,5,2,'4/4',Dbj7,A1,1,37
19.8213605442,0.741995464853,4,1,5,3,'4/4',Dbj7,A1,1,43
20.5633560091,0.762517006803,4,1,5,4,'4/4',Dbj7,A1,1,43
21.3258730159,0.68179138322,4,1,6,1,'4/4',Dbj7,A1,1,37
22.0076643991,0.715963718821,4,1,6,2,'4/4',Dbj7,A1,1,37
22.7236281179,0.763650793651,4,1,6,3,'4/4',Dbj7,A1,1,38
23.4872789116,0.720657596372,4,1,6,4,'4/4',Dbj7,A1,1,38
24.2079365079,0.684716553288,4,1,7,1,'4/4',Dbj7,A1,1,37
24.8926530612,0.772607709751,4,1,7,2,'4/4',Dbj7,A1,1,37
25.665260771,0.793151927438,4,1,7,3,'4/4',Dbj7,A1,1,43
26.4584126984,0.725260770975,4,1,7,4,'4/4',Dbj7,A1,1,37
27.1836734694,0.76253968254,4,1,8,1,'4/4',Bb-7,A1,1,42
27.9462131519,0.686621315193,4,1,8,2,'4/4',Bb-7,A1,1,42
28.6328344671,0.729319727891,4,1,8,3,'4/4',Ebsus79,A1,1,39
29.362154195,0.668367346939,4,1,8,4,'4/4',Ebsus79,A1,1,39
30.030521542,0.763197278912,4,1,9,1,'4/4',D7,A1,1,44
30.7937188209,0.716870748299,4,1,9,2,'4/4',D7,A1,1,51
31.5105895692,0.74074829932,4,1,9,3,'4/4',F7,A1,1,41
32.2513378685,0.730113378685,4,1,9,4,'4/4',F7,A1,1,41
32.9814512472,0.727823129252,4,1,10,1,'4/4',Bb7,A1,1,44
33.7092743764,0.74433106576,4,1,10,2,'4/4',Bb7,A1,1,44
34.4536054422,0.761337868481,4,1,10,3,'4/4',Eb7,A1,1,39
35.2149433107,0.680657596372,4,1,10,4,'4/4',Eb7,A1,1,45
35.895600907,0.718458049887,4,1,11,1,'4/4',Abj7,A2,1,44
36.6140589569,0.781678004535,4,1,11,2,'4/4',Abj7,A2,1,44
37.3957369615,0.744580498866,4,1,11,3,'4/4',Abj7,A2,1,39
38.1403174603,0.760566893424,4,1,11,4,'4/4',Abj7,A2,1,36
38.9008843537,0.751111111111,4,1,12,1,'4/4',Abj7,A2,1,43
39.6519954649,0.745328798186,4,1,12,2,'4/4',Abj7,A2,1,44
40.397324263,0.691678004535,4,1,12,3,'4/4',Abj7,A2,1,36
41.0890022676,0.769501133787,4,1,12,4,'4/4',Abj7,A2,1,43
41.8585034014,0.747868480726,4,1,13,1,'4/4',Abo7,A2,1,44
42.6063718821,0.752517006803,4,1,13,2,'4/4',Abo7,A2,1,44
43.3588888889,0.743129251701,4,1,13,3,'4/4',Abo7,A2,1,39
44.1020181406,0.765079365079,4,1,13,4,'4/4',Abo7,A2,1,39
44.8670975057,0.733990929705,4,1,14,1,'4/4',Abj7,A2,1,44
45.6010884354,0.751632653061,4,1,14,2,'4/4',Abj7,A2,1,39
46.3527210884,0.732993197279,4,1,14,3,'4/4',Abj7,A2,1,36
47.0857142857,0.726825396825,4,1,14,4,'4/4',Abj7,A2,1,43
47.8125396825,0.729501133787,4,1,15,1,'4/4',Dbj7,A2,1,37
48.5420408163,0.70768707483,4,1,15,2,'4/4',Dbj7,A2,1,37
49.2497278912,0.658798185941,4,1,15,3,'4/4',Dbj7,A2,1,44
49.9085260771,0.744965986395,4,1,15,4,'4/4',Dbj7,A2,1,44
50.6534920635,0.7210430839,4,1,16,1,'4/4',Dbj7,A2,1,37
51.3745351474,0.724013605442,4,1,16,2,'4/4',Dbj7,A2,1,37
52.0985487528,0.685419501134,4,1,16,3,'4/4',Dbj7,A2,1,39
52.783968254,0.796077097506,4,1,16,4,'4/4',Dbj7,A2,1,38
53.5800453515,0.673015873016,4,1,17,1,'4/4',Dbj7,A2,1,37
54.2530612245,0.726213151927,4,1,17,2,'4/4',Dbj7,A2,1,37
54.9792743764,0.729818594104,4,1,17,3,'4/4',Dbj7,A2,1,44
55.7090929705,0.707845804989,4,1,17,4,'4/4',Dbj7,A2,1,37
56.4169387755,0.68358276644,4,1,18,1,'4/4',Bb-7,A2,1,42
