onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
3.01569160998,0.246201814059,4,1,-1,1,'4/4',NC,I1,0,39
3.26189342404,0.246201814059,4,1,-1,2,'4/4',NC,I1,0,39
3.5080952381,0.245918367347,4,1,-1,3,'4/4',NC,I1,0,40
3.75401360544,0.245918367347,4,1,-1,4,'4/4',NC,I1,0,40
3.99993197279,0.247925170068,4,1,0,1,'4/4',NC,I1,0,39
4.24785714286,0.247925170068,4,1,0,2,'4/4',NC,I1,0,43
4.49578231293,0.245941043084,4,1,0,3,'4/4',NC,I1,0,40
4.74172335601,0.245941043084,4,1,0,4,'4/4',NC,I1,0,42
4.98766439909,0.246984126984,4,1,1,1,'4/4',Bb7,A1,1,40
5.23464852608,0.246984126984,4,1,1,2,'4/4',Bb7,A1,1,42
5.48163265306,0.259353741497,4,1,1,3,'4/4',Bb7,A1,1,40
5.74098639456,0.259353741497,4,1,1,4,'4/4',Bb7,A1,1,37
6.00034013605,0.238684807256,4,1,2,1,'4/4',Bb7,A1,1,40
6.23902494331,0.238684807256,4,1,2,2,'4/4',Bb7,A1,1,43
6.47770975057,0.250396825397,4,1,2,3,'4/4',Bb7,A1,1,40
6.72810657596,0.250396825397,4,1,2,4,'4/4',Bb7,A1,1,40
6.97850340136,0.25552154195,4,1,3,1,'4/4',Bb7,A1,1,40
7.23402494331,0.25552154195,4,1,3,2,'4/4',Bb7,A1,1,37
7.48954648526,0.247063492063,4,1,3,3,'4/4',Bb7,A1,1,40
7.73660997732,0.247063492063,4,1,3,4,'4/4',Bb7,A1,1,40
7.98367346939,0.269183673469,4,1,4,1,'4/4',Bb7,A1,1,43
8.25285714286,0.269183673469,4,1,4,2,'4/4',Bb7,A1,1,43
8.52204081633,0.251088435374,4,1,4,3,'4/4',Bb7,A1,1,40
8.7731292517,0.251088435374,4,1,4,4,'4/4',Bb7,A1,1,40
9.02421768707,0.255759637188,4,1,5,1,'4/4',Eb,A1,1,45
9.27997732426,0.255759637188,4,1,5,2,'4/4',Eb,A1,1,42
9.53573696145,0.260702947846,4,1,5,3,'4/4',Eb,A1,1,47
9.7964399093,0.260702947846,4,1,5,4,'4/4',Eb,A1,1,37
10.0571428571,0.245260770975,4,1,6,1,'4/4',Eb,A1,1,40
10.3024036281,0.245260770975,4,1,6,2,'4/4',Eb,A1,1,43
10.5476643991,0.255419501134,4,1,6,3,'4/4',Eb,A1,1,40
10.8030839002,0.255419501134,4,1,6,4,'4/4',Eb,A1,1,37
11.0585034014,0.243662131519,4,1,7,1,'4/4',Eb,A1,1,40
11.3021655329,0.243662131519,4,1,7,2,'4/4',Eb,A1,1,37
11.5458276644,0.255487528345,4,1,7,3,'4/4',Eb,A1,1,40
11.8013151927,0.255487528345,4,1,7,4,'4/4',Eb,A1,1,43
12.0568027211,0.25066893424,4,1,8,1,'4/4',Eb,A1,1,40
12.3074716553,0.25066893424,4,1,8,2,'4/4',Eb,A1,1,38
12.5581405896,0.251077097506,4,1,8,3,'4/4',Eb,A1,1,48
12.8092176871,0.251077097506,4,1,8,4,'4/4',Eb,A1,1,47
13.0602947846,0.255634920635,4,1,9,1,'4/4',Bb7,A1,1,40
13.3159297052,0.255634920635,4,1,9,2,'4/4',Bb7,A1,1,40
13.5715646259,0.255589569161,4,1,9,3,'4/4',Bb7,A1,1,40
13.827154195,0.255589569161,4,1,9,4,'4/4',Bb7,A1,1,40
14.0827437642,0.250464852608,4,1,10,1,'4/4',Bb7,A1,1,40
14.3332086168,0.250464852608,4,1,10,2,'4/4',Bb7,A1,1,40
14.5836734694,0.24693877551,4,1,10,3,'4/4',Bb7,A1,1,40
14.8306122449,0.24693877551,4,1,10,4,'4/4',Bb7,A1,1,40
15.0775510204,0.248979591837,4,1,11,1,'4/4',Bb7,A1,1,40
15.3265306122,0.248979591837,4,1,11,2,'4/4',Bb7,A1,1,40
15.5755102041,0.236734693878,4,1,11,3,'4/4',Bb7,A1,1,40
15.812244898,0.236734693878,4,1,11,4,'4/4',Bb7,A1,1,43
16.0489795918,0.250770975057,4,1,12,1,'4/4',Bb7,A1,1,40
16.2997505669,0.250770975057,4,1,12,2,'4/4',Bb7,A1,1,40
16.550521542,0.243049886621,4,1,12,3,'4/4',Bb7,A1,1,45
16.7935714286,0.243049886621,4,1,12,4,'4/4',Bb7,A1,1,37
17.0366213152,0.255510204082,4,1,13,1,'4/4',Eb,A1,1,40
17.2921315193,0.255510204082,4,1,13,2,'4/4',Eb,A1,1,40
17.5476417234,0.25679138322,4,1,13,3,'4/4',Eb,A1,1,40
17.8044331066,0.25679138322,4,1,13,4,'4/4',Eb,A1,1,40
18.0612244898,0.26193877551,4,1,14,1,'4/4',Eb,A1,1,40
18.3231632653,0.26193877551,4,1,14,2,'4/4',Eb,A1,1,37
18.5851020408,0.25298185941,4,1,14,3,'4/4',Eb,A1,1,40
18.8380839002,0.25298185941,4,1,14,4,'4/4',Eb,A1,1,40
19.0910657596,0.248344671202,4,1,15,1,'4/4',Eb,A1,1,40
19.3394104308,0.248344671202,4,1,15,2,'4/4',Eb,A1,1,40
19.587755102,0.243287981859,4,1,15,3,'4/4',Eb,A1,1,40
19.8310430839,0.243287981859,4,1,15,4,'4/4',Eb,A1,1,37
20.0743310658,0.24306122449,4,1,16,1,'4/4',Eb,A1,1,40
20.3173922902,0.24306122449,4,1,16,2,'4/4',Eb,A1,1,40
20.5604535147,0.258548752834,4,1,16,3,'4/4',Eb,A1,1,46
20.8190022676,0.258548752834,4,1,16,4,'4/4',Eb,A1,1,37
21.0775510204,0.248401360544,4,1,17,1,'4/4',C7,B1,1,43
21.325952381,0.248401360544,4,1,17,2,'4/4',C7,B1,1,43
21.5743537415,0.238049886621,4,1,17,3,'4/4',C7,B1,1,40
21.8124036281,0.238049886621,4,1,17,4,'4/4',C7,B1,1,37
22.0504535147,0.255589569161,4,1,18,1,'4/4',C7,B1,1,40
22.3060430839,0.255589569161,4,1,18,2,'4/4',C7,B1,1,43
22.5616326531,0.250736961451,4,1,18,3,'4/4',C7,B1,1,40
22.8123696145,0.250736961451,4,1,18,4,'4/4',C7,B1,1,48
23.063106576,0.243004535147,4,1,19,1,'4/4',C7,B1,1,40
23.3061111111,0.243004535147,4,1,19,2,'4/4',C7,B1,1,43
23.5491156463,0.24380952381,4,1,19,3,'4/4',C7,B1,1,40
23.7929251701,0.24380952381,4,1,19,4,'4/4',C7,B1,1,48
24.0367346939,0.242857142857,4,1,20,1,'4/4',C7,B1,1,40
24.2795918367,0.242857142857,4,1,20,2,'4/4',C7,B1,1,43
24.5224489796,0.231111111111,4,1,20,3,'4/4',C7,B1,1,40
24.7535600907,0.231111111111,4,1,20,4,'4/4',C7,B1,1,35
24.9846712018,0.245725623583,4,1,21,1,'4/4',F-7,B1,1,40
25.2303968254,0.245725623583,4,1,21,2,'4/4',F-7,B1,1,43
25.476122449,0.257857142857,4,1,21,3,'4/4',F-7,B1,1,44
25.7339795918,0.257857142857,4,1,21,4,'4/4',F-7,B1,1,46
25.9918367347,0.248514739229,4,1,22,1,'4/4',F-7,B1,1,48
26.2403514739,0.248514739229,4,1,22,2,'4/4',F-7,B1,1,46
26.4888662132,0.255612244898,4,1,22,3,'4/4',F-7,B1,1,44
26.744478458,0.255612244898,4,1,22,4,'4/4',F-7,B1,1,43
27.0000907029,0.243015873016,4,1,23,1,'4/4',Ab-7,B1,1,40
27.243106576,0.243015873016,4,1,23,2,'4/4',Ab-7,B1,1,43
27.486122449,0.260487528345,4,1,23,3,'4/4',Ab-7,B1,1,48
27.7466099773,0.260487528345,4,1,23,4,'4/4',Ab-7,B1,1,40
28.0070975057,0.241247165533,4,1,24,1,'4/4',Ab-7,B1,1,40
28.2483446712,0.241247165533,4,1,24,2,'4/4',Ab-7,B1,1,40
28.4895918367,0.241553287982,4,1,24,3,'4/4',Ab-7,B1,1,40
28.7311451247,0.241553287982,4,1,24,4,'4/4',Ab-7,B1,1,41
28.9726984127,0.242324263039,4,1,25,1,'4/4',Eb,B1,1,40
29.2150226757,0.242324263039,4,1,25,2,'4/4',Eb,B1,1,43
29.4573469388,0.255646258503,4,1,25,3,'4/4',Eb,B1,1,40
29.7129931973,0.255646258503,4,1,25,4,'4/4',Eb,B1,1,40
29.9686394558,0.245068027211,4,1,26,1,'4/4',Eb,B1,1,45
30.213707483,0.245068027211,4,1,26,2,'4/4',Eb,B1,1,36
30.4587755102,0.255419501134,4,1,26,3,'4/4',Eb,B1,1,44
30.7141950113,0.255419501134,4,1,26,4,'4/4',Eb,B1,1,53
30.9696145125,0.264172335601,4,1,27,1,'4/4',C7,B1,1,43
31.2337868481,0.264172335601,4,1,27,2,'4/4',C7,B1,1,37
31.4979591837,0.238775510204,4,1,27,3,'4/4',C7,B1,1,48
31.7367346939,0.238775510204,4,1,27,4,'4/4',C7,B1,1,37
31.9755102041,0.236734693878,4,1,28,1,'4/4',C7,B1,1,44
32.212244898,0.236734693878,4,1,28,2,'4/4',C7,B1,1,43
32.4489795918,0.244263038549,4,1,28,3,'4/4',C7,B1,1,48
32.6932426304,0.244263038549,4,1,28,4,'4/4',C7,B1,1,40
32.9375056689,0.250873015873,4,1,29,1,'4/4',F-7,B1,1,40
33.1883786848,0.250873015873,4,1,29,2,'4/4',F-7,B1,1,43
33.4392517007,0.247845804989,4,1,29,3,'4/4',F-7,B1,1,40
33.6870975057,0.247845804989,4,1,29,4,'4/4',F-7,B1,1,40
33.9349433107,0.229807256236,4,1,30,1,'4/4',Bb7,B1,1,40
34.1647505669,0.229807256236,4,1,30,2,'4/4',Bb7,B1,1,37
34.3945578231,0.232199546485,4,1,30,3,'4/4',Bb7,B1,1,45
34.6267573696,0.232199546485,4,1,30,4,'4/4',Bb7,B1,1,40
34.8589569161,0.241009070295,4,1,31,1,'4/4',Eb,B1,1,40
35.0999659864,0.241009070295,4,1,31,2,'4/4',Eb,B1,1,40
35.3409750567,0.247630385488,4,1,31,3,'4/4',Eb,B1,1,40
35.5886054422,0.247630385488,4,1,31,4,'4/4',Eb,B1,1,40
35.8362358277,0.236984126984,4,1,32,1,'4/4',Eb,B1,1,40
36.0732199546,0.236984126984,4,1,32,2,'4/4',Eb,B1,1,40
36.3102040816,0.264977324263,4,1,32,3,'4/4',Eb,B1,1,40
36.5751814059,0.264977324263,4,1,32,4,'4/4',Eb,B1,1,42
36.8401587302,0.25574829932,4,1,33,1,'4/4',Bb7,A1,2,40
37.0959070295,0.25574829932,4,1,33,2,'4/4',Bb7,A1,2,40
37.3516553288,0.243004535147,4,1,33,3,'4/4',Bb7,A1,2,47
37.5946598639,0.243004535147,4,1,33,4,'4/4',Bb7,A1,2,40
37.8376643991,0.260589569161,4,1,34,1,'4/4',Bb7,A1,2,40
38.0982539683,0.260589569161,4,1,34,2,'4/4',Bb7,A1,2,40
38.3588435374,0.260589569161,4,1,34,3,'4/4',Bb7,A1,2,45
38.6194331066,0.260589569161,4,1,34,4,'4/4',Bb7,A1,2,41
