onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.97569160998,0.193571428571,4,1,-1,1,'4/4',NC,I1,0,43
3.16926303855,0.193571428571,4,1,-1,2,'4/4',NC,I1,0,43
3.36283446712,0.183854875283,4,1,-1,3,'4/4',NC,I1,0,31
3.5466893424,0.183854875283,4,1,-1,4,'4/4',NC,I1,0,31
3.73054421769,0.18835600907,4,1,0,1,'4/4',NC,I1,0,39
3.91890022676,0.18835600907,4,1,0,2,'4/4',NC,I1,0,39
4.10725623583,0.178911564626,4,1,0,3,'4/4',NC,I1,0,38
4.28616780045,0.178911564626,4,1,0,4,'4/4',NC,I1,0,39
4.46507936508,0.1839569161,4,1,1,1,'4/4',Ab,A1,1,39
4.64903628118,0.1839569161,4,1,1,2,'4/4',Ab,A1,1,46
4.83299319728,0.203310657596,4,1,1,3,'4/4',Ab,A1,1,40
5.03630385488,0.203310657596,4,1,1,4,'4/4',Ab,A1,1,37
5.23961451247,0.205714285714,4,1,2,1,'4/4',Ab,A1,1,44
5.44532879819,0.205714285714,4,1,2,2,'4/4',Ab,A1,1,37
5.6510430839,0.196394557823,4,1,2,3,'4/4',Ab,A1,1,37
5.84743764172,0.196394557823,4,1,2,4,'4/4',Ab,A1,1,37
6.04383219955,0.193548752834,4,1,3,1,'4/4',F7,A1,1,37
6.23738095238,0.193548752834,4,1,3,2,'4/4',F7,A1,1,37
6.43092970522,0.183979591837,4,1,3,3,'4/4',F7,A1,1,37
6.61490929705,0.183979591837,4,1,3,4,'4/4',F7,A1,1,35
6.79888888889,0.188265306122,4,1,4,1,'4/4',F7,A1,1,48
6.98715419501,0.188265306122,4,1,4,2,'4/4',F7,A1,1,36
7.17541950113,0.198514739229,4,1,4,3,'4/4',F7,A1,1,40
7.37393424036,0.198514739229,4,1,4,4,'4/4',F7,A1,1,37
7.57244897959,0.186530612245,4,1,5,1,'4/4',F-7,A1,1,37
7.75897959184,0.186530612245,4,1,5,2,'4/4',F-7,A1,1,37
7.94551020408,0.201031746032,4,1,5,3,'4/4',F-7,A1,1,40
8.14654195011,0.201031746032,4,1,5,4,'4/4',F-7,A1,1,40
8.34757369615,0.203741496599,4,1,6,1,'4/4',F-7,A1,1,50
8.55131519274,0.203741496599,4,1,6,2,'4/4',F-7,A1,1,50
8.75505668934,0.188265306122,4,1,6,3,'4/4',F-7,A1,1,37
8.94332199546,0.188265306122,4,1,6,4,'4/4',F-7,A1,1,36
9.13158730159,0.188764172336,4,1,7,1,'4/4',Bb7,A1,1,50
9.32035147392,0.188764172336,4,1,7,2,'4/4',Bb7,A1,1,50
9.50911564626,0.196428571429,4,1,7,3,'4/4',Bb7,A1,1,37
9.70554421769,0.196428571429,4,1,7,4,'4/4',Bb7,A1,1,37
9.90197278912,0.193231292517,4,1,8,1,'4/4',Bb7,A1,1,46
10.0952040816,0.193231292517,4,1,8,2,'4/4',Bb7,A1,1,37
10.2884353741,0.196383219955,4,1,8,3,'4/4',Bb7,A1,1,37
10.4848185941,0.196383219955,4,1,8,4,'4/4',Bb7,A1,1,36
10.6812018141,0.186031746032,4,1,9,1,'4/4',Eb,A1,1,37
10.8672335601,0.186031746032,4,1,9,2,'4/4',Eb,A1,1,37
11.0532653061,0.195873015873,4,1,9,3,'4/4',Eb,A1,1,37
11.249138322,0.195873015873,4,1,9,4,'4/4',Eb,A1,1,36
11.4450113379,0.198616780045,4,1,10,1,'4/4',Eb,A1,1,37
11.6436281179,0.198616780045,4,1,10,2,'4/4',Eb,A1,1,37
11.842244898,0.201326530612,4,1,10,3,'4/4',Eb,A1,1,38
12.0435714286,0.201326530612,4,1,10,4,'4/4',Eb,A1,1,37
12.2448979592,0.188696145125,4,1,11,1,'4/4',C7,A1,1,38
12.4335941043,0.188696145125,4,1,11,2,'4/4',C7,A1,1,38
12.6222902494,0.196009070295,4,1,11,3,'4/4',C7,A1,1,40
12.8182993197,0.196009070295,4,1,11,4,'4/4',C7,A1,1,43
13.01430839,0.198605442177,4,1,12,1,'4/4',C7,A1,1,44
13.2129138322,0.198605442177,4,1,12,2,'4/4',C7,A1,1,36
13.4115192744,0.188673469388,4,1,12,3,'4/4',C7,A1,1,37
13.6001927438,0.188673469388,4,1,12,4,'4/4',C7,A1,1,43
13.7888662132,0.183401360544,4,1,13,1,'4/4',Ab,A1,1,43
13.9722675737,0.183401360544,4,1,13,2,'4/4',Ab,A1,1,37
14.1556689342,0.19641723356,4,1,13,3,'4/4',Ab,A1,1,46
