onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.96054421769,0.501587301587,4,1,1,1,'4/4',E-7,A1,1,28
3.46213151927,0.496780045351,4,1,1,2,'4/4',E-7,A1,1,32
3.95891156463,0.48820861678,4,1,1,3,'4/4',A7,A1,1,33
4.44712018141,0.470907029478,4,1,1,4,'4/4',A7,A1,1,37
4.91802721088,0.498888888889,4,1,2,1,'4/4',D-7,A1,1,38
5.41691609977,0.478934240363,4,1,2,2,'4/4',D-7,A1,1,36
5.89585034014,0.460975056689,4,1,2,3,'4/4',Bm7b5,A1,1,47
6.35682539683,0.469115646259,4,1,2,4,'4/4',Bm7b5,A1,1,39
6.82594104308,0.460907029478,4,1,3,1,'4/4',E-7,A1,1,40
7.28684807256,0.480453514739,4,1,3,2,'4/4',E-7,A1,1,44
7.7673015873,0.479501133787,4,1,3,3,'4/4',A7,A1,1,45
8.24680272109,0.468390022676,4,1,3,4,'4/4',A7,A1,1,49
8.71519274376,0.481315192744,4,1,4,1,'4/4',D-7,A1,1,50
9.19650793651,0.478117913832,4,1,4,2,'4/4',D-7,A1,1,38
9.67462585034,0.47925170068,4,1,4,3,'4/4',G7,A1,1,45
10.153877551,0.470839002268,4,1,4,4,'4/4',G7,A1,1,50
10.6247165533,0.451179138322,4,1,5,1,'4/4',G-7,A1,1,43
11.0758956916,0.479410430839,4,1,5,2,'4/4',G-7,A1,1,50
11.5553061224,0.459909297052,4,1,5,3,'4/4',C7,A1,1,36
12.0152154195,0.461133786848,4,1,5,4,'4/4',C7,A1,1,37
12.4763492063,0.498934240363,4,1,6,1,'4/4',D-,A1,1,38
12.9752834467,0.496689342404,4,1,6,2,'4/4',D-,A1,1,47
13.4719727891,0.498662131519,4,1,6,3,'4/4',D-,A1,1,48
13.9706349206,0.451224489796,4,1,6,4,'4/4',D-,A1,1,45
14.4218594104,0.452607709751,4,1,7,1,'4/4',Bbj7,A1,1,46
14.8744671202,0.496757369615,4,1,7,2,'4/4',Bbj7,A1,1,41
15.3712244898,0.470861678005,4,1,7,3,'4/4',A-7,A1,1,45
15.8420861678,0.506598639456,4,1,7,4,'4/4',A-7,A1,1,38
16.3486848073,0.460907029478,4,1,8,1,'4/4',G-7,A1,1,31
16.8095918367,0.4610430839,4,1,8,2,'4/4',G-7,A1,1,28
17.2706349206,0.488299319728,4,1,8,3,'4/4',F-7,A1,1,41
17.7589342404,0.461088435374,4,1,8,4,'4/4',F-7,A1,1,34
18.2200226757,0.461678004535,4,1,9,1,'4/4',E-7,A2,1,28
18.6817006803,0.506485260771,4,1,9,2,'4/4',E-7,A2,1,32
19.188185941,0.451201814059,4,1,9,3,'4/4',A7,A2,1,33
19.6393877551,0.480408163265,4,1,9,4,'4/4',A7,A2,1,37
20.1197959184,0.469546485261,4,1,10,1,'4/4',D-7,A2,1,38
20.5893424036,0.488049886621,4,1,10,2,'4/4',D-7,A2,1,36
21.0773922902,0.460839002268,4,1,10,3,'4/4',Bm7b5,A2,1,35
21.5382312925,0.479297052154,4,1,10,4,'4/4',Bm7b5,A2,1,35
22.0175283447,0.442630385488,4,1,11,1,'4/4',E-7,A2,1,34
22.4601587302,0.482698412698,4,1,11,2,'4/4',E-7,A2,1,34
22.9428571429,0.513378684807,4,1,11,3,'4/4',A7,A2,1,33
23.4562358277,0.488299319728,4,1,11,4,'4/4',A7,A2,1,45
23.9445351474,0.47843537415,4,1,12,1,'4/4',D-7,A2,1,38
24.4229705215,0.489070294785,4,1,12,2,'4/4',D-7,A2,1,33
24.9120408163,0.470997732426,4,1,12,3,'4/4',G7,A2,1,32
25.3830385488,0.488140589569,4,1,12,4,'4/4',G7,A2,1,38
25.8711791383,0.479410430839,4,1,13,1,'4/4',G-7,A2,1,31
26.3505895692,0.488140589569,4,1,13,2,'4/4',G-7,A2,1,43
26.8387301587,0.479274376417,4,1,13,3,'4/4',C7,A2,1,36
27.3180045351,0.498095238095,4,1,13,4,'4/4',C7,A2,1,37
27.8160997732,0.478503401361,4,1,14,1,'4/4',D-,A2,1,38
28.2946031746,0.480589569161,4,1,14,2,'4/4',D-,A2,1,47
28.7751927438,0.469614512472,4,1,14,3,'4/4',D-,A2,1,48
29.2448072562,0.460839002268,4,1,14,4,'4/4',D-,A2,1,45
29.7056462585,0.451133786848,4,1,15,1,'4/4',Bbj7,A2,1,46
30.1567800454,0.443219954649,4,1,15,2,'4/4',Bbj7,A2,1,41
30.6,0.477551020408,4,1,15,3,'4/4',A-7,A2,1,45
31.0775510204,0.462154195011,4,1,15,4,'4/4',A-7,A2,1,38
31.5397052154,0.443673469388,4,1,16,1,'4/4',G-7,A2,1,31
31.9833786848,0.496825396825,4,1,16,2,'4/4',G-7,A2,1,47
32.4802040816,0.470725623583,4,1,16,3,'4/4',C7,A2,1,48
32.9509297052,0.451111111111,4,1,16,4,'4/4',C7,A2,1,40
33.4020408163,0.443605442177,4,1,17,1,'4/4',F6,B1,1,41
33.8456462585,0.496848072562,4,1,17,2,'4/4',F6,B1,1,47
