onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.13736961451,0.385238095238,4,1,-1,2,'4/4',NC,I1,0,38
2.52260770975,0.411315192744,4,1,-1,3,'4/4',NC,I1,0,43
2.93392290249,0.37029478458,4,1,-1,4,'4/4',NC,I1,0,43
3.30421768707,0.38,4,1,0,1,'4/4',NC,I1,0,45
3.68421768707,0.370272108844,4,1,0,2,'4/4',NC,I1,0,43
4.05448979592,0.398934240363,4,1,0,3,'4/4',NC,I1,0,40
4.45342403628,0.377278911565,4,1,0,4,'4/4',NC,I1,0,40
4.83070294785,0.374172335601,4,1,1,1,'4/4',Bb,A1,1,38
5.20487528345,0.373083900227,4,1,1,2,'4/4',Bb,A1,1,40
5.57795918367,0.354943310658,4,1,1,3,'4/4',G7,A1,1,45
5.93290249433,0.362562358277,4,1,1,4,'4/4',G7,A1,1,44
6.29546485261,0.346326530612,4,1,2,1,'4/4',C-7,A1,1,43
6.64179138322,0.371133786848,4,1,2,2,'4/4',C-7,A1,1,42
7.01292517007,0.339115646259,4,1,2,3,'4/4',F+7,A1,1,41
7.35204081633,0.388934240363,4,1,2,4,'4/4',F+7,A1,1,39
7.74097505669,0.41410430839,4,1,3,1,'4/4',Bb,A1,1,38
8.15507936508,0.396961451247,4,1,3,2,'4/4',Bb,A1,1,44
8.55204081633,0.340090702948,4,1,3,3,'4/4',G7,A1,1,43
8.89213151927,0.380340136054,4,1,3,4,'4/4',G7,A1,1,47
9.27247165533,0.342380952381,4,1,4,1,'4/4',C-7,A1,1,48
9.61485260771,0.36022675737,4,1,4,2,'4/4',C-7,A1,1,40
9.97507936508,0.380816326531,4,1,4,3,'4/4',F+7,A1,1,41
10.3558956916,0.393083900227,4,1,4,4,'4/4',F+7,A1,1,45
10.7489795918,0.367664399093,4,1,5,1,'4/4',F-7,A1,1,46
11.1166439909,0.371700680272,4,1,5,2,'4/4',F-7,A1,1,38
11.4883446712,0.356258503401,4,1,5,3,'4/4',Bb7,A1,1,43
11.8446031746,0.345873015873,4,1,5,4,'4/4',Bb7,A1,1,40
12.1904761905,0.413242630385,4,1,6,1,'4/4',Ebj7,A1,1,39
12.6037188209,0.358344671202,4,1,6,2,'4/4',Ebj7,A1,1,38
12.9620634921,0.336712018141,4,1,6,3,'4/4',Eo,A1,1,39
13.2987755102,0.388049886621,4,1,6,4,'4/4',Eo,A1,1,40
13.6868253968,0.346870748299,4,1,7,1,'4/4',D-7,A1,1,41
14.0336961451,0.404580498866,4,1,7,2,'4/4',D-7,A1,1,44
14.438276644,0.389977324263,4,1,7,3,'4/4',G+7,A1,1,43
14.8282539683,0.371428571429,4,1,7,4,'4/4',G+7,A1,1,47
15.1996825397,0.366235827664,4,1,8,1,'4/4',C-7,A1,1,36
15.5659183673,0.333492063492,4,1,8,2,'4/4',C-7,A1,1,40
15.8994104308,0.335532879819,4,1,8,3,'4/4',F+7,A1,1,40
16.2349433107,0.379682539683,4,1,8,4,'4/4',F+7,A1,1,45
16.6146258503,0.408253968254,4,1,9,1,'4/4',Bb,A2,1,46
17.0228798186,0.357074829932,4,1,9,2,'4/4',Bb,A2,1,46
17.3799546485,0.380362811791,4,1,9,3,'4/4',G7,A2,1,47
17.7603174603,0.385192743764,4,1,9,4,'4/4',G7,A2,1,47
18.1455102041,0.399274376417,4,1,10,1,'4/4',C-7,A2,1,48
18.5447845805,0.346349206349,4,1,10,2,'4/4',C-7,A2,1,49
18.8911337868,0.38306122449,4,1,10,3,'4/4',F+7,A2,1,39
19.2741950113,0.370340136054,4,1,10,4,'4/4',F+7,A2,1,50
19.6445351474,0.377006802721,4,1,11,1,'4/4',Bb,A2,1,50
20.0215419501,0.365578231293,4,1,11,2,'4/4',Bb,A2,1,50
20.3871201814,0.399523809524,4,1,11,3,'4/4',G7,A2,1,49
20.7866439909,0.387052154195,4,1,11,4,'4/4',G7,A2,1,49
21.1736961451,0.385623582766,4,1,12,1,'4/4',C-7,A2,1,48
21.5593197279,0.396349206349,4,1,12,2,'4/4',C-7,A2,1,43
21.9556689342,0.377301587302,4,1,12,3,'4/4',F+7,A2,1,37
22.3329705215,0.381111111111,4,1,12,4,'4/4',F+7,A2,1,42
22.7140816327,0.39052154195,4,1,13,1,'4/4',F-7,A2,1,42
23.1046031746,0.361383219955,4,1,13,2,'4/4',F-7,A2,1,47
23.4659863946,0.383673469388,4,1,13,3,'4/4',Bb7,A2,1,46
23.8496598639,0.373854875283,4,1,13,4,'4/4',Bb7,A2,1,40
24.2235147392,0.369002267574,4,1,14,1,'4/4',Ebj7,A2,1,39
24.5925170068,0.363424036281,4,1,14,2,'4/4',Ebj7,A2,1,46
24.9559410431,0.368526077098,4,1,14,3,'4/4',Eo,A2,1,43
25.3244671202,0.379659863946,4,1,14,4,'4/4',Eo,A2,1,47
25.7041269841,0.377936507937,4,1,15,1,'4/4',C-7,A2,1,36
26.0820634921,0.362766439909,4,1,15,2,'4/4',C-7,A2,1,40
26.444829932,0.388344671202,4,1,15,3,'4/4',F7,A2,1,41
26.8331746032,0.385079365079,4,1,15,4,'4/4',F7,A2,1,45
27.2182539683,0.381292517007,4,1,16,1,'4/4',Bb,A2,1,46
27.5995464853,0.378276643991,4,1,16,2,'4/4',Bb,A2,1,41
27.9778231293,0.368095238095,4,1,16,3,'4/4',Bb,A2,1,40
28.3459183673,0.348571428571,4,1,16,4,'4/4',Bb,A2,1,40
28.6944897959,0.36619047619,4,1,17,1,'4/4',D7,B1,1,38
29.0606802721,0.37,4,1,17,2,'4/4',D7,B1,1,42
29.4306802721,0.371405895692,4,1,17,3,'4/4',D7,B1,1,45
29.8020861678,0.391541950113,4,1,17,4,'4/4',D7,B1,1,44
30.1936281179,0.370045351474,4,1,18,1,'4/4',D7,B1,1,39
30.5636734694,0.366485260771,4,1,18,2,'4/4',D7,B1,1,43
30.9301587302,0.408367346939,4,1,18,3,'4/4',D7,B1,1,44
31.3385260771,0.396802721088,4,1,18,4,'4/4',D7,B1,1,45
31.7353287982,0.360770975057,4,1,19,1,'4/4',G7,B1,1,43
32.0960997732,0.366009070295,4,1,19,2,'4/4',G7,B1,1,45
32.4621088435,0.375578231293,4,1,19,3,'4/4',G7,B1,1,34
32.8376870748,0.381111111111,4,1,19,4,'4/4',G7,B1,1,45
33.2187981859,0.374172335601,4,1,20,1,'4/4',G7,B1,1,45
33.5929705215,0.354920634921,4,1,20,2,'4/4',G7,B1,1,42
33.9478911565,0.371632653061,4,1,20,3,'4/4',G7,B1,1,43
34.3195238095,0.416689342404,4,1,20,4,'4/4',G7,B1,1,47
