onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
3.54442176871,0.484603174603,4,1,0,3,'4/4',NC,I1,0,40
4.02902494331,0.538004535147,4,1,0,4,'4/4',NC,I1,0,39
4.56702947846,0.502358276644,4,1,1,1,'4/4',Bb,A1,1,40
5.0693877551,0.511519274376,4,1,1,2,'4/4',Bb,A1,1,34
5.58090702948,0.571700680272,4,1,1,3,'4/4',Bb,A1,1,40
6.15260770975,0.571814058957,4,1,1,4,'4/4',Bb,A1,1,40
6.72442176871,0.507414965986,4,1,2,1,'4/4',Bb,A1,1,46
7.23183673469,0.542471655329,4,1,2,2,'4/4',Bb,A1,1,40
7.77430839002,0.522426303855,4,1,2,3,'4/4',Bb,A1,1,40
8.29673469388,0.516984126984,4,1,2,4,'4/4',Bb,A1,1,44
8.81371882086,0.534467120181,4,1,3,1,'4/4',Bb,A1,1,40
9.34818594104,0.505941043084,4,1,3,2,'4/4',Bb,A1,1,40
9.85412698413,0.523219954649,4,1,3,3,'4/4',Bb,A1,1,40
10.3773469388,0.530657596372,4,1,3,4,'4/4',Bb,A1,1,44
10.9080045351,0.549591836735,4,1,4,1,'4/4',Bb,A1,1,46
11.4575963719,0.515759637188,4,1,4,2,'4/4',Bb,A1,1,40
11.9733560091,0.513605442177,4,1,4,3,'4/4',Bb,A1,1,40
12.4869614512,0.482993197279,4,1,4,4,'4/4',Bb,A1,1,40
12.9699546485,0.51358276644,4,1,5,1,'4/4',Db,A1,1,40
13.483537415,0.494875283447,4,1,5,2,'4/4',Db,A1,1,37
13.9784126984,0.537482993197,4,1,5,3,'4/4',Db,A1,1,40
14.5158956916,0.559342403628,4,1,5,4,'4/4',Db,A1,1,38
15.0752380952,0.515328798186,4,1,6,1,'4/4',Eb,A1,1,39
15.5905668934,0.508594104308,4,1,6,2,'4/4',Eb,A1,1,39
16.0991609977,0.508412698413,4,1,6,3,'4/4',Eb,A1,1,39
16.6075736961,0.544648526077,4,1,6,4,'4/4',Eb,A1,1,40
17.1522222222,0.535578231293,4,1,7,1,'4/4',Bb,A1,1,40
17.6878004535,0.559274376417,4,1,7,2,'4/4',Bb,A1,1,46
18.2470748299,0.542585034014,4,1,7,3,'4/4',Bb,A1,1,40
18.7896598639,0.516326530612,4,1,7,4,'4/4',Bb,A1,1,40
19.3059863946,0.534512471655,4,1,8,1,'4/4',Bb,A1,1,40
19.8404988662,0.506485260771,4,1,8,2,'4/4',Bb,A1,1,40
20.346984127,0.544580498866,4,1,8,3,'4/4',Bb,A1,1,40
20.8915646259,0.504444444444,4,1,8,4,'4/4',Bb,A1,1,40
21.3960090703,0.564149659864,4,1,9,1,'4/4',Gb7911#,B1,1,42
21.9601587302,0.482925170068,4,1,9,2,'4/4',Gb7911#,B1,1,42
22.4430839002,0.549183673469,4,1,9,3,'4/4',Gb7911#,B1,1,40
22.9922675737,0.504240362812,4,1,9,4,'4/4',Gb7911#,B1,1,40
23.4965079365,0.509546485261,4,1,10,1,'4/4',Ab,B1,1,44
24.0060544218,0.562290249433,4,1,10,2,'4/4',Ab,B1,1,44
24.5683446712,0.521428571429,4,1,10,3,'4/4',Ab,B1,1,44
25.0897732426,0.497414965986,4,1,10,4,'4/4',Ab,B1,1,45
25.5871882086,0.513151927438,4,1,11,1,'4/4',Bb,B1,1,40
26.1003401361,0.489523809524,4,1,11,2,'4/4',Bb,B1,1,45
26.5898639456,0.55589569161,4,1,11,3,'4/4',Bb,B1,1,45
27.1457596372,0.567551020408,4,1,11,4,'4/4',Bb,B1,1,44
27.7133106576,0.516984126984,4,1,12,1,'4/4',Bb,B1,1,47
28.2302947846,0.512063492063,4,1,12,2,'4/4',Bb,B1,1,40
28.7423582766,0.518866213152,4,1,12,3,'4/4',Bb,B1,1,44
29.2612244898,0.498049886621,4,1,12,4,'4/4',Bb,B1,1,39
29.7592743764,0.483265306122,4,1,13,1,'4/4',Bb,A1,2,40
30.2425396825,0.527551020408,4,1,13,2,'4/4',Bb,A1,2,34
30.7700907029,0.495396825397,4,1,13,3,'4/4',Bb,A1,2,40
31.2654875283,0.510997732426,4,1,13,4,'4/4',Bb,A1,2,45
31.7764852608,0.554126984127,4,1,14,1,'4/4',Bb,A1,2,40
32.3306122449,0.539750566893,4,1,14,2,'4/4',Bb,A1,2,34
32.8703628118,0.510113378685,4,1,14,3,'4/4',Bb,A1,2,45
33.3804761905,0.554535147392,4,1,14,4,'4/4',Bb,A1,2,40
33.9350113379,0.552471655329,4,1,15,1,'4/4',Bb,A1,2,40
