onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.84897959184,0.244897959184,4,1,0,3,'4/4',NC,I1,0,47
3.09387755102,0.238571428571,4,1,0,4,'4/4',NC,I1,0,43
3.33244897959,0.229138321995,4,1,1,1,'4/4',C,A1,1,48
3.56158730159,0.238548752834,4,1,1,2,'4/4',C,A1,1,40
3.80013605442,0.26380952381,4,1,1,3,'4/4',C,A1,1,40
4.06394557823,0.256916099773,4,1,1,4,'4/4',C,A1,1,40
4.320861678,0.234376417234,4,1,2,1,'4/4',C,A1,1,40
4.55523809524,0.233650793651,4,1,2,2,'4/4',C,A1,1,40
4.78888888889,0.253038548753,4,1,2,3,'4/4',C,A1,1,40
5.04192743764,0.256462585034,4,1,2,4,'4/4',C,A1,1,46
5.29839002268,0.245873015873,4,1,3,1,'4/4',G7,A1,1,44
5.54426303855,0.23820861678,4,1,3,2,'4/4',G7,A1,1,48
5.78247165533,0.246077097506,4,1,3,3,'4/4',G7,A1,1,48
6.02854875283,0.242630385488,4,1,3,4,'4/4',G7,A1,1,50
6.27117913832,0.246031746032,4,1,4,1,'4/4',C,A1,1,48
6.51721088435,0.239795918367,4,1,4,2,'4/4',C,A1,1,47
6.75700680272,0.224671201814,4,1,4,3,'4/4',C,A1,1,46
6.98167800454,0.232743764172,4,1,4,4,'4/4',C,A1,1,44
7.21442176871,0.232947845805,4,1,5,1,'4/4',C,A1,1,44
7.44736961451,0.252766439909,4,1,5,2,'4/4',C,A1,1,38
7.70013605442,0.22768707483,4,1,5,3,'4/4',C,A1,1,40
7.92782312925,0.239795918367,4,1,5,4,'4/4',C,A1,1,40
8.16761904762,0.257482993197,4,1,6,1,'4/4',C,A1,1,40
8.42510204082,0.236485260771,4,1,6,2,'4/4',C,A1,1,37
8.66158730159,0.229637188209,4,1,6,3,'4/4',C,A1,1,46
8.8912244898,0.229387755102,4,1,6,4,'4/4',C,A1,1,46
9.1206122449,0.220952380952,4,1,7,1,'4/4',G7,A1,1,49
9.34156462585,0.241473922902,4,1,7,2,'4/4',G7,A1,1,49
9.58303854875,0.262970521542,4,1,7,3,'4/4',G7,A1,1,47
9.84600907029,0.253605442177,4,1,7,4,'4/4',G7,A1,1,43
10.0996145125,0.233718820862,4,1,8,1,'4/4',C,A1,1,43
10.3333333333,0.223197278912,4,1,8,2,'4/4',C,A1,1,43
10.5565306122,0.236031746032,4,1,8,3,'4/4',C,A1,1,40
10.7925623583,0.226870748299,4,1,8,4,'4/4',C,A1,1,44
11.0194331066,0.233922902494,4,1,9,1,'4/4',C,A2,1,40
11.2533560091,0.226530612245,4,1,9,2,'4/4',C,A2,1,38
11.4798866213,0.23,4,1,9,3,'4/4',C,A2,1,40
11.7098866213,0.243945578231,4,1,9,4,'4/4',C,A2,1,40
11.9538321995,0.259886621315,4,1,10,1,'4/4',C,A2,1,44
12.2137188209,0.242789115646,4,1,10,2,'4/4',C,A2,1,47
12.4565079365,0.244603174603,4,1,10,3,'4/4',C,A2,1,46
12.7011111111,0.24641723356,4,1,10,4,'4/4',C,A2,1,47
12.9475283447,0.239070294785,4,1,11,1,'4/4',G7,A2,1,48
13.1865986395,0.217664399093,4,1,11,2,'4/4',G7,A2,1,47
13.4042630385,0.245487528345,4,1,11,3,'4/4',G7,A2,1,46
13.6497505669,0.238548752834,4,1,11,4,'4/4',G7,A2,1,43
13.8882993197,0.242993197279,4,1,12,1,'4/4',C,A2,1,40
14.131292517,0.247188208617,4,1,12,2,'4/4',C,A2,1,40
14.3784807256,0.224988662132,4,1,12,3,'4/4',C,A2,1,40
14.6034693878,0.219047619048,4,1,12,4,'4/4',C,A2,1,43
14.8225170068,0.254421768707,4,1,13,1,'4/4',C,A2,1,37
15.0769387755,0.233673469388,4,1,13,2,'4/4',C,A2,1,39
15.3106122449,0.233174603175,4,1,13,3,'4/4',C,A2,1,40
15.5437868481,0.234172335601,4,1,13,4,'4/4',C,A2,1,43
15.7779591837,0.238004535147,4,1,14,1,'4/4',C,A2,1,41
16.0159637188,0.255170068027,4,1,14,2,'4/4',C,A2,1,40
16.2711337868,0.228662131519,4,1,14,3,'4/4',C,A2,1,38
16.4997959184,0.259206349206,4,1,14,4,'4/4',C,A2,1,37
16.7590022676,0.229002267574,4,1,15,1,'4/4',G7,A2,1,38
16.9880045351,0.250204081633,4,1,15,2,'4/4',G7,A2,1,44
17.2382086168,0.240612244898,4,1,15,3,'4/4',G7,A2,1,38
17.4788208617,0.233038548753,4,1,15,4,'4/4',G7,A2,1,43
17.7118594104,0.241904761905,4,1,16,1,'4/4',C,A2,1,48
17.9537641723,0.257709750567,4,1,16,2,'4/4',C,A2,1,47
18.2114739229,0.240090702948,4,1,16,3,'4/4',C,A2,1,35
18.4515646259,0.239750566893,4,1,16,4,'4/4',C,A2,1,43
18.6913151927,0.232698412698,4,1,17,1,'4/4',C7,B1,1,48
18.9240136054,0.238253968254,4,1,17,2,'4/4',C7,B1,1,48
19.1622675737,0.249614512472,4,1,17,3,'4/4',C7,B1,1,49
19.4118820862,0.24380952381,4,1,17,4,'4/4',C7,B1,1,49
19.65569161,0.226394557823,4,1,18,1,'4/4',C7,B1,1,48
19.8820861678,0.238004535147,4,1,18,2,'4/4',C7,B1,1,48
20.1200907029,0.240907029478,4,1,18,3,'4/4',C7,B1,1,42
20.3609977324,0.24380952381,4,1,18,4,'4/4',C7,B1,1,43
20.6048072562,0.223492063492,4,1,19,1,'4/4',F7,B1,1,48
20.8282993197,0.252517006803,4,1,19,2,'4/4',F7,B1,1,40
21.0808163265,0.235102040816,4,1,19,3,'4/4',F7,B1,1,48
21.3159183673,0.223492063492,4,1,19,4,'4/4',F7,B1,1,48
21.5394104308,0.232199546485,4,1,20,1,'4/4',F7,B1,1,47
21.7716099773,0.246712018141,4,1,20,2,'4/4',F7,B1,1,46
22.0183219955,0.261224489796,4,1,20,3,'4/4',F7,B1,1,47
22.2795464853,0.265351473923,4,1,20,4,'4/4',F7,B1,1,40
22.5448979592,0.24693877551,4,1,21,1,'4/4',Bb7,B1,1,34
22.7918367347,0.244897959184,4,1,21,2,'4/4',Bb7,B1,1,34
23.0367346939,0.266349206349,4,1,21,3,'4/4',Bb7,B1,1,36
23.3030839002,0.250362811791,4,1,21,4,'4/4',Bb7,B1,1,47
23.553446712,0.234671201814,4,1,22,1,'4/4',Bb7,B1,1,34
23.7881179138,0.223287981859,4,1,22,2,'4/4',Bb7,B1,1,46
24.0114058957,0.216734693878,4,1,22,3,'4/4',Bb7,B1,1,40
24.2281405896,0.235850340136,4,1,22,4,'4/4',Bb7,B1,1,40
24.4639909297,0.244058956916,4,1,23,1,'4/4',Ab7,B1,1,39
24.7080498866,0.243197278912,4,1,23,2,'4/4',Ab7,B1,1,39
24.9512471655,0.240589569161,4,1,23,3,'4/4',Ab7,B1,1,44
25.1918367347,0.258117913832,4,1,23,4,'4/4',Ab7,B1,1,44
25.4499546485,0.25619047619,4,1,24,1,'4/4',G7,B1,1,38
25.7061451247,0.229523809524,4,1,24,2,'4/4',G7,B1,1,38
25.9356689342,0.23612244898,4,1,24,3,'4/4',G7,B1,1,38
26.1717913832,0.235215419501,4,1,24,4,'4/4',G7,B1,1,43
26.4070068027,0.258616780045,4,1,25,1,'4/4',C,A3,1,43
26.6656235828,0.23179138322,4,1,25,2,'4/4',C,A3,1,37
26.897414966,0.226394557823,4,1,25,3,'4/4',C,A3,1,38
27.1238095238,0.248775510204,4,1,25,4,'4/4',C,A3,1,38
27.372585034,0.250453514739,4,1,26,1,'4/4',G7,A3,1,40
27.6230385488,0.249659863946,4,1,26,2,'4/4',G7,A3,1,40
27.8726984127,0.241428571429,4,1,26,3,'4/4',G7,A3,1,40
28.1141269841,0.239229024943,4,1,26,4,'4/4',G7,A3,1,41
28.3533560091,0.233265306122,4,1,27,1,'4/4',G7,A3,1,47
28.5866213152,0.23253968254,4,1,27,2,'4/4',G7,A3,1,40
28.8191609977,0.268979591837,4,1,27,3,'4/4',G7,A3,1,40
29.0881405896,0.253605442177,4,1,27,4,'4/4',G7,A3,1,40
29.3417460317,0.242494331066,4,1,28,1,'4/4',C,A3,1,40
29.5842403628,0.221632653061,4,1,28,2,'4/4',C,A3,1,40
29.8058730159,0.2410430839,4,1,28,3,'4/4',C,A3,1,38
30.0469160998,0.24641723356,4,1,28,4,'4/4',C,A3,1,43
30.2933333333,0.252517006803,4,1,29,1,'4/4',C,A3,1,37
30.5458503401,0.240907029478,4,1,29,2,'4/4',C,A3,1,37
30.7867573696,0.249614512472,4,1,29,3,'4/4',C,A3,1,37
31.0363718821,0.223492063492,4,1,29,4,'4/4',C,A3,1,37
31.2598639456,0.220589569161,4,1,30,1,'4/4',C,A3,1,40
31.4804535147,0.239977324263,4,1,30,2,'4/4',C,A3,1,40
31.720430839,0.261859410431,4,1,30,3,'4/4',C,A3,1,44
31.9822902494,0.235306122449,4,1,30,4,'4/4',C,A3,1,44
32.2175963719,0.251133786848,4,1,31,1,'4/4',G7,A3,1,44
32.4687301587,0.265600907029,4,1,31,2,'4/4',G7,A3,1,44
32.7343310658,0.245260770975,4,1,31,3,'4/4',G7,A3,1,44
32.9795918367,0.237437641723,4,1,31,4,'4/4',G7,A3,1,43
33.2170294785,0.243832199546,4,1,32,1,'4/4',C,A3,1,48
33.460861678,0.242585034014,4,1,32,2,'4/4',C,A3,1,47
33.703446712,0.250362811791,4,1,32,3,'4/4',C,A3,1,47
33.9538095238,0.2489569161,4,1,32,4,'4/4',C,A3,1,35
34.2027664399,0.240476190476,4,1,33,1,'4/4',C,A1,2,48
34.4432426304,0.21873015873,4,1,33,2,'4/4',C,A1,2,50
34.6619727891,0.263764172336,4,1,33,3,'4/4',C,A1,2,36
34.9257369615,0.262653061224,4,1,33,4,'4/4',C,A1,2,37
35.1883900227,0.222517006803,4,1,34,1,'4/4',C,A1,2,43
35.4109070295,0.251655328798,4,1,34,2,'4/4',C,A1,2,35
35.6625623583,0.242380952381,4,1,34,3,'4/4',C,A1,2,37
35.9049433107,0.257551020408,4,1,34,4,'4/4',C,A1,2,37
36.1624943311,0.229659863946,4,1,35,1,'4/4',G7,A1,2,37
36.392154195,0.236303854875,4,1,35,2,'4/4',G7,A1,2,40
36.6284580499,0.248027210884,4,1,35,3,'4/4',G7,A1,2,37
36.8764852608,0.240340136054,4,1,35,4,'4/4',G7,A1,2,40
37.1168253968,0.23485260771,4,1,36,1,'4/4',C,A1,2,43
37.3516780045,0.22612244898,4,1,36,2,'4/4',C,A1,2,37
37.5778004535,0.245963718821,4,1,36,3,'4/4',C,A1,2,48
37.8237641723,0.228866213152,4,1,36,4,'4/4',C,A1,2,50
38.0526303855,0.243492063492,4,1,37,1,'4/4',C,A1,2,37
38.296122449,0.24029478458,4,1,37,2,'4/4',C,A1,2,47
38.5364172336,0.212290249433,4,1,37,3,'4/4',C,A1,2,47
38.748707483,0.242471655329,4,1,37,4,'4/4',C,A1,2,46
38.9911791383,0.240181405896,4,1,38,1,'4/4',C,A1,2,47
39.2313605442,0.239342403628,4,1,38,2,'4/4',C,A1,2,40
39.4707029478,0.255827664399,4,1,38,3,'4/4',C,A1,2,40
39.7265306122,0.245351473923,4,1,38,4,'4/4',C,A1,2,48
39.9718820862,0.250884353741,4,1,39,1,'4/4',G7,A1,2,47
40.2227664399,0.261360544218,4,1,39,2,'4/4',G7,A1,2,46
40.4841269841,0.25231292517,4,1,39,3,'4/4',G7,A1,2,43
40.7364399093,0.235170068027,4,1,39,4,'4/4',G7,A1,2,43
40.9716099773,0.246712018141,4,1,40,1,'4/4',C,A1,2,48
