onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
0.934603174603,0.380566893424,4,1,0,4,'4/4',NC,I1,0,40
1.31517006803,0.36029478458,4,1,1,1,'4/4',F7,A1,1,40
1.67546485261,0.417528344671,4,1,1,2,'4/4',F7,A1,1,40
2.09299319728,0.346009070295,4,1,1,3,'4/4',F7,A1,1,40
2.43900226757,0.383378684807,4,1,1,4,'4/4',F7,A1,1,39
2.82238095238,0.354875283447,4,1,2,1,'4/4',Bb7,A1,1,39
3.17725623583,0.382199546485,4,1,2,2,'4/4',Bb7,A1,1,39
3.55945578231,0.36977324263,4,1,2,3,'4/4',Bb7,A1,1,39
3.92922902494,0.352403628118,4,1,2,4,'4/4',Bb7,A1,1,39
4.28163265306,0.388503401361,4,1,3,1,'4/4',F7,A1,1,39
4.67013605442,0.380997732426,4,1,3,2,'4/4',F7,A1,1,39
5.05113378685,0.363560090703,4,1,3,3,'4/4',F7,A1,1,40
5.41469387755,0.382902494331,4,1,3,4,'4/4',F7,A1,1,40
5.79759637188,0.352925170068,4,1,4,1,'4/4',F7,A1,1,40
6.15052154195,0.366757369615,4,1,4,2,'4/4',F7,A1,1,39
6.51727891156,0.378072562358,4,1,4,3,'4/4',F7,A1,1,39
6.89535147392,0.369229024943,4,1,4,4,'4/4',F7,A1,1,48
7.26458049887,0.37201814059,4,1,5,1,'4/4',Bb7,A1,1,38
7.63659863946,0.388684807256,4,1,5,2,'4/4',Bb7,A1,1,45
8.02528344671,0.393605442177,4,1,5,3,'4/4',Bb7,A1,1,43
8.41888888889,0.342970521542,4,1,5,4,'4/4',Bb7,A1,1,41
8.76185941043,0.369614512472,4,1,6,1,'4/4',Bb7,A1,1,38
9.1314739229,0.381496598639,4,1,6,2,'4/4',Bb7,A1,1,40
9.51297052154,0.395759637188,4,1,6,3,'4/4',Bb7,A1,1,41
9.90873015873,0.343287981859,4,1,6,4,'4/4',Bb7,A1,1,39
10.2520181406,0.37977324263,4,1,7,1,'4/4',F7,A1,1,45
10.6317913832,0.386371882086,4,1,7,2,'4/4',F7,A1,1,48
11.0181632653,0.406825396825,4,1,7,3,'4/4',F7,A1,1,48
11.4249886621,0.367573696145,4,1,7,4,'4/4',F7,A1,1,38
11.7925623583,0.367800453515,4,1,8,1,'4/4',A-7,A1,1,40
12.1603628118,0.37410430839,4,1,8,2,'4/4',A-7,A1,1,40
12.5344671202,0.364353741497,4,1,8,3,'4/4',D7,A1,1,44
12.8988208617,0.374965986395,4,1,8,4,'4/4',D7,A1,1,44
13.2737868481,0.375192743764,4,1,9,1,'4/4',G-,A1,1,43
13.6489795918,0.354988662132,4,1,9,2,'4/4',G-,A1,1,39
14.003968254,0.362743764172,4,1,9,3,'4/4',G-,A1,1,48
14.3667120181,0.412789115646,4,1,9,4,'4/4',G-,A1,1,43
14.7795011338,0.35410430839,4,1,10,1,'4/4',C7,A1,1,40
15.1336054422,0.362811791383,4,1,10,2,'4/4',C7,A1,1,45
15.4964172336,0.379365079365,4,1,10,3,'4/4',C7,A1,1,43
15.8757823129,0.367029478458,4,1,10,4,'4/4',C7,A1,1,42
16.2428117914,0.372267573696,4,1,11,1,'4/4',F7,A1,1,40
16.6150793651,0.409410430839,4,1,11,2,'4/4',F7,A1,1,48
17.0244897959,0.391700680272,4,1,11,3,'4/4',F7,A1,1,37
17.4161904762,0.375555555556,4,1,11,4,'4/4',F7,A1,1,38
17.7917460317,0.398548752834,4,1,12,1,'4/4',C7,A1,1,40
