onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
4.24081632653,0.367346938776,4,1,0,3,'4/4',NC,I1,0,40
4.60816326531,0.338775510204,4,1,0,4,'4/4',NC,I1,0,43
4.94693877551,0.356349206349,4,1,1,1,'4/4',Fj7,A1,1,41
5.30328798186,0.352448979592,4,1,1,2,'4/4',Fj7,A1,1,45
5.65573696145,0.358095238095,4,1,1,3,'4/4',Fj7,A1,1,43
6.01383219955,0.35156462585,4,1,1,4,'4/4',Fj7,A1,1,41
6.3653968254,0.357800453515,4,1,2,1,'4/4',Em7b5,A1,1,40
6.72319727891,0.347233560091,4,1,2,2,'4/4',Em7b5,A1,1,42
7.070430839,0.36798185941,4,1,2,3,'4/4',A79b,A1,1,45
7.43841269841,0.362222222222,4,1,2,4,'4/4',A79b,A1,1,43
7.80063492063,0.373265306122,4,1,3,1,'4/4',D-7,A1,1,41
8.17390022676,0.351541950113,4,1,3,2,'4/4',D-7,A1,1,40
8.52544217687,0.348140589569,4,1,3,3,'4/4',G7,A1,1,38
8.87358276644,0.351700680272,4,1,3,4,'4/4',G7,A1,1,37
9.22528344671,0.367755102041,4,1,4,1,'4/4',C-7,A1,1,43
9.59303854875,0.348027210884,4,1,4,2,'4/4',C-7,A1,1,43
9.94106575964,0.351609977324,4,1,4,3,'4/4',F7,A1,1,42
10.292675737,0.3579138322,4,1,4,4,'4/4',F7,A1,1,42
10.6505895692,0.342721088435,4,1,5,1,'4/4',Bb7,A1,1,43
10.9933106576,0.376825396825,4,1,5,2,'4/4',Bb7,A1,1,48
11.3701360544,0.367596371882,4,1,5,3,'4/4',Bb7,A1,1,42
11.7377324263,0.367959183673,4,1,5,4,'4/4',Bb7,A1,1,42
12.10569161,0.356825396825,4,1,6,1,'4/4',Bb-7,A1,1,42
12.4625170068,0.358185941043,4,1,6,2,'4/4',Bb-7,A1,1,42
12.8207029478,0.362154195011,4,1,6,3,'4/4',Eb7,A1,1,42
13.1828571429,0.357188208617,4,1,6,4,'4/4',Eb7,A1,1,43
13.5400453515,0.367573696145,4,1,7,1,'4/4',A-7,A1,1,40
13.9076190476,0.358117913832,4,1,7,2,'4/4',A-7,A1,1,43
14.2657369615,0.351632653061,4,1,7,3,'4/4',D7,A1,1,45
14.6173696145,0.338231292517,4,1,7,4,'4/4',D7,A1,1,40
14.955600907,0.35253968254,4,1,8,1,'4/4',Ab-7,A1,1,39
15.3081405896,0.347278911565,4,1,8,2,'4/4',Ab-7,A1,1,43
15.6554195011,0.352517006803,4,1,8,3,'4/4',Db7,A1,1,44
16.0079365079,0.36768707483,4,1,8,4,'4/4',Db7,A1,1,37
16.3756235828,0.367029478458,4,1,9,1,'4/4',G-7,A1,1,38
16.7426530612,0.357823129252,4,1,9,2,'4/4',G-7,A1,1,45
17.1004761905,0.34283446712,4,1,9,3,'4/4',G-7,A1,1,43
17.4433106576,0.34716553288,4,1,9,4,'4/4',G-7,A1,1,41
17.7904761905,0.352471655329,4,1,10,1,'4/4',C7,A1,1,40
18.1429478458,0.358140589569,4,1,10,2,'4/4',C7,A1,1,38
18.5010884354,0.331746031746,4,1,10,3,'4/4',C7,A1,1,37
18.8328344671,0.342766439909,4,1,10,4,'4/4',C7,A1,1,42
19.175600907,0.348140589569,4,1,11,1,'4/4',Fj7,A1,1,45
19.5237414966,0.341473922902,4,1,11,2,'4/4',Fj7,A1,1,42
19.8652154195,0.338616780045,4,1,11,3,'4/4',D-7,A1,1,42
20.2038321995,0.352448979592,4,1,11,4,'4/4',D-7,A1,1,36
20.5562811791,0.366757369615,4,1,12,1,'4/4',G-7,A1,1,43
20.9230385488,0.3679138322,4,1,12,2,'4/4',G-7,A1,1,41
21.290952381,0.352426303855,4,1,12,3,'4/4',C7,A1,1,45
21.6433786848,0.337528344671,4,1,12,4,'4/4',C7,A1,1,41
21.9809070295,0.352471655329,4,1,13,1,'4/4',Fj7,A1,2,48
22.3333786848,0.360498866213,4,1,13,2,'4/4',Fj7,A1,2,42
22.693877551,0.359183673469,4,1,13,3,'4/4',Fj7,A1,2,40
23.0530612245,0.353129251701,4,1,13,4,'4/4',Fj7,A1,2,41
23.4061904762,0.352562358277,4,1,14,1,'4/4',Em7b5,A1,2,40
23.7587528345,0.34746031746,4,1,14,2,'4/4',Em7b5,A1,2,43
24.1062131519,0.362154195011,4,1,14,3,'4/4',A79b,A1,2,45
24.4683673469,0.35612244898,4,1,14,4,'4/4',A79b,A1,2,42
24.8244897959,0.342857142857,4,1,15,1,'4/4',D-7,A1,2,42
25.1673469388,0.363265306122,4,1,15,2,'4/4',D-7,A1,2,40
25.5306122449,0.334693877551,4,1,15,3,'4/4',G7,A1,2,43
25.8653061224,0.34693877551,4,1,15,4,'4/4',G7,A1,2,37
26.212244898,0.363265306122,4,1,16,1,'4/4',C-7,A1,2,42
26.5755102041,0.351020408163,4,1,16,2,'4/4',C-7,A1,2,43
26.9265306122,0.347324263039,4,1,16,3,'4/4',F7,A1,2,43
27.2738548753,0.357936507937,4,1,16,4,'4/4',F7,A1,2,43
27.6317913832,0.351700680272,4,1,17,1,'4/4',Bb7,A1,2,44
27.9834920635,0.357959183673,4,1,17,2,'4/4',Bb7,A1,2,44
28.3414512472,0.362335600907,4,1,17,3,'4/4',Bb7,A1,2,43
28.7037868481,0.348004535147,4,1,17,4,'4/4',Bb7,A1,2,53
29.0517913832,0.366848072562,4,1,18,1,'4/4',Bb-7,A1,2,43
29.4186394558,0.352471655329,4,1,18,2,'4/4',Bb-7,A1,2,43
29.7711111111,0.338390022676,4,1,18,3,'4/4',Eb7,A1,2,43
30.1095011338,0.351541950113,4,1,18,4,'4/4',Eb7,A1,2,39
30.4610430839,0.338367346939,4,1,19,1,'4/4',A-7,A1,2,40
30.7994104308,0.367800453515,4,1,19,2,'4/4',A-7,A1,2,45
31.1672108844,0.376621315193,4,1,19,3,'4/4',D7,A1,2,40
31.5438321995,0.37768707483,4,1,19,4,'4/4',D7,A1,2,45
31.9215192744,0.352471655329,4,1,20,1,'4/4',Ab-7,A1,2,44
32.2739909297,0.347278911565,4,1,20,2,'4/4',Ab-7,A1,2,45
32.6212698413,0.358072562358,4,1,20,3,'4/4',Db7,A1,2,43
32.9793424036,0.352517006803,4,1,20,4,'4/4',Db7,A1,2,43
33.3318594104,0.337346938776,4,1,21,1,'4/4',G-7,A1,2,43
33.6692063492,0.352517006803,4,1,21,2,'4/4',G-7,A1,2,45
34.021723356,0.341655328798,4,1,21,3,'4/4',G-7,A1,2,43
34.3633786848,0.367777777778,4,1,21,4,'4/4',G-7,A1,2,42
34.7311564626,0.367823129252,4,1,22,1,'4/4',C7,A1,2,48
35.0989795918,0.347301587302,4,1,22,2,'4/4',C7,A1,2,41
35.4462811791,0.367868480726,4,1,22,3,'4/4',C7,A1,2,40
35.8141496599,0.342675736961,4,1,22,4,'4/4',C7,A1,2,43
36.1568253968,0.356984126984,4,1,23,1,'4/4',Fj7,A1,2,43
36.5138095238,0.342698412698,4,1,23,2,'4/4',Fj7,A1,2,43
36.8565079365,0.348344671202,4,1,23,3,'4/4',D-7,A1,2,45
37.2048526077,0.351473922902,4,1,23,4,'4/4',D-7,A1,2,45
37.5563265306,0.357868480726,4,1,24,1,'4/4',G-7,A1,2,45
37.9141950113,0.35253968254,4,1,24,2,'4/4',G-7,A1,2,40
38.2667346939,0.357755102041,4,1,24,3,'4/4',C7,A1,2,36
38.6244897959,0.367097505669,4,1,24,4,'4/4',C7,A1,2,42
38.9915873016,0.377505668934,4,1,25,1,'4/4',Fj7,A1,3,45
39.3690929705,0.366916099773,4,1,25,2,'4/4',Fj7,A1,3,38
39.7360090703,0.367619047619,4,1,25,3,'4/4',Fj7,A1,3,43
40.1036281179,0.358163265306,4,1,25,4,'4/4',Fj7,A1,3,41
40.4617913832,0.361428571429,4,1,26,1,'4/4',Em7b5,A1,3,40
40.8232199546,0.367709750567,4,1,26,2,'4/4',Em7b5,A1,3,40
41.1909297052,0.373151927438,4,1,26,3,'4/4',A79b,A1,3,45
41.5640816327,0.351609977324,4,1,26,4,'4/4',A79b,A1,3,45
41.91569161,0.367664399093,4,1,27,1,'4/4',D-7,A1,3,38
42.2833560091,0.358163265306,4,1,27,2,'4/4',D-7,A1,3,45
42.6415192744,0.374807256236,4,1,27,3,'4/4',G7,A1,3,44
43.0163265306,0.34693877551,4,1,27,4,'4/4',G7,A1,3,37
43.3632653061,0.345759637188,4,1,28,1,'4/4',C-7,A1,3,43
43.7090249433,0.361337868481,4,1,28,2,'4/4',C-7,A1,3,43
44.0703628118,0.367664399093,4,1,28,3,'4/4',F7,A1,3,42
44.4380272109,0.338321995465,4,1,28,4,'4/4',F7,A1,3,42
44.7763492063,0.3320861678,4,1,29,1,'4/4',Bb7,A1,3,42
45.1084353741,0.360952380952,4,1,29,2,'4/4',Bb7,A1,3,41
45.4693877551,0.369138321995,4,1,29,3,'4/4',Bb7,A1,3,43
45.8385260771,0.347188208617,4,1,29,4,'4/4',Bb7,A1,3,43
46.1857142857,0.367959183673,4,1,30,1,'4/4',Bb-7,A1,3,43
46.5536734694,0.357777777778,4,1,30,2,'4/4',Bb-7,A1,3,43
46.9114512472,0.341950113379,4,1,30,3,'4/4',Eb7,A1,3,43
47.2534013605,0.36768707483,4,1,30,4,'4/4',Eb7,A1,3,39
47.6210884354,0.367755102041,4,1,31,1,'4/4',A-7,A1,3,45
47.9888435374,0.351587301587,4,1,31,2,'4/4',A-7,A1,3,45
48.340430839,0.338412698413,4,1,31,3,'4/4',D7,A1,3,40
48.6788435374,0.341678004535,4,1,31,4,'4/4',D7,A1,3,45
49.020521542,0.358140589569,4,1,32,1,'4/4',Ab-7,A1,3,44
49.3786621315,0.342698412698,4,1,32,2,'4/4',Ab-7,A1,3,43
49.7213605442,0.341814058957,4,1,32,3,'4/4',Db7,A1,3,43
50.0631746032,0.34820861678,4,1,32,4,'4/4',Db7,A1,3,37
50.41138322,0.367868480726,4,1,33,1,'4/4',G-7,A1,3,43
50.7792517007,0.35693877551,4,1,33,2,'4/4',G-7,A1,3,43
51.1361904762,0.345442176871,4,1,33,3,'4/4',G-7,A1,3,44
51.4816326531,0.365102040816,4,1,33,4,'4/4',G-7,A1,3,43
51.8467346939,0.351519274376,4,1,34,1,'4/4',C7,A1,3,42
52.1982539683,0.367619047619,4,1,34,2,'4/4',C7,A1,3,40
52.5658730159,0.338480725624,4,1,34,3,'4/4',C7,A1,3,43
52.9043537415,0.351587301587,4,1,34,4,'4/4',C7,A1,3,45
