onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.6612244898,0.862403628118,4,1,0,2,'4/4',NC,I1,0,43
3.52362811791,0.864943310658,4,1,0,3,'4/4',NC,I1,0,44
4.38857142857,0.917006802721,4,1,0,4,'4/4',NC,I1,0,37
5.30557823129,0.914920634921,4,1,1,1,'4/4',C6,A1,1,37
6.22049886621,0.961179138322,4,1,1,2,'4/4',C6,A1,1,38
7.18167800454,0.955600907029,4,1,1,3,'4/4',F-7,A1,1,40
8.13727891156,0.90746031746,4,1,1,4,'4/4',Bb7,A1,1,46
9.04473922902,0.893401360544,4,1,2,1,'4/4',E-7,A1,1,45
9.93814058957,0.882358276644,4,1,2,2,'4/4',E-7,A1,1,40
10.8204988662,0.940839002268,4,1,2,3,'4/4',A7,A1,1,45
11.7613378685,0.953151927438,4,1,2,4,'4/4',A7,A1,1,39
12.7144897959,0.947346938776,4,1,3,1,'4/4',D-7,A1,1,38
13.6618367347,0.934081632653,4,1,3,2,'4/4',D-7,A1,1,37
14.5959183673,0.919410430839,4,1,3,3,'4/4',G7,A1,1,47
15.5153287982,0.969863945578,4,1,3,4,'4/4',G7,A1,1,43
16.4851927438,0.933832199546,4,1,4,1,'4/4',Cj7,A1,1,47
17.4190249433,0.952267573696,4,1,4,2,'4/4',Cj7,A1,1,40
18.371292517,0.975646258503,4,1,4,3,'4/4',A-7,A1,1,44
19.3469387755,0.930612244898,4,1,4,4,'4/4',A-7,A1,1,46
20.2775510204,0.911950113379,4,1,5,1,'4/4',D-7,A1,1,38
21.1895011338,0.900408163265,4,1,5,2,'4/4',D-7,A1,1,38
22.0899092971,0.969206349206,4,1,5,3,'4/4',G7,A1,1,43
23.0591156463,0.902698412698,4,1,5,4,'4/4',G7,A1,1,43
23.961814059,0.898707482993,4,1,6,1,'4/4',Em7b5,A1,1,40
24.860521542,0.9379138322,4,1,6,2,'4/4',Em7b5,A1,1,46
25.7984353741,0.928095238095,4,1,6,3,'4/4',A7,A1,1,45
26.7265306122,0.951655328798,4,1,6,4,'4/4',A7,A1,1,39
27.678185941,0.971179138322,4,1,7,1,'4/4',D-7,A1,1,38
28.6493650794,0.950634920635,4,1,7,2,'4/4',D-7,A1,1,44
29.6,0.943378684807,4,1,7,3,'4/4',G7,A1,1,43
30.5433786848,0.964126984127,4,1,7,4,'4/4',G7,A1,1,41
31.5075056689,0.933310657596,4,1,8,1,'4/4',C6,A1,1,40
32.4408163265,0.987641723356,4,1,8,2,'4/4',A7,A1,1,39
33.4284580499,0.995714285714,4,1,8,3,'4/4',D-7,A1,1,44
34.4241723356,0.943900226757,4,1,8,4,'4/4',G7,A1,1,37
35.3680725624,0.952403628118,4,1,9,1,'4/4',C6,A2,1,36
36.3204761905,0.985646258503,4,1,9,2,'4/4',C6,A2,1,38
37.306122449,0.98358276644,4,1,9,3,'4/4',F-7,A2,1,40
38.2897052154,0.967437641723,4,1,9,4,'4/4',Bb7,A2,1,46
39.2571428571,1.01700680272,4,1,10,1,'4/4',E-7,A2,1,45
40.2741496599,0.952879818594,4,1,10,2,'4/4',E-7,A2,1,40
41.2270294785,0.9189569161,4,1,10,3,'4/4',A7,A2,1,45
42.1459863946,0.933446712018,4,1,10,4,'4/4',A7,A2,1,39
43.0794331066,0.953219954649,4,1,11,1,'4/4',D-7,A2,1,38
44.0326530612,0.929092970522,4,1,11,2,'4/4',D-7,A2,1,38
44.9617460317,0.931904761905,4,1,11,3,'4/4',G7,A2,1,43
45.8936507937,0.897301587302,4,1,11,4,'4/4',G7,A2,1,43
46.790952381,0.926054421769,4,1,12,1,'4/4',Cj7,A2,1,40
47.7170068027,0.95201814059,4,1,12,2,'4/4',Cj7,A2,1,43
48.6690249433,0.951473922902,4,1,12,3,'4/4',A-7,A2,1,44
49.6204988662,0.964172335601,4,1,12,4,'4/4',A-7,A2,1,46
50.5846712018,0.951156462585,4,1,13,1,'4/4',D-7,A2,1,38
51.5358276644,0.913038548753,4,1,13,2,'4/4',D-7,A2,1,38
52.4488662132,0.901859410431,4,1,13,3,'4/4',G7,A2,1,43
53.3507256236,0.894195011338,4,1,13,4,'4/4',G7,A2,1,43
54.2449206349,0.925419501134,4,1,14,1,'4/4',Em7b5,A2,1,40
55.1703401361,0.906575963719,4,1,14,2,'4/4',Em7b5,A2,1,46
56.0769160998,0.898117913832,4,1,14,3,'4/4',A7,A2,1,45
56.9750340136,0.900702947846,4,1,14,4,'4/4',A7,A2,1,40
57.8757369615,0.905578231293,4,1,15,1,'4/4',D-7,A2,1,38
58.7813151927,0.892154195011,4,1,15,2,'4/4',D-7,A2,1,44
59.6734693878,0.942267573696,4,1,15,3,'4/4',G7,A2,1,43
60.6157369615,0.910725623583,4,1,15,4,'4/4',G7,A2,1,37
61.526462585,0.922517006803,4,1,16,1,'4/4',C6,A2,1,37
62.4489795918,0.930612244898,4,1,16,2,'4/4',C6,A2,1,43
63.3795918367,0.920884353741,4,1,16,3,'4/4',G-7,A2,1,43
64.3004761905,0.924376417234,4,1,16,4,'4/4',C7,A2,1,42
65.2248526077,0.942721088435,4,1,17,1,'4/4',Fj7,B1,1,41
66.1675736961,0.973786848073,4,1,17,2,'4/4',Fj7,B1,1,48
67.1413605442,0.956598639456,4,1,17,3,'4/4',Fj7,B1,1,45
68.0979591837,0.900793650794,4,1,17,4,'4/4',Fj7,B1,1,41
68.9987528345,0.948458049887,4,1,18,1,'4/4',E7,B1,1,47
69.9472108844,0.956530612245,4,1,18,2,'4/4',E7,B1,1,47
70.9037414966,0.938798185941,4,1,18,3,'4/4',E7,B1,1,40
71.8425396825,0.941133786848,4,1,18,4,'4/4',E7,B1,1,40
72.7836734694,0.973287981859,4,1,19,1,'4/4',A-7,B1,1,43
73.7569614512,0.918412698413,4,1,19,2,'4/4',A-7,B1,1,40
74.6753741497,0.931360544218,4,1,19,3,'4/4',A-7,B1,1,46
75.6067346939,0.94380952381,4,1,19,4,'4/4',A-7,B1,1,40
76.5505442177,0.933514739229,4,1,20,1,'4/4',A-7,B1,1,45
77.4840589569,0.915691609977,4,1,20,2,'4/4',A-7,B1,1,40
78.3997505669,0.97387755102,4,1,20,3,'4/4',A-7,B1,1,45
79.3736281179,0.909365079365,4,1,20,4,'4/4',A-7,B1,1,36
80.2829931973,0.925238095238,4,1,21,1,'4/4',D7,B1,1,38
81.2082312925,0.952154195011,4,1,21,2,'4/4',D7,B1,1,40
82.1603854875,0.977278911565,4,1,21,3,'4/4',D7,B1,1,42
83.1376643991,0.974716553288,4,1,21,4,'4/4',D7,B1,1,43
84.1123809524,0.965170068027,4,1,22,1,'4/4',D7,B1,1,45
85.0775510204,0.941179138322,4,1,22,2,'4/4',D7,B1,1,43
86.0187301587,0.946666666667,4,1,22,3,'4/4',D7,B1,1,37
86.9653968254,0.920725623583,4,1,22,4,'4/4',D7,B1,1,37
87.886122449,0.897256235828,4,1,23,1,'4/4',D-7,B1,1,38
88.7833786848,0.915306122449,4,1,23,2,'4/4',D-7,B1,1,50
89.6986848073,0.912426303855,4,1,23,3,'4/4',Ab7,B1,1,39
90.6111111111,0.951133786848,4,1,23,4,'4/4',Ab7,B1,1,46
91.562244898,0.915238095238,4,1,24,1,'4/4',G7,B1,1,44
92.4774829932,0.893560090703,4,1,24,2,'4/4',G7,B1,1,44
93.3710430839,0.960022675737,4,1,24,3,'4/4',G7,B1,1,37
