onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.49614512472,0.969160997732,4,1,1,1,'4/4',F-7,A1,1,41
3.46530612245,0.902040816327,4,1,1,2,'4/4',F-7,A1,1,41
4.36734693878,0.960158730159,4,1,1,3,'4/4',Bb7,A1,1,34
5.32750566893,0.872222222222,4,1,1,4,'4/4',Bb7,A1,1,46
6.19972789116,0.895532879819,4,1,2,1,'4/4',Ebj7,A1,1,39
7.09526077098,0.903083900227,4,1,2,2,'4/4',Ebj7,A1,1,46
7.9983446712,0.911859410431,4,1,2,3,'4/4',C-7,A1,1,43
8.91020408163,0.890657596372,4,1,2,4,'4/4',C-7,A1,1,39
9.800861678,0.932562358277,4,1,3,1,'4/4',Dm7b5,A1,1,38
10.7334240363,0.889070294785,4,1,3,2,'4/4',Dm7b5,A1,1,44
11.6224943311,0.920362811791,4,1,3,3,'4/4',G79b,A1,1,43
12.5428571429,0.897959183673,4,1,3,4,'4/4',G79b,A1,1,43
13.4408163265,0.945532879819,4,1,4,1,'4/4',C-7,A1,1,48
14.3863492063,0.903333333333,4,1,4,2,'4/4',C-7,A1,1,43
15.2896825397,0.906235827664,4,1,4,3,'4/4',C-7,A1,1,39
16.1959183673,0.89977324263,4,1,4,4,'4/4',C-7,A1,1,36
17.09569161,0.904308390023,4,1,5,1,'4/4',Dm7b5,A1,1,38
18.0,0.904240362812,4,1,5,2,'4/4',Dm7b5,A1,1,44
18.9042403628,0.931405895692,4,1,5,3,'4/4',G79b,A1,1,43
19.8356462585,0.963718820862,4,1,5,4,'4/4',G79b,A1,1,43
20.7993650794,0.910839002268,4,1,6,1,'4/4',C-7,A1,1,48
21.7102040816,0.907029478458,4,1,6,2,'4/4',C-7,A1,1,48
22.6172335601,0.888367346939,4,1,6,3,'4/4',C-7,A1,1,46
23.505600907,0.923129251701,4,1,6,4,'4/4',C-7,A1,1,46
24.4287301587,0.952721088435,4,1,7,1,'4/4',D7,A1,1,45
25.3814512472,0.958253968254,4,1,7,2,'4/4',D7,A1,1,45
26.3397052154,0.932131519274,4,1,7,3,'4/4',Ab7911#,A1,1,44
27.2718367347,0.917188208617,4,1,7,4,'4/4',Ab7911#,A1,1,44
28.1890249433,0.853333333333,4,1,8,1,'4/4',Gj7,A1,1,38
29.0423582766,0.885759637188,4,1,8,2,'4/4',Gj7,A1,1,41
29.9281179138,0.952766439909,4,1,8,3,'4/4',Gj7,A1,1,43
30.8808843537,0.923197278912,4,1,8,4,'4/4',Gj7,A1,1,43
31.8040816327,0.951020408163,4,1,9,1,'4/4',Am7b5,B1,1,45
32.7551020408,0.920952380952,4,1,9,2,'4/4',Am7b5,B1,1,39
33.6760544218,0.907709750567,4,1,9,3,'4/4',D79#,B1,1,38
34.5837641723,0.904467120181,4,1,9,4,'4/4',D79#,B1,1,42
35.4882312925,0.888616780045,4,1,10,1,'4/4',G7,B1,1,43
36.3768480726,0.923038548753,4,1,10,2,'4/4',G7,B1,1,45
37.2998866213,0.942471655329,4,1,10,3,'4/4',G7,B1,1,47
38.2423582766,0.888321995465,4,1,10,4,'4/4',G7,B1,1,38
39.1306802721,0.943333333333,4,1,11,1,'4/4',G-7,B1,1,37
40.0740136054,0.915011337868,4,1,11,2,'4/4',G-7,B1,1,37
40.9890249433,0.940408163265,4,1,11,3,'4/4',C7,B1,1,36
41.9294331066,0.89977324263,4,1,11,4,'4/4',C7,B1,1,36
42.8292063492,0.883537414966,4,1,12,1,'4/4',F-7,B1,1,41
43.7127437642,0.918390022676,4,1,12,2,'4/4',F-7,B1,1,39
44.6311337868,0.928911564626,4,1,12,3,'4/4',C7,B1,1,36
45.5600453515,0.942380952381,4,1,12,4,'4/4',C7,B1,1,39
46.5024263039,0.935941043084,4,1,13,1,'4/4',F-7,B1,1,41
47.4383673469,0.87074829932,4,1,13,2,'4/4',F-7,B1,1,43
48.3091156463,0.967482993197,4,1,13,3,'4/4',Bb79,B1,1,44
49.2765986395,0.948163265306,4,1,13,4,'4/4',Bb79,B1,1,37
50.2247619048,0.878934240363,4,1,14,1,'4/4',Db7911#,B1,1,39
51.1036961451,0.923151927438,4,1,14,2,'4/4',Db7911#,B1,1,43
52.0268480726,0.953265306122,4,1,14,3,'4/4',C7,B1,1,36
52.9801133787,0.904058956916,4,1,14,4,'4/4',C7,B1,1,36
53.8841723356,0.977256235828,4,1,15,1,'4/4',F-7,B1,1,41
54.8614285714,0.898594104308,4,1,15,2,'4/4',F-7,B1,1,41
55.7600226757,0.932471655329,4,1,15,3,'4/4',Bb7913,B1,1,34
56.6924943311,0.933922902494,4,1,15,4,'4/4',Bb7913,B1,1,34
57.6264172336,0.903469387755,4,1,16,1,'4/4',Eb6,B1,1,39
58.5298866213,0.868979591837,4,1,16,2,'4/4',Eb6,B1,1,46
59.3988662132,0.992970521542,4,1,16,3,'4/4',Eb6,B1,1,43
60.3918367347,0.972199546485,4,1,16,4,'4/4',Eb6,B1,1,36
61.3640362812,0.970657596372,4,1,17,1,'4/4',Eb6,I1,1,41
62.3346938776,0.970657596372,4,1,17,2,'4/4',Eb6,I1,1,43
