onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.40408163265,0.384036281179,4,1,1,1,'4/4',Cj7,A1,1,36
2.78811791383,0.397052154195,4,1,1,2,'4/4',Cj7,A1,1,38
3.18517006803,0.392517006803,4,1,1,3,'4/4',Cj7,A1,1,40
3.57768707483,0.377142857143,4,1,1,4,'4/4',Cj7,A1,1,43
3.95482993197,0.367936507937,4,1,2,1,'4/4',F#m7b5,A1,1,45
4.32276643991,0.367029478458,4,1,2,2,'4/4',F#m7b5,A1,1,43
4.68979591837,0.359183673469,4,1,2,3,'4/4',F#m7b5,A1,1,39
5.04897959184,0.391836734694,4,1,2,4,'4/4',F#m7b5,A1,1,45
5.44081632653,0.381201814059,4,1,3,1,'4/4',Cj7,A1,1,40
5.82201814059,0.401655328798,4,1,3,2,'4/4',Cj7,A1,1,43
6.22367346939,0.378231292517,4,1,3,3,'4/4',Cj7,A1,1,45
6.6019047619,0.376530612245,4,1,3,4,'4/4',Cj7,A1,1,43
6.97843537415,0.39970521542,4,1,4,1,'4/4',F#-7,A1,1,39
7.37814058957,0.374603174603,4,1,4,2,'4/4',F#-7,A1,1,39
7.75274376417,0.357596371882,4,1,4,3,'4/4',B7,A1,1,45
8.11034013605,0.387324263039,4,1,4,4,'4/4',B7,A1,1,39
8.49766439909,0.392494331066,4,1,5,1,'4/4',Em7b5,A1,1,38
8.89015873016,0.366757369615,4,1,5,2,'4/4',Em7b5,A1,1,40
9.25691609977,0.377482993197,4,1,5,3,'4/4',Em7b5,A1,1,41
9.63439909297,0.373401360544,4,1,5,4,'4/4',Em7b5,A1,1,43
10.0078004535,0.397641723356,4,1,6,1,'4/4',A7,A1,1,40
10.4054421769,0.403446712018,4,1,6,2,'4/4',A7,A1,1,40
10.8088888889,0.394829931973,4,1,6,3,'4/4',A7,A1,1,45
11.2037188209,0.362244897959,4,1,6,4,'4/4',A7,A1,1,40
11.5659637188,0.372199546485,4,1,7,1,'4/4',Em7b5,A1,1,41
11.9381632653,0.377301587302,4,1,7,2,'4/4',Em7b5,A1,1,46
12.3154648526,0.367709750567,4,1,7,3,'4/4',Em7b5,A1,1,38
12.6831746032,0.367596371882,4,1,7,4,'4/4',Em7b5,A1,1,41
13.0507709751,0.377301587302,4,1,8,1,'4/4',A7,A1,1,40
13.4280725624,0.387233560091,4,1,8,2,'4/4',A7,A1,1,43
13.8153061224,0.377074829932,4,1,8,3,'4/4',A7,A1,1,45
14.1923809524,0.386802721088,4,1,8,4,'4/4',A7,A1,1,40
14.5791836735,0.367800453515,4,1,9,1,'4/4',D-7,B1,1,38
14.946984127,0.382925170068,4,1,9,2,'4/4',D-7,B1,1,40
15.3299092971,0.387324263039,4,1,9,3,'4/4',D-7,B1,1,41
15.7172335601,0.376848072562,4,1,9,4,'4/4',D-7,B1,1,38
16.0940816327,0.366780045351,4,1,10,1,'4/4',G7,B1,1,43
16.460861678,0.379410430839,4,1,10,2,'4/4',G7,B1,1,45
16.8402721088,0.384217687075,4,1,10,3,'4/4',G7,B1,1,47
17.2244897959,0.387755102041,4,1,10,4,'4/4',G7,B1,1,43
17.612244898,0.391836734694,4,1,11,1,'4/4',Cj7,B1,1,48
18.0040816327,0.378843537415,4,1,11,2,'4/4',Cj7,B1,1,43
18.3829251701,0.366530612245,4,1,11,3,'4/4',Cj7,B1,1,40
18.7494557823,0.39283446712,4,1,11,4,'4/4',Cj7,B1,1,36
19.1422902494,0.396893424036,4,1,12,1,'4/4',F#m7b5,B1,1,45
19.5391836735,0.37693877551,4,1,12,2,'4/4',F#m7b5,B1,1,35
19.916122449,0.377823129252,4,1,12,3,'4/4',B7,B1,1,36
20.2939455782,0.3679138322,4,1,12,4,'4/4',B7,B1,1,35
20.6618594104,0.366575963719,4,1,13,1,'4/4',E-7,B1,1,40
21.0284353741,0.377551020408,4,1,13,2,'4/4',E-7,B1,1,43
21.4059863946,0.367346938776,4,1,13,3,'4/4',E-7,B1,1,47
21.7733333333,0.402290249433,4,1,13,4,'4/4',E-7,B1,1,43
22.1756235828,0.358049886621,4,1,14,1,'4/4',A7,B1,1,36
22.5336734694,0.377482993197,4,1,14,2,'4/4',A7,B1,1,40
22.9111564626,0.386848072562,4,1,14,3,'4/4',A7,B1,1,42
23.2980045351,0.386439909297,4,1,14,4,'4/4',A7,B1,1,45
23.6844444444,0.37306122449,4,1,15,1,'4/4',D7,B1,1,35
24.0575056689,0.377482993197,4,1,15,2,'4/4',D7,B1,1,42
24.4349886621,0.406870748299,4,1,15,3,'4/4',D7,B1,1,39
24.8418594104,0.367596371882,4,1,15,4,'4/4',D7,B1,1,45
25.2094557823,0.382789115646,4,1,16,1,'4/4',D-7,B1,1,50
25.592244898,0.386825396825,4,1,16,2,'4/4',D-7,B1,1,41
25.9790702948,0.387392290249,4,1,16,3,'4/4',G7,B1,1,43
