onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
3.1974829932,0.259070294785,4,1,0,2,'4/4',NC,I1,0,46
3.45655328798,0.262358276644,4,1,0,3,'4/4',NC,I1,0,33
3.71891156463,0.278594104308,4,1,0,4,'4/4',NC,I1,0,45
3.99750566893,0.267619047619,4,1,1,1,'4/4',Eb-7,A1,1,39
4.26512471655,0.268843537415,4,1,1,2,'4/4',Eb-7,A1,1,46
4.53396825397,0.258004535147,4,1,1,3,'4/4',Ab7,A1,1,44
4.79197278912,0.253333333333,4,1,1,4,'4/4',Ab7,A1,1,38
5.04530612245,0.258299319728,4,1,2,1,'4/4',Db-7,A1,1,37
5.30360544218,0.253174603175,4,1,2,2,'4/4',Db-7,A1,1,43
5.55678004535,0.263628117914,4,1,2,3,'4/4',Gb7,A1,1,42
5.82040816327,0.247777777778,4,1,2,4,'4/4',Gb7,A1,1,37
6.06818594104,0.248276643991,4,1,3,1,'4/4',Bj7,A1,1,42
6.31646258503,0.263378684807,4,1,3,2,'4/4',Bj7,A1,1,42
6.57984126984,0.257868480726,4,1,3,3,'4/4',Bj7,A1,1,47
6.83770975057,0.243696145125,4,1,3,4,'4/4',Bj7,A1,1,42
7.08140589569,0.242925170068,4,1,4,1,'4/4',F-7,A1,1,47
7.32433106576,0.26873015873,4,1,4,2,'4/4',F-7,A1,1,50
7.59306122449,0.242607709751,4,1,4,3,'4/4',Bb7,A1,1,34
7.83566893424,0.268798185941,4,1,4,4,'4/4',Bb7,A1,1,38
8.10446712018,0.252607709751,4,1,5,1,'4/4',Eb-7,A1,1,39
8.35707482993,0.258843537415,4,1,5,2,'4/4',Eb-7,A1,1,40
8.61591836735,0.258231292517,4,1,5,3,'4/4',Eb-7,A1,1,42
8.87414965986,0.253378684807,4,1,5,4,'4/4',Eb-7,A1,1,44
9.12752834467,0.242766439909,4,1,6,1,'4/4',B7,A1,1,45
9.37029478458,0.259070294785,4,1,6,2,'4/4',B7,A1,1,45
9.62936507937,0.262335600907,4,1,6,3,'4/4',Bb7,A1,1,46
9.89170068027,0.259002267574,4,1,6,4,'4/4',Bb7,A1,1,38
10.1507029478,0.242766439909,4,1,7,1,'4/4',Ebj7,A1,1,39
10.3934693878,0.248253968254,4,1,7,2,'4/4',Ebj7,A1,1,46
10.641723356,0.253106575964,4,1,7,3,'4/4',Ebj7,A1,1,43
10.894829932,0.268639455782,4,1,7,4,'4/4',Ebj7,A1,1,45
11.1634693878,0.242675736961,4,1,8,1,'4/4',Ebj7,A1,1,46
11.4061451247,0.233990929705,4,1,8,2,'4/4',Ebj7,A1,1,44
11.6401360544,0.258140589569,4,1,8,3,'4/4',Ebj7,A1,1,43
11.898276644,0.263219954649,4,1,8,4,'4/4',Ebj7,A1,1,43
12.1614965986,0.248321995465,4,1,9,1,'4/4',Eb-7,A2,1,39
12.4098185941,0.253492063492,4,1,9,2,'4/4',Eb-7,A2,1,46
12.6633106576,0.242721088435,4,1,9,3,'4/4',Ab7,A2,1,44
12.906031746,0.248163265306,4,1,9,4,'4/4',Ab7,A2,1,38
13.1541950113,0.253696145125,4,1,10,1,'4/4',Db-7,A2,1,37
13.4078911565,0.258004535147,4,1,10,2,'4/4',Db-7,A2,1,43
13.6658956916,0.23387755102,4,1,10,3,'4/4',Gb7,A2,1,42
13.8997732426,0.267845804989,4,1,10,4,'4/4',Gb7,A2,1,43
14.1676190476,0.260952380952,4,1,11,1,'4/4',Bj7,A2,1,42
14.4285714286,0.244897959184,4,1,11,2,'4/4',Bj7,A2,1,42
14.6734693878,0.236734693878,4,1,11,3,'4/4',Bj7,A2,1,47
14.9102040816,0.255464852608,4,1,11,4,'4/4',Bj7,A2,1,42
15.1656689342,0.233922902494,4,1,12,1,'4/4',F-7,A2,1,46
15.3995918367,0.242721088435,4,1,12,2,'4/4',F-7,A2,1,42
15.6423129252,0.249047619048,4,1,12,3,'4/4',Bb7,A2,1,46
15.8913605442,0.252630385488,4,1,12,4,'4/4',Bb7,A2,1,37
16.1439909297,0.242766439909,4,1,13,1,'4/4',Eb-7,A2,1,39
16.3867573696,0.249501133787,4,1,13,2,'4/4',Eb-7,A2,1,40
16.6362585034,0.25231292517,4,1,13,3,'4/4',Eb-7,A2,1,43
16.8885714286,0.249160997732,4,1,13,4,'4/4',Eb-7,A2,1,45
17.1377324263,0.252380952381,4,1,14,1,'4/4',B7,A2,1,46
17.3901133787,0.253560090703,4,1,14,2,'4/4',B7,A2,1,45
17.6436734694,0.248911564626,4,1,14,3,'4/4',Bb7,A2,1,40
17.892585034,0.267868480726,4,1,14,4,'4/4',Bb7,A2,1,40
18.1604535147,0.243242630385,4,1,15,1,'4/4',Ebj7,A2,1,39
18.4036961451,0.243537414966,4,1,15,2,'4/4',Ebj7,A2,1,42
18.6472335601,0.232947845805,4,1,15,3,'4/4',Ebj7,A2,1,43
18.8801814059,0.26873015873,4,1,15,4,'4/4',Ebj7,A2,1,43
19.1489115646,0.242789115646,4,1,16,1,'4/4',Ebj7,A2,1,46
19.3917006803,0.243673469388,4,1,16,2,'4/4',Ebj7,A2,1,45
19.6353741497,0.248321995465,4,1,16,3,'4/4',Ebj7,A2,1,45
19.8836961451,0.243786848073,4,1,16,4,'4/4',Ebj7,A2,1,45
20.1274829932,0.252358276644,4,1,17,1,'4/4',Bb-7,B1,1,42
20.3798412698,0.232947845805,4,1,17,2,'4/4',Bb-7,B1,1,42
20.6127891156,0.239569160998,4,1,17,3,'4/4',Bb-7,B1,1,43
20.8523582766,0.233673469388,4,1,17,4,'4/4',Bb-7,B1,1,43
21.086031746,0.232811791383,4,1,18,1,'4/4',Eb7,B1,1,46
21.3188435374,0.243492063492,4,1,18,2,'4/4',Eb7,B1,1,38
21.5623356009,0.242743764172,4,1,18,3,'4/4',Eb7,B1,1,39
21.8050793651,0.243628117914,4,1,18,4,'4/4',Eb7,B1,1,42
22.048707483,0.248367346939,4,1,19,1,'4/4',Abj7,B1,1,44
22.2970748299,0.24358276644,4,1,19,2,'4/4',Abj7,B1,1,44
22.5406575964,0.252607709751,4,1,19,3,'4/4',Abj7,B1,1,41
22.7932653061,0.251632653061,4,1,19,4,'4/4',Abj7,B1,1,41
23.0448979592,0.275124716553,4,1,20,1,'4/4',Abj7,B1,1,39
23.3200226757,0.252517006803,4,1,20,2,'4/4',Abj7,B1,1,43
23.5725396825,0.253628117914,4,1,20,3,'4/4',Abj7,B1,1,44
23.8261678005,0.248299319728,4,1,20,4,'4/4',Abj7,B1,1,44
24.0744671202,0.25335600907,4,1,21,1,'4/4',Ab-7,B1,1,44
24.3278231293,0.223265306122,4,1,21,2,'4/4',Ab-7,B1,1,46
24.5510884354,0.259070294785,4,1,21,3,'4/4',Ab-7,B1,1,44
24.8101587302,0.223106575964,4,1,21,4,'4/4',Ab-7,B1,1,38
25.0332653061,0.263242630385,4,1,22,1,'4/4',Db7,B1,1,37
25.2965079365,0.223197278912,4,1,22,2,'4/4',Db7,B1,1,44
25.5197052154,0.253514739229,4,1,22,3,'4/4',Db7,B1,1,37
