onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
4.24344671202,0.399047619048,4,1,1,1,'4/4',D7,A1,1,38
4.64249433107,0.427256235828,4,1,1,2,'4/4',D7,A1,1,44
5.06975056689,0.441836734694,4,1,1,3,'4/4',G7,A1,1,43
5.51158730159,0.437346938776,4,1,1,4,'4/4',G7,A1,1,38
5.94893424036,0.422063492063,4,1,2,1,'4/4',C-6,A1,1,37
6.37099773243,0.441587301587,4,1,2,2,'4/4',C-6,A1,1,38
6.81258503401,0.437346938776,4,1,2,3,'4/4',C-6,A1,1,39
7.24993197279,0.430952380952,4,1,2,4,'4/4',C-6,A1,1,43
7.68088435374,0.457324263039,4,1,3,1,'4/4',F7,A1,1,40
8.13820861678,0.431723356009,4,1,3,2,'4/4',F7,A1,1,45
8.56993197279,0.447324263039,4,1,3,3,'4/4',Bb7,A1,1,46
9.01725623583,0.457505668934,4,1,3,4,'4/4',Bb7,A1,1,40
9.47476190476,0.421587301587,4,1,4,1,'4/4',Ebj7,A1,1,39
9.89634920635,0.451337868481,4,1,4,2,'4/4',Ebj7,A1,1,46
10.3476870748,0.446281179138,4,1,4,3,'4/4',Ebj7,A1,1,43
10.793968254,0.402585034014,4,1,4,4,'4/4',Ebj7,A1,1,39
11.196553288,0.422131519274,4,1,5,1,'4/4',D7,A1,1,38
11.6186848073,0.43201814059,4,1,5,2,'4/4',D7,A1,1,38
12.0507029478,0.401519274376,4,1,5,3,'4/4',G7,A1,1,43
12.4522222222,0.441746031746,4,1,5,4,'4/4',G7,A1,1,46
12.893968254,0.437528344671,4,1,6,1,'4/4',C-6,A1,1,37
13.3314965986,0.421836734694,4,1,6,2,'4/4',C-6,A1,1,38
13.7533333333,0.451473922902,4,1,6,3,'4/4',C-6,A1,1,39
14.2048072562,0.417959183673,4,1,6,4,'4/4',C-6,A1,1,43
14.6227664399,0.425555555556,4,1,7,1,'4/4',Ab7,A1,1,44
15.0483219955,0.447278911565,4,1,7,2,'4/4',Ab7,A1,1,46
15.495600907,0.412494331066,4,1,7,3,'4/4',Ab7,A1,1,45
15.9080952381,0.441655328798,4,1,7,4,'4/4',Ab7,A1,1,50
16.3497505669,0.436394557823,4,1,8,1,'4/4',Ab7,A1,1,51
16.7861451247,0.422131519274,4,1,8,2,'4/4',Ab7,A1,1,49
17.208276644,0.412335600907,4,1,8,3,'4/4',Ab7,A1,1,45
17.6206122449,0.402653061224,4,1,8,4,'4/4',Ab7,A1,1,44
