onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.30188208617,0.332698412698,4,1,1,1,'4/4',Fj7,A1,1,41
2.63458049887,0.33843537415,4,1,1,2,'4/4',Fj7,A1,1,33
2.97301587302,0.342426303855,4,1,1,3,'4/4',Fj7,A1,1,43
3.31544217687,0.357437641723,4,1,1,4,'4/4',Fj7,A1,1,33
3.67287981859,0.387505668934,4,1,2,1,'4/4',G-7,A1,1,34
4.06038548753,0.357619047619,4,1,2,2,'4/4',G-7,A1,1,36
4.41800453515,0.367845804989,4,1,2,3,'4/4',C7,A1,1,38
4.78585034014,0.376394557823,4,1,2,4,'4/4',C7,A1,1,40
5.16224489796,0.377301587302,4,1,3,1,'4/4',Fj7,A1,1,41
5.53954648526,0.367755102041,4,1,3,2,'4/4',Fj7,A1,1,45
5.9073015873,0.376734693878,4,1,3,3,'4/4',Fj7,A1,1,38
6.28403628118,0.367891156463,4,1,3,4,'4/4',Fj7,A1,1,36
6.65192743764,0.367437641723,4,1,4,1,'4/4',Bb-7,A1,1,34
7.01936507937,0.377324263039,4,1,4,2,'4/4',Bb-7,A1,1,41
7.3966893424,0.377142857143,4,1,4,3,'4/4',Eb7,A1,1,39
7.77383219955,0.367369614512,4,1,4,4,'4/4',Eb7,A1,1,46
8.14120181406,0.387573696145,4,1,5,1,'4/4',Eb7,A1,1,45
8.5287755102,0.347142857143,4,1,5,2,'4/4',Eb7,A1,1,39
8.87591836735,0.377573696145,4,1,5,3,'4/4',D7,A1,1,44
9.25349206349,0.361904761905,4,1,5,4,'4/4',D7,A1,1,38
9.6153968254,0.383174603175,4,1,6,1,'4/4',G-7,A1,1,43
9.99857142857,0.366870748299,4,1,6,2,'4/4',G-7,A1,1,38
10.3654421769,0.367641723356,4,1,6,3,'4/4',C7,A1,1,36
10.7330839002,0.3679138322,4,1,6,4,'4/4',C7,A1,1,40
11.1009977324,0.371814058957,4,1,7,1,'4/4',F,A1,1,41
11.4728117914,0.373083900227,4,1,7,2,'4/4',F,A1,1,45
11.8458956916,0.396507936508,4,1,7,3,'4/4',F,A1,1,43
12.2424036281,0.367619047619,4,1,7,4,'4/4',F,A1,1,41
12.6100226757,0.377188208617,4,1,8,1,'4/4',Ab-7,A1,1,44
12.9872108844,0.367392290249,4,1,8,2,'4/4',Ab-7,A1,1,38
13.3546031746,0.392721088435,4,1,8,3,'4/4',Db7,A1,1,37
13.747324263,0.376825396825,4,1,8,4,'4/4',Db7,A1,1,43
14.1241496599,0.352108843537,4,1,9,1,'4/4',Gbj7,A1,1,42
14.4762585034,0.367392290249,4,1,9,2,'4/4',Gbj7,A1,1,44
14.8436507937,0.387301587302,4,1,9,3,'4/4',Gbj7,A1,1,45
15.230952381,0.372970521542,4,1,9,4,'4/4',Gbj7,A1,1,46
15.6039229025,0.377755102041,4,1,10,1,'4/4',Ab-7,A1,1,47
15.9816780045,0.376507936508,4,1,10,2,'4/4',Ab-7,A1,1,37
16.358185941,0.377528344671,4,1,10,3,'4/4',Db7,A1,1,38
16.7357142857,0.377619047619,4,1,10,4,'4/4',Db7,A1,1,33
17.1133333333,0.386848072562,4,1,11,1,'4/4',Gbj7,A1,1,37
17.5001814059,0.358049886621,4,1,11,2,'4/4',Gbj7,A1,1,37
