onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.96507936508,0.377551020408,4,1,0,3,'4/4',NC,I1,0,45
3.34263038549,0.377482993197,4,1,0,4,'4/4',NC,I1,0,38
3.72011337868,0.34716553288,4,1,1,1,'4/4',Dbj7,A1,1,37
4.06727891156,0.397324263039,4,1,1,2,'4/4',Dbj7,A1,1,44
4.4646031746,0.357823129252,4,1,1,3,'4/4',Dbj7,A1,1,37
4.82242630385,0.376870748299,4,1,1,4,'4/4',Dbj7,A1,1,39
5.19929705215,0.338253968254,4,1,2,1,'4/4',Dbj7,A1,1,53
5.53755102041,0.352176870748,4,1,2,2,'4/4',Dbj7,A1,1,39
5.88972789116,0.357732426304,4,1,2,3,'4/4',Ab7,A1,1,38
6.24746031746,0.376780045351,4,1,2,4,'4/4',Ab7,A1,1,37
6.62424036281,0.367732426304,4,1,3,1,'4/4',Dbj7,A1,1,37
6.99197278912,0.367868480726,4,1,3,2,'4/4',Dbj7,A1,1,37
7.35984126984,0.376439909297,4,1,3,3,'4/4',Dbj7,A1,1,43
7.73628117914,0.367845804989,4,1,3,4,'4/4',Dbj7,A1,1,37
8.10412698413,0.387437641723,4,1,4,1,'4/4',Dbj7,A1,1,53
8.49156462585,0.347233560091,4,1,4,2,'4/4',Dbj7,A1,1,42
8.83879818594,0.36768707483,4,1,4,3,'4/4',Do,A1,1,40
9.20648526077,0.342675736961,4,1,4,4,'4/4',Do,A1,1,40
9.54916099773,0.351519274376,4,1,5,1,'4/4',Eb-7,A1,1,39
9.90068027211,0.35798185941,4,1,5,2,'4/4',Eb-7,A1,1,37
10.2586621315,0.392925170068,4,1,5,3,'4/4',Eb-7,A1,1,42
10.6515873016,0.377551020408,4,1,5,4,'4/4',Eb-7,A1,1,42
11.029138322,0.366553287982,4,1,6,1,'4/4',Ab7,A1,1,43
11.39569161,0.36231292517,4,1,6,2,'4/4',Ab7,A1,1,44
