onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
8.44074829932,0.595056689342,4,1,0,3,'4/4',NC,I1,0,44
9.03580498866,0.77201814059,4,1,0,4,'4/4',NC,I1,0,32
9.80782312925,0.645170068027,4,1,1,1,'4/4',Eb-,A1,1,39
10.4529931973,0.675464852608,4,1,1,2,'4/4',Eb-,A1,1,39
11.1284580499,0.590725623583,4,1,1,3,'4/4',D+7,A1,1,45
11.7191836735,0.645170068027,4,1,1,4,'4/4',D+7,A1,1,34
12.3643537415,0.690068027211,4,1,2,1,'4/4',Eb-7,A1,1,39
13.0544217687,0.66485260771,4,1,2,2,'4/4',Eb-7,A1,1,39
13.7192743764,0.636303854875,4,1,2,3,'4/4',D7,A1,1,44
14.3555782313,0.620045351474,4,1,2,4,'4/4',D7,A1,1,38
14.9756235828,0.709501133787,4,1,3,1,'4/4',Dbj7,A1,1,37
15.6851247166,0.63537414966,4,1,3,2,'4/4',Dbj7,A1,1,37
16.3204988662,0.58537414966,4,1,3,3,'4/4',Eb-7,A1,1,44
16.9058730159,0.635351473923,4,1,3,4,'4/4',Eb-7,A1,1,44
17.5412244898,0.656031746032,4,1,4,1,'4/4',F-7,A1,1,41
18.1972562358,0.645170068027,4,1,4,2,'4/4',F-7,A1,1,40
18.8424263039,0.655034013605,4,1,4,3,'4/4',Eo,A1,1,40
19.4974603175,0.625578231293,4,1,4,4,'4/4',Eo,A1,1,40
20.1230385488,0.645215419501,4,1,5,1,'4/4',Eb-7,A1,1,39
20.7682539683,0.646258503401,4,1,5,2,'4/4',Eb-7,A1,1,39
21.4145124717,0.645238095238,4,1,5,3,'4/4',Eb-7,A1,1,45
22.0597505669,0.610249433107,4,1,5,4,'4/4',Eb-7,A1,1,46
22.67,0.630022675737,4,1,6,1,'4/4',Cm7b5,A1,1,41
23.3000226757,0.610476190476,4,1,6,2,'4/4',Cm7b5,A1,1,41
23.9104988662,0.655102040816,4,1,6,3,'4/4',B7,A1,1,45
24.565600907,0.671133786848,4,1,6,4,'4/4',B7,A1,1,45
25.2367346939,0.600498866213,4,1,7,1,'4/4',Bb-7,A1,1,45
25.8372335601,0.668911564626,4,1,7,2,'4/4',Bb-7,A1,1,45
26.5061451247,0.651587301587,4,1,7,3,'4/4',Eb-7,A1,1,44
27.1577324263,0.677324263039,4,1,7,4,'4/4',Ab7,A1,1,44
27.8350566893,0.573106575964,4,1,8,1,'4/4',Dbj7,A1,1,37
28.4081632653,0.648684807256,4,1,8,2,'4/4',Dbj7,A1,1,36
29.0568480726,0.706213151927,4,1,8,3,'4/4',Fm7b5,A1,1,41
29.7630612245,0.675510204082,4,1,8,4,'4/4',Bb79b,A1,1,45
30.4385714286,0.601496598639,4,1,9,1,'4/4',Eb-,A2,1,39
31.0400680272,0.572176870748,4,1,9,2,'4/4',Eb-,A2,1,39
31.612244898,0.619070294785,4,1,9,3,'4/4',D+7,A2,1,45
32.2313151927,0.650317460317,4,1,9,4,'4/4',D+7,A2,1,45
32.8816326531,0.634512471655,4,1,10,1,'4/4',Eb-7,A2,1,39
33.5161451247,0.670385487528,4,1,10,2,'4/4',Eb-7,A2,1,46
34.1865306122,0.62,4,1,10,3,'4/4',D7,A2,1,38
34.8065306122,0.665736961451,4,1,10,4,'4/4',D7,A2,1,38
35.4722675737,0.581201814059,4,1,11,1,'4/4',Db-7,A2,1,37
36.0534693878,0.654920634921,4,1,11,2,'4/4',Db-7,A2,1,37
36.7083900227,0.585306122449,4,1,11,3,'4/4',Eb-7,A2,1,44
37.2936961451,0.660476190476,4,1,11,4,'4/4',Eb-7,A2,1,44
37.9541723356,0.649002267574,4,1,12,1,'4/4',F-7,A2,1,41
38.6031746032,0.62768707483,4,1,12,2,'4/4',F-7,A2,1,44
39.230861678,0.600770975057,4,1,12,3,'4/4',Eo,A2,1,40
39.8316326531,0.610204081633,4,1,12,4,'4/4',Eo,A2,1,43
40.4418367347,0.626598639456,4,1,13,1,'4/4',Eb-7,A2,1,39
41.0684353741,0.719863945578,4,1,13,2,'4/4',Eb-7,A2,1,39
41.7882993197,0.619433106576,4,1,13,3,'4/4',Eb-7,A2,1,45
42.4077324263,0.615487528345,4,1,13,4,'4/4',Eb-7,A2,1,45
43.0232199546,0.664240362812,4,1,14,1,'4/4',Cm7b5,A2,1,41
43.6874603175,0.633492063492,4,1,14,2,'4/4',Cm7b5,A2,1,45
44.320952381,0.643922902494,4,1,14,3,'4/4',B7,A2,1,45
44.9648752834,0.607233560091,4,1,14,4,'4/4',B7,A2,1,45
45.5721088435,0.608616780045,4,1,15,1,'4/4',Bb-7,A2,1,45
46.1807256236,0.540317460317,4,1,15,2,'4/4',Bb-7,A2,1,37
46.7210430839,0.625691609977,4,1,15,3,'4/4',Eb-7,A2,1,44
47.3467346939,0.635283446712,4,1,15,4,'4/4',Ab7,A2,1,44
47.9820181406,0.630045351474,4,1,16,1,'4/4',Db,A2,1,37
48.6120634921,0.655827664399,4,1,16,2,'4/4',Db,A2,1,36
49.2678911565,0.625691609977,4,1,16,3,'4/4',E-7,A2,1,40
49.8935827664,0.600566893424,4,1,16,4,'4/4',A7,A2,1,45
