onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
7.47573696145,0.456099773243,4,1,0,1,'4/4',NC,I1,0,41
7.93183673469,0.413310657596,4,1,0,2,'4/4',NC,I1,0,48
8.34514739229,0.403900226757,4,1,0,3,'4/4',NC,I1,0,43
8.74904761905,0.434126984127,4,1,0,4,'4/4',NC,I1,0,48
9.18317460317,0.440204081633,4,1,1,1,'4/4',F6,A1,1,40
9.62337868481,0.468707482993,4,1,1,2,'4/4',F6,A1,1,45
10.0920861678,0.444943310658,4,1,1,3,'4/4',D7,A1,1,44
10.5370294785,0.47410430839,4,1,1,4,'4/4',D7,A1,1,38
11.0111337868,0.425600907029,4,1,2,1,'4/4',G-7,A1,1,43
11.4367346939,0.478594104308,4,1,2,2,'4/4',G-7,A1,1,50
11.9153287982,0.472517006803,4,1,2,3,'4/4',C7,A1,1,48
12.387845805,0.473764172336,4,1,2,4,'4/4',NC,A1,1,45
12.8616099773,0.428571428571,4,1,3,1,'4/4',G-7,A1,1,43
13.2901814059,0.470090702948,4,1,3,2,'4/4',G-7,A1,1,40
13.7602721088,0.473560090703,4,1,3,3,'4/4',C7,A1,1,36
14.2338321995,0.445759637188,4,1,3,4,'4/4',NC,A1,1,43
14.6795918367,0.442403628118,4,1,4,1,'4/4',F6,A1,1,41
15.1219954649,0.413854875283,4,1,4,2,'4/4',F6,A1,1,45
15.5358503401,0.420793650794,4,1,4,3,'4/4',F6,A1,1,38
15.9566439909,0.486598639456,4,1,4,4,'4/4',F6,A1,1,36
16.4432426304,0.422040816327,4,1,5,1,'4/4',F7,A1,1,41
16.8652834467,0.473673469388,4,1,5,2,'4/4',F7,A1,1,43
17.3389569161,0.418503401361,4,1,5,3,'4/4',F7,A1,1,45
17.7574603175,0.464965986395,4,1,5,4,'4/4',NC,A1,1,41
18.2224263039,0.428458049887,4,1,6,1,'4/4',Bb6,A1,1,45
18.6508843537,0.466077097506,4,1,6,2,'4/4',Bb6,A1,1,45
19.1169614512,0.441111111111,4,1,6,3,'4/4',Gm7b5,A1,1,43
19.5580725624,0.427755102041,4,1,6,4,'4/4',Gm7b5,A1,1,41
19.9858276644,0.43612244898,4,1,7,1,'4/4',C7,A1,1,40
20.4219501134,0.432857142857,4,1,7,2,'4/4',C7,A1,1,36
20.8548072562,0.412585034014,4,1,7,3,'4/4',C7,A1,1,38
21.2673922902,0.414240362812,4,1,7,4,'4/4',C7,A1,1,40
21.6816326531,0.464399092971,4,1,8,1,'4/4',F6,A1,1,45
22.146031746,0.492743764172,4,1,8,2,'4/4',F6,A1,1,44
22.6387755102,0.47201814059,4,1,8,3,'4/4',C7,A1,1,43
23.1107936508,0.458911564626,4,1,8,4,'4/4',C7,A1,1,48
23.5697052154,0.457120181406,4,1,9,1,'4/4',F6,A2,1,48
24.0268253968,0.467528344671,4,1,9,2,'4/4',F6,A2,1,39
24.4943537415,0.459433106576,4,1,9,3,'4/4',D7,A2,1,44
24.9537868481,0.429909297052,4,1,9,4,'4/4',D7,A2,1,44
25.3836961451,0.427641723356,4,1,10,1,'4/4',G-7,A2,1,43
25.8113378685,0.452176870748,4,1,10,2,'4/4',G-7,A2,1,41
26.2635147392,0.417414965986,4,1,10,3,'4/4',C7,A2,1,40
26.6809297052,0.434285714286,4,1,10,4,'4/4',C7,A2,1,38
27.1152154195,0.42306122449,4,1,11,1,'4/4',G-7,A2,1,36
