onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
0.497959183673,0.269433106576,4,1,-1,1,'4/4',NC,I1,0,37
0.767392290249,0.243718820862,4,1,-1,2,'4/4',NC,I1,0,50
1.01111111111,0.258276643991,4,1,-1,3,'4/4',NC,I1,0,45
1.2693877551,0.244897959184,4,1,-1,4,'4/4',NC,I1,0,45
1.51428571429,0.256485260771,4,1,0,1,'4/4',NC,I1,0,44
1.77077097506,0.253718820862,4,1,0,2,'4/4',NC,I1,0,44
2.02448979592,0.24253968254,4,1,0,3,'4/4',NC,I1,0,45
2.26702947846,0.243628117914,4,1,0,4,'4/4',NC,I1,0,47
2.51065759637,0.233038548753,4,1,1,1,'4/4',G,A1,1,49
2.74369614512,0.229795918367,4,1,1,2,'4/4',G,A1,1,51
2.97349206349,0.232857142857,4,1,1,3,'4/4',D7,A1,1,36
3.20634920635,0.230385487528,4,1,1,4,'4/4',G,A1,1,42
3.43673469388,0.25306122449,4,1,2,1,'4/4',C79,A1,1,45
3.68979591837,0.244897959184,4,1,2,2,'4/4',C79,A1,1,47
3.93469387755,0.261224489796,4,1,2,3,'4/4',C79,A1,1,46
4.19591836735,0.232358276644,4,1,2,4,'4/4',C79,A1,1,51
4.42827664399,0.24283446712,4,1,3,1,'4/4',G,A1,1,49
4.67111111111,0.233673469388,4,1,3,2,'4/4',G,A1,1,48
4.9047845805,0.242653061224,4,1,3,3,'4/4',G,A1,1,46
5.14743764172,0.249365079365,4,1,3,4,'4/4',G,A1,1,45
5.39680272109,0.233015873016,4,1,4,1,'4/4',G,A1,1,44
5.6298185941,0.232993197279,4,1,4,2,'4/4',G,A1,1,40
5.86281179138,0.23387755102,4,1,4,3,'4/4',G#o,A1,1,45
6.0966893424,0.242675736961,4,1,4,4,'4/4',G#o,A1,1,45
6.33936507937,0.248390022676,4,1,5,1,'4/4',D7,A1,1,39
6.58775510204,0.228458049887,4,1,5,2,'4/4',D7,A1,1,41
6.81621315193,0.22410430839,4,1,5,3,'4/4',D7,A1,1,42
7.04031746032,0.242766439909,4,1,5,4,'4/4',D7,A1,1,43
7.28308390023,0.249319727891,4,1,6,1,'4/4',D7,A1,1,44
7.53240362812,0.242585034014,4,1,6,2,'4/4',D7,A1,1,45
7.77498866213,0.24283446712,4,1,6,3,'4/4',D7,A1,1,45
8.01782312925,0.233968253968,4,1,6,4,'4/4',D7,A1,1,48
8.25179138322,0.232789115646,4,1,7,1,'4/4',G,A1,1,49
8.48458049887,0.233832199546,4,1,7,2,'4/4',G,A1,1,51
8.71841269841,0.233038548753,4,1,7,3,'4/4',G,A1,1,42
8.95145124717,0.244467120181,4,1,7,4,'4/4',G,A1,1,42
9.19591836735,0.247596371882,4,1,8,1,'4/4',A-,A1,1,46
9.44351473923,0.243378684807,4,1,8,2,'4/4',A-,A1,1,42
9.68689342404,0.242698412698,4,1,8,3,'4/4',D7,A1,1,36
9.92959183673,0.243764172336,4,1,8,4,'4/4',D7,A1,1,50
10.1733560091,0.239047619048,4,1,9,1,'4/4',G,A2,1,49
10.4124036281,0.232925170068,4,1,9,2,'4/4',G,A2,1,47
10.6453287982,0.223174603175,4,1,9,3,'4/4',D7,A2,1,46
10.8685034014,0.24380952381,4,1,9,4,'4/4',G,A2,1,45
11.1123129252,0.233922902494,4,1,10,1,'4/4',C79,A2,1,44
11.3462358277,0.245600907029,4,1,10,2,'4/4',C79,A2,1,42
11.5918367347,0.205170068027,4,1,10,3,'4/4',C79,A2,1,41
11.7970068027,0.245850340136,4,1,10,4,'4/4',C79,A2,1,39
12.0428571429,0.201451247166,4,1,11,1,'4/4',G,A2,1,37
12.24430839,0.242879818594,4,1,11,2,'4/4',G,A2,1,41
12.4871882086,0.249229024943,4,1,11,3,'4/4',G,A2,1,45
12.7364172336,0.242789115646,4,1,11,4,'4/4',G,A2,1,45
12.9792063492,0.23380952381,4,1,12,1,'4/4',G,A2,1,44
13.213015873,0.233106575964,4,1,12,2,'4/4',G,A2,1,40
13.446122449,0.233786848073,4,1,12,3,'4/4',G#o,A2,1,45
13.6799092971,0.258004535147,4,1,12,4,'4/4',G#o,A2,1,45
13.9379138322,0.24358276644,4,1,13,1,'4/4',D7,A2,1,39
14.1814965986,0.232766439909,4,1,13,2,'4/4',D7,A2,1,41
14.4142630385,0.233945578231,4,1,13,3,'4/4',D7,A2,1,42
14.6482086168,0.232947845805,4,1,13,4,'4/4',D7,A2,1,43
14.8811564626,0.233832199546,4,1,14,1,'4/4',D7,A2,1,44
15.1149886621,0.252811791383,4,1,14,2,'4/4',D7,A2,1,45
15.3678004535,0.2489569161,4,1,14,3,'4/4',D7,A2,1,45
15.6167573696,0.233151927438,4,1,14,4,'4/4',D7,A2,1,47
15.8499092971,0.242721088435,4,1,15,1,'4/4',G,A2,1,49
16.0926303855,0.224172335601,4,1,15,2,'4/4',G,A2,1,45
16.3168027211,0.233015873016,4,1,15,3,'4/4',G,A2,1,44
16.5498185941,0.246916099773,4,1,15,4,'4/4',G,A2,1,40
16.7967346939,0.238004535147,4,1,16,1,'4/4',G,A2,1,37
17.034739229,0.226485260771,4,1,16,2,'4/4',G,A2,1,41
17.2612244898,0.247482993197,4,1,16,3,'4/4',G,A2,1,44
17.508707483,0.243764172336,4,1,16,4,'4/4',G,A2,1,43
17.7524716553,0.252517006803,4,1,17,1,'4/4',C,B1,1,42
18.0049886621,0.233605442177,4,1,17,2,'4/4',C,B1,1,37
18.2385941043,0.223242630385,4,1,17,3,'4/4',C,B1,1,42
18.4618367347,0.240204081633,4,1,17,4,'4/4',C,B1,1,43
18.7020408163,0.251950113379,4,1,18,1,'4/4',D7,B1,1,42
18.9539909297,0.252471655329,4,1,18,2,'4/4',D7,B1,1,37
19.206462585,0.243151927438,4,1,18,3,'4/4',D7,B1,1,42
19.4496145125,0.248820861678,4,1,18,4,'4/4',D7,B1,1,37
19.6984353741,0.228458049887,4,1,19,1,'4/4',C,B1,1,47
19.926893424,0.240453514739,4,1,19,2,'4/4',C,B1,1,47
20.1673469388,0.232653061224,4,1,19,3,'4/4',G,B1,1,48
20.4,0.236734693878,4,1,19,4,'4/4',G,B1,1,47
20.6367346939,0.240816326531,4,1,20,1,'4/4',G,B1,1,47
20.8775510204,0.216326530612,4,1,20,2,'4/4',G,B1,1,42
21.093877551,0.224489795918,4,1,20,3,'4/4',G,B1,1,35
