onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
0.0979591836735,0.240816326531,4,1,1,1,'4/4',Eb7,A1,1,38
0.338775510204,0.248979591837,4,1,1,2,'4/4',NC,A1,1,38
0.587755102041,0.497959183673,4,1,1,3,'4/4',NC,A1,1,36
1.08571428571,0.497505668934,4,1,1,4,'4/4',NC,A1,1,35
1.58321995465,0.473922902494,4,1,2,1,'4/4',Ab7,A1,1,34
2.05714285714,0.473832199546,4,1,2,2,'4/4',Ab7,A1,1,35
2.53097505669,0.448027210884,4,1,2,3,'4/4',Ab7,A1,1,36
2.97900226757,0.441746031746,4,1,2,4,'4/4',Ab7,A1,1,38
3.42074829932,0.455986394558,4,1,3,1,'4/4',Eb7,A1,1,39
3.87673469388,0.47664399093,4,1,3,2,'4/4',Eb7,A1,1,43
4.35337868481,0.456893424036,4,1,3,3,'4/4',Eb7,A1,1,36
4.81027210884,0.476530612245,4,1,3,4,'4/4',Eb7,A1,1,47
5.28680272109,0.448526077098,4,1,4,1,'4/4',Eb7,A1,1,34
5.73532879819,0.403446712018,4,1,4,2,'4/4',Eb7,A1,1,46
6.1387755102,0.461224489796,4,1,4,3,'4/4',Eb7,A1,1,40
6.6,0.457142857143,4,1,4,4,'4/4',Eb7,A1,1,43
7.05714285714,0.492244897959,4,1,5,1,'4/4',Ab7,A1,1,32
7.5493877551,0.472335600907,4,1,5,2,'4/4',Ab7,A1,1,37
8.02172335601,0.466689342404,4,1,5,3,'4/4',Ab7,A1,1,37
8.48841269841,0.486213151927,4,1,5,4,'4/4',Ab7,A1,1,38
8.97462585034,0.437482993197,4,1,6,1,'4/4',Ab7,A1,1,44
9.41210884354,0.462176870748,4,1,6,2,'4/4',Ab7,A1,1,45
9.87428571429,0.426848072562,4,1,6,3,'4/4',Ab7,A1,1,48
10.3011337868,0.455918367347,4,1,6,4,'4/4',Ab7,A1,1,47
10.7570521542,0.466780045351,4,1,7,1,'4/4',Eb7,A1,1,46
11.2238321995,0.48358276644,4,1,7,2,'4/4',Eb7,A1,1,51
11.707414966,0.457188208617,4,1,7,3,'4/4',Eb7,A1,1,53
12.1646031746,0.476439909297,4,1,7,4,'4/4',Eb7,A1,1,51
12.6410430839,0.455986394558,4,1,8,1,'4/4',G-7,A1,1,52
13.0970294785,0.432063492063,4,1,8,2,'4/4',G-7,A1,1,43
13.5290929705,0.437709750567,4,1,8,3,'4/4',C7,A1,1,45
13.9668027211,0.431519274376,4,1,8,4,'4/4',C7,A1,1,36
14.3983219955,0.451496598639,4,1,9,1,'4/4',F-7,A1,1,46
14.8498185941,0.482176870748,4,1,9,2,'4/4',F-7,A1,1,38
15.3319954649,0.450498866213,4,1,9,3,'4/4',F-7,A1,1,46
15.7824943311,0.456984126984,4,1,9,4,'4/4',F-7,A1,1,36
16.239478458,0.431904761905,4,1,10,1,'4/4',Bb7,A1,1,53
16.67138322,0.481972789116,4,1,10,2,'4/4',Bb7,A1,1,47
17.1533560091,0.466825396825,4,1,10,3,'4/4',Bb7,A1,1,34
17.6201814059,0.476575963719,4,1,10,4,'4/4',Bb7,A1,1,53
18.0967573696,0.44201814059,4,1,11,1,'4/4',Eb7,A1,1,51
18.5387755102,0.473469387755,4,1,11,2,'4/4',Eb7,A1,1,38
19.012244898,0.416326530612,4,1,11,3,'4/4',Eb7,A1,1,36
19.4285714286,0.485714285714,4,1,11,4,'4/4',Eb7,A1,1,35
19.9142857143,0.441405895692,4,1,12,1,'4/4',F-7,A1,1,34
20.35569161,0.511337868481,4,1,12,2,'4/4',F-7,A1,1,35
20.8670294785,0.441700680272,4,1,12,3,'4/4',Bb7,A1,1,36
21.3087301587,0.446371882086,4,1,12,4,'4/4',Bb7,A1,1,38
21.7551020408,0.490317460317,4,1,13,1,'4/4',Eb7,A1,2,51
22.2454195011,0.456916099773,4,1,13,2,'4/4',Eb7,A1,2,51
22.7023356009,0.440884353741,4,1,13,3,'4/4',Eb7,A1,2,53
23.1432199546,0.481972789116,4,1,13,4,'4/4',Eb7,A1,2,51
23.6251927438,0.456916099773,4,1,14,1,'4/4',Ab7,A1,2,51
24.0821088435,0.486258503401,4,1,14,2,'4/4',Ab7,A1,2,52
24.5683673469,0.447959183673,4,1,14,3,'4/4',Ab7,A1,2,53
25.0163265306,0.500861678005,4,1,14,4,'4/4',Ab7,A1,2,46
25.5171882086,0.466870748299,4,1,15,1,'4/4',Eb7,A1,2,51
25.9840589569,0.440657596372,4,1,15,2,'4/4',Eb7,A1,2,51
26.4247165533,0.457097505669,4,1,15,3,'4/4',Eb7,A1,2,53
26.881814059,0.456893424036,4,1,15,4,'4/4',Eb7,A1,2,46
27.338707483,0.451541950113,4,1,16,1,'4/4',Eb7,A1,2,51
27.7902494331,0.445215419501,4,1,16,2,'4/4',Eb7,A1,2,51
28.2354648526,0.439342403628,4,1,16,3,'4/4',Eb7,A1,2,53
28.6748072562,0.476213151927,4,1,16,4,'4/4',Eb7,A1,2,51
29.1510204082,0.456371882086,4,1,17,1,'4/4',Ab7,A1,2,51
29.6073922902,0.466666666667,4,1,17,2,'4/4',Ab7,A1,2,52
30.0740589569,0.466916099773,4,1,17,3,'4/4',Ab7,A1,2,53
30.5409750567,0.463469387755,4,1,17,4,'4/4',Ab7,A1,2,53
31.0044444444,0.446984126984,4,1,18,1,'4/4',Ab7,A1,2,51
31.4514285714,0.445215419501,4,1,18,2,'4/4',Ab7,A1,2,50
31.8966439909,0.471972789116,4,1,18,3,'4/4',Ab7,A1,2,48
32.36861678,0.487619047619,4,1,18,4,'4/4',Ab7,A1,2,47
