onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
0.986848072562,0.255419501134,4,1,-3,1,'4/4',NC,I1,0,47
1.2422675737,0.255419501134,4,1,-3,2,'4/4',NC,I1,0,34
1.49768707483,0.255238095238,4,1,-3,3,'4/4',NC,I1,0,34
1.75292517007,0.255238095238,4,1,-3,4,'4/4',NC,I1,0,34
2.00816326531,0.255113378685,4,1,-2,1,'4/4',NC,I1,0,34
2.26327664399,0.255113378685,4,1,-2,2,'4/4',NC,I1,0,34
2.51839002268,0.248117913832,4,1,-2,3,'4/4',NC,I1,0,34
2.76650793651,0.248117913832,4,1,-2,4,'4/4',NC,I1,0,34
3.01462585034,0.235544217687,4,1,-1,1,'4/4',NC,I1,0,28
3.25017006803,0.235544217687,4,1,-1,2,'4/4',NC,I1,0,28
3.48571428571,0.248979591837,4,1,-1,3,'4/4',NC,I1,0,28
3.73469387755,0.248979591837,4,1,-1,4,'4/4',NC,I1,0,28
3.98367346939,0.240816326531,4,1,0,1,'4/4',NC,I1,0,28
4.22448979592,0.240816326531,4,1,0,2,'4/4',NC,I1,0,44
4.46530612245,0.240816326531,4,1,0,3,'4/4',NC,I1,0,42
4.70612244898,0.240816326531,4,1,0,4,'4/4',NC,I1,0,52
4.94693877551,0.236734693878,4,1,1,1,'4/4',F-7,A1,1,51
5.18367346939,0.236734693878,4,1,1,2,'4/4',F-7,A1,1,43
5.42040816327,0.244897959184,4,1,1,3,'4/4',F-7,A1,1,46
5.66530612245,0.244897959184,4,1,1,4,'4/4',F-7,A1,1,47
5.91020408163,0.244897959184,4,1,2,1,'4/4',Bb7,A1,1,46
6.15510204082,0.244897959184,4,1,2,2,'4/4',Bb7,A1,1,46
6.4,0.240816326531,4,1,2,3,'4/4',Bb7,A1,1,46
6.64081632653,0.240816326531,4,1,2,4,'4/4',Bb7,A1,1,45
6.88163265306,0.236734693878,4,1,3,1,'4/4',Ebj7,A1,1,45
7.11836734694,0.236734693878,4,1,3,2,'4/4',Ebj7,A1,1,46
7.35510204082,0.240816326531,4,1,3,3,'4/4',Ebj7,A1,1,46
7.59591836735,0.240816326531,4,1,3,4,'4/4',Ebj7,A1,1,46
7.83673469388,0.248979591837,4,1,4,1,'4/4',C7,A1,1,46
8.08571428571,0.248979591837,4,1,4,2,'4/4',C7,A1,1,46
8.33469387755,0.248979591837,4,1,4,3,'4/4',C7,A1,1,46
8.58367346939,0.248979591837,4,1,4,4,'4/4',C7,A1,1,46
8.83265306122,0.25156462585,4,1,5,1,'4/4',F-7,A1,1,46
9.08421768707,0.25156462585,4,1,5,2,'4/4',F-7,A1,1,46
9.33578231293,0.243219954649,4,1,5,3,'4/4',F-7,A1,1,46
9.57900226757,0.243219954649,4,1,5,4,'4/4',F-7,A1,1,46
9.82222222222,0.228446712018,4,1,6,1,'4/4',Bb7,A1,1,46
10.0506689342,0.228446712018,4,1,6,2,'4/4',Bb7,A1,1,46
10.2791156463,0.228458049887,4,1,6,3,'4/4',Bb7,A1,1,46
10.5075736961,0.228458049887,4,1,6,4,'4/4',Bb7,A1,1,46
10.736031746,0.248117913832,4,1,7,1,'4/4',Ebj7,A1,1,46
10.9841496599,0.248117913832,4,1,7,2,'4/4',Ebj7,A1,1,46
11.2322675737,0.236065759637,4,1,7,3,'4/4',Ebj7,A1,1,46
11.4683333333,0.236065759637,4,1,7,4,'4/4',Ebj7,A1,1,46
11.704399093,0.238321995465,4,1,8,1,'4/4',C7,A1,1,47
11.9427210884,0.238321995465,4,1,8,2,'4/4',C7,A1,1,42
12.1810430839,0.233378684807,4,1,8,3,'4/4',C7,A1,1,42
12.4144217687,0.233378684807,4,1,8,4,'4/4',C7,A1,1,47
12.6478004535,0.243446712018,4,1,9,1,'4/4',F-7,A1,1,47
12.8912471655,0.243446712018,4,1,9,2,'4/4',F-7,A1,1,45
13.1346938776,0.250045351474,4,1,9,3,'4/4',F-7,A1,1,46
13.384739229,0.250045351474,4,1,9,4,'4/4',F-7,A1,1,46
13.6347845805,0.233310657596,4,1,10,1,'4/4',Bb7,A1,1,46
13.8680952381,0.233310657596,4,1,10,2,'4/4',Bb7,A1,1,46
14.1014058957,0.241077097506,4,1,10,3,'4/4',Bb7,A1,1,46
14.3424829932,0.241077097506,4,1,10,4,'4/4',Bb7,A1,1,46
14.5835600907,0.238832199546,4,1,11,1,'4/4',Ebj7,A1,1,46
14.8223922902,0.238832199546,4,1,11,2,'4/4',Ebj7,A1,1,46
15.0612244898,0.236734693878,4,1,11,3,'4/4',Ebj7,A1,1,46
15.2979591837,0.236734693878,4,1,11,4,'4/4',Ebj7,A1,1,46
15.5346938776,0.244160997732,4,1,12,1,'4/4',C7,A1,1,46
15.7788548753,0.244160997732,4,1,12,2,'4/4',C7,A1,1,46
16.023015873,0.24089569161,4,1,12,3,'4/4',C7,A1,1,46
16.2639115646,0.24089569161,4,1,12,4,'4/4',C7,A1,1,46
16.5048072562,0.243185941043,4,1,13,1,'4/4',F-7,A1,1,46
16.7479931973,0.243185941043,4,1,13,2,'4/4',F-7,A1,1,46
16.9911791383,0.235657596372,4,1,13,3,'4/4',F-7,A1,1,46
17.2268367347,0.235657596372,4,1,13,4,'4/4',F-7,A1,1,46
17.4624943311,0.233424036281,4,1,14,1,'4/4',Bb7,A1,1,46
17.6959183673,0.233424036281,4,1,14,2,'4/4',Bb7,A1,1,46
17.9293424036,0.225804988662,4,1,14,3,'4/4',Bb7,A1,1,46
18.1551473923,0.225804988662,4,1,14,4,'4/4',Bb7,A1,1,46
18.380952381,0.228367346939,4,1,15,1,'4/4',Ebj7,A1,1,46
18.6093197279,0.228367346939,4,1,15,2,'4/4',Ebj7,A1,1,46
18.8376870748,0.23335600907,4,1,15,3,'4/4',Ebj7,A1,1,46
19.0710430839,0.23335600907,4,1,15,4,'4/4',Ebj7,A1,1,46
19.304399093,0.223503401361,4,1,16,1,'4/4',C7,A1,1,46
19.5279024943,0.223503401361,4,1,16,2,'4/4',C7,A1,1,51
19.7514058957,0.228605442177,4,1,16,3,'4/4',C7,A1,1,50
19.9800113379,0.228605442177,4,1,16,4,'4/4',C7,A1,1,47
20.20861678,0.243106575964,4,1,17,1,'4/4',F-7,B1,1,46
20.451723356,0.243106575964,4,1,17,2,'4/4',F-7,B1,1,46
20.694829932,0.227970521542,4,1,17,3,'4/4',F-7,B1,1,45
20.9228004535,0.227970521542,4,1,17,4,'4/4',F-7,B1,1,46
21.1507709751,0.238367346939,4,1,18,1,'4/4',Bb7,B1,1,46
21.389138322,0.238367346939,4,1,18,2,'4/4',Bb7,B1,1,46
21.6275056689,0.238287981859,4,1,18,3,'4/4',Bb7,B1,1,45
21.8657936508,0.238287981859,4,1,18,4,'4/4',Bb7,B1,1,46
22.1040816327,0.228458049887,4,1,19,1,'4/4',Ebj7,B1,1,46
