onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
0.383129251701,1.00011337868,4,1,-8,1,'4/4',NC,I1,0,46
1.38324263039,1.04324263039,4,1,-8,2,'4/4',NC,I1,0,46
2.42648526077,1.05650793651,4,1,-8,3,'4/4',NC,I1,0,41
3.48299319728,0.98231292517,4,1,-8,4,'4/4',NC,I1,0,45
4.46530612245,0.995918367347,4,1,-7,1,'4/4',Dj7,B1,0,45
5.4612244898,0.963265306122,4,1,-7,2,'4/4',Dj7,B1,0,45
6.42448979592,0.89641723356,4,1,-7,3,'4/4',E-7,B1,0,33
7.32090702948,0.907664399093,4,1,-7,4,'4/4',E-7,B1,0,37
8.22857142857,0.889795918367,4,1,-6,1,'4/4',D/F#,B1,0,38
9.11836734694,0.857142857143,4,1,-6,2,'4/4',D/F#,B1,0,38
9.97551020408,0.873469387755,4,1,-6,3,'4/4',G-7,B1,0,43
10.8489795918,0.881632653061,4,1,-6,4,'4/4',C7,B1,0,43
11.7306122449,0.889795918367,4,1,-5,1,'4/4',F#-7,B1,0,42
12.6204081633,0.930612244898,4,1,-5,2,'4/4',B-7,B1,0,35
13.5510204082,0.881632653061,4,1,-5,3,'4/4',E-7,B1,0,37
14.4326530612,0.922448979592,4,1,-5,4,'4/4',A7,B1,0,45
15.3551020408,0.914285714286,4,1,-4,1,'4/4',Dj7,B1,0,38
16.2693877551,0.90925170068,4,1,-4,2,'4/4',Dj7,B1,0,37
17.1786394558,0.857074829932,4,1,-4,3,'4/4',Dj7,B1,0,42
18.0357142857,0.896984126984,4,1,-4,4,'4/4',Dj7,B1,0,38
18.9326984127,0.897097505669,4,1,-3,1,'4/4',D-7,B1,0,38
19.8297959184,0.91566893424,4,1,-3,2,'4/4',D-7,B1,0,38
20.7454648526,0.89537414966,4,1,-3,3,'4/4',G7,B1,0,43
21.6408390023,0.860136054422,4,1,-3,4,'4/4',G7,B1,0,37
22.5009750567,0.913764172336,4,1,-2,1,'4/4',Cj7,B1,0,43
23.414739229,0.903628117914,4,1,-2,2,'4/4',Cj7,B1,0,37
24.3183673469,0.90612244898,4,1,-2,3,'4/4',Ebo,B1,0,37
25.2244897959,0.914285714286,4,1,-2,4,'4/4',Ebo,B1,0,45
26.1387755102,0.897959183673,4,1,-1,1,'4/4',D-7,B1,0,38
27.0367346939,0.912811791383,4,1,-1,2,'4/4',D-7,B1,0,38
27.9495464853,0.940952380952,4,1,-1,3,'4/4',G7,B1,0,43
28.8904988662,0.954399092971,4,1,-1,4,'4/4',G7,B1,0,37
29.8448979592,0.897959183673,4,1,0,1,'4/4',C7,B1,0,36
30.7428571429,0.941859410431,4,1,0,2,'4/4',B7,B1,0,35
31.6847165533,0.930476190476,4,1,0,3,'4/4',Bb7,B1,0,39
32.6151927438,0.889659863946,4,1,0,4,'4/4',Bb7,B1,0,38
33.5048526077,0.899977324263,4,1,1,1,'4/4',Eb-7,A1,1,46
34.404829932,0.966916099773,4,1,1,2,'4/4',Eb-7,A1,1,39
35.3717460317,0.944126984127,4,1,1,3,'4/4',Bb7,A1,1,53
36.3158730159,0.944126984127,4,1,1,4,'4/4',Bb7,A1,1,53
