onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.52380952381,0.32798185941,4,1,0,1,'4/4',NC,I1,0,40
1.85179138322,0.313469387755,4,1,0,2,'4/4',NC,I1,0,40
2.16526077098,0.307664399093,4,1,0,3,'4/4',NC,I1,0,43
2.47292517007,0.280839002268,4,1,0,4,'4/4',NC,I1,0,43
2.75376417234,0.332857142857,4,1,1,1,'4/4',Bb7,A1,1,43
3.08662131519,0.323038548753,4,1,1,2,'4/4',Bb7,A1,1,45
3.40965986395,0.341859410431,4,1,1,3,'4/4',Bb7,A1,1,46
3.75151927438,0.34970521542,4,1,1,4,'4/4',Bb7,A1,1,38
4.1012244898,0.349886621315,4,1,2,1,'4/4',Eb7,A1,1,39
4.45111111111,0.357052154195,4,1,2,2,'4/4',Eb7,A1,1,40
4.80816326531,0.343718820862,4,1,2,3,'4/4',Eb7,A1,1,43
5.15188208617,0.337573696145,4,1,2,4,'4/4',Eb7,A1,1,42
5.48945578231,0.332811791383,4,1,3,1,'4/4',Bb7,A1,1,42
5.8222675737,0.342721088435,4,1,3,2,'4/4',Bb7,A1,1,43
6.16498866213,0.34820861678,4,1,3,3,'4/4',Bb7,A1,1,44
6.51319727891,0.348027210884,4,1,3,4,'4/4',Bb7,A1,1,33
6.8612244898,0.351768707483,4,1,4,1,'4/4',Bb7,A1,1,34
7.21299319728,0.322199546485,4,1,4,2,'4/4',Bb7,A1,1,35
7.53519274376,0.333015873016,4,1,4,3,'4/4',Bb7,A1,1,36
7.86820861678,0.331904761905,4,1,4,4,'4/4',Bb7,A1,1,38
8.20011337868,0.348117913832,4,1,5,1,'4/4',Eb7,A1,1,39
8.54823129252,0.317800453515,4,1,5,2,'4/4',Eb7,A1,1,40
8.86603174603,0.312426303855,4,1,5,3,'4/4',Eb7,A1,1,41
9.17845804989,0.31335600907,4,1,5,4,'4/4',Eb7,A1,1,44
9.49181405896,0.312358276644,4,1,6,1,'4/4',Eb7,A1,1,46
9.8041723356,0.323242630385,4,1,6,2,'4/4',Eb7,A1,1,40
10.127414966,0.30664399093,4,1,6,3,'4/4',Eb7,A1,1,40
10.4340589569,0.348367346939,4,1,6,4,'4/4',Eb7,A1,1,45
10.7824263039,0.351541950113,4,1,7,1,'4/4',Bb7,A1,1,46
11.133968254,0.33843537415,4,1,7,2,'4/4',Bb7,A1,1,49
11.4724036281,0.307188208617,4,1,7,3,'4/4',Bb7,A1,1,50
11.7795918367,0.329614512472,4,1,7,4,'4/4',Bb7,A1,1,49
12.1092063492,0.319365079365,4,1,8,1,'4/4',D-7,A1,1,50
12.4285714286,0.330113378685,4,1,8,2,'4/4',D-7,A1,1,48
12.7586848073,0.331836734694,4,1,8,3,'4/4',G7,A1,1,47
13.090521542,0.33843537415,4,1,8,4,'4/4',G7,A1,1,43
13.4289569161,0.317823129252,4,1,9,1,'4/4',C-7,A1,1,36
13.7467800454,0.337324263039,4,1,9,2,'4/4',C-7,A1,1,38
14.0841043084,0.342607709751,4,1,9,3,'4/4',C-7,A1,1,39
14.4267120181,0.348390022676,4,1,9,4,'4/4',C-7,A1,1,44
14.7751020408,0.332063492063,4,1,10,1,'4/4',F7,A1,1,45
15.1071655329,0.322494331066,4,1,10,2,'4/4',F7,A1,1,39
15.4296598639,0.325079365079,4,1,10,3,'4/4',F7,A1,1,41
15.754739229,0.330589569161,4,1,10,4,'4/4',F7,A1,1,45
16.0853287982,0.332970521542,4,1,11,1,'4/4',Bb7,A1,1,46
16.4182993197,0.347233560091,4,1,11,2,'4/4',Bb7,A1,1,38
16.7655328798,0.352494331066,4,1,11,3,'4/4',Bb7,A1,1,43
17.1180272109,0.331882086168,4,1,11,4,'4/4',Bb7,A1,1,50
17.4499092971,0.358253968254,4,1,12,1,'4/4',F7,A1,1,39
17.8081632653,0.352290249433,4,1,12,2,'4/4',F7,A1,1,41
18.1604535147,0.337482993197,4,1,12,3,'4/4',F7,A1,1,41
18.4979365079,0.352494331066,4,1,12,4,'4/4',F7,A1,1,41
18.850430839,0.32306122449,4,1,13,1,'4/4',Bb7,A1,2,46
19.1734920635,0.347278911565,4,1,13,2,'4/4',Bb7,A1,2,42
19.5207709751,0.342607709751,4,1,13,3,'4/4',Bb7,A1,2,43
19.8633786848,0.338616780045,4,1,13,4,'4/4',Bb7,A1,2,43
20.2019954649,0.331972789116,4,1,14,1,'4/4',Eb7,A1,2,51
20.533968254,0.342675736961,4,1,14,2,'4/4',Eb7,A1,2,50
20.8766439909,0.33768707483,4,1,14,3,'4/4',Eb7,A1,2,39
21.2143310658,0.336916099773,4,1,14,4,'4/4',Eb7,A1,2,43
21.5512471655,0.338526077098,4,1,15,1,'4/4',Bb7,A1,2,38
21.8897732426,0.331972789116,4,1,15,2,'4/4',Bb7,A1,2,50
22.2217460317,0.323151927438,4,1,15,3,'4/4',Bb7,A1,2,51
22.5448979592,0.341632653061,4,1,15,4,'4/4',Bb7,A1,2,49
22.8865306122,0.323287981859,4,1,16,1,'4/4',Bb7,A1,2,50
23.2098185941,0.348253968254,4,1,16,2,'4/4',Bb7,A1,2,44
23.5580725624,0.341768707483,4,1,16,3,'4/4',Bb7,A1,2,34
23.8998412698,0.332879818594,4,1,16,4,'4/4',Bb7,A1,2,49
24.2327210884,0.332925170068,4,1,17,1,'4/4',Eb7,A1,2,39
24.5656462585,0.322244897959,4,1,17,2,'4/4',Eb7,A1,2,50
24.8878911565,0.332925170068,4,1,17,3,'4/4',Eb7,A1,2,49
25.2208163265,0.337346938776,4,1,17,4,'4/4',Eb7,A1,2,50
25.5581632653,0.343696145125,4,1,18,1,'4/4',Eb7,A1,2,43
25.9018594104,0.348299319728,4,1,18,2,'4/4',Eb7,A1,2,41
26.2501587302,0.350657596372,4,1,18,3,'4/4',Eb7,A1,2,39
26.6008163265,0.313287981859,4,1,18,4,'4/4',Eb7,A1,2,40
26.9141043084,0.342675736961,4,1,19,1,'4/4',Bb7,A1,2,34
27.2567800454,0.332063492063,4,1,19,2,'4/4',Bb7,A1,2,35
27.5888435374,0.328503401361,4,1,19,3,'4/4',Bb7,A1,2,36
27.9173469388,0.332040816327,4,1,19,4,'4/4',Bb7,A1,2,42
28.2493877551,0.342675736961,4,1,20,1,'4/4',D-7,A1,2,43
28.5920634921,0.31335600907,4,1,20,2,'4/4',D-7,A1,2,33
28.9054195011,0.351632653061,4,1,20,3,'4/4',G7,A1,2,34
29.2570521542,0.32306122449,4,1,20,4,'4/4',G7,A1,2,35
29.5801133787,0.347278911565,4,1,21,1,'4/4',C-7,A1,2,36
29.9273922902,0.342517006803,4,1,21,2,'4/4',C-7,A1,2,35
30.2699092971,0.323287981859,4,1,21,3,'4/4',C-7,A1,2,34
30.5931972789,0.322290249433,4,1,21,4,'4/4',C-7,A1,2,33
30.9154875283,0.348163265306,4,1,22,1,'4/4',G7,A1,2,43
31.2636507937,0.333015873016,4,1,22,2,'4/4',G7,A1,2,42
31.5966666667,0.331927437642,4,1,22,3,'4/4',G7,A1,2,41
31.9285941043,0.348117913832,4,1,22,4,'4/4',G7,A1,2,45
32.2767120181,0.332063492063,4,1,23,1,'4/4',Bb7,A1,2,46
32.6087755102,0.352494331066,4,1,23,2,'4/4',Bb7,A1,2,38
32.9612698413,0.348253968254,4,1,23,3,'4/4',G7,A1,2,43
33.3095238095,0.341678004535,4,1,23,4,'4/4',G7,A1,2,39
33.6512018141,0.342743764172,4,1,24,1,'4/4',C-7,A1,2,36
33.9939455782,0.338344671202,4,1,24,2,'4/4',C-7,A1,2,40
34.3322902494,0.341768707483,4,1,24,3,'4/4',F7,A1,2,42
34.6740589569,0.348390022676,4,1,24,4,'4/4',F7,A1,2,43
35.0224489796,0.32306122449,4,1,25,1,'4/4',Bb7,A1,3,50
35.3455102041,0.306825396825,4,1,25,2,'4/4',Bb7,A1,3,48
35.6523356009,0.332970521542,4,1,25,3,'4/4',Bb7,A1,3,34
35.9853061224,0.345215419501,4,1,25,4,'4/4',Bb7,A1,3,44
36.330521542,0.354648526077,4,1,26,1,'4/4',Eb7,A1,3,43
36.685170068,0.348163265306,4,1,26,2,'4/4',Eb7,A1,3,41
37.0333333333,0.351541950113,4,1,26,3,'4/4',Eb7,A1,3,40
37.3848752834,0.328458049887,4,1,26,4,'4/4',Eb7,A1,3,39
37.7133333333,0.344172335601,4,1,27,1,'4/4',Bb7,A1,3,42
38.0575056689,0.340317460317,4,1,27,2,'4/4',Bb7,A1,3,43
38.3978231293,0.338458049887,4,1,27,3,'4/4',Bb7,A1,3,43
38.7362811791,0.332131519274,4,1,27,4,'4/4',Bb7,A1,3,38
39.0684126984,0.332879818594,4,1,28,1,'4/4',Bb7,A1,3,38
39.401292517,0.323083900227,4,1,28,2,'4/4',Bb7,A1,3,35
39.7243764172,0.357074829932,4,1,28,3,'4/4',Bb7,A1,3,34
40.0814512472,0.332743764172,4,1,28,4,'4/4',Bb7,A1,3,34
40.4141950113,0.341972789116,4,1,29,1,'4/4',Eb7,A1,3,39
40.7561678005,0.33283446712,4,1,29,2,'4/4',Eb7,A1,3,43
41.0890022676,0.348253968254,4,1,29,3,'4/4',Eb7,A1,3,44
41.4372562358,0.332040816327,4,1,29,4,'4/4',Eb7,A1,3,33
41.7692970522,0.323151927438,4,1,30,1,'4/4',Eb7,A1,3,34
42.0924489796,0.332879818594,4,1,30,2,'4/4',Eb7,A1,3,35
42.4253287982,0.3320861678,4,1,30,3,'4/4',Eb7,A1,3,36
42.757414966,0.332857142857,4,1,30,4,'4/4',Eb7,A1,3,37
43.0902721088,0.33746031746,4,1,31,1,'4/4',Bb7,A1,3,38
43.4277324263,0.323106575964,4,1,31,2,'4/4',Bb7,A1,3,40
43.7508390023,0.352380952381,4,1,31,3,'4/4',Bb7,A1,3,40
44.1032199546,0.347596371882,4,1,31,4,'4/4',Bb7,A1,3,42
44.4508163265,0.342607709751,4,1,32,1,'4/4',D-7,A1,3,31
44.7934240363,0.346167800454,4,1,32,2,'4/4',D-7,A1,3,34
45.1395918367,0.343650793651,4,1,32,3,'4/4',G7,A1,3,35
45.4832426304,0.333015873016,4,1,32,4,'4/4',G7,A1,3,43
45.8162585034,0.356916099773,4,1,33,1,'4/4',C-7,A1,3,36
46.1731746032,0.35380952381,4,1,33,2,'4/4',C-7,A1,3,43
46.526984127,0.34693877551,4,1,33,3,'4/4',C-7,A1,3,50
46.8739229025,0.351609977324,4,1,33,4,'4/4',C-7,A1,3,43
47.2255328798,0.3579138322,4,1,34,1,'4/4',F7,A1,3,35
47.583446712,0.31335600907,4,1,34,2,'4/4',F7,A1,3,48
47.8968027211,0.341609977324,4,1,34,3,'4/4',F7,A1,3,41
48.2384126984,0.346439909297,4,1,34,4,'4/4',F7,A1,3,37
48.5848526077,0.354467120181,4,1,35,1,'4/4',Bb7,A1,3,42
48.9393197279,0.331904761905,4,1,35,2,'4/4',Bb7,A1,3,42
49.2712244898,0.316530612245,4,1,35,3,'4/4',Bb7,A1,3,43
49.587755102,0.319092970522,4,1,35,4,'4/4',Bb7,A1,3,46
49.9068480726,0.342743764172,4,1,36,1,'4/4',C-7,A1,3,36
50.2495918367,0.348095238095,4,1,36,2,'4/4',C-7,A1,3,35
50.5976870748,0.332131519274,4,1,36,3,'4/4',F7,A1,3,36
50.9298185941,0.323083900227,4,1,36,4,'4/4',F7,A1,3,37
51.2529024943,0.331950113379,4,1,37,1,'4/4',Bb7,A1,4,37
51.5848526077,0.323083900227,4,1,37,2,'4/4',Bb7,A1,4,42
51.9079365079,0.348367346939,4,1,37,3,'4/4',Bb7,A1,4,43
52.2563038549,0.336893424036,4,1,37,4,'4/4',Bb7,A1,4,42
52.5931972789,0.347596371882,4,1,38,1,'4/4',Eb7,A1,4,43
52.9407936508,0.33820861678,4,1,38,2,'4/4',Eb7,A1,4,52
53.2790022676,0.332131519274,4,1,38,3,'4/4',Eb7,A1,4,39
53.6111337868,0.332857142857,4,1,38,4,'4/4',Eb7,A1,4,52
