onset,duration,period,division,bar,beat,signature,chord,form,chorus_id
7.66755102041,0.590340136054,4,1,0,1,'4/4',Db6,I1,0
8.25789115646,0.619659863946,4,1,0,2,'4/4',Db6,I1,0
8.87755102041,0.614285714286,4,1,0,3,'4/4',Bb7,I1,0
9.49183673469,0.63664399093,4,1,0,4,'4/4',Bb7,I1,0
10.1284807256,0.638321995465,4,1,1,1,'4/4',Eb-7,A1,1
10.7668027211,0.592426303855,4,1,1,2,'4/4',Eb-7,A1,1
11.3592290249,0.595963718821,4,1,1,3,'4/4',Bb79b,A1,1
11.9551927438,0.590725623583,4,1,1,4,'4/4',Bb79b,A1,1
12.5459183673,0.605102040816,4,1,2,1,'4/4',Eb-7,A1,1
13.1510204082,0.662471655329,4,1,2,2,'4/4',Eb-7,A1,1
13.8134920635,0.629977324263,4,1,2,3,'4/4',D7,A1,1
14.4434693878,0.628458049887,4,1,2,4,'4/4',D7,A1,1
15.0719274376,0.64283446712,4,1,3,1,'4/4',Dbj7,A1,1
15.7147619048,0.598911564626,4,1,3,2,'4/4',Dbj7,A1,1
16.3136734694,0.644535147392,4,1,3,3,'4/4',Gb7,A1,1
16.9582086168,0.600975056689,4,1,3,4,'4/4',Gb7,A1,1
17.5591836735,0.60693877551,4,1,4,1,'4/4',F-7,A1,1
18.166122449,0.636961451247,4,1,4,2,'4/4',F-7,A1,1
18.8030839002,0.585215419501,4,1,4,3,'4/4',Eo7,A1,1
19.3882993197,0.589909297052,4,1,4,4,'4/4',Eo7,A1,1
19.9782086168,0.63514739229,4,1,5,1,'4/4',Eb-7,A1,1
20.6133560091,0.627301587302,4,1,5,2,'4/4',Eb-7,A1,1
21.2406575964,0.604240362812,4,1,5,3,'4/4',Eb-7,A1,1
21.8448979592,0.612244897959,4,1,5,4,'4/4',Eb-7,A1,1
22.4571428571,0.636734693878,4,1,6,1,'4/4',Cm7b5,A1,1
23.093877551,0.617936507937,4,1,6,2,'4/4',Cm7b5,A1,1
23.711814059,0.625011337868,4,1,6,3,'4/4',F7,A1,1
24.3368253968,0.589342403628,4,1,6,4,'4/4',F7,A1,1
24.9261678005,0.613151927438,4,1,7,1,'4/4',Bb-7,A1,1
25.5393197279,0.605510204082,4,1,7,2,'4/4',Eb7,A1,1
26.144829932,0.610430839002,4,1,7,3,'4/4',Eb-7,A1,1
26.755260771,0.609727891156,4,1,7,4,'4/4',Ab7,A1,1
27.3649886621,0.600770975057,4,1,8,1,'4/4',Db6,A1,1
27.9657596372,0.596848072562,4,1,8,2,'4/4',Db6,A1,1
28.5626077098,0.602063492063,4,1,8,3,'4/4',Bb7,A1,1
29.1646712018,0.616961451247,4,1,8,4,'4/4',Bb7,A1,1
29.7816326531,0.632358276644,4,1,9,1,'4/4',Eb-7,A2,1
30.4139909297,0.632108843537,4,1,9,2,'4/4',Eb-7,A2,1
31.0460997732,0.628367346939,4,1,9,3,'4/4',Bb79b,A2,1
31.6744671202,0.611814058957,4,1,9,4,'4/4',Bb79b,A2,1
32.2862811791,0.612063492063,4,1,10,1,'4/4',Eb-7,A2,1
32.8983446712,0.595283446712,4,1,10,2,'4/4',Eb-7,A2,1
33.4936281179,0.625192743764,4,1,10,3,'4/4',D7,A2,1
34.1188208617,0.608390022676,4,1,10,4,'4/4',D7,A2,1
34.7272108844,0.615578231293,4,1,11,1,'4/4',Dbj7,A2,1
35.3427891156,0.623492063492,4,1,11,2,'4/4',Dbj7,A2,1
35.9662811791,0.590589569161,4,1,11,3,'4/4',Gb7,A2,1
36.5568707483,0.631020408163,4,1,11,4,'4/4',Gb7,A2,1
