onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.85306122449,0.6,4,1,0,2,'4/4',NC,I1,0,37
3.45306122449,0.612244897959,4,1,0,3,'4/4',NC,I1,0,44
4.06530612245,0.610612244898,4,1,0,4,'4/4',NC,I1,0,37
4.67591836735,0.654693877551,4,1,1,1,'4/4',Db7,A1,1,37
5.3306122449,0.62566893424,4,1,1,2,'4/4',Db7,A1,1,37
5.95628117914,0.649841269841,4,1,1,3,'4/4',Db7,A1,1,41
6.60612244898,0.648299319728,4,1,1,4,'4/4',Db7,A1,1,41
7.25442176871,0.598707482993,4,1,2,1,'4/4',Gb7,A1,1,42
7.8531292517,0.595827664399,4,1,2,2,'4/4',Gb7,A1,1,42
8.4489569161,0.637210884354,4,1,2,3,'4/4',Go,A1,1,43
9.08616780045,0.596780045351,4,1,2,4,'4/4',Go,A1,1,43
9.6829478458,0.599297052154,4,1,3,1,'4/4',Db,A1,1,44
10.282244898,0.575238095238,4,1,3,2,'4/4',Db,A1,1,44
10.8574829932,0.619682539683,4,1,3,3,'4/4',Db7,A1,1,42
11.4771655329,0.59433106576,4,1,3,4,'4/4',Db7,A1,1,42
12.0714965986,0.653083900227,4,1,4,1,'4/4',Bb-7,A1,1,42
12.7245804989,0.597845804989,4,1,4,2,'4/4',Bb-7,A1,1,42
13.3224263039,0.592947845805,4,1,4,3,'4/4',Db7,A1,1,37
13.9153741497,0.602222222222,4,1,4,4,'4/4',Db7,A1,1,42
14.5175963719,0.627551020408,4,1,5,1,'4/4',Gb7,A1,1,42
15.1451473923,0.593106575964,4,1,5,2,'4/4',Gb7,A1,1,37
15.7382539683,0.626780045351,4,1,5,3,'4/4',Gb7,A1,1,42
16.3650340136,0.581882086168,4,1,5,4,'4/4',Gb7,A1,1,37
16.9469160998,0.597369614512,4,1,6,1,'4/4',Gb7,A1,1,42
17.5442857143,0.642630385488,4,1,6,2,'4/4',Gb7,A1,1,37
18.1869160998,0.564807256236,4,1,6,3,'4/4',Go,A1,1,42
18.751723356,0.617845804989,4,1,6,4,'4/4',Go,A1,1,43
19.369569161,0.61074829932,4,1,7,1,'4/4',Db7,A1,1,44
19.9803174603,0.583718820862,4,1,7,2,'4/4',Db7,A1,1,44
20.5640362812,0.607959183673,4,1,7,3,'4/4',Db7,A1,1,42
21.1719954649,0.595873015873,4,1,7,4,'4/4',Db7,A1,1,42
21.7678684807,0.61335600907,4,1,8,1,'4/4',Db7,A1,1,42
22.3812244898,0.61306122449,4,1,8,2,'4/4',Db7,A1,1,41
22.9942857143,0.60664399093,4,1,8,3,'4/4',Ao,A1,1,40
23.6009297052,0.614920634921,4,1,8,4,'4/4',Ao,A1,1,40
24.2158503401,0.625850340136,4,1,9,1,'4/4',Ab7,A1,1,39
24.8417006803,0.621133786848,4,1,9,2,'4/4',Ab7,A1,1,39
25.4628344671,0.607800453515,4,1,9,3,'4/4',Ab7,A1,1,44
26.0706349206,0.610657596372,4,1,9,4,'4/4',Ab7,A1,1,44
26.681292517,0.583673469388,4,1,10,1,'4/4',Gb7,A1,1,40
27.2649659864,0.597596371882,4,1,10,2,'4/4',Gb7,A1,1,44
27.8625623583,0.572698412698,4,1,10,3,'4/4',Gb7,A1,1,38
28.435260771,0.604195011338,4,1,10,4,'4/4',Gb7,A1,1,38
29.0394557823,0.631201814059,4,1,11,1,'4/4',Db7,A1,1,37
29.6706575964,0.612131519274,4,1,11,2,'4/4',Db7,A1,1,37
30.2827891156,0.582494331066,4,1,11,3,'4/4',Db7,A1,1,37
30.8652834467,0.598571428571,4,1,11,4,'4/4',Db7,A1,1,36
31.4638548753,0.583106575964,4,1,12,1,'4/4',Db7,A1,1,37
32.0469614512,0.609183673469,4,1,12,2,'4/4',Db7,A1,1,37
32.6561451247,0.603990929705,4,1,12,3,'4/4',Db7,A1,1,44
33.2601360544,0.650975056689,4,1,12,4,'4/4',Db7,A1,1,44
33.9111111111,0.650975056689,4,1,13,1,'4/4',NC,I1,1,37
