onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
4.73716553288,0.79537414966,4,1,0,3,'4/4',NC,I1,0,36
5.53253968254,0.763650793651,4,1,0,4,'4/4',NC,I1,0,40
6.29619047619,0.838503401361,4,1,1,1,'4/4',Gj7,A1,1,41
7.13469387755,0.854376417234,4,1,1,2,'4/4',Gj7,A1,1,33
7.98907029478,0.844149659864,4,1,1,3,'4/4',Gj7,A1,1,48
8.83321995465,0.862925170068,4,1,1,4,'4/4',Gj7,A1,1,38
9.69614512472,0.869115646259,4,1,2,1,'4/4',Gj7,A1,1,41
10.565260771,0.814716553288,4,1,2,2,'4/4',Gj7,A1,1,45
11.3799773243,0.827868480726,4,1,2,3,'4/4',Gj7,A1,1,48
12.207845805,0.859365079365,4,1,2,4,'4/4',Gj7,A1,1,37
13.0672108844,0.84335600907,4,1,3,1,'4/4',Bb-7,A1,1,37
13.9105668934,0.789659863946,4,1,3,2,'4/4',Bb-7,A1,1,44
14.7002267574,0.814058956916,4,1,3,3,'4/4',Bb-7,A1,1,37
15.5142857143,0.863446712018,4,1,3,4,'4/4',Bb-7,A1,1,47
16.3777324263,0.859546485261,4,1,4,1,'4/4',Eb7,A1,1,44
17.2372789116,0.862267573696,4,1,4,2,'4/4',Eb7,A1,1,39
18.0995464853,0.804920634921,4,1,4,3,'4/4',Eb7,A1,1,37
18.9044671202,0.819024943311,4,1,4,4,'4/4',Eb7,A1,1,37
19.7234920635,0.843242630385,4,1,5,1,'4/4',Gj7,A1,1,41
20.5667346939,0.865283446712,4,1,5,2,'4/4',Gj7,A1,1,45
21.4320181406,0.827732426304,4,1,5,3,'4/4',Gj7,A1,1,37
22.2597505669,0.844353741497,4,1,5,4,'4/4',Gj7,A1,1,38
23.1041043084,0.864693877551,4,1,6,1,'4/4',Gj7,A1,1,41
23.9687981859,0.812698412698,4,1,6,2,'4/4',Gj7,A1,1,48
24.7814965986,0.818503401361,4,1,6,3,'4/4',Gj7,A1,1,45
25.6,0.766258503401,4,1,6,4,'4/4',Gj7,A1,1,41
26.3662585034,0.853083900227,4,1,7,1,'4/4',B-7,A1,1,38
27.2193424036,0.878095238095,4,1,7,2,'4/4',B-7,A1,1,38
28.0974376417,0.853990929705,4,1,7,3,'4/4',B-7,A1,1,40
28.9514285714,0.842947845805,4,1,7,4,'4/4',B-7,A1,1,38
29.7943764172,0.809319727891,4,1,8,1,'4/4',E79b,A1,1,38
30.6036961451,0.859342403628,4,1,8,2,'4/4',E79b,A1,1,41
31.4630385488,0.835918367347,4,1,8,3,'4/4',E79b,A1,1,42
32.2989569161,0.824308390023,4,1,8,4,'4/4',E79b,A1,1,38
33.1232653061,0.87074829932,4,1,9,1,'4/4',A-7,A1,1,43
33.9940136054,0.859138321995,4,1,9,2,'4/4',A-7,A1,1,45
34.8531519274,0.847528344671,4,1,9,3,'4/4',A-7,A1,1,46
35.7006802721,0.835918367347,4,1,9,4,'4/4',A-7,A1,1,43
36.5365986395,0.847528344671,4,1,10,1,'4/4',E79b,A1,1,45
37.3841269841,0.859138321995,4,1,10,2,'4/4',E79b,A1,1,33
38.2432653061,0.801088435374,4,1,10,3,'4/4',E79b,A1,1,38
39.0443537415,0.847528344671,4,1,10,4,'4/4',E79b,A1,1,45
39.8918820862,0.812698412698,4,1,11,1,'4/4',A-7,A1,1,43
40.7045804989,0.80433106576,4,1,11,2,'4/4',A-7,A1,1,50
41.5089115646,0.815260770975,4,1,11,3,'4/4',A-7,A1,1,43
42.3241723356,0.833990929705,4,1,11,4,'4/4',A-7,A1,1,38
43.1581632653,0.817732426304,4,1,12,1,'4/4',A-7,A1,1,39
43.9758956916,0.842947845805,4,1,12,2,'4/4',A-7,A1,1,46
44.8188435374,0.824829931973,4,1,12,3,'4/4',A-7,A1,1,43
45.6436734694,0.859659863946,4,1,12,4,'4/4',A-7,A1,1,39
46.5033333333,0.824240362812,4,1,13,1,'4/4',Eb7,A1,1,45
47.3275736961,0.878752834467,4,1,13,2,'4/4',Eb7,A1,1,45
48.2063265306,0.845827664399,4,1,13,3,'4/4',Eb7,A1,1,44
49.052154195,0.847528344671,4,1,13,4,'4/4',Eb7,A1,1,44
49.8996825397,0.801088435374,4,1,14,1,'4/4',Eb7,A1,1,43
50.7007709751,0.835918367347,4,1,14,2,'4/4',Eb7,A1,1,43
51.5366893424,0.87074829932,4,1,14,3,'4/4',Eb7,A1,1,37
52.4074376417,0.885646258503,4,1,14,4,'4/4',Eb7,A1,1,36
53.2930839002,0.971950113379,4,1,15,1,'4/4',NC,I1,1,36
54.2650340136,0.87074829932,4,1,15,2,'4/4',NC,I1,1,41
55.1357823129,3.69197278912,4,1,15,3,'4/4',NC,I1,1,41
58.827755102,4.05387755102,4,1,15,4,'4/4',NC,I1,1,43
62.8816326531,4.28571428571,4,1,16,1,'4/4',NC,I1,1,49
67.1673469388,4.16326530612,4,1,16,2,'4/4',NC,I1,1,39
71.3306122449,3.68163265306,4,1,16,3,'4/4',NC,I1,1,41
75.012244898,3.68163265306,4,1,16,4,'4/4',NC,I1,1,41
