onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.25918367347,0.414013605442,4,1,-2,1,'4/4',NC,I1,0,38
2.67319727891,0.377324263039,4,1,-2,2,'4/4',NC,I1,0,38
3.05052154195,0.38022675737,4,1,-2,3,'4/4',NC,I1,0,38
3.43074829932,0.394739229025,4,1,-2,4,'4/4',NC,I1,0,38
3.82548752834,0.406349206349,4,1,-1,1,'4/4',NC,I1,0,43
4.23183673469,0.423764172336,4,1,-1,2,'4/4',NC,I1,0,43
4.65560090703,0.406349206349,4,1,-1,3,'4/4',NC,I1,0,43
5.06195011338,0.40925170068,4,1,-1,4,'4/4',NC,I1,0,43
5.47120181406,0.403446712018,4,1,0,1,'4/4',NC,I1,0,37
5.87464852608,0.400544217687,4,1,0,2,'4/4',NC,I1,0,39
6.27519274376,0.400544217687,4,1,0,3,'4/4',NC,I1,0,46
6.67573696145,0.393287981859,4,1,0,4,'4/4',NC,I1,0,43
7.06902494331,0.410702947846,4,1,1,1,'4/4',Gj7,A1,1,43
7.47972789116,0.412154195011,4,1,1,2,'4/4',Gj7,A1,1,33
7.89188208617,0.417959183673,4,1,1,3,'4/4',Gj7,A1,1,35
8.30984126984,0.388934240363,4,1,1,4,'4/4',Gj7,A1,1,38
8.6987755102,0.397641723356,4,1,2,1,'4/4',Gj7,A1,1,43
9.09641723356,0.377324263039,4,1,2,2,'4/4',Gj7,A1,1,35
9.4737414966,0.413605442177,4,1,2,3,'4/4',Gj7,A1,1,35
9.88734693878,0.397641723356,4,1,2,4,'4/4',Gj7,A1,1,35
10.2849886621,0.378775510204,4,1,3,1,'4/4',Bb-7,A1,1,39
10.6637641723,0.383129251701,4,1,3,2,'4/4',Bb-7,A1,1,43
11.046893424,0.40925170068,4,1,3,3,'4/4',Bb-7,A1,1,45
11.4561451247,0.383129251701,4,1,3,4,'4/4',Bb-7,A1,1,48
11.8392743764,0.377324263039,4,1,4,1,'4/4',Eb7,A1,1,37
12.2165986395,0.397641723356,4,1,4,2,'4/4',Eb7,A1,1,38
12.6142403628,0.420861678005,4,1,4,3,'4/4',Eb7,A1,1,53
13.0351020408,0.394739229025,4,1,4,4,'4/4',Eb7,A1,1,38
13.4298412698,0.370068027211,4,1,5,1,'4/4',Gj7,A1,1,43
13.7999092971,0.39619047619,4,1,5,2,'4/4',Gj7,A1,1,52
14.1960997732,0.400544217687,4,1,5,3,'4/4',Gj7,A1,1,38
14.5966439909,0.412154195011,4,1,5,4,'4/4',Gj7,A1,1,43
15.0087981859,0.413605442177,4,1,6,1,'4/4',Gj7,A1,1,40
15.4224036281,0.412154195011,4,1,6,2,'4/4',Gj7,A1,1,38
15.8345578231,0.413605442177,4,1,6,3,'4/4',Gj7,A1,1,36
16.2481632653,0.393287981859,4,1,6,4,'4/4',Gj7,A1,1,33
16.6414512472,0.393287981859,4,1,7,1,'4/4',B-7,A1,1,36
17.034739229,0.403446712018,4,1,7,2,'4/4',B-7,A1,1,37
17.438185941,0.386031746032,4,1,7,3,'4/4',B-7,A1,1,38
17.8242176871,0.378707482993,4,1,7,4,'4/4',B-7,A1,1,39
18.2029251701,0.396462585034,4,1,8,1,'4/4',E79b,A1,1,40
18.5993877551,0.399501133787,4,1,8,2,'4/4',E79b,A1,1,38
18.9988888889,0.399931972789,4,1,8,3,'4/4',E79b,A1,1,35
19.3988208617,0.429569160998,4,1,8,4,'4/4',E79b,A1,1,40
19.8283900227,0.412154195011,4,1,9,1,'4/4',A-7,B1,1,33
20.2405442177,0.42231292517,4,1,9,2,'4/4',A-7,B1,1,35
20.6628571429,0.391836734694,4,1,9,3,'4/4',A-7,B1,1,37
21.0546938776,0.417959183673,4,1,9,4,'4/4',A-7,B1,1,38
21.4726530612,0.371519274376,4,1,10,1,'4/4',E79b,B1,1,40
21.8441723356,0.386031746032,4,1,10,2,'4/4',E79b,B1,1,38
22.2302040816,0.394739229025,4,1,10,3,'4/4',E79b,B1,1,36
22.6249433107,0.368775510204,4,1,10,4,'4/4',E79b,B1,1,40
22.9937188209,0.394580498866,4,1,11,1,'4/4',A-7,B1,1,33
23.3882993197,0.415056689342,4,1,11,2,'4/4',A-7,B1,1,36
23.8033560091,0.410702947846,4,1,11,3,'4/4',A-7,B1,1,37
24.2140589569,0.390158730159,4,1,11,4,'4/4',A-7,B1,1,38
24.6042176871,0.40947845805,4,1,12,1,'4/4',A-7,B1,1,40
25.0136961451,0.412154195011,4,1,12,2,'4/4',A-7,B1,1,43
25.4258503401,0.374489795918,4,1,12,3,'4/4',A-7,B1,1,45
25.8003401361,0.393832199546,4,1,12,4,'4/4',A-7,B1,1,33
26.1941723356,0.40156462585,4,1,13,1,'4/4',Eb7,B1,1,39
26.5957369615,0.386303854875,4,1,13,2,'4/4',Eb7,B1,1,43
