onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
5.09412698413,0.46566893424,4,1,0,1,'4/4',C6,I1,0,37
5.55979591837,0.448594104308,4,1,0,2,'4/4',C6,I1,0,40
6.00839002268,0.457891156463,4,1,0,3,'4/4',C6,I1,0,33
6.46628117914,0.474716553288,4,1,0,4,'4/4',C6,I1,0,35
6.94099773243,0.445714285714,4,1,1,1,'4/4',G-7,A1,1,37
7.38671201814,0.453129251701,4,1,1,2,'4/4',G-7,A1,1,40
7.83984126984,0.428027210884,4,1,1,3,'4/4',G-7,A1,1,46
8.26786848073,0.447233560091,4,1,1,4,'4/4',G-7,A1,1,43
8.71510204082,0.436326530612,4,1,2,1,'4/4',C7,A1,1,48
9.15142857143,0.434149659864,4,1,2,2,'4/4',C7,A1,1,37
9.58557823129,0.433650793651,4,1,2,3,'4/4',C7,A1,1,50
10.0192290249,0.430929705215,4,1,2,4,'4/4',C7,A1,1,37
10.4501587302,0.429569160998,4,1,3,1,'4/4',G-7,A1,1,52
10.8797278912,0.443333333333,4,1,3,2,'4/4',G-7,A1,1,36
11.3230612245,0.430045351474,4,1,3,3,'4/4',G-7,A1,1,50
11.753106576,0.447052154195,4,1,3,4,'4/4',G-7,A1,1,43
12.2001587302,0.424784580499,4,1,4,1,'4/4',C7,A1,1,46
12.6249433107,0.450770975057,4,1,4,2,'4/4',C7,A1,1,44
13.0757142857,0.431156462585,4,1,4,3,'4/4',C7,A1,1,42
13.5068707483,0.446485260771,4,1,4,4,'4/4',C7,A1,1,40
13.9533560091,0.448934240363,4,1,5,1,'4/4',F7,A1,1,41
14.4022902494,0.443673469388,4,1,5,2,'4/4',F7,A1,1,33
14.8459637188,0.426235827664,4,1,5,3,'4/4',F7,A1,1,38
15.2721995465,0.439591836735,4,1,5,4,'4/4',F7,A1,1,41
15.7117913832,0.435963718821,4,1,6,1,'4/4',Bbj7,A1,1,34
16.147755102,0.45126984127,4,1,6,2,'4/4',Bbj7,A1,1,41
16.5990249433,0.439319727891,4,1,6,3,'4/4',Eb7,A1,1,46
17.0383446712,0.438684807256,4,1,6,4,'4/4',Eb7,A1,1,39
17.4770294785,0.437709750567,4,1,7,1,'4/4',Cj7,A1,1,44
17.914739229,0.451632653061,4,1,7,2,'4/4',Cj7,A1,1,37
18.3663718821,0.446394557823,4,1,7,3,'4/4',G7,A1,1,42
