onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.17102040816,0.29433106576,4,1,-1,3,'4/4',Dj7,I1,0,38
2.46535147392,0.29433106576,4,1,-1,4,'4/4',Dj7,I1,0,38
2.75968253968,0.291995464853,4,1,0,1,'4/4',Dj7,I1,0,38
3.05167800454,0.291995464853,4,1,0,2,'4/4',Dj7,I1,0,38
3.34367346939,0.284444444444,4,1,0,3,'4/4',Dj7,I1,0,33
3.62811791383,0.284444444444,4,1,0,4,'4/4',Dj7,I1,0,35
3.91256235828,0.312471655329,4,1,1,1,'4/4',Dj7,A1,1,38
4.22503401361,0.312471655329,4,1,1,2,'4/4',Dj7,A1,1,38
4.53750566893,0.314160997732,4,1,1,3,'4/4',Dj7,A1,1,45
4.85166666667,0.314160997732,4,1,1,4,'4/4',Dj7,A1,1,45
5.1658276644,0.316507936508,4,1,2,1,'4/4',Dj7,A1,1,38
5.48233560091,0.316507936508,4,1,2,2,'4/4',Dj7,A1,1,38
5.79884353741,0.296655328798,4,1,2,3,'4/4',Dj7,A1,1,38
6.09549886621,0.296655328798,4,1,2,4,'4/4',Dj7,A1,1,45
6.39215419501,0.307709750567,4,1,3,1,'4/4',Ebj7,A1,1,39
6.69986394558,0.307709750567,4,1,3,2,'4/4',Ebj7,A1,1,39
7.00757369615,0.301882086168,4,1,3,3,'4/4',Ebj7,A1,1,39
7.30945578231,0.301882086168,4,1,3,4,'4/4',Ebj7,A1,1,39
7.61133786848,0.292290249433,4,1,4,1,'4/4',Ebj7,A1,1,39
7.90362811791,0.292290249433,4,1,4,2,'4/4',Ebj7,A1,1,39
8.19591836735,0.28947845805,4,1,4,3,'4/4',Ebj7,A1,1,39
8.4853968254,0.28947845805,4,1,4,4,'4/4',Ebj7,A1,1,41
8.77487528345,0.287573696145,4,1,5,1,'4/4',F7,A1,1,41
9.06244897959,0.287573696145,4,1,5,2,'4/4',F7,A1,1,41
9.35002267574,0.284693877551,4,1,5,3,'4/4',F7,A1,1,41
9.63471655329,0.284693877551,4,1,5,4,'4/4',F7,A1,1,42
9.91941043084,0.274943310658,4,1,6,1,'4/4',F7,A1,1,40
10.1943537415,0.274943310658,4,1,6,2,'4/4',F7,A1,1,40
10.4692970522,0.265351473923,4,1,6,3,'4/4',F7,A1,1,41
10.7346485261,0.265351473923,4,1,6,4,'4/4',F7,A1,1,46
11.0,0.283310657596,4,1,7,1,'4/4',Bbj7,A1,1,46
11.2833106576,0.283310657596,4,1,7,2,'4/4',Bbj7,A1,1,46
11.5666213152,0.282902494331,4,1,7,3,'4/4',Bbj7,A1,1,34
11.8495238095,0.282902494331,4,1,7,4,'4/4',Bbj7,A1,1,46
12.1324263039,0.280090702948,4,1,8,1,'4/4',Bbj7,A1,1,42
12.4125170068,0.280090702948,4,1,8,2,'4/4',Bbj7,A1,1,43
12.6926077098,0.284444444444,4,1,8,3,'4/4',Bbj7,A1,1,43
12.9770521542,0.284444444444,4,1,8,4,'4/4',Bbj7,A1,1,45
13.2614965986,0.300408163265,4,1,9,1,'4/4',A-7,A1,1,45
13.5619047619,0.300408163265,4,1,9,2,'4/4',A-7,A1,1,45
13.8623129252,0.290249433107,4,1,9,3,'4/4',A-7,A1,1,45
14.1525623583,0.290249433107,4,1,9,4,'4/4',A-7,A1,1,43
14.4428117914,0.286439909297,4,1,10,1,'4/4',D7,A1,1,38
14.7292517007,0.286439909297,4,1,10,2,'4/4',D7,A1,1,38
15.01569161,0.292154195011,4,1,10,3,'4/4',D7,A1,1,38
15.307845805,0.292154195011,4,1,10,4,'4/4',D7,A1,1,38
15.6,0.318367346939,4,1,11,1,'4/4',Gj7,A1,1,43
15.9183673469,0.318367346939,4,1,11,2,'4/4',Gj7,A1,1,43
16.2367346939,0.324013605442,4,1,11,3,'4/4',Gj7,A1,1,43
16.5607482993,0.324013605442,4,1,11,4,'4/4',Gj7,A1,1,43
16.8847619048,0.284149659864,4,1,12,1,'4/4',Gj7,A1,1,43
17.1689115646,0.284149659864,4,1,12,2,'4/4',Gj7,A1,1,43
17.4530612245,0.286519274376,4,1,12,3,'4/4',Gj7,A1,1,43
17.7395804989,0.286519274376,4,1,12,4,'4/4',Gj7,A1,1,43
18.0260997732,0.311746031746,4,1,13,1,'4/4',B-7,A1,1,43
18.337845805,0.311746031746,4,1,13,2,'4/4',B-7,A1,1,43
18.6495918367,0.30970521542,4,1,13,3,'4/4',B-7,A1,1,43
18.9592970522,0.30970521542,4,1,13,4,'4/4',B-7,A1,1,43
19.2690022676,0.301746031746,4,1,14,1,'4/4',E7,A1,1,43
19.5707482993,0.301746031746,4,1,14,2,'4/4',E7,A1,1,43
19.8724943311,0.299399092971,4,1,14,3,'4/4',E7,A1,1,43
20.171893424,0.299399092971,4,1,14,4,'4/4',E7,A1,1,43
20.471292517,0.288129251701,4,1,15,1,'4/4',F-7,A1,1,40
20.7594217687,0.288129251701,4,1,15,2,'4/4',F-7,A1,1,40
21.0475510204,0.301224489796,4,1,15,3,'4/4',Bb7,A1,1,40
21.3487755102,0.301224489796,4,1,15,4,'4/4',Bb7,A1,1,40
21.65,0.301145124717,4,1,16,1,'4/4',E-7,A1,1,45
21.9511451247,0.301145124717,4,1,16,2,'4/4',E-7,A1,1,45
22.2522902494,0.290510204082,4,1,16,3,'4/4',A7,A1,1,33
22.5428004535,0.290510204082,4,1,16,4,'4/4',A7,A1,1,45
22.8333106576,0.306519274376,4,1,17,1,'4/4',Dj7,B1,1,38
23.139829932,0.306519274376,4,1,17,2,'4/4',Dj7,B1,1,38
23.4463492063,0.302437641723,4,1,17,3,'4/4',Dj7,B1,1,38
23.7487868481,0.302437641723,4,1,17,4,'4/4',Dj7,B1,1,38
24.0512244898,0.318560090703,4,1,18,1,'4/4',Dj7,B1,1,38
24.3697845805,0.318560090703,4,1,18,2,'4/4',Dj7,B1,1,38
24.6883446712,0.298786848073,4,1,18,3,'4/4',Dj7,B1,1,38
24.9871315193,0.298786848073,4,1,18,4,'4/4',Dj7,B1,1,45
25.2859183673,0.322380952381,4,1,19,1,'4/4',Ebj7,B1,1,39
25.6082993197,0.322380952381,4,1,19,2,'4/4',Ebj7,B1,1,39
25.9306802721,0.309160997732,4,1,19,3,'4/4',Ebj7,B1,1,39
26.2398412698,0.309160997732,4,1,19,4,'4/4',Ebj7,B1,1,39
26.5490022676,0.305306122449,4,1,20,1,'4/4',Ebj7,B1,1,39
26.85430839,0.305306122449,4,1,20,2,'4/4',Ebj7,B1,1,39
27.1596145125,0.279603174603,4,1,20,3,'4/4',Ebj7,B1,1,39
27.4392176871,0.279603174603,4,1,20,4,'4/4',Ebj7,B1,1,47
27.7188208617,0.293707482993,4,1,21,1,'4/4',F7,B1,1,41
28.0125283447,0.293707482993,4,1,21,2,'4/4',F7,B1,1,41
28.3062358277,0.297244897959,4,1,21,3,'4/4',F7,B1,1,41
28.6034807256,0.297244897959,4,1,21,4,'4/4',F7,B1,1,48
28.9007256236,0.305532879819,4,1,22,1,'4/4',F7,B1,1,48
29.2062585034,0.305532879819,4,1,22,2,'4/4',F7,B1,1,50
29.5117913832,0.277857142857,4,1,22,3,'4/4',F7,B1,1,50
29.7896485261,0.277857142857,4,1,22,4,'4/4',F7,B1,1,46
30.0675056689,0.306530612245,4,1,23,1,'4/4',Ab7,B1,1,46
30.3740362812,0.306530612245,4,1,23,2,'4/4',Ab7,B1,1,34
