onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
4.33469387755,0.257142857143,4,1,0,4,'4/4',NC,I1,0,40
4.59183673469,0.262766439909,4,1,1,1,'4/4',F7alt,A1,1,41
4.8546031746,0.258866213152,4,1,1,2,'4/4',F7alt,A1,1,41
5.11346938776,0.249795918367,4,1,1,3,'4/4',F7alt,A1,1,45
5.36326530612,0.256349206349,4,1,1,4,'4/4',F7alt,A1,1,38
5.61961451247,0.248117913832,4,1,2,1,'4/4',Bb7alt,A1,1,46
5.8677324263,0.262335600907,4,1,2,2,'4/4',Bb7alt,A1,1,46
6.13006802721,0.268888888889,4,1,2,3,'4/4',Bb7alt,A1,1,47
6.3989569161,0.268843537415,4,1,2,4,'4/4',Bb7alt,A1,1,38
6.66780045351,0.242857142857,4,1,3,1,'4/4',F7alt,A1,1,45
6.91065759637,0.258866213152,4,1,3,2,'4/4',F7alt,A1,1,45
7.16952380952,0.252426303855,4,1,3,3,'4/4',F7alt,A1,1,38
7.42195011338,0.259047619048,4,1,3,4,'4/4',F7alt,A1,1,37
7.68099773243,0.267959183673,4,1,4,1,'4/4',F7alt,A1,1,42
7.9489569161,0.263197278912,4,1,4,2,'4/4',F7alt,A1,1,47
8.21215419501,0.249070294785,4,1,4,3,'4/4',F7alt,A1,1,38
8.4612244898,0.265306122449,4,1,4,4,'4/4',F7alt,A1,1,45
8.72653061224,0.256689342404,4,1,5,1,'4/4',Bb7,A1,1,46
8.98321995465,0.250975056689,4,1,5,2,'4/4',Bb7,A1,1,41
9.23419501134,0.259138321995,4,1,5,3,'4/4',Bb7,A1,1,46
9.49333333333,0.247437641723,4,1,5,4,'4/4',Bb7,A1,1,44
9.74077097506,0.248004535147,4,1,6,1,'4/4',Bo7,A1,1,46
9.9887755102,0.249092970522,4,1,6,2,'4/4',Bo7,A1,1,47
10.2378684807,0.24358276644,4,1,6,3,'4/4',Bo7,A1,1,43
10.4814512472,0.248276643991,4,1,6,4,'4/4',Bo7,A1,1,38
10.7297278912,0.26306122449,4,1,7,1,'4/4',F7,A1,1,47
10.9927891156,0.258367346939,4,1,7,2,'4/4',F7,A1,1,47
11.2511564626,0.260136054422,4,1,7,3,'4/4',F7,A1,1,48
11.511292517,0.266258503401,4,1,7,4,'4/4',F7,A1,1,38
11.7775510204,0.263424036281,4,1,8,1,'4/4',Db-7,A1,1,47
12.0409750567,0.252585034014,4,1,8,2,'4/4',Db-7,A1,1,47
12.2935600907,0.259024943311,4,1,8,3,'4/4',Gb7,A1,1,49
12.552585034,0.26798185941,4,1,8,4,'4/4',Gb7,A1,1,42
12.8205668934,0.253469387755,4,1,9,1,'4/4',G-7,A1,1,43
13.0740362812,0.242653061224,4,1,9,2,'4/4',G-7,A1,1,45
13.3166893424,0.249569160998,4,1,9,3,'4/4',C7,A1,1,45
13.5662585034,0.242494331066,4,1,9,4,'4/4',C7,A1,1,38
13.8087528345,0.242630385488,4,1,10,1,'4/4',Ab-7,A1,1,44
14.05138322,0.258684807256,4,1,10,2,'4/4',Ab-7,A1,1,38
14.3100680272,0.250294784581,4,1,10,3,'4/4',Db+7,A1,1,37
14.5603628118,0.274285714286,4,1,10,4,'4/4',Db+7,A1,1,45
14.8346485261,0.265351473923,4,1,11,1,'4/4',A-7,A1,1,45
15.1,0.272380952381,4,1,11,2,'4/4',A-7,A1,1,41
15.3723809524,0.258163265306,4,1,11,3,'4/4',D7,A1,1,42
15.6305442177,0.258934240363,4,1,11,4,'4/4',D7,A1,1,38
15.889478458,0.24283446712,4,1,12,1,'4/4',G7alt,A1,1,44
16.1323129252,0.243560090703,4,1,12,2,'4/4',G7alt,A1,1,46
16.3758730159,0.26798185941,4,1,12,3,'4/4',G7alt,A1,1,43
16.6438548753,0.253401360544,4,1,12,4,'4/4',G7alt,A1,1,38
16.8972562358,0.248027210884,4,1,13,1,'4/4',C,A1,1,40
17.1452834467,0.246553287982,4,1,13,2,'4/4',C,A1,1,45
17.3918367347,0.265714285714,4,1,13,3,'4/4',Db/C,A1,1,43
17.6575510204,0.25253968254,4,1,13,4,'4/4',Db/C,A1,1,46
17.9100907029,0.253718820862,4,1,14,1,'4/4',D/C,A1,1,45
18.1638095238,0.261224489796,4,1,14,2,'4/4',D/C,A1,1,47
18.4250340136,0.265419501134,4,1,14,3,'4/4',Eb/C,A1,1,48
18.6904535147,0.244240362812,4,1,14,4,'4/4',Eb/C,A1,1,38
18.9346938776,0.256575963719,4,1,15,1,'4/4',F7alt,A1,2,41
19.1912698413,0.253492063492,4,1,15,2,'4/4',F7alt,A1,2,46
19.4447619048,0.247074829932,4,1,15,3,'4/4',F7alt,A1,2,43
19.6918367347,0.254671201814,4,1,15,4,'4/4',F7alt,A1,2,45
19.9465079365,0.258185941043,4,1,16,1,'4/4',Bb7alt,A1,2,46
20.2046938776,0.253333333333,4,1,16,2,'4/4',Bb7alt,A1,2,46
20.4580272109,0.252675736961,4,1,16,3,'4/4',Bb7alt,A1,2,43
20.7107029478,0.24925170068,4,1,16,4,'4/4',Bb7alt,A1,2,38
20.9599546485,0.252471655329,4,1,17,1,'4/4',F7alt,A1,2,41
21.2124263039,0.249206349206,4,1,17,2,'4/4',F7alt,A1,2,48
21.4616326531,0.26231292517,4,1,17,3,'4/4',F7alt,A1,2,46
21.7239455782,0.249183673469,4,1,17,4,'4/4',F7alt,A1,2,47
21.9731292517,0.252562358277,4,1,18,1,'4/4',F7alt,A1,2,45
22.22569161,0.259092970522,4,1,18,2,'4/4',F7alt,A1,2,45
22.4847845805,0.252403628118,4,1,18,3,'4/4',F7alt,A1,2,42
22.7371882086,0.242879818594,4,1,18,4,'4/4',F7alt,A1,2,38
22.9800680272,0.259047619048,4,1,19,1,'4/4',Bb7,A1,2,46
23.2391156463,0.254761904762,4,1,19,2,'4/4',Bb7,A1,2,41
23.493877551,0.266258503401,4,1,19,3,'4/4',Bb7,A1,2,45
23.7601360544,0.258979591837,4,1,19,4,'4/4',Bb7,A1,2,44
24.0191156463,0.250272108844,4,1,20,1,'4/4',Bo7,A1,2,46
24.2693877551,0.261337868481,4,1,20,2,'4/4',Bo7,A1,2,46
24.5307256236,0.262199546485,4,1,20,3,'4/4',Bo7,A1,2,43
24.7929251701,0.246893424036,4,1,20,4,'4/4',Bo7,A1,2,38
