onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
4.37845804989,0.267596371882,4,1,-1,1,'4/4',NC,I1,0,50
4.64605442177,0.253469387755,4,1,-1,2,'4/4',NC,I1,0,50
4.89952380952,0.267868480726,4,1,-1,3,'4/4',NC,I1,0,50
5.16739229025,0.253537414966,4,1,-1,4,'4/4',NC,I1,0,50
5.42092970522,0.27768707483,4,1,0,1,'4/4',NC,I1,0,46
5.69861678005,0.258843537415,4,1,0,2,'4/4',NC,I1,0,50
5.95746031746,0.252743764172,4,1,0,3,'4/4',NC,I1,0,50
6.21020408163,0.268503401361,4,1,0,4,'4/4',NC,I1,0,49
6.47870748299,0.276394557823,4,1,1,1,'4/4',F,A1,1,50
6.75510204082,0.305034013605,4,1,1,2,'4/4',F,A1,1,50
7.06013605442,0.272040816327,4,1,1,3,'4/4',F,A1,1,45
7.33217687075,0.278299319728,4,1,1,4,'4/4',F,A1,1,46
7.61047619048,0.277664399093,4,1,2,1,'4/4',F,A1,1,49
7.88814058957,0.278616780045,4,1,2,2,'4/4',F,A1,1,50
8.16675736961,0.257959183673,4,1,2,3,'4/4',F,A1,1,50
8.42471655329,0.268843537415,4,1,2,4,'4/4',F,A1,1,53
8.6935600907,0.272063492063,4,1,3,1,'4/4',F-7,A1,1,53
8.96562358277,0.258866213152,4,1,3,2,'4/4',F-7,A1,1,41
9.22448979592,0.287482993197,4,1,3,3,'4/4',F-7,A1,1,50
9.51197278912,0.259070294785,4,1,3,4,'4/4',F-7,A1,1,47
9.7710430839,0.277505668934,4,1,4,1,'4/4',Bb7,A1,1,46
10.0485487528,0.268752834467,4,1,4,2,'4/4',Bb7,A1,1,45
10.3173015873,0.27768707483,4,1,4,3,'4/4',Bb7,A1,1,43
10.5949886621,0.253287981859,4,1,4,4,'4/4',Bb7,A1,1,42
10.848276644,0.277755102041,4,1,5,1,'4/4',G-7,A1,1,43
11.126031746,0.268639455782,4,1,5,2,'4/4',G-7,A1,1,45
11.3946712018,0.277664399093,4,1,5,3,'4/4',G-7,A1,1,46
11.6723356009,0.278662131519,4,1,5,4,'4/4',G-7,A1,1,43
11.9509977324,0.267619047619,4,1,6,1,'4/4',C7913,A1,1,48
12.21861678,0.253560090703,4,1,6,2,'4/4',C7913,A1,1,46
12.4721768707,0.267936507937,4,1,6,3,'4/4',C7913,A1,1,45
12.7401133787,0.278458049887,4,1,6,4,'4/4',C7913,A1,1,43
13.0185714286,0.277664399093,4,1,7,1,'4/4',A-7,A1,1,41
13.2962358277,0.26873015873,4,1,7,2,'4/4',A-7,A1,1,40
13.5649659864,0.272222222222,4,1,7,3,'4/4',Abo,A1,1,50
13.8371882086,0.268526077098,4,1,7,4,'4/4',Abo,A1,1,45
14.1057142857,0.267959183673,4,1,8,1,'4/4',G-7,A1,1,43
14.3736734694,0.258888888889,4,1,8,2,'4/4',G-7,A1,1,46
14.6325623583,0.27768707483,4,1,8,3,'4/4',Gb7,A1,1,45
14.9102494331,0.253492063492,4,1,8,4,'4/4',Gb7,A1,1,43
15.1637414966,0.277664399093,4,1,9,1,'4/4',F,A2,1,49
15.4414058957,0.258888888889,4,1,9,2,'4/4',F,A2,1,37
15.7002947846,0.272290249433,4,1,9,3,'4/4',F,A2,1,50
15.972585034,0.268548752834,4,1,9,4,'4/4',F,A2,1,40
16.2411337868,0.27768707483,4,1,10,1,'4/4',F,A2,1,41
16.5188208617,0.258843537415,4,1,10,2,'4/4',F,A2,1,43
16.7776643991,0.268004535147,4,1,10,3,'4/4',F,A2,1,45
17.0456689342,0.263287981859,4,1,10,4,'4/4',F,A2,1,46
17.3089569161,0.258049886621,4,1,11,1,'4/4',F-7,A2,1,48
17.5670068027,0.263219954649,4,1,11,2,'4/4',F-7,A2,1,46
17.8302267574,0.267868480726,4,1,11,3,'4/4',F-7,A2,1,44
18.0980952381,0.268866213152,4,1,11,4,'4/4',F-7,A2,1,43
18.3669614512,0.267528344671,4,1,12,1,'4/4',Bb7,A2,1,41
18.6344897959,0.268911564626,4,1,12,2,'4/4',Bb7,A2,1,40
18.9034013605,0.262267573696,4,1,12,3,'4/4',Bb7,A2,1,41
19.1656689342,0.268843537415,4,1,12,4,'4/4',Bb7,A2,1,50
19.4345124717,0.252607709751,4,1,13,1,'4/4',G-7,A2,1,43
19.6871201814,0.249047619048,4,1,13,2,'4/4',G-7,A2,1,46
19.9361678005,0.25566893424,4,1,13,3,'4/4',G-7,A2,1,45
20.1918367347,0.265759637188,4,1,13,4,'4/4',G-7,A2,1,50
20.4575963719,0.273015873016,4,1,14,1,'4/4',C7,A2,1,50
20.7306122449,0.283151927438,4,1,14,2,'4/4',C7,A2,1,50
21.0137641723,0.287392290249,4,1,14,3,'4/4',C7,A2,1,49
21.3011564626,0.268684807256,4,1,14,4,'4/4',C7,A2,1,47
21.5698412698,0.258185941043,4,1,15,1,'4/4',F-7,A2,1,50
21.8280272109,0.253333333333,4,1,15,2,'4/4',F-7,A2,1,43
22.0813605442,0.267891156463,4,1,15,3,'4/4',Bb-7,A2,1,41
22.3492517007,0.263242630385,4,1,15,4,'4/4',Bb-7,A2,1,46
22.6124943311,0.248299319728,4,1,16,1,'4/4',Eb-7,A2,1,39
22.8607936508,0.278639455782,4,1,16,2,'4/4',Eb-7,A2,1,39
23.1394331066,0.2679138322,4,1,16,3,'4/4',Ab7/D,A2,1,50
23.4073469388,0.272766439909,4,1,16,4,'4/4',Ab7/D,A2,1,50
23.6801133787,0.25798185941,4,1,17,1,'4/4',Db,B1,1,37
