onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
4.23700680272,0.412403628118,4,1,0,1,'4/4',NC,I1,0,42
4.64941043084,0.389319727891,4,1,0,2,'4/4',NC,I1,0,40
5.03873015873,0.394149659864,4,1,0,3,'4/4',NC,I1,0,40
5.43287981859,0.392721088435,4,1,0,4,'4/4',NC,I1,0,42
5.82560090703,0.411428571429,4,1,1,1,'4/4',Bb6,A1,1,40
6.23702947846,0.407074829932,4,1,1,2,'4/4',Bb6,A1,1,45
6.64410430839,0.392766439909,4,1,1,3,'4/4',G7,A1,1,42
7.0368707483,0.412267573696,4,1,1,4,'4/4',G7,A1,1,37
7.449138322,0.396326530612,4,1,2,1,'4/4',C-7,A1,1,47
7.84546485261,0.412335600907,4,1,2,2,'4/4',C-7,A1,1,50
8.25780045351,0.39283446712,4,1,2,3,'4/4',F7,A1,1,37
8.65063492063,0.397006802721,4,1,2,4,'4/4',F7/Eb,A1,1,50
9.04764172336,0.411428571429,4,1,3,1,'4/4',D-7,A1,1,52
9.45907029478,0.414399092971,4,1,3,2,'4/4',D-7,A1,1,35
9.87346938776,0.429954648526,4,1,3,3,'4/4',G7,A1,1,50
10.3034240363,0.412267573696,4,1,3,4,'4/4',G7,A1,1,42
10.71569161,0.391904761905,4,1,4,1,'4/4',C-7,A1,1,48
11.1075963719,0.412358276644,4,1,4,2,'4/4',C-7,A1,1,45
11.5199546485,0.38746031746,4,1,4,3,'4/4',F7,A1,1,42
11.907414966,0.402244897959,4,1,4,4,'4/4',F7,A1,1,40
12.3096598639,0.406984126984,4,1,5,1,'4/4',Bbj7,A1,1,37
12.7166439909,0.42664399093,4,1,5,2,'4/4',Bbj7,A1,1,42
13.1432879819,0.416802721088,4,1,5,3,'4/4',Bb7/D,A1,1,35
13.5600907029,0.412199546485,4,1,5,4,'4/4',Bb7/D,A1,1,37
13.9722902494,0.412358276644,4,1,6,1,'4/4',Ebj7,A1,1,39
14.3846485261,0.411541950113,4,1,6,2,'4/4',Ebj7,A1,1,40
14.7961904762,0.402607709751,4,1,6,3,'4/4',Eo,A1,1,41
15.1987981859,0.377482993197,4,1,6,4,'4/4',Eo,A1,1,43
15.5762811791,0.4220861678,4,1,7,1,'4/4',D-7/F,A1,1,37
15.9983673469,0.417959183673,4,1,7,2,'4/4',G7,A1,1,37
16.4163265306,0.390612244898,4,1,7,3,'4/4',C-7,A1,1,36
16.8069387755,0.397142857143,4,1,7,4,'4/4',F7,A1,1,42
17.2040816327,0.391836734694,4,1,8,1,'4/4',Bb6,A1,1,42
17.5959183673,0.403492063492,4,1,8,2,'4/4',Bb6,A1,1,35
17.9994104308,0.401723356009,4,1,8,3,'4/4',F7,A1,1,37
18.4011337868,0.398866213152,4,1,8,4,'4/4',F7,A1,1,39
18.8,0.41052154195,4,1,9,1,'4/4',Bb6,A2,1,40
19.210521542,0.422131519274,4,1,9,2,'4/4',Bb6,A2,1,45
19.6326530612,0.421315192744,4,1,9,3,'4/4',G7,A2,1,40
20.053968254,0.38283446712,4,1,9,4,'4/4',G7,A2,1,42
20.4368027211,0.416825396825,4,1,10,1,'4/4',C-7,A2,1,42
20.8536281179,0.402585034014,4,1,10,2,'4/4',C-7,A2,1,45
21.2562131519,0.376530612245,4,1,10,3,'4/4',F7,A2,1,47
21.6327437642,0.392879818594,4,1,10,4,'4/4',F7/Eb,A2,1,47
22.0256235828,0.412335600907,4,1,11,1,'4/4',D-7,A2,1,37
22.4379591837,0.422267573696,4,1,11,2,'4/4',D-7,A2,1,47
22.8602267574,0.386031746032,4,1,11,3,'4/4',G7,A2,1,45
23.2462585034,0.402721088435,4,1,11,4,'4/4',G7,A2,1,42
23.6489795918,0.412403628118,4,1,12,1,'4/4',C-7,A2,1,40
24.06138322,0.406621315193,4,1,12,2,'4/4',C-7,A2,1,39
24.4680045351,0.376802721088,4,1,12,3,'4/4',F7,A2,1,37
24.8448072562,0.422222222222,4,1,12,4,'4/4',F7,A2,1,35
25.2670294785,0.402403628118,4,1,13,1,'4/4',Bbj7,A2,1,37
25.6694331066,0.422176870748,4,1,13,2,'4/4',Bbj7,A2,1,41
26.0916099773,0.401678004535,4,1,13,3,'4/4',Bb7/D,A2,1,42
26.4932879819,0.422222222222,4,1,13,4,'4/4',Bb7/D,A2,1,43
26.9155102041,0.422176870748,4,1,14,1,'4/4',Ebj7,A2,1,42
27.3376870748,0.422222222222,4,1,14,2,'4/4',Ebj7,A2,1,35
27.7599092971,0.422063492063,4,1,14,3,'4/4',Eo,A2,1,37
28.1819727891,0.405782312925,4,1,14,4,'4/4',Eo,A2,1,39
28.587755102,0.428571428571,4,1,15,1,'4/4',D-7/F,A2,1,37
29.0163265306,0.4,4,1,15,2,'4/4',G7,A2,1,36
29.4163265306,0.408163265306,4,1,15,3,'4/4',C-7,A2,1,35
29.8244897959,0.391836734694,4,1,15,4,'4/4',F7,A2,1,42
30.2163265306,0.420408163265,4,1,16,1,'4/4',Bbj7,A2,1,42
30.6367346939,0.395102040816,4,1,16,2,'4/4',Bbj7,A2,1,35
31.0318367347,0.43201814059,4,1,16,3,'4/4',Bb+7,A2,1,40
31.4638548753,0.411428571429,4,1,16,4,'4/4',Bb+7,A2,1,39
31.8752834467,0.412358276644,4,1,17,1,'4/4',Eb6,B1,1,42
32.2876417234,0.422290249433,4,1,17,2,'4/4',Eb6,B1,1,42
32.7099319728,0.421904761905,4,1,17,3,'4/4',C7,B1,1,42
33.1318367347,0.435510204082,4,1,17,4,'4/4',C7,B1,1,47
33.5673469388,0.433151927438,4,1,18,1,'4/4',F-7,B1,1,43
34.0004988662,0.421927437642,4,1,18,2,'4/4',F-7,B1,1,40
