onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.05689342404,0.288412698413,4,1,0,3,'4/4',B7911#,I1,0,47
2.34530612245,0.302675736961,4,1,0,4,'4/4',B7911#,I1,0,37
2.64798185941,0.288231292517,4,1,1,1,'4/4',Bb7913,A1,1,34
2.93621315193,0.306984126984,4,1,1,2,'4/4',Bb7913,A1,1,43
3.24319727891,0.293854875283,4,1,1,3,'4/4',Bb7913,A1,1,41
3.5370521542,0.306893424036,4,1,1,4,'4/4',Bb7913,A1,1,46
3.84394557823,0.313265306122,4,1,2,1,'4/4',Eb79#,A1,1,45
4.15721088435,0.313378684807,4,1,2,2,'4/4',Eb79#,A1,1,36
4.47058956916,0.322290249433,4,1,2,3,'4/4',Eb79#,A1,1,48
4.79287981859,0.30798185941,4,1,2,4,'4/4',Eb79#,A1,1,50
5.100861678,0.302607709751,4,1,3,1,'4/4',Abj7,A1,1,43
5.40346938776,0.307891156463,4,1,3,2,'4/4',Abj7,A1,1,43
5.71136054422,0.293945578231,4,1,3,3,'4/4',Abj7,A1,1,36
6.00530612245,0.29693877551,4,1,3,4,'4/4',Abj7,A1,1,37
6.30224489796,0.323106575964,4,1,4,1,'4/4',F7,A1,1,41
6.62535147392,0.322335600907,4,1,4,2,'4/4',F7,A1,1,47
6.94768707483,0.288503401361,4,1,4,3,'4/4',F7,A1,1,47
7.23619047619,0.312426303855,4,1,4,4,'4/4',F7,A1,1,47
7.54861678005,0.288140589569,4,1,5,1,'4/4',Bb7,A1,1,34
7.83675736961,0.293038548753,4,1,5,2,'4/4',Bb7,A1,1,43
8.12979591837,0.298095238095,4,1,5,3,'4/4',Bb7,A1,1,41
8.42789115646,0.303514739229,4,1,5,4,'4/4',Bb7,A1,1,34
8.73140589569,0.297097505669,4,1,6,1,'4/4',Bb-7,A1,1,49
9.02850340136,0.298163265306,4,1,6,2,'4/4',Bb-7,A1,1,47
9.32666666667,0.312471655329,4,1,6,3,'4/4',Bo7,A1,1,45
9.639138322,0.323106575964,4,1,6,4,'4/4',Bo7,A1,1,43
