onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.83326530612,0.422131519274,4,1,1,1,'4/4',Gb-7,A1,1,42
3.2553968254,0.397052154195,4,1,1,2,'4/4',Gb-7,A1,1,37
3.65244897959,0.402653061224,4,1,1,3,'4/4',Gb-7,A1,1,45
4.05510204082,0.411292517007,4,1,1,4,'4/4',Gb-7,A1,1,45
4.46639455782,0.427210884354,4,1,2,1,'4/4',Abm7b5,A1,1,44
4.89360544218,0.416598639456,4,1,2,2,'4/4',Abm7b5,A1,1,44
5.31020408163,0.408163265306,4,1,2,3,'4/4',Db7,A1,1,43
5.71836734694,0.417505668934,4,1,2,4,'4/4',Db7,A1,1,38
6.13587301587,0.400544217687,4,1,3,1,'4/4',Gb-7,A1,1,42
6.53641723356,0.417301587302,4,1,3,2,'4/4',Gb-7,A1,1,44
6.95371882086,0.412448979592,4,1,3,3,'4/4',Gb-7,A1,1,45
7.36616780045,0.42126984127,4,1,3,4,'4/4',Gb-7,A1,1,47
7.78743764172,0.40253968254,4,1,4,1,'4/4',Gb-7,A1,1,48
8.18997732426,0.389614512472,4,1,4,2,'4/4',Gb-7,A1,1,50
8.57959183673,0.429501133787,4,1,4,3,'4/4',Gb-7,A1,1,50
9.00909297052,0.412199546485,4,1,4,4,'4/4',Gb-7,A1,1,53
9.42129251701,0.422335600907,4,1,5,1,'4/4',G7,A1,1,43
9.84362811791,0.422040816327,4,1,5,2,'4/4',G7,A1,1,53
10.2656689342,0.402675736961,4,1,5,3,'4/4',G7,A1,1,43
10.6683446712,0.407573696145,4,1,5,4,'4/4',G7,A1,1,47
11.0759183673,0.417959183673,4,1,6,1,'4/4',G7,A1,1,43
11.493877551,0.420408163265,4,1,6,2,'4/4',G7,A1,1,44
11.9142857143,0.412380952381,4,1,6,3,'4/4',G7,A1,1,47
12.3266666667,0.386213151927,4,1,6,4,'4/4',G7,A1,1,45
12.7128798186,0.412403628118,4,1,7,1,'4/4',Gb-7,A1,1,43
13.1252834467,0.387505668934,4,1,7,2,'4/4',Gb-7,A1,1,42
13.5127891156,0.412380952381,4,1,7,3,'4/4',Gb-7,A1,1,37
13.925170068,0.391746031746,4,1,7,4,'4/4',Gb-7,A1,1,37
14.3169160998,0.412335600907,4,1,8,1,'4/4',E-7,A1,1,35
14.7292517007,0.397278911565,4,1,8,2,'4/4',E-7,A1,1,34
15.1265306122,0.412403628118,4,1,8,3,'4/4',A7,A1,1,33
15.5389342404,0.420975056689,4,1,8,4,'4/4',A7,A1,1,45
15.9599092971,0.431972789116,4,1,9,1,'4/4',D7,A1,1,38
16.3918820862,0.420362811791,4,1,9,2,'4/4',D7,A1,1,40
16.812244898,0.394580498866,4,1,9,3,'4/4',D7,A1,1,41
17.2068253968,0.388095238095,4,1,9,4,'4/4',D7,A1,1,38
17.5949206349,0.391179138322,4,1,10,1,'4/4',Db7,A1,1,44
17.9860997732,0.397188208617,4,1,10,2,'4/4',Db7,A1,1,38
18.3832879819,0.422108843537,4,1,10,3,'4/4',Db7,A1,1,37
18.8053968254,0.39156462585,4,1,10,4,'4/4',Db7,A1,1,44
19.1969614512,0.422222222222,4,1,11,1,'4/4',Gb-7,A1,1,42
19.6191836735,0.422176870748,4,1,11,2,'4/4',Gb-7,A1,1,37
20.0413605442,0.397006802721,4,1,11,3,'4/4',Gb-7,A1,1,38
20.4383673469,0.392675736961,4,1,11,4,'4/4',Gb-7,A1,1,39
20.8310430839,0.4310430839,4,1,12,1,'4/4',Db7,A1,1,44
21.2620861678,0.412222222222,4,1,12,2,'4/4',Db7,A1,1,44
21.67430839,0.412403628118,4,1,12,3,'4/4',Db7,A1,1,38
22.0867120181,0.412290249433,4,1,12,4,'4/4',Db7,A1,1,43
22.4990022676,0.412267573696,4,1,13,1,'4/4',Gb-7,A1,2,42
22.9112698413,0.398934240363,4,1,13,2,'4/4',Gb-7,A1,2,40
23.3102040816,0.390113378685,4,1,13,3,'4/4',Gb-7,A1,2,42
23.7003174603,0.412698412698,4,1,13,4,'4/4',Gb-7,A1,2,42
24.113015873,0.412154195011,4,1,14,1,'4/4',Abm7b5,A1,2,44
24.525170068,0.41306122449,4,1,14,2,'4/4',Abm7b5,A1,2,40
24.9382312925,0.415124716553,4,1,14,3,'4/4',Db7,A1,2,43
25.3533560091,0.412380952381,4,1,14,4,'4/4',Db7,A1,2,37
25.7657369615,0.402675736961,4,1,15,1,'4/4',Gb-7,A1,2,42
26.1684126984,0.430929705215,4,1,15,2,'4/4',Gb-7,A1,2,40
26.5993424036,0.421950113379,4,1,15,3,'4/4',Gb-7,A1,2,40
27.021292517,0.412471655329,4,1,15,4,'4/4',Gb-7,A1,2,38
27.4337641723,0.407052154195,4,1,16,1,'4/4',Gb-7,A1,2,37
27.8408163265,0.391927437642,4,1,16,2,'4/4',Gb-7,A1,2,43
28.2327437642,0.409070294785,4,1,16,3,'4/4',Gb-7,A1,2,42
28.641814059,0.423492063492,4,1,16,4,'4/4',Gb-7,A1,2,37
29.0653061224,0.408163265306,4,1,17,1,'4/4',G7,A1,2,43
29.4734693878,0.393197278912,4,1,17,2,'4/4',G7,A1,2,43
29.8666666667,0.423764172336,4,1,17,3,'4/4',G7,A1,2,35
30.290430839,0.415238095238,4,1,17,4,'4/4',G7,A1,2,45
30.7056689342,0.426485260771,4,1,18,1,'4/4',G7,A1,2,47
31.132154195,0.402222222222,4,1,18,2,'4/4',G7,A1,2,38
31.5343764172,0.383174603175,4,1,18,3,'4/4',G7,A1,2,43
31.9175510204,0.412176870748,4,1,18,4,'4/4',G7,A1,2,37
32.3297278912,0.4310430839,4,1,19,1,'4/4',Gb-7,A1,2,42
32.7607709751,0.431700680272,4,1,19,2,'4/4',Gb-7,A1,2,40
33.1924716553,0.402721088435,4,1,19,3,'4/4',Gb-7,A1,2,37
33.5951927438,0.396984126984,4,1,19,4,'4/4',Gb-7,A1,2,37
33.9921768707,0.402630385488,4,1,20,1,'4/4',E-7,A1,2,35
34.3948072562,0.411904761905,4,1,20,2,'4/4',E-7,A1,2,34
34.8067120181,0.401768707483,4,1,20,3,'4/4',A7,A1,2,45
35.2084807256,0.431768707483,4,1,20,4,'4/4',A7,A1,2,45
35.6402494331,0.422199546485,4,1,21,1,'4/4',D7,A1,2,38
36.0624489796,0.398775510204,4,1,21,2,'4/4',D7,A1,2,45
36.4612244898,0.409727891156,4,1,21,3,'4/4',D7,A1,2,38
36.870952381,0.412335600907,4,1,21,4,'4/4',D7,A1,2,43
37.2832879819,0.412335600907,4,1,22,1,'4/4',Db7,A1,2,44
37.6956235828,0.431972789116,4,1,22,2,'4/4',Db7,A1,2,38
38.1275963719,0.39306122449,4,1,22,3,'4/4',Db7,A1,2,37
38.5206575964,0.411451247166,4,1,22,4,'4/4',Db7,A1,2,44
38.9321088435,0.406712018141,4,1,23,1,'4/4',Gb-7,A1,2,42
39.3388208617,0.412267573696,4,1,23,2,'4/4',Gb-7,A1,2,40
39.7510884354,0.416258503401,4,1,23,3,'4/4',Gb-7,A1,2,40
40.1673469388,0.427210884354,4,1,23,4,'4/4',Gb-7,A1,2,45
40.5945578231,0.382721088435,4,1,24,1,'4/4',Db7,A1,2,44
40.9772789116,0.412403628118,4,1,24,2,'4/4',Db7,A1,2,47
41.3896825397,0.406984126984,4,1,24,3,'4/4',Db7,A1,2,48
41.7966666667,0.417210884354,4,1,24,4,'4/4',Db7,A1,2,43
42.213877551,0.442131519274,4,1,25,1,'4/4',Gb-7,A1,3,42
42.6560090703,0.405396825397,4,1,25,2,'4/4',Gb-7,A1,3,37
