onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.91961451247,0.526870748299,4,1,1,1,'4/4',F7,A1,1,41
3.44648526077,0.512358276644,4,1,1,2,'4/4',F7,A1,1,39
3.95884353741,0.487777777778,4,1,1,3,'4/4',F7,A1,1,38
4.44662131519,0.494965986395,4,1,1,4,'4/4',F7,A1,1,45
4.94158730159,0.518072562358,4,1,2,1,'4/4',Bb7,A1,1,46
5.45965986395,0.572698412698,4,1,2,2,'4/4',Bb7,A1,1,47
6.03235827664,0.562630385488,4,1,2,3,'4/4',Bb7,A1,1,48
6.59498866213,0.51612244898,4,1,2,4,'4/4',Bb7,A1,1,37
7.11111111111,0.569614512472,4,1,3,1,'4/4',F7,A1,1,45
7.68072562358,0.524399092971,4,1,3,2,'4/4',F7,A1,1,37
8.20512471655,0.52231292517,4,1,3,3,'4/4',F7,A1,1,45
8.72743764172,0.530181405896,4,1,3,4,'4/4',F7,A1,1,41
9.25761904762,0.514308390023,4,1,4,1,'4/4',F7,A1,1,46
9.77192743764,0.524036281179,4,1,4,2,'4/4',F7,A1,1,47
10.2959637188,0.532607709751,4,1,4,3,'4/4',F7,A1,1,36
10.8285714286,0.563265306122,4,1,4,4,'4/4',F7,A1,1,38
11.3918367347,0.54947845805,4,1,5,1,'4/4',Bb7,A1,1,34
11.9413151927,0.507777777778,4,1,5,2,'4/4',Bb7,A1,1,37
12.4490929705,0.576984126984,4,1,5,3,'4/4',Bb7,A1,1,38
13.0260770975,0.508095238095,4,1,5,4,'4/4',Bb7,A1,1,37
13.5341723356,0.523514739229,4,1,6,1,'4/4',Bb7,A1,1,37
14.0576870748,0.540997732426,4,1,6,2,'4/4',Bb7,A1,1,38
14.5986848073,0.555011337868,4,1,6,3,'4/4',Bb7,A1,1,46
15.1536961451,0.498798185941,4,1,6,4,'4/4',Bb7,A1,1,38
15.6524943311,0.528775510204,4,1,7,1,'4/4',F7,A1,1,41
16.1812698413,0.545328798186,4,1,7,2,'4/4',F7,A1,1,45
16.7265986395,0.548480725624,4,1,7,3,'4/4',F7,A1,1,43
17.2750793651,0.550634920635,4,1,7,4,'4/4',F7,A1,1,46
17.8257142857,0.506145124717,4,1,8,1,'4/4',D79b,A1,1,45
18.3318594104,0.523446712018,4,1,8,2,'4/4',D79b,A1,1,49
18.8553061224,0.503537414966,4,1,8,3,'4/4',D79b,A1,1,50
19.3588435374,0.50306122449,4,1,8,4,'4/4',D79b,A1,1,43
19.8619047619,0.567369614512,4,1,9,1,'4/4',G-7,A1,1,45
20.4292743764,0.516145124717,4,1,9,2,'4/4',G-7,A1,1,42
20.9454195011,0.551383219955,4,1,9,3,'4/4',G-7,A1,1,43
21.4968027211,0.52,4,1,9,4,'4/4',G-7,A1,1,43
22.0168027211,0.521859410431,4,1,10,1,'4/4',C7,A1,1,36
22.5386621315,0.511814058957,4,1,10,2,'4/4',C7,A1,1,47
23.0504761905,0.550317460317,4,1,10,3,'4/4',C7,A1,1,34
23.6007936508,0.53566893424,4,1,10,4,'4/4',C7,A1,1,37
24.136462585,0.53589569161,4,1,11,1,'4/4',A-7,A1,1,45
24.6723582766,0.538707482993,4,1,11,2,'4/4',A-7,A1,1,45
