onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.30612244898,0.248979591837,4,1,1,1,'4/4',Ab6,A1,1,44
1.55510204082,0.239206349206,4,1,1,2,'4/4',Ab6,A1,1,43
1.79430839002,0.223129251701,4,1,1,3,'4/4',Ab6,A1,1,43
2.01743764172,0.22410430839,4,1,1,4,'4/4',Ab6,A1,1,44
2.24154195011,0.232925170068,4,1,2,1,'4/4',Ab6,A1,1,44
2.47446712018,0.223265306122,4,1,2,2,'4/4',Ab6,A1,1,44
2.6977324263,0.218594104308,4,1,2,3,'4/4',Ab6,A1,1,44
2.91632653061,0.223333333333,4,1,2,4,'4/4',Ab6,A1,1,36
3.13965986395,0.233854875283,4,1,3,1,'4/4',Db7,A1,1,37
3.37351473923,0.213424036281,4,1,3,2,'4/4',Db7,A1,1,42
3.58693877551,0.208004535147,4,1,3,3,'4/4',Db7,A1,1,42
3.79494331066,0.223990929705,4,1,3,4,'4/4',Db7,A1,1,43
4.01893424036,0.223560090703,4,1,4,1,'4/4',Db7,A1,1,43
4.24249433107,0.224081632653,4,1,4,2,'4/4',Db7,A1,1,43
4.46657596372,0.219138321995,4,1,4,3,'4/4',Db7,A1,1,49
4.68571428571,0.220408163265,4,1,4,4,'4/4',Db7,A1,1,42
4.90612244898,0.225578231293,4,1,5,1,'4/4',Abj7,A1,1,51
5.13170068027,0.223401360544,4,1,5,2,'4/4',Abj7,A1,1,43
5.35510204082,0.218367346939,4,1,5,3,'4/4',Abj7,A1,1,43
5.57346938776,0.231519274376,4,1,5,4,'4/4',Abj7,A1,1,43
5.80498866213,0.235827664399,4,1,6,1,'4/4',F-7,A1,1,43
6.04081632653,0.232335600907,4,1,6,2,'4/4',F-7,A1,1,43
6.27315192744,0.22410430839,4,1,6,3,'4/4',F-7,A1,1,43
6.49725623583,0.223151927438,4,1,6,4,'4/4',F-7,A1,1,43
6.72040816327,0.223446712018,4,1,7,1,'4/4',Bb-7,A1,1,43
6.94385487528,0.219410430839,4,1,7,2,'4/4',Bb-7,A1,1,43
7.16326530612,0.238412698413,4,1,7,3,'4/4',Bb-7,A1,1,43
7.40167800454,0.232947845805,4,1,7,4,'4/4',Bb-7,A1,1,43
7.63462585034,0.208049886621,4,1,8,1,'4/4',Eb7,A1,1,39
7.84267573696,0.23387755102,4,1,8,2,'4/4',Eb7,A1,1,43
8.07655328798,0.232766439909,4,1,8,3,'4/4',Eb7,A1,1,43
8.30931972789,0.224149659864,4,1,8,4,'4/4',Eb7,A1,1,43
8.53346938776,0.223197278912,4,1,9,1,'4/4',Ab6,A2,1,49
8.75666666667,0.223832199546,4,1,9,2,'4/4',Ab6,A2,1,43
8.98049886621,0.220408163265,4,1,9,3,'4/4',Ab6,A2,1,43
9.20090702948,0.22693877551,4,1,9,4,'4/4',Ab6,A2,1,43
9.42784580499,0.23746031746,4,1,10,1,'4/4',Ab6,A2,1,44
9.66530612245,0.232199546485,4,1,10,2,'4/4',Ab6,A2,1,43
9.89750566893,0.23022675737,4,1,10,3,'4/4',Ab6,A2,1,45
10.1277324263,0.22843537415,4,1,10,4,'4/4',Ab6,A2,1,38
10.3561678005,0.21335600907,4,1,11,1,'4/4',Db7,A2,1,37
10.5695238095,0.223219954649,4,1,11,2,'4/4',Db7,A2,1,37
10.7927437642,0.224285714286,4,1,11,3,'4/4',Db7,A2,1,37
11.0170294785,0.232947845805,4,1,11,4,'4/4',Db7,A2,1,37
11.2499773243,0.233786848073,4,1,12,1,'4/4',Db7,A2,1,41
11.4837641723,0.22335600907,4,1,12,2,'4/4',Db7,A2,1,41
11.7071201814,0.233945578231,4,1,12,3,'4/4',Db7,A2,1,38
11.9410657596,0.222199546485,4,1,12,4,'4/4',Db7,A2,1,38
12.1632653061,0.224580498866,4,1,13,1,'4/4',C-7,A2,1,44
12.387845805,0.2379138322,4,1,13,2,'4/4',C-7,A2,1,41
12.6257596372,0.232902494331,4,1,13,3,'4/4',F-7,A2,1,43
12.8586621315,0.214240362812,4,1,13,4,'4/4',F-7,A2,1,41
13.0729024943,0.223265306122,4,1,14,1,'4/4',Bb-7,A2,1,34
13.2961678005,0.217755102041,4,1,14,2,'4/4',Bb-7,A2,1,45
13.5139229025,0.234058956916,4,1,14,3,'4/4',Eb7,A2,1,39
13.7479818594,0.233650793651,4,1,14,4,'4/4',Eb7,A2,1,43
13.9816326531,0.238866213152,4,1,15,1,'4/4',Abj7,A2,1,44
14.2204988662,0.222993197279,4,1,15,2,'4/4',Abj7,A2,1,44
14.4434920635,0.218503401361,4,1,15,3,'4/4',Abj7,A2,1,41
14.6619954649,0.22335600907,4,1,15,4,'4/4',Abj7,A2,1,43
14.8853514739,0.214376417234,4,1,16,1,'4/4',Abj7,A2,1,43
15.0997278912,0.223990929705,4,1,16,2,'4/4',Abj7,A2,1,42
15.3237188209,0.226780045351,4,1,16,3,'4/4',Abj7,A2,1,40
15.5504988662,0.223990929705,4,1,16,4,'4/4',Abj7,A2,1,44
15.7744897959,0.223038548753,4,1,17,1,'4/4',G-7,B1,1,43
15.9975283447,0.233945578231,4,1,17,2,'4/4',G-7,B1,1,45
16.2314739229,0.213333333333,4,1,17,3,'4/4',G-7,B1,1,45
16.4448072562,0.218820861678,4,1,17,4,'4/4',G-7,B1,1,45
16.6636281179,0.232879818594,4,1,18,1,'4/4',C7,B1,1,43
16.8965079365,0.223197278912,4,1,18,2,'4/4',C7,B1,1,42
17.1197052154,0.212947845805,4,1,18,3,'4/4',C7,B1,1,40
17.3326530612,0.224489795918,4,1,18,4,'4/4',C7,B1,1,43
17.5571428571,0.233990929705,4,1,19,1,'4/4',F-7,B1,1,42
17.7911337868,0.232925170068,4,1,19,2,'4/4',F-7,B1,1,44
18.0240589569,0.229002267574,4,1,19,3,'4/4',F-7,B1,1,43
18.2530612245,0.23253968254,4,1,19,4,'4/4',F-7,B1,1,43
18.485600907,0.224081632653,4,1,20,1,'4/4',F-7,B1,1,44
18.7096825397,0.223174603175,4,1,20,2,'4/4',F-7,B1,1,43
18.9328571429,0.213446712018,4,1,20,3,'4/4',F-7,B1,1,42
19.1463038549,0.21873015873,4,1,20,4,'4/4',F-7,B1,1,43
19.3650340136,0.223129251701,4,1,21,1,'4/4',Cm7b5,B1,1,43
19.5881632653,0.23380952381,4,1,21,2,'4/4',Cm7b5,B1,1,34
19.8219727891,0.2110430839,4,1,21,3,'4/4',Cm7b5,B1,1,45
20.033015873,0.216780045351,4,1,21,4,'4/4',Cm7b5,B1,1,34
20.2497959184,0.232902494331,4,1,22,1,'4/4',F7alt,B1,1,35
20.4826984127,0.234126984127,4,1,22,2,'4/4',F7alt,B1,1,42
20.7168253968,0.217573696145,4,1,22,3,'4/4',F7alt,B1,1,43
20.934399093,0.233106575964,4,1,22,4,'4/4',F7alt,B1,1,45
21.1675056689,0.22433106576,4,1,23,1,'4/4',Bb7,B1,1,34
21.3918367347,0.222993197279,4,1,23,2,'4/4',Bb7,B1,1,35
21.614829932,0.233696145125,4,1,23,3,'4/4',Bb7,B1,1,37
21.8485260771,0.223219954649,4,1,23,4,'4/4',Bb7,B1,1,38
22.0717460317,0.21873015873,4,1,24,1,'4/4',Eb7,B1,1,39
22.2904761905,0.232857142857,4,1,24,2,'4/4',Eb7,B1,1,43
22.5233333333,0.213446712018,4,1,24,3,'4/4',Eb7,B1,1,43
22.7367800454,0.224217687075,4,1,24,4,'4/4',Eb7,B1,1,43
22.9609977324,0.207868480726,4,1,25,1,'4/4',Abj7,A3,1,51
23.1688662132,0.233922902494,4,1,25,2,'4/4',Abj7,A3,1,43
23.4027891156,0.223265306122,4,1,25,3,'4/4',Abj7,A3,1,43
23.6260544218,0.213401360544,4,1,25,4,'4/4',Abj7,A3,1,43
23.8394557823,0.218639455782,4,1,26,1,'4/4',Abj7,A3,1,43
24.0580952381,0.219455782313,4,1,26,2,'4/4',Abj7,A3,1,43
24.2775510204,0.243174603175,4,1,26,3,'4/4',Abj7,A3,1,43
24.5207256236,0.233083900227,4,1,26,4,'4/4',Abj7,A3,1,43
24.7538095238,0.228503401361,4,1,27,1,'4/4',Db7,A3,1,43
24.9823129252,0.213401360544,4,1,27,2,'4/4',Db7,A3,1,43
25.1957142857,0.213401360544,4,1,27,3,'4/4',Db7,A3,1,43
25.4091156463,0.218707482993,4,1,27,4,'4/4',Db7,A3,1,36
25.6278231293,0.22306122449,4,1,28,1,'4/4',Db7,A3,1,43
25.8508843537,0.233990929705,4,1,28,2,'4/4',Db7,A3,1,43
26.0848752834,0.232970521542,4,1,28,3,'4/4',Db7,A3,1,50
26.317845805,0.223129251701,4,1,28,4,'4/4',Db7,A3,1,43
26.5409750567,0.224217687075,4,1,29,1,'4/4',C-7,A3,1,43
26.7651927438,0.232721088435,4,1,29,2,'4/4',C-7,A3,1,39
26.9979138322,0.234081632653,4,1,29,3,'4/4',F-7,A3,1,41
27.2319954649,0.223265306122,4,1,29,4,'4/4',F-7,A3,1,45
27.455260771,0.222290249433,4,1,30,1,'4/4',Bb-7,A3,1,45
27.6775510204,0.219523809524,4,1,30,2,'4/4',Bb-7,A3,1,42
27.8970748299,0.224172335601,4,1,30,3,'4/4',Eb7,A3,1,51
28.1212471655,0.232675736961,4,1,30,4,'4/4',Eb7,A3,1,36
28.3539229025,0.224081632653,4,1,31,1,'4/4',Ab6,A3,1,46
28.5780045351,0.217959183673,4,1,31,2,'4/4',Ab6,A3,1,47
28.7959637188,0.213424036281,4,1,31,3,'4/4',Ab6,A3,1,47
29.0093877551,0.214240362812,4,1,31,4,'4/4',Ab6,A3,1,41
29.2236281179,0.223265306122,4,1,32,1,'4/4',Bb-7,A3,1,45
29.446893424,0.233832199546,4,1,32,2,'4/4',Bb-7,A3,1,38
29.6807256236,0.217868480726,4,1,32,3,'4/4',Eb7,A3,1,39
29.8985941043,0.223129251701,4,1,32,4,'4/4',Eb7,A3,1,43
30.121723356,0.224195011338,4,1,33,1,'4/4',Ab6,A1,2,44
30.3459183673,0.223287981859,4,1,33,2,'4/4',Ab6,A1,2,44
30.5692063492,0.208775510204,4,1,33,3,'4/4',Ab6,A1,2,44
30.7779818594,0.223174603175,4,1,33,4,'4/4',Ab6,A1,2,44
31.0011564626,0.223129251701,4,1,34,1,'4/4',Ab6,A1,2,44
31.2242857143,0.232857142857,4,1,34,2,'4/4',Ab6,A1,2,44
31.4571428571,0.235192743764,4,1,34,3,'4/4',Ab6,A1,2,44
31.6923356009,0.242698412698,4,1,34,4,'4/4',Ab6,A1,2,43
31.9350340136,0.232925170068,4,1,35,1,'4/4',Db7,A1,2,37
32.1679591837,0.224081632653,4,1,35,2,'4/4',Db7,A1,2,37
32.3920408163,0.223333333333,4,1,35,3,'4/4',Db7,A1,2,37
32.6153741497,0.21768707483,4,1,35,4,'4/4',Db7,A1,2,37
32.8330612245,0.224058956916,4,1,36,1,'4/4',Db7,A1,2,37
33.0571201814,0.233083900227,4,1,36,2,'4/4',Db7,A1,2,37
33.2902040816,0.224081632653,4,1,36,3,'4/4',Db7,A1,2,41
33.5142857143,0.223378684807,4,1,36,4,'4/4',Db7,A1,2,37
33.7376643991,0.214421768707,4,1,37,1,'4/4',Abj7,A1,2,39
33.9520861678,0.217551020408,4,1,37,2,'4/4',Abj7,A1,2,39
34.1696371882,0.233174603175,4,1,37,3,'4/4',Abj7,A1,2,37
34.4028117914,0.214308390023,4,1,37,4,'4/4',Abj7,A1,2,37
34.6171201814,0.21335600907,4,1,38,1,'4/4',Abj7,A1,2,43
34.8304761905,0.233990929705,4,1,38,2,'4/4',Abj7,A1,2,43
35.0644671202,0.227551020408,4,1,38,3,'4/4',Abj7,A1,2,42
35.2920181406,0.223242630385,4,1,38,4,'4/4',Abj7,A1,2,45
35.515260771,0.224058956916,4,1,39,1,'4/4',Bb-7,A1,2,45
35.7393197279,0.213469387755,4,1,39,2,'4/4',Bb-7,A1,2,38
35.9527891156,0.218594104308,4,1,39,3,'4/4',Bb-7,A1,2,43
36.17138322,0.223174603175,4,1,39,4,'4/4',Bb-7,A1,2,41
36.3945578231,0.22335600907,4,1,40,1,'4/4',Eb7,A1,2,38
36.6179138322,0.214149659864,4,1,40,2,'4/4',Eb7,A1,2,39
36.8320634921,0.233310657596,4,1,40,3,'4/4',Eb7,A1,2,41
37.0653741497,0.218480725624,4,1,40,4,'4/4',Eb7,A1,2,43
37.2838548753,0.210566893424,4,1,41,1,'4/4',Abj7,A2,2,43
37.4944217687,0.236553287982,4,1,41,2,'4/4',Abj7,A2,2,47
37.7309750567,0.223537414966,4,1,41,3,'4/4',Abj7,A2,2,43
37.9545124717,0.223174603175,4,1,41,4,'4/4',Abj7,A2,2,49
38.1776870748,0.208752834467,4,1,42,1,'4/4',Abj7,A2,2,50
38.3864399093,0.233333333333,4,1,42,2,'4/4',Abj7,A2,2,39
38.6197732426,0.233696145125,4,1,42,3,'4/4',Abj7,A2,2,44
38.8534693878,0.223106575964,4,1,42,4,'4/4',Abj7,A2,2,39
