onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
10.334739229,0.526349206349,4,1,0,1,'4/4',Ab7,I1,0,40
10.8610884354,0.478480725624,4,1,0,2,'4/4',Ab7,I1,0,46
11.339569161,0.479297052154,4,1,0,3,'4/4',Ab7,I1,0,45
11.8188662132,0.488299319728,4,1,0,4,'4/4',Ab7,I1,0,38
12.3071655329,0.516258503401,4,1,1,1,'4/4',Db7,A1,1,37
12.8234240363,0.488253968254,4,1,1,2,'4/4',Db7,A1,1,41
13.3116780045,0.515804988662,4,1,1,3,'4/4',Db7,A1,1,44
13.8274829932,0.51664399093,4,1,1,4,'4/4',Db7,A1,1,41
14.3441269841,0.476009070295,4,1,2,1,'4/4',Gb7,A1,1,42
14.8201360544,0.458594104308,4,1,2,2,'4/4',Gb7,A1,1,37
15.2787301587,0.534058956916,4,1,2,3,'4/4',Gb7,A1,1,43
15.8127891156,0.539863945578,4,1,2,4,'4/4',Gb7,A1,1,38
16.3526530612,0.462925170068,4,1,3,1,'4/4',Db7,A1,1,44
16.8155782313,0.498027210884,4,1,3,2,'4/4',Db7,A1,1,36
17.3136054422,0.488367346939,4,1,3,3,'4/4',Db7,A1,1,37
17.8019727891,0.496780045351,4,1,3,4,'4/4',Db7,A1,1,40
18.2987528345,0.498934240363,4,1,4,1,'4/4',Db7,A1,1,47
18.7976870748,0.505600907029,4,1,4,2,'4/4',Db7,A1,1,45
19.3032879819,0.489070294785,4,1,4,3,'4/4',Db7,A1,1,44
19.7923582766,0.516507936508,4,1,4,4,'4/4',Db7,A1,1,41
20.3088662132,0.478367346939,4,1,5,1,'4/4',Gb7,A1,1,42
20.7872335601,0.498049886621,4,1,5,2,'4/4',Gb7,A1,1,42
21.2852834467,0.499047619048,4,1,5,3,'4/4',Gb7,A1,1,40
21.7843310658,0.512630385488,4,1,5,4,'4/4',Gb7,A1,1,39
22.2969614512,0.505034013605,4,1,6,1,'4/4',Gb7,A1,1,37
22.8019954649,0.503242630385,4,1,6,2,'4/4',Gb7,A1,1,36
23.3052380952,0.496757369615,4,1,6,3,'4/4',Gb7,A1,1,34
23.8019954649,0.498163265306,4,1,6,4,'4/4',Gb7,A1,1,36
24.3001587302,0.489138321995,4,1,7,1,'4/4',Db7,A1,1,37
24.7892970522,0.498072562358,4,1,7,2,'4/4',Db7,A1,1,36
25.2873696145,0.496961451247,4,1,7,3,'4/4',Db7,A1,1,37
25.7843310658,0.488185941043,4,1,7,4,'4/4',Db7,A1,1,43
26.2725170068,0.498866213152,4,1,8,1,'4/4',Db7,A1,1,42
26.77138322,0.496916099773,4,1,8,2,'4/4',Db7,A1,1,36
27.2682993197,0.498027210884,4,1,8,3,'4/4',Bb7,A1,1,34
27.7663265306,0.478526077098,4,1,8,4,'4/4',Bb7,A1,1,40
28.2448526077,0.489047619048,4,1,9,1,'4/4',Eb-7,A1,1,39
28.7339002268,0.498049886621,4,1,9,2,'4/4',Eb-7,A1,1,41
