onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.02303854875,0.504535147392,4,1,-4,4,'4/4',NC,I1,0,43
2.52757369615,0.511337868481,4,1,-3,1,'4/4',NC,I1,0,44
3.03891156463,0.484716553288,4,1,-3,2,'4/4',NC,I1,0,37
3.52362811791,0.504512471655,4,1,-3,3,'4/4',NC,I1,0,38
4.02814058957,0.53,4,1,-3,4,'4/4',NC,I1,0,43
4.55814058957,0.499931972789,4,1,-2,1,'4/4',NC,I1,0,39
5.05807256236,0.499138321995,4,1,-2,2,'4/4',NC,I1,0,40
5.55721088435,0.511201814059,4,1,-2,3,'4/4',NC,I1,0,41
6.06841269841,0.500680272109,4,1,-2,4,'4/4',NC,I1,0,43
6.56909297052,0.493786848073,4,1,-1,1,'4/4',NC,I1,0,44
7.06287981859,0.509455782313,4,1,-1,2,'4/4',NC,I1,0,44
7.57233560091,0.515419501134,4,1,-1,3,'4/4',NC,I1,0,44
8.08775510204,0.536303854875,4,1,-1,4,'4/4',NC,I1,0,39
8.62405895692,0.485850340136,4,1,0,1,'4/4',NC,I1,0,50
9.10990929705,0.500952380952,4,1,0,2,'4/4',NC,I1,0,35
9.610861678,0.514693877551,4,1,0,3,'4/4',NC,I1,0,36
10.1255555556,0.515442176871,4,1,0,4,'4/4',NC,I1,0,40
10.6409977324,0.512607709751,4,1,1,1,'4/4',Bb7,A1,1,46
11.1536054422,0.506054421769,4,1,1,2,'4/4',Bb7,A1,1,37
11.6596598639,0.529954648526,4,1,1,3,'4/4',Bb7,A1,1,38
12.1896145125,0.514263038549,4,1,1,4,'4/4',Bb7,A1,1,41
12.703877551,0.491859410431,4,1,2,1,'4/4',Eb7,A1,1,39
13.1957369615,0.499727891156,4,1,2,2,'4/4',Eb7,A1,1,40
13.6954648526,0.469727891156,4,1,2,3,'4/4',Eb7,A1,1,41
14.1651927438,0.531995464853,4,1,2,4,'4/4',Eb7,A1,1,43
14.6971882086,0.510136054422,4,1,3,1,'4/4',Ab6,A1,1,44
15.207324263,0.506961451247,4,1,3,2,'4/4',Ab6,A1,1,46
15.7142857143,0.477551020408,4,1,3,3,'4/4',Ab6,A1,1,48
16.1918367347,0.522040816327,4,1,3,4,'4/4',Ab6,A1,1,49
16.713877551,0.504376417234,4,1,4,1,'4/4',Ab6,A1,1,51
17.2182539683,0.469546485261,4,1,4,2,'4/4',Ab6,A1,1,50
17.6878004535,0.53820861678,4,1,4,3,'4/4',Ab6,A1,1,39
18.2260090703,0.490861678005,4,1,4,4,'4/4',Ab6,A1,1,43
18.7168707483,0.524285714286,4,1,5,1,'4/4',Eb-7,A1,1,44
19.2411564626,0.518594104308,4,1,5,2,'4/4',Eb-7,A1,1,42
19.7597505669,0.485283446712,4,1,5,3,'4/4',Eb-7,A1,1,39
20.2450340136,0.495714285714,4,1,5,4,'4/4',Eb-7,A1,1,37
20.7407482993,0.501201814059,4,1,6,1,'4/4',Ab7,A1,1,37
21.2419501134,0.512743764172,4,1,6,2,'4/4',Ab7,A1,1,44
21.7546938776,0.500430839002,4,1,6,3,'4/4',Ab7,A1,1,44
22.2551247166,0.483650793651,4,1,6,4,'4/4',Ab7,A1,1,44
22.7387755102,0.494376417234,4,1,7,1,'4/4',Db6,A1,1,37
23.2331519274,0.513310657596,4,1,7,2,'4/4',Db6,A1,1,38
23.746462585,0.513605442177,4,1,7,3,'4/4',Db6,A1,1,45
24.2600680272,0.511247165533,4,1,7,4,'4/4',Db6,A1,1,42
24.7713151927,0.491995464853,4,1,8,1,'4/4',Db6,A1,1,43
25.2633106576,0.503854875283,4,1,8,2,'4/4',Db6,A1,1,43
25.7671655329,0.48589569161,4,1,8,3,'4/4',Db6,A1,1,43
26.2530612245,0.498253968254,4,1,8,4,'4/4',Db6,A1,1,44
26.7513151927,0.518480725624,4,1,9,1,'4/4',Db7,B1,1,44
27.2697959184,0.507551020408,4,1,9,2,'4/4',Db7,B1,1,39
27.7773469388,0.526439909297,4,1,9,3,'4/4',Db7,B1,1,37
28.3037868481,0.492108843537,4,1,9,4,'4/4',Db7,B1,1,46
28.7958956916,0.516621315193,4,1,10,1,'4/4',Do,B1,1,39
29.3125170068,0.4889569161,4,1,10,2,'4/4',Do,B1,1,45
29.8014739229,0.499931972789,4,1,10,3,'4/4',Do,B1,1,44
30.3014058957,0.529501133787,4,1,10,4,'4/4',Do,B1,1,43
30.8309070295,0.495941043084,4,1,11,1,'4/4',Ab,B1,1,40
31.3268480726,0.479342403628,4,1,11,2,'4/4',Ab,B1,1,39
31.8061904762,0.515260770975,4,1,11,3,'4/4',Ab,B1,1,37
32.3214512472,0.503287981859,4,1,11,4,'4/4',Ab,B1,1,37
32.824739229,0.522199546485,4,1,12,1,'4/4',F7,B1,1,42
33.3469387755,0.493151927438,4,1,12,2,'4/4',F7,B1,1,42
33.8400907029,0.474195011338,4,1,12,3,'4/4',F7,B1,1,41
34.3142857143,0.490929705215,4,1,12,4,'4/4',F7,B1,1,45
34.8052154195,0.475487528345,4,1,13,1,'4/4',Bb7,B1,1,38
35.2807029478,0.502267573696,4,1,13,2,'4/4',Bb7,B1,1,37
35.7829705215,0.541927437642,4,1,13,3,'4/4',Bb7,B1,1,38
36.3248979592,0.504399092971,4,1,13,4,'4/4',Bb7,B1,1,39
36.8292970522,0.489546485261,4,1,14,1,'4/4',Bb7,B1,1,43
