onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.15365079365,0.905578231293,4,1,0,1,'4/4',NC,I,0,41
3.05922902494,0.935034013605,4,1,0,2,'4/4',NC,I,0,40
3.99426303855,0.883401360544,4,1,0,3,'4/4',NC,I,0,38
4.87766439909,0.968117913832,4,1,0,4,'4/4',NC,I,0,43
5.84578231293,0.968117913832,4,1,1,1,'4/4',Bb7,A1,1,46
6.81390022676,0.89768707483,4,1,1,2,'4/4',Bb7,A1,1,43
7.71158730159,0.926235827664,4,1,1,3,'4/4',Bb7,A1,1,41
8.63782312925,0.922993197279,4,1,1,4,'4/4',Bb7,A1,1,46
9.56081632653,0.900952380952,4,1,2,1,'4/4',Eb7,A1,1,39
10.4617687075,0.943174603175,4,1,2,2,'4/4',Eb7,A1,1,39
11.4049433107,0.948798185941,4,1,2,3,'4/4',Em7b5,A1,1,40
12.3537414966,0.962698412698,4,1,2,4,'4/4',Em7b5,A1,1,40
13.3164399093,0.912789115646,4,1,3,1,'4/4',Bb7,A1,1,41
14.2292290249,0.943265306122,4,1,3,2,'4/4',Bb7,A1,1,39
15.1724943311,0.903945578231,4,1,3,3,'4/4',Bb7,A1,1,38
16.0764399093,0.955396825397,4,1,3,4,'4/4',Bb7,A1,1,36
17.0318367347,0.922993197279,4,1,4,1,'4/4',Bb7,A1,1,34
17.954829932,0.895714285714,4,1,4,2,'4/4',Bb7,A1,1,38
18.8505442177,0.878752834467,4,1,4,3,'4/4',Bb7,A1,1,43
19.7292970522,0.95843537415,4,1,4,4,'4/4',Bb7,A1,1,40
20.6877324263,0.912789115646,4,1,5,1,'4/4',Eb7,A1,1,39
21.600521542,0.898662131519,4,1,5,2,'4/4',Eb7,A1,1,41
22.4991836735,0.923537414966,4,1,5,3,'4/4',Eb7,A1,1,43
23.4227210884,0.952154195011,4,1,5,4,'4/4',Eb7,A1,1,46
24.3748752834,0.879002267574,4,1,6,1,'4/4',Eb7,A1,1,39
25.253877551,0.878911564626,4,1,6,2,'4/4',Eb7,A1,1,39
26.1327891156,0.947845804989,4,1,6,3,'4/4',Eb7,A1,1,40
27.0806349206,0.952721088435,4,1,6,4,'4/4',Eb7,A1,1,40
28.0333560091,0.881292517007,4,1,7,1,'4/4',Bb7,A1,1,41
28.9146485261,0.966145124717,4,1,7,2,'4/4',Bb7,A1,1,41
29.8807936508,0.967301587302,4,1,7,3,'4/4',Bb7,A1,1,39
30.8480952381,0.888458049887,4,1,7,4,'4/4',Bb7,A1,1,39
31.736553288,0.943174603175,4,1,8,1,'4/4',D-7,A1,1,38
32.6797278912,0.923673469388,4,1,8,2,'4/4',D-7,A1,1,45
33.6034013605,0.977120181406,4,1,8,3,'4/4',G7,A1,1,44
34.580521542,0.888616780045,4,1,8,4,'4/4',G7,A1,1,37
