onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
6.39045351474,0.213446712018,4,1,-1,1,'4/4',NC,I1,0,41
6.60390022676,0.209002267574,4,1,-1,2,'4/4',NC,I1,0,40
6.81290249433,0.223038548753,4,1,-1,3,'4/4',NC,I1,0,40
7.03594104308,0.224058956916,4,1,-1,4,'4/4',NC,I1,0,40
7.26,0.233174603175,4,1,0,1,'4/4',NC,I1,0,40
7.49317460317,0.217029478458,4,1,0,2,'4/4',NC,I1,0,39
7.71020408163,0.224716553288,4,1,0,3,'4/4',NC,I1,0,50
7.93492063492,0.223378684807,4,1,0,4,'4/4',NC,I1,0,39
8.15829931973,0.224263038549,4,1,1,1,'4/4',Fj7,A1,1,53
8.38256235828,0.232902494331,4,1,1,2,'4/4',Fj7,A1,1,50
8.61546485261,0.224081632653,4,1,1,3,'4/4',Fj7,A1,1,50
8.83954648526,0.223129251701,4,1,1,4,'4/4',Fj7,A1,1,49
9.06267573696,0.227551020408,4,1,2,1,'4/4',Fj7,A1,1,48
9.29022675737,0.23380952381,4,1,2,2,'4/4',Fj7,A1,1,46
9.52403628118,0.228843537415,4,1,2,3,'4/4',Fj7,A1,1,45
9.75287981859,0.218480725624,4,1,2,4,'4/4',Fj7,A1,1,43
9.97136054422,0.230680272109,4,1,3,1,'4/4',Fj7,A1,1,42
10.2020408163,0.226689342404,4,1,3,2,'4/4',Fj7,A1,1,39
10.4287301587,0.214126984127,4,1,3,3,'4/4',Fj7,A1,1,38
10.6428571429,0.228571428571,4,1,3,4,'4/4',Fj7,A1,1,37
10.8714285714,0.221995464853,4,1,4,1,'4/4',Fj7/A,A1,1,37
11.0934240363,0.223786848073,4,1,4,2,'4/4',Fj7/A,A1,1,37
11.3172108844,0.223197278912,4,1,4,3,'4/4',Abo7,A1,1,37
11.5404081633,0.224195011338,4,1,4,4,'4/4',Abo7,A1,1,42
11.7646031746,0.221111111111,4,1,5,1,'4/4',G-7,A1,1,43
11.9857142857,0.219750566893,4,1,5,2,'4/4',G-7,A1,1,42
12.2054648526,0.224081632653,4,1,5,3,'4/4',G-7,A1,1,50
12.4295464853,0.218798185941,4,1,5,4,'4/4',G-7,A1,1,43
12.6483446712,0.228458049887,4,1,6,1,'4/4',C7,A1,1,38
12.8768027211,0.217573696145,4,1,6,2,'4/4',C7,A1,1,43
13.0943764172,0.224126984127,4,1,6,3,'4/4',C7,A1,1,46
13.3185034014,0.232925170068,4,1,6,4,'4/4',C7,A1,1,40
13.5514285714,0.224126984127,4,1,7,1,'4/4',F6,A1,1,45
13.7755555556,0.223242630385,4,1,7,2,'4/4',F6,A1,1,34
13.9987981859,0.22537414966,4,1,7,3,'4/4',F6,A1,1,37
14.2241723356,0.231882086168,4,1,7,4,'4/4',F6,A1,1,38
14.4560544218,0.217709750567,4,1,8,1,'4/4',G-7,A1,1,31
14.6737641723,0.21433106576,4,1,8,2,'4/4',G-7,A1,1,45
14.8880952381,0.213401360544,4,1,8,3,'4/4',C7,A1,1,34
15.1014965986,0.223990929705,4,1,8,4,'4/4',C7,A1,1,43
15.3254875283,0.227755102041,4,1,9,1,'4/4',Fj7,A2,1,43
15.5532426304,0.223083900227,4,1,9,2,'4/4',Fj7,A2,1,45
15.7763265306,0.224172335601,4,1,9,3,'4/4',Fj7,A2,1,34
16.0004988662,0.222993197279,4,1,9,4,'4/4',Fj7,A2,1,35
16.2234920635,0.224081632653,4,1,10,1,'4/4',Fj7,A2,1,35
16.4475736961,0.227505668934,4,1,10,2,'4/4',Fj7,A2,1,38
16.6750793651,0.214195011338,4,1,10,3,'4/4',Fj7,A2,1,40
16.8892743764,0.213560090703,4,1,10,4,'4/4',Fj7,A2,1,43
17.1028344671,0.223854875283,4,1,11,1,'4/4',Fj7,A2,1,41
17.3266893424,0.217845804989,4,1,11,2,'4/4',Fj7,A2,1,45
17.5445351474,0.213310657596,4,1,11,3,'4/4',Fj7,A2,1,43
17.757845805,0.218662131519,4,1,11,4,'4/4',Fj7,A2,1,45
17.9765079365,0.228843537415,4,1,12,1,'4/4',Fj7/A,A2,1,45
18.2053514739,0.208752834467,4,1,12,2,'4/4',Fj7/A,A2,1,50
18.4141043084,0.223151927438,4,1,12,3,'4/4',Abo7,A2,1,43
18.6372562358,0.230090702948,4,1,12,4,'4/4',Abo7,A2,1,43
18.8673469388,0.227233560091,4,1,13,1,'4/4',G-7,A2,1,43
19.0945804989,0.220068027211,4,1,13,2,'4/4',G-7,A2,1,42
19.3146485261,0.22179138322,4,1,13,3,'4/4',G-7,A2,1,40
19.5364399093,0.218662131519,4,1,13,4,'4/4',G-7,A2,1,43
19.7551020408,0.228639455782,4,1,14,1,'4/4',C7,A2,1,43
19.9837414966,0.217732426304,4,1,14,2,'4/4',C7,A2,1,43
20.2014739229,0.223242630385,4,1,14,3,'4/4',C7,A2,1,44
20.4247165533,0.214308390023,4,1,14,4,'4/4',C7,A2,1,43
20.6390249433,0.223287981859,4,1,15,1,'4/4',F6,A2,1,42
20.8623129252,0.208843537415,4,1,15,2,'4/4',F6,A2,1,42
21.0711564626,0.223197278912,4,1,15,3,'4/4',F6,A2,1,50
21.2943537415,0.232925170068,4,1,15,4,'4/4',F6,A2,1,50
21.5272789116,0.214149659864,4,1,16,1,'4/4',F6,A2,1,48
21.7414285714,0.218526077098,4,1,16,2,'4/4',F6,A2,1,43
21.9599546485,0.223219954649,4,1,16,3,'4/4',F6,A2,1,43
22.1831746032,0.233650793651,4,1,16,4,'4/4',C7,A2,1,43
22.4168253968,0.229886621315,4,1,17,1,'4/4',C-7,B1,1,35
22.6467120181,0.227845804989,4,1,17,2,'4/4',C-7,B1,1,39
22.8745578231,0.222675736961,4,1,17,3,'4/4',C-7,B1,1,43
23.0972335601,0.223265306122,4,1,17,4,'4/4',C-7,B1,1,43
23.3204988662,0.218412698413,4,1,18,1,'4/4',F7,B1,1,45
23.5389115646,0.223378684807,4,1,18,2,'4/4',F7,B1,1,43
23.7622902494,0.22410430839,4,1,18,3,'4/4',F7,B1,1,41
23.9863945578,0.213514739229,4,1,18,4,'4/4',F7,B1,1,45
24.1999092971,0.227482993197,4,1,19,1,'4/4',Bb,B1,1,46
24.4273922902,0.21433106576,4,1,19,2,'4/4',Bb,B1,1,47
24.641723356,0.213492063492,4,1,19,3,'4/4',F7,B1,1,38
24.8552154195,0.218616780045,4,1,19,4,'4/4',F7,B1,1,43
25.0738321995,0.218004535147,4,1,20,1,'4/4',Bb,B1,1,42
25.2918367347,0.228344671202,4,1,20,2,'4/4',Bb,B1,1,47
25.5201814059,0.224172335601,4,1,20,3,'4/4',Bb,B1,1,47
25.7443537415,0.217732426304,4,1,20,4,'4/4',Bb,B1,1,50
25.9620861678,0.224195011338,4,1,21,1,'4/4',Bb-,B1,1,51
26.1862811791,0.21335600907,4,1,21,2,'4/4',Bb-,B1,1,49
26.3996371882,0.208027210884,4,1,21,3,'4/4',Bb-,B1,1,41
26.6076643991,0.214036281179,4,1,21,4,'4/4',Bb-,B1,1,44
26.8217006803,0.223219954649,4,1,22,1,'4/4',Eb79,B1,1,47
27.0449206349,0.218684807256,4,1,22,2,'4/4',Eb79,B1,1,46
27.2636054422,0.203673469388,4,1,22,3,'4/4',Eb79,B1,1,39
27.4672789116,0.223922902494,4,1,22,4,'4/4',Eb79,B1,1,38
27.6912018141,0.22716553288,4,1,23,1,'4/4',D7,B1,1,45
27.9183673469,0.229863945578,4,1,23,2,'4/4',D7,B1,1,43
28.1482312925,0.227528344671,4,1,23,3,'4/4',D7,B1,1,42
28.3757596372,0.213469387755,4,1,23,4,'4/4',D7,B1,1,38
28.5892290249,0.224081632653,4,1,24,1,'4/4',G7,B1,1,43
28.8133106576,0.223151927438,4,1,24,2,'4/4',G7,B1,1,42
29.036462585,0.219659863946,4,1,24,3,'4/4',C7,B1,1,40
29.256122449,0.219433106576,4,1,24,4,'4/4',C7,B1,1,38
29.4755555556,0.216235827664,4,1,25,1,'4/4',Fj7,A3,1,40
29.6917913832,0.208911564626,4,1,25,2,'4/4',Fj7,A3,1,40
29.9007029478,0.213333333333,4,1,25,3,'4/4',Fj7,A3,1,41
30.1140362812,0.224058956916,4,1,25,4,'4/4',Fj7,A3,1,43
30.3380952381,0.224036281179,4,1,26,1,'4/4',Fj7,A3,1,45
30.5621315193,0.217392290249,4,1,26,2,'4/4',Fj7,A3,1,36
30.7795238095,0.223174603175,4,1,26,3,'4/4',Fj7,A3,1,38
31.0026984127,0.228140589569,4,1,26,4,'4/4',Fj7,A3,1,42
31.2308390023,0.229297052154,4,1,27,1,'4/4',G7,A3,1,43
31.4601360544,0.224943310658,4,1,27,2,'4/4',G7,A3,1,42
31.6850793651,0.23201814059,4,1,27,3,'4/4',G7,A3,1,37
31.9170975057,0.218684807256,4,1,27,4,'4/4',G7,A3,1,37
32.1357823129,0.203673469388,4,1,28,1,'4/4',G7,A3,1,38
32.3394557823,0.207936507937,4,1,28,2,'4/4',G7,A3,1,42
32.5473922902,0.21433106576,4,1,28,3,'4/4',G7,A3,1,43
32.761723356,0.213492063492,4,1,28,4,'4/4',G7,A3,1,50
32.9752154195,0.218299319728,4,1,29,1,'4/4',C7,A3,1,48
33.1935147392,0.215646258503,4,1,29,2,'4/4',C7,A3,1,50
33.4091609977,0.218412698413,4,1,29,3,'4/4',C7,A3,1,43
33.6275736961,0.221179138322,4,1,29,4,'4/4',C7,A3,1,42
33.8487528345,0.214263038549,4,1,30,1,'4/4',C7,A3,1,43
34.063015873,0.213424036281,4,1,30,2,'4/4',C7,A3,1,43
34.2764399093,0.227641723356,4,1,30,3,'4/4',C7,A3,1,40
34.5040816327,0.214172335601,4,1,30,4,'4/4',C7,A3,1,37
34.7182539683,0.223242630385,4,1,31,1,'4/4',F,A3,1,37
34.9414965986,0.208911564626,4,1,31,2,'4/4',F,A3,1,37
35.1504081633,0.213469387755,4,1,31,3,'4/4',F,A3,1,37
35.363877551,0.213469387755,4,1,31,4,'4/4',F,A3,1,43
35.5773469388,0.228344671202,4,1,32,1,'4/4',F,A3,1,43
35.80569161,0.213401360544,4,1,32,2,'4/4',F,A3,1,43
36.0190929705,0.224195011338,4,1,32,3,'4/4',F,A3,1,50
36.2432879819,0.222947845805,4,1,32,4,'4/4',F,A3,1,50
36.4662358277,0.218458049887,4,1,33,1,'4/4',Fj7,A1,2,37
36.6846938776,0.22306122449,4,1,33,2,'4/4',Fj7,A1,2,50
36.907755102,0.21433106576,4,1,33,3,'4/4',Fj7,A1,2,49
37.1220861678,0.217732426304,4,1,33,4,'4/4',Fj7,A1,2,45
37.3398185941,0.214217687075,4,1,34,1,'4/4',Fj7,A1,2,45
37.5540362812,0.223197278912,4,1,34,2,'4/4',Fj7,A1,2,43
37.7772335601,0.213605442177,4,1,34,3,'4/4',Fj7,A1,2,41
37.9908390023,0.218662131519,4,1,34,4,'4/4',Fj7,A1,2,39
38.2095011338,0.213310657596,4,1,35,1,'4/4',Fj7,A1,2,38
38.4228117914,0.224081632653,4,1,35,2,'4/4',Fj7,A1,2,37
38.646893424,0.217868480726,4,1,35,3,'4/4',Fj7,A1,2,37
38.8647619048,0.213446712018,4,1,35,4,'4/4',Fj7,A1,2,37
39.0782086168,0.224126984127,4,1,36,1,'4/4',Fj7/B,A1,2,38
39.3023356009,0.217732426304,4,1,36,2,'4/4',Fj7/B,A1,2,40
39.5200680272,0.223922902494,4,1,36,3,'4/4',Abo7,A1,2,42
39.7439909297,0.223378684807,4,1,36,4,'4/4',Abo7,A1,2,42
39.9673696145,0.21410430839,4,1,37,1,'4/4',G-7,A1,2,43
40.1814739229,0.217845804989,4,1,37,2,'4/4',G-7,A1,2,42
40.3993197279,0.214013605442,4,1,37,3,'4/4',G-7,A1,2,40
40.6133333333,0.213469387755,4,1,37,4,'4/4',G-7,A1,2,38
40.8268027211,0.217732426304,4,1,38,1,'4/4',C7,A1,2,36
41.0445351474,0.214353741497,4,1,38,2,'4/4',C7,A1,2,43
41.2588888889,0.223242630385,4,1,38,3,'4/4',C7,A1,2,40
41.4821315193,0.224036281179,4,1,38,4,'4/4',C7,A1,2,45
41.7061678005,0.224444444444,4,1,39,1,'4/4',F6,A1,2,45
41.9306122449,0.226349206349,4,1,39,2,'4/4',F6,A1,2,46
42.1569614512,0.224036281179,4,1,39,3,'4/4',F6,A1,2,48
42.3809977324,0.223469387755,4,1,39,4,'4/4',F6,A1,2,50
42.6044671202,0.224081632653,4,1,40,1,'4/4',G-7,A1,2,43
42.8285487528,0.207800453515,4,1,40,2,'4/4',G-7,A1,2,50
43.0363492063,0.233832199546,4,1,40,3,'4/4',C7,A1,2,37
43.2701814059,0.223015873016,4,1,40,4,'4/4',C7,A1,2,36
43.4931972789,0.223900226757,4,1,41,1,'4/4',Fj7,A2,2,42
43.7170975057,0.217800453515,4,1,41,2,'4/4',Fj7,A2,2,42
43.9348979592,0.21433106576,4,1,41,3,'4/4',Fj7,A2,2,40
44.1492290249,0.213219954649,4,1,41,4,'4/4',Fj7,A2,2,50
44.3624489796,0.221224489796,4,1,42,1,'4/4',Fj7,A2,2,50
44.5836734694,0.225487528345,4,1,42,2,'4/4',Fj7,A2,2,38
44.8091609977,0.209387755102,4,1,42,3,'4/4',Fj7,A2,2,37
45.0185487528,0.217959183673,4,1,42,4,'4/4',Fj7,A2,2,50
45.2365079365,0.213990929705,4,1,43,1,'4/4',Fj7,A2,2,48
45.4504988662,0.213446712018,4,1,43,2,'4/4',Fj7,A2,2,49
45.6639455782,0.218480725624,4,1,43,3,'4/4',Fj7,A2,2,34
45.8824263039,0.213560090703,4,1,43,4,'4/4',Fj7,A2,2,45
46.0959863946,0.213265306122,4,1,44,1,'4/4',Fj7/A,A2,2,45
46.3092517007,0.224058956916,4,1,44,2,'4/4',Fj7/A,A2,2,45
46.5333106576,0.217619047619,4,1,44,3,'4/4',Abo7,A2,2,38
46.7509297052,0.214353741497,4,1,44,4,'4/4',Abo7,A2,2,42
46.9652834467,0.222970521542,4,1,45,1,'4/4',G-7,A2,2,43
47.1882539683,0.218866213152,4,1,45,2,'4/4',G-7,A2,2,42
47.4071201814,0.213310657596,4,1,45,3,'4/4',G-7,A2,2,41
47.620430839,0.224195011338,4,1,45,4,'4/4',G-7,A2,2,38
