onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.72244897959,0.289795918367,4,1,-3,1,'4/4',NC,I1,0,35
3.01224489796,0.314285714286,4,1,-3,2,'4/4',NC,I1,0,38
3.32653061224,0.30612244898,4,1,-3,3,'4/4',NC,I1,0,39
3.63265306122,0.314285714286,4,1,-3,4,'4/4',NC,I1,0,43
3.94693877551,0.30798185941,4,1,-2,1,'4/4',NC,I1,0,35
4.25492063492,0.294376417234,4,1,-2,2,'4/4',NC,I1,0,43
4.54929705215,0.280884353741,4,1,-2,3,'4/4',NC,I1,0,41
4.8301814059,0.293333333333,4,1,-2,4,'4/4',NC,I1,0,44
5.12351473923,0.300975056689,4,1,-1,1,'4/4',NC,I1,0,45
5.42448979592,0.304557823129,4,1,-1,2,'4/4',NC,I1,0,44
5.72904761905,0.327936507937,4,1,-1,3,'4/4',NC,I1,0,43
6.05698412698,0.328594104308,4,1,-1,4,'4/4',NC,I1,0,42
6.38557823129,0.304716553288,4,1,0,1,'4/4',NC,I1,0,41
6.69029478458,0.317868480726,4,1,0,2,'4/4',NC,I1,0,47
7.00816326531,0.322448979592,4,1,0,3,'4/4',NC,I1,0,46
7.3306122449,0.30485260771,4,1,0,4,'4/4',NC,I1,0,43
7.63546485261,0.324920634921,4,1,1,1,'4/4',C-7,A1,1,36
7.96038548753,0.312789115646,4,1,1,2,'4/4',C-7,A1,1,38
8.27317460317,0.288979591837,4,1,1,3,'4/4',C-7,A1,1,39
8.56215419501,0.308707482993,4,1,1,4,'4/4',C-7,A1,1,43
8.870861678,0.329229024943,4,1,2,1,'4/4',F7,A1,1,47
9.20009070295,0.311519274376,4,1,2,2,'4/4',F7,A1,1,43
9.51160997732,0.331247165533,4,1,2,3,'4/4',F7,A1,1,41
9.84285714286,0.308163265306,4,1,2,4,'4/4',F7,A1,1,45
10.1510204082,0.332607709751,4,1,3,1,'4/4',Bbj7,A1,1,46
