onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
3.33111111111,0.447414965986,4,1,-2,2,'4/4',NC,I1,0,38
3.7785260771,0.440430839002,4,1,-2,3,'4/4',NC,I1,0,39
4.2189569161,0.437414965986,4,1,-2,4,'4/4',NC,I1,0,43
4.65637188209,0.441768707483,4,1,-1,1,'4/4',NC,I1,0,44
5.09814058957,0.437505668934,4,1,-1,2,'4/4',NC,I1,0,43
5.5356462585,0.451405895692,4,1,-1,3,'4/4',NC,I1,0,39
5.9870521542,0.447142857143,4,1,-1,4,'4/4',NC,I1,0,33
6.43419501134,0.440861678005,4,1,0,1,'4/4',NC,I1,0,40
6.87505668934,0.437301587302,4,1,0,2,'4/4',NC,I1,0,35
7.31235827664,0.457619047619,4,1,0,3,'4/4',NC,I1,0,46
7.76997732426,0.466349206349,4,1,0,4,'4/4',NC,I1,0,43
8.23632653061,0.441587301587,4,1,1,1,'4/4',F-,A1,1,41
8.6779138322,0.437392290249,4,1,1,2,'4/4',F-,A1,1,43
9.11530612245,0.431088435374,4,1,1,3,'4/4',F-,A1,1,44
9.54639455782,0.44179138322,4,1,1,4,'4/4',F-,A1,1,40
9.98818594104,0.456870748299,4,1,2,1,'4/4',F-j7,A1,1,41
10.4450566893,0.447120181406,4,1,2,2,'4/4',F-j7,A1,1,43
10.8921768707,0.447233560091,4,1,2,3,'4/4',F-j7,A1,1,44
11.3394104308,0.444716553288,4,1,2,4,'4/4',F-j7,A1,1,34
11.7841269841,0.46358276644,4,1,3,1,'4/4',F-7,A1,1,48
12.2477097506,0.44716553288,4,1,3,2,'4/4',F-7,A1,1,43
12.6948752834,0.450453514739,4,1,3,3,'4/4',F-7,A1,1,41
13.1453287982,0.462380952381,4,1,3,4,'4/4',F-7,A1,1,39
13.6077097506,0.441836734694,4,1,4,1,'4/4',F-6,A1,1,38
14.0495464853,0.45716553288,4,1,4,2,'4/4',F-6,A1,1,41
14.5067120181,0.430022675737,4,1,4,3,'4/4',F-6,A1,1,34
14.9367346939,0.448979591837,4,1,4,4,'4/4',F-6,A1,1,36
15.3857142857,0.450498866213,4,1,5,1,'4/4',Dbj7,A1,1,37
15.8362131519,0.466507936508,4,1,5,2,'4/4',Dbj7,A1,1,41
16.3027210884,0.462517006803,4,1,5,3,'4/4',Dbj7,A1,1,34
16.7652380952,0.431836734694,4,1,5,4,'4/4',Dbj7,A1,1,44
17.1970748299,0.457052154195,4,1,6,1,'4/4',Bb-7,A1,1,34
17.6541269841,0.45156462585,4,1,6,2,'4/4',Bb-7,A1,1,46
18.10569161,0.456916099773,4,1,6,3,'4/4',Bb-7,A1,1,44
18.5626077098,0.45612244898,4,1,6,4,'4/4',Bb-7,A1,1,38
19.0187301587,0.456893424036,4,1,7,1,'4/4',Gm7b5,A1,1,40
19.4756235828,0.447097505669,4,1,7,2,'4/4',Gm7b5,A1,1,43
19.9227210884,0.441882086168,4,1,7,3,'4/4',Gm7b5,A1,1,43
20.3646031746,0.456916099773,4,1,7,4,'4/4',Gm7b5,A1,1,37
20.8215192744,0.451383219955,4,1,8,1,'4/4',C79b,A1,1,36
21.2729024943,0.436553287982,4,1,8,2,'4/4',C79b,A1,1,42
21.7094557823,0.447278911565,4,1,8,3,'4/4',C79b,A1,1,43
22.1567346939,0.441746031746,4,1,8,4,'4/4',C79b,A1,1,42
