onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.44072562358,0.406734693878,4,1,1,1,'4/4',Eb7,A1,1,39
1.84746031746,0.392789115646,4,1,1,2,'4/4',Eb7,A1,1,39
2.24024943311,0.411496598639,4,1,1,3,'4/4',Eb7,A1,1,34
2.65174603175,0.387301587302,4,1,1,4,'4/4',Eb7,A1,1,38
3.03904761905,0.381360544218,4,1,2,1,'4/4',Eb7,A1,1,39
3.42040816327,0.4,4,1,2,2,'4/4',Eb7,A1,1,43
3.82040816327,0.394013605442,4,1,2,3,'4/4',Eb7,A1,1,45
4.21442176871,0.383129251701,4,1,2,4,'4/4',Eb7,A1,1,39
4.59755102041,0.375102040816,4,1,3,1,'4/4',Eb7,A1,1,39
4.97265306122,0.405056689342,4,1,3,2,'4/4',Eb7,A1,1,39
5.37770975057,0.377346938776,4,1,3,3,'4/4',Eb7,A1,1,34
5.75505668934,0.371473922902,4,1,3,4,'4/4',Eb7,A1,1,38
6.12653061224,0.388117913832,4,1,4,1,'4/4',Eb7,A1,1,39
6.51464852608,0.407006802721,4,1,4,2,'4/4',Eb7,A1,1,39
6.9216553288,0.383083900227,4,1,4,3,'4/4',Eb7,A1,1,34
7.30473922902,0.396757369615,4,1,4,4,'4/4',Eb7,A1,1,38
7.70149659864,0.382222222222,4,1,5,1,'4/4',Eb7,A1,1,39
8.08371882086,0.387278911565,4,1,5,2,'4/4',Eb7,A1,1,39
8.47099773243,0.377551020408,4,1,5,3,'4/4',Eb7,A1,1,34
8.84854875283,0.375578231293,4,1,5,4,'4/4',Eb7,A1,1,38
9.22412698413,0.393832199546,4,1,6,1,'4/4',Eb7,A1,1,39
9.61795918367,0.385487528345,4,1,6,2,'4/4',Eb7,A1,1,39
10.003446712,0.38022675737,4,1,6,3,'4/4',Eb7,A1,1,34
10.3836734694,0.387482993197,4,1,6,4,'4/4',Eb7,A1,1,38
10.7711564626,0.375873015873,4,1,7,1,'4/4',Eb7,A1,1,39
11.1470294785,0.382766439909,4,1,7,2,'4/4',Eb7,A1,1,39
11.5297959184,0.396099773243,4,1,7,3,'4/4',Eb7,A1,1,34
11.9258956916,0.40970521542,4,1,7,4,'4/4',Eb7,A1,1,38
12.335600907,0.395555555556,4,1,8,1,'4/4',Eb7,A1,1,39
12.7311564626,0.397052154195,4,1,8,2,'4/4',Eb7,A1,1,39
13.1282086168,0.391904761905,4,1,8,3,'4/4',Eb7,A1,1,38
13.5201133787,0.397029478458,4,1,8,4,'4/4',Eb7,A1,1,43
13.9171428571,0.377619047619,4,1,9,1,'4/4',Ab7,A1,1,44
14.2947619048,0.412380952381,4,1,9,2,'4/4',Ab7,A1,1,38
14.7071428571,0.391972789116,4,1,9,3,'4/4',Ab7,A1,1,39
15.0991156463,0.37746031746,4,1,9,4,'4/4',Ab7,A1,1,43
15.4765759637,0.387142857143,4,1,10,1,'4/4',Ab7,A1,1,44
15.8637188209,0.392040816327,4,1,10,2,'4/4',Ab7,A1,1,44
16.2557596372,0.377573696145,4,1,10,3,'4/4',Ab7,A1,1,39
16.6333333333,0.386893424036,4,1,10,4,'4/4',Ab7,A1,1,43
17.0202267574,0.402970521542,4,1,11,1,'4/4',Ab7,A1,1,44
17.4231972789,0.39619047619,4,1,11,2,'4/4',Ab7,A1,1,44
17.8193877551,0.41231292517,4,1,11,3,'4/4',Ab7,A1,1,39
18.2317006803,0.387369614512,4,1,11,4,'4/4',Ab7,A1,1,43
18.6190702948,0.383129251701,4,1,12,1,'4/4',Ab7,A1,1,44
19.0021995465,0.376462585034,4,1,12,2,'4/4',Ab7,A1,1,44
19.3786621315,0.377505668934,4,1,12,3,'4/4',Ab7,A1,1,45
19.7561678005,0.387392290249,4,1,12,4,'4/4',Ab7,A1,1,38
20.1435600907,0.382879818594,4,1,13,1,'4/4',Eb7,A1,1,39
20.5264399093,0.400544217687,4,1,13,2,'4/4',Eb7,A1,1,39
20.926984127,0.383174603175,4,1,13,3,'4/4',Eb7,A1,1,34
21.3101587302,0.37641723356,4,1,13,4,'4/4',Eb7,A1,1,38
21.6865759637,0.402857142857,4,1,14,1,'4/4',Eb7,A1,1,39
22.0894331066,0.412358276644,4,1,14,2,'4/4',Eb7,A1,1,39
22.5017913832,0.387188208617,4,1,14,3,'4/4',Eb7,A1,1,34
22.8889795918,0.391904761905,4,1,14,4,'4/4',Eb7,A1,1,38
23.2808843537,0.387097505669,4,1,15,1,'4/4',Eb7,A1,1,39
23.6679818594,0.392925170068,4,1,15,2,'4/4',Eb7,A1,1,39
24.0609070295,0.383900226757,4,1,15,3,'4/4',Eb7,A1,1,34
24.4448072562,0.380045351474,4,1,15,4,'4/4',Eb7,A1,1,38
24.8248526077,0.392925170068,4,1,16,1,'4/4',Eb7,A1,1,39
25.2177777778,0.372040816327,4,1,16,2,'4/4',Eb7,A1,1,39
25.5898185941,0.391950113379,4,1,16,3,'4/4',Eb7,A1,1,38
25.9817687075,0.377301587302,4,1,16,4,'4/4',Eb7,A1,1,39
26.3590702948,0.387528344671,4,1,17,1,'4/4',Bb7,A1,1,41
26.7465986395,0.402517006803,4,1,17,2,'4/4',Bb7,A1,1,43
27.1491156463,0.391541950113,4,1,17,3,'4/4',Bb7,A1,1,47
27.5406575964,0.397210884354,4,1,17,4,'4/4',Bb7,A1,1,40
27.9378684807,0.377346938776,4,1,18,1,'4/4',Bb7,A1,1,41
28.3152154195,0.387346938776,4,1,18,2,'4/4',Bb7,A1,1,41
28.7025623583,0.402448979592,4,1,18,3,'4/4',Bb7,A1,1,36
29.1050113379,0.386281179138,4,1,18,4,'4/4',Bb7,A1,1,41
29.491292517,0.402698412698,4,1,19,1,'4/4',Bb7,A1,1,41
29.8939909297,0.402630385488,4,1,19,2,'4/4',Bb7,A1,1,38
30.2966213152,0.387074829932,4,1,19,3,'4/4',Bb7,A1,1,40
