onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
6.15569160998,0.496394557823,4,1,0,1,'4/4',NC,I1,0,41
6.6520861678,0.490770975057,4,1,0,2,'4/4',NC,I1,0,40
7.14285714286,0.465306122449,4,1,0,3,'4/4',NC,I1,0,43
7.60816326531,0.489795918367,4,1,0,4,'4/4',NC,I1,0,43
8.09795918367,0.48619047619,4,1,1,1,'4/4',Ej7,A1,1,45
8.58414965986,0.477437641723,4,1,1,2,'4/4',Ej7,A1,1,45
9.06158730159,0.463401360544,4,1,1,3,'4/4',G#7/D#,A1,1,46
9.52498866213,0.482290249433,4,1,1,4,'4/4',G#7/D#,A1,1,45
10.0072789116,0.510793650794,4,1,2,1,'4/4',C#-7,A1,1,45
10.5180725624,0.494172335601,4,1,2,2,'4/4',C#-7,A1,1,43
11.012244898,0.493242630385,4,1,2,3,'4/4',B7,A1,1,47
11.5054875283,0.510839002268,4,1,2,4,'4/4',B7,A1,1,47
12.0163265306,0.484716553288,4,1,3,1,'4/4',Bb79b,A1,1,46
12.5010430839,0.488934240363,4,1,3,2,'4/4',Bb79b,A1,1,34
12.9899773243,0.507732426304,4,1,3,3,'4/4',E7alt,A1,1,46
13.4977097506,0.477800453515,4,1,3,4,'4/4',E7alt,A1,1,40
13.9755102041,0.507936507937,4,1,4,1,'4/4',Ebj7,A1,1,39
14.483446712,0.495283446712,4,1,4,2,'4/4',Ebj7,A1,1,39
14.9787301587,0.466712018141,4,1,4,3,'4/4',Eb-7,A1,1,39
15.4454421769,0.485238095238,4,1,4,4,'4/4',Ab7,A1,1,44
15.9306802721,0.492358276644,4,1,5,1,'4/4',Dbj7,A1,1,37
16.4230385488,0.493786848073,4,1,5,2,'4/4',Dbj7,A1,1,37
16.9168253968,0.484376417234,4,1,5,3,'4/4',F7/C,A1,1,36
17.4012018141,0.46947845805,4,1,5,4,'4/4',F7/C,A1,1,47
17.8706802721,0.479138321995,4,1,6,1,'4/4',Bb-7,A1,1,46
18.3498185941,0.484444444444,4,1,6,2,'4/4',Bb-7,A1,1,45
18.8342630385,0.491247165533,4,1,6,3,'4/4',Ab7,A1,1,44
19.3255102041,0.49231292517,4,1,6,4,'4/4',Ab7,A1,1,44
19.8178231293,0.479070294785,4,1,7,1,'4/4',G7,A1,1,43
20.296893424,0.503106575964,4,1,7,2,'4/4',G7,A1,1,43
20.8,0.488662131519,4,1,7,3,'4/4',Db7alt,A1,1,37
21.2886621315,0.463038548753,4,1,7,4,'4/4',Db7alt,A1,1,37
21.7517006803,0.462653061224,4,1,8,1,'4/4',Cj7,A1,1,36
22.2143537415,0.4889569161,4,1,8,2,'4/4',Cj7,A1,1,36
22.7033106576,0.493424036281,4,1,8,3,'4/4',F#-7,A1,1,42
23.1967346939,0.480498866213,4,1,8,4,'4/4',B7,A1,1,42
23.6772335601,0.490861678005,4,1,9,1,'4/4',Ej7,A2,1,33
24.1680952381,0.479818594104,4,1,9,2,'4/4',Ej7,A2,1,52
24.6479138322,0.461768707483,4,1,9,3,'4/4',G#7/D#,A2,1,51
25.1096825397,0.477074829932,4,1,9,4,'4/4',G#7/D#,A2,1,42
25.5867573696,0.462403628118,4,1,10,1,'4/4',C#-7,A2,1,42
26.0491609977,0.477936507937,4,1,10,2,'4/4',C#-7,A2,1,52
26.5270975057,0.484965986395,4,1,10,3,'4/4',B7,A2,1,39
27.0120634921,0.470385487528,4,1,10,4,'4/4',B7,A2,1,38
27.4824489796,0.476734693878,4,1,11,1,'4/4',Bb7,A2,1,46
27.9591836735,0.497755102041,4,1,11,2,'4/4',Bb7,A2,1,46
28.4569387755,0.469387755102,4,1,11,3,'4/4',E7alt,A2,1,47
28.9263265306,0.505011337868,4,1,11,4,'4/4',E7alt,A2,1,40
29.4313378685,0.475510204082,4,1,12,1,'4/4',Ebj7,A2,1,39
29.9068480726,0.482267573696,4,1,12,2,'4/4',Ebj7,A2,1,44
30.3891156463,0.487619047619,4,1,12,3,'4/4',Eb-7,A2,1,43
30.8767346939,0.500907029478,4,1,12,4,'4/4',Ab7,A2,1,33
31.3776417234,0.471405895692,4,1,13,1,'4/4',Dbj7,A2,1,32
31.849047619,0.468390022676,4,1,13,2,'4/4',Dbj7,A2,1,37
32.3174376417,0.482199546485,4,1,13,3,'4/4',F7/C,A2,1,36
32.7996371882,0.473265306122,4,1,13,4,'4/4',F7/C,A2,1,36
33.2729024943,0.477369614512,4,1,14,1,'4/4',Bb-7,A2,1,34
33.7502721088,0.493333333333,4,1,14,2,'4/4',Bb-7,A2,1,34
34.2436054422,0.470793650794,4,1,14,3,'4/4',Ab7,A2,1,44
34.714399093,0.491065759637,4,1,14,4,'4/4',Ab7,A2,1,33
35.2054648526,0.470793650794,4,1,15,1,'4/4',G7,A2,1,43
35.6762585034,0.492721088435,4,1,15,2,'4/4',G7,A2,1,43
36.1689795918,0.492244897959,4,1,15,3,'4/4',Db7alt,A2,1,37
36.6612244898,0.460997732426,4,1,15,4,'4/4',Db7alt,A2,1,49
37.1222222222,0.476689342404,4,1,16,1,'4/4',Cj7,A2,1,48
37.5989115646,0.496916099773,4,1,16,2,'4/4',Cj7,A2,1,43
38.0958276644,0.499410430839,4,1,16,3,'4/4',Cj7,A2,1,45
38.5952380952,0.469523809524,4,1,16,4,'4/4',Cj7,A2,1,43
39.0647619048,0.476485260771,4,1,17,1,'4/4',Cm7b5,B1,1,36
39.5412471655,0.472426303855,4,1,17,2,'4/4',Cm7b5,B1,1,38
40.0136734694,0.461179138322,4,1,17,3,'4/4',Cm7b5,B1,1,39
40.4748526077,0.501723356009,4,1,17,4,'4/4',Cm7b5,B1,1,42
40.9765759637,0.470975056689,4,1,18,1,'4/4',F79b,B1,1,41
41.4475510204,0.481859410431,4,1,18,2,'4/4',F79b,B1,1,33
41.9294104308,0.46925170068,4,1,18,3,'4/4',F79b,B1,1,36
42.3986621315,0.484716553288,4,1,18,4,'4/4',F79b,B1,1,41
42.8833786848,0.470997732426,4,1,19,1,'4/4',F#m7b5,B1,1,42
43.3543764172,0.484875283447,4,1,19,2,'4/4',F#m7b5,B1,1,48
43.8392517007,0.462925170068,4,1,19,3,'4/4',F#m7b5,B1,1,38
44.3021768707,0.470544217687,4,1,19,4,'4/4',F#m7b5,B1,1,52
44.7727210884,0.482380952381,4,1,20,1,'4/4',B79b,B1,1,39
45.2551020408,0.503174603175,4,1,20,2,'4/4',B79b,B1,1,48
45.758276644,0.483718820862,4,1,20,3,'4/4',B79b,B1,1,47
46.2419954649,0.462335600907,4,1,20,4,'4/4',B79b,B1,1,45
46.7043310658,0.471088435374,4,1,21,1,'4/4',Ej7,B1,1,44
47.1754195011,0.493151927438,4,1,21,2,'4/4',Ej7,B1,1,40
47.6685714286,0.490816326531,4,1,21,3,'4/4',Ej7,B1,1,28
48.1593877551,0.456712018141,4,1,21,4,'4/4',Ej7,B1,1,35
48.6160997732,0.485192743764,4,1,22,1,'4/4',Ej7,B1,1,39
49.101292517,0.461700680272,4,1,22,2,'4/4',Ej7,B1,1,28
49.5629931973,0.49052154195,4,1,22,3,'4/4',Ej7,B1,1,40
50.0535147392,0.478911564626,4,1,22,4,'4/4',Ej7,B1,1,40
50.5324263039,0.462403628118,4,1,23,1,'4/4',F-7,B1,1,36
50.994829932,0.501292517007,4,1,23,2,'4/4',F-7,B1,1,48
51.496122449,0.46433106576,4,1,23,3,'4/4',F-7,B1,1,41
51.9604535147,0.467369614512,4,1,23,4,'4/4',F-7,B1,1,41
52.4278231293,0.461428571429,4,1,24,1,'4/4',Bb7,B1,1,43
52.8892517007,0.477233560091,4,1,24,2,'4/4',Bb7,B1,1,45
53.3664852608,0.463174603175,4,1,24,3,'4/4',Bb7,B1,1,43
53.8296598639,0.476893424036,4,1,24,4,'4/4',Bb7,B1,1,38
