onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
0.609682539683,0.332040816327,4,1,-2,1,'4/4',C-,I1,0,43
0.941723356009,0.303741496599,4,1,-2,2,'4/4',C-,I1,0,36
1.24546485261,0.317210884354,4,1,-2,3,'4/4',C-,I1,0,43
1.56267573696,0.283038548753,4,1,-2,4,'4/4',C-,I1,0,38
1.84571428571,0.33612244898,4,1,-1,1,'4/4',C-,I1,0,37
2.18183673469,0.30306122449,4,1,-1,2,'4/4',C-,I1,0,33
2.48489795918,0.312879818594,4,1,-1,3,'4/4',C-,I1,0,43
2.79777777778,0.263310657596,4,1,-1,4,'4/4',C-,I1,0,43
3.06108843537,0.275759637188,4,1,0,1,'4/4',C-,I1,0,43
3.33684807256,0.287664399093,4,1,0,2,'4/4',C-,I1,0,33
3.62451247166,0.313764172336,4,1,0,3,'4/4',C-,I1,0,35
3.93827664399,0.303945578231,4,1,0,4,'4/4',C-,I1,0,38
4.24222222222,0.311632653061,4,1,1,1,'4/4',C-7,A1,1,36
4.55385487528,0.294716553288,4,1,1,2,'4/4',C-7,A1,1,35
4.84857142857,0.293446712018,4,1,1,3,'4/4',C-7,A1,1,36
5.14201814059,0.280204081633,4,1,1,4,'4/4',C-7,A1,1,37
5.42222222222,0.300884353741,4,1,2,1,'4/4',C-7,A1,1,38
5.72310657596,0.307936507937,4,1,2,2,'4/4',C-7,A1,1,42
6.0310430839,0.310090702948,4,1,2,3,'4/4',C-7,A1,1,33
6.34113378685,0.278480725624,4,1,2,4,'4/4',C-7,A1,1,38
6.61961451247,0.306666666667,4,1,3,1,'4/4',C-7,A1,1,35
6.92628117914,0.291768707483,4,1,3,2,'4/4',C-7,A1,1,42
7.21804988662,0.32074829932,4,1,3,3,'4/4',C-7,A1,1,40
7.53879818594,0.298390022676,4,1,3,4,'4/4',C-7,A1,1,33
7.83718820862,0.27537414966,4,1,4,1,'4/4',C-7,A1,1,38
8.11256235828,0.307369614512,4,1,4,2,'4/4',C-7,A1,1,36
8.41993197279,0.326621315193,4,1,4,3,'4/4',C-7,A1,1,35
8.74655328798,0.298344671202,4,1,4,4,'4/4',C-7,A1,1,38
9.04489795918,0.272947845805,4,1,5,1,'4/4',C-7,A1,1,37
9.31784580499,0.292970521542,4,1,5,2,'4/4',C-7,A1,1,43
