onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
4.88199546485,0.296054421769,4,1,1,1,'4/4',C#7,A1,1,37
5.17804988662,0.296054421769,4,1,1,2,'4/4',C#7,A1,1,44
5.47410430839,0.284444444444,4,1,1,3,'4/4',C#7,A1,1,52
5.75854875283,0.284444444444,4,1,1,4,'4/4',C#7,A1,1,47
6.04299319728,0.296054421769,4,1,2,1,'4/4',C#7,A1,1,46
6.33904761905,0.281360544218,4,1,2,2,'4/4',C#7,A1,1,45
6.62040816327,0.303537414966,4,1,2,3,'4/4',C#7,A1,1,44
6.92394557823,0.303650793651,4,1,2,4,'4/4',C#7,A1,1,43
7.22759637188,0.301473922902,4,1,3,1,'4/4',F#7,A1,1,42
7.52907029478,0.289750566893,4,1,3,2,'4/4',F#7,A1,1,40
7.81882086168,0.30283446712,4,1,3,3,'4/4',F#7,A1,1,39
8.1216553288,0.296009070295,4,1,3,4,'4/4',F#7,A1,1,38
8.41766439909,0.295283446712,4,1,4,1,'4/4',F#7,A1,1,37
8.7129478458,0.29387755102,4,1,4,2,'4/4',F#7,A1,1,31
9.00682539683,0.304376417234,4,1,4,3,'4/4',F#7,A1,1,37
9.31120181406,0.333786848073,4,1,4,4,'4/4',F#7,A1,1,37
9.64498866213,0.287346938776,4,1,5,1,'4/4',F7,A1,1,36
9.93233560091,0.310453514739,4,1,5,2,'4/4',F7,A1,1,41
10.2427891156,0.305011337868,4,1,5,3,'4/4',E7,A1,1,40
10.5478004535,0.294013605442,4,1,5,4,'4/4',E7,A1,1,35
10.841814059,0.305034013605,4,1,6,1,'4/4',Eb7,A1,1,34
11.1468480726,0.313560090703,4,1,6,2,'4/4',Eb7,A1,1,43
11.4604081633,0.303401360544,4,1,6,3,'4/4',Eb7,A1,1,41
11.7638095238,0.305941043084,4,1,6,4,'4/4',Eb7,A1,1,39
12.0697505669,0.293786848073,4,1,7,1,'4/4',D7,A1,1,45
12.363537415,0.294829931973,4,1,7,2,'4/4',D7,A1,1,38
12.6583673469,0.303492063492,4,1,7,3,'4/4',D7,A1,1,45
12.9618594104,0.295941043084,4,1,7,4,'4/4',D7,A1,1,37
13.2578004535,0.30335600907,4,1,8,1,'4/4',D7,A1,1,37
13.5611564626,0.305034013605,4,1,8,2,'4/4',D7,A1,1,37
13.8661904762,0.296258503401,4,1,8,3,'4/4',D7,A1,1,50
14.1624489796,0.275396825397,4,1,8,4,'4/4',D7,A1,1,45
14.437845805,0.303718820862,4,1,9,1,'4/4',C#7,A2,1,44
14.7415646259,0.295192743764,4,1,9,2,'4/4',C#7,A2,1,50
15.0367573696,0.295941043084,4,1,9,3,'4/4',C#7,A2,1,37
15.3326984127,0.293968253968,4,1,9,4,'4/4',C#7,A2,1,51
15.6266666667,0.305011337868,4,1,10,1,'4/4',C#7,A2,1,37
15.9316780045,0.30380952381,4,1,10,2,'4/4',C#7,A2,1,42
16.2354875283,0.31358276644,4,1,10,3,'4/4',C#7,A2,1,36
16.5490702948,0.285079365079,4,1,10,4,'4/4',C#7,A2,1,37
16.8341496599,0.305918367347,4,1,11,1,'4/4',F#7,A2,1,43
17.1400680272,0.285260770975,4,1,11,2,'4/4',F#7,A2,1,43
17.4253287982,0.303650793651,4,1,11,3,'4/4',F#7,A2,1,37
17.7289795918,0.296145124717,4,1,11,4,'4/4',F#7,A2,1,52
18.0251247166,0.302789115646,4,1,12,1,'4/4',F#7,A2,1,51
18.3279138322,0.286349206349,4,1,12,2,'4/4',F#7,A2,1,50
18.6142630385,0.295102040816,4,1,12,3,'4/4',F#7,A2,1,37
18.9093650794,0.285532879819,4,1,12,4,'4/4',F#7,A2,1,42
19.1948979592,0.286462585034,4,1,13,1,'4/4',F7,A2,1,41
19.4813605442,0.303741496599,4,1,13,2,'4/4',F7,A2,1,37
19.7851020408,0.285238095238,4,1,13,3,'4/4',E7,A2,1,47
20.0703401361,0.295079365079,4,1,13,4,'4/4',E7,A2,1,40
20.3654195011,0.286167800454,4,1,14,1,'4/4',Eb7,A2,1,39
20.6515873016,0.295283446712,4,1,14,2,'4/4',Eb7,A2,1,43
20.9468707483,0.29612244898,4,1,14,3,'4/4',Eb7,A2,1,37
21.2429931973,0.303469387755,4,1,14,4,'4/4',Eb7,A2,1,39
21.546462585,0.285782312925,4,1,15,1,'4/4',D7,A2,1,38
21.832244898,0.295283446712,4,1,15,2,'4/4',D7,A2,1,30
22.1275283447,0.303741496599,4,1,15,3,'4/4',D7,A2,1,31
22.4312698413,0.303333333333,4,1,15,4,'4/4',D7,A2,1,32
22.7346031746,0.286439909297,4,1,16,1,'4/4',D7,A2,1,33
