onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.50126984127,0.328662131519,3,1,1,1,'3/4',G,A1,1,42
2.82993197279,0.325170068027,3,1,1,2,'3/4',G,A1,1,41
3.15510204082,0.316281179138,3,1,1,3,'3/4',G,A1,1,41
3.47138321995,0.333786848073,3,1,2,1,'3/4',G,A1,1,41
3.80517006803,0.327959183673,3,1,2,2,'3/4',G,A1,1,41
4.1331292517,0.316394557823,3,1,2,3,'3/4',G,A1,1,41
4.44952380952,0.329387755102,3,1,3,1,'3/4',Bb,A1,1,40
4.77891156463,0.331814058957,3,1,3,2,'3/4',Bb,A1,1,40
5.11072562358,0.31693877551,3,1,3,3,'3/4',Bb,A1,1,46
5.42766439909,0.319115646259,3,1,4,1,'3/4',Bb,A1,1,46
5.74678004535,0.323265306122,3,1,4,2,'3/4',Bb,A1,1,40
6.07004535147,0.323310657596,3,1,4,3,'3/4',Bb,A1,1,46
6.39335600907,0.32126984127,3,1,5,1,'3/4',Ebj7911#,A1,1,39
6.71462585034,0.323197278912,3,1,5,2,'3/4',Ebj7911#,A1,1,39
7.03782312925,0.31358276644,3,1,5,3,'3/4',Ebj7911#,A1,1,39
7.35140589569,0.330861678005,3,1,6,1,'3/4',Ebj7911#,A1,1,45
7.6822675737,0.33306122449,3,1,6,2,'3/4',Ebj7911#,A1,1,48
8.01532879819,0.303015873016,3,1,6,3,'3/4',Ebj7911#,A1,1,50
8.3183446712,0.332970521542,3,1,7,1,'3/4',Ebj7911#,A1,1,51
8.65131519274,0.321156462585,3,1,7,2,'3/4',Ebj7911#,A1,1,50
8.97247165533,0.315782312925,3,1,7,3,'3/4',Ebj7911#,A1,1,50
9.28825396825,0.321020408163,3,1,8,1,'3/4',Ebj7911#,A1,1,48
9.60927437642,0.313741496599,3,1,8,2,'3/4',Ebj7911#,A1,1,48
9.92301587302,0.313446712018,3,1,8,3,'3/4',Ebj7911#,A1,1,46
10.236462585,0.322426303855,3,1,9,1,'3/4',Dbj7,A1,1,48
10.5588888889,0.313492063492,3,1,9,2,'3/4',Dbj7,A1,1,36
10.8723809524,0.323378684807,3,1,9,3,'3/4',Dbj7,A1,1,36
11.1957596372,0.340589569161,3,1,10,1,'3/4',Dbj7,A1,1,48
11.5363492063,0.33485260771,3,1,10,2,'3/4',Dbj7,A1,1,48
11.8712018141,0.338979591837,3,1,10,3,'3/4',Dbj7,A1,1,45
12.2101814059,0.313514739229,3,1,11,1,'3/4',Dbj7,A1,1,48
12.5236961451,0.321156462585,3,1,11,2,'3/4',Dbj7,A1,1,48
12.8448526077,0.333151927438,3,1,11,3,'3/4',Dbj7,A1,1,45
13.1780045351,0.313560090703,3,1,12,1,'3/4',Dbj7,A1,1,47
13.4915646259,0.313514739229,3,1,12,2,'3/4',Dbj7,A1,1,48
13.8050793651,0.302902494331,3,1,12,3,'3/4',Dbj7,A1,1,48
14.1079818594,0.313492063492,3,1,13,1,'3/4',Dbj7,A1,1,36
14.4214739229,0.333265306122,3,1,13,2,'3/4',Dbj7,A1,1,36
14.754739229,0.313310657596,3,1,13,3,'3/4',Dbj7,A1,1,48
15.0680498866,0.313718820862,3,1,14,1,'3/4',Dbj7,A1,1,48
15.3817687075,0.302743764172,3,1,14,2,'3/4',Dbj7,A1,1,48
15.6845124717,0.323401360544,3,1,14,3,'3/4',Dbj7,A1,1,48
16.0079138322,0.303786848073,3,1,15,1,'3/4',Dbj7,A1,1,36
16.3117006803,0.285102040816,3,1,15,2,'3/4',Dbj7,A1,1,36
16.5968027211,0.306099773243,3,1,15,3,'3/4',Dbj7,A1,1,48
16.9029024943,0.302902494331,3,1,16,1,'3/4',Dbj7,A1,1,48
17.2058049887,0.296099773243,3,1,16,2,'3/4',Dbj7,A1,1,36
17.5019047619,0.313537414966,3,1,16,3,'3/4',Dbj7,A1,1,48
17.8154421769,0.312675736961,3,1,17,1,'3/4',A-79,A1,1,33
18.1281179138,0.303764172336,3,1,17,2,'3/4',A-79,A1,1,33
18.4318820862,0.313605442177,3,1,17,3,'3/4',A-79,A1,1,40
18.7454875283,0.323287981859,3,1,18,1,'3/4',A-79,A1,1,44
19.0687755102,0.295034013605,3,1,18,2,'3/4',A-79,A1,1,45
19.3638095238,0.313514739229,3,1,18,3,'3/4',A-79,A1,1,44
19.677324263,0.31358276644,3,1,19,1,'3/4',F+j7,A1,1,41
19.9909070295,0.309138321995,3,1,19,2,'3/4',F+j7,A1,1,41
20.3000453515,0.284444444444,3,1,19,3,'3/4',F+j7,A1,1,45
20.5844897959,0.317142857143,3,1,20,1,'3/4',F+j7,A1,1,37
20.9016326531,0.312698412698,3,1,20,2,'3/4',F+j7,A1,1,50
21.2143310658,0.325079365079,3,1,20,3,'3/4',F+j7,A1,1,38
21.5394104308,0.322403628118,3,1,21,1,'3/4',A-,B1,1,45
21.861814059,0.302902494331,3,1,21,2,'3/4',A-,B1,1,45
22.1647165533,0.296167800454,3,1,21,3,'3/4',A-,B1,1,45
22.4608843537,0.313605442177,3,1,22,1,'3/4',F,B1,1,45
22.7744897959,0.322267573696,3,1,22,2,'3/4',F,B1,1,45
23.0967573696,0.303718820862,3,1,22,3,'3/4',F,B1,1,45
23.4004761905,0.295192743764,3,1,23,1,'3/4',A-,B1,1,45
23.6956689342,0.313469387755,3,1,23,2,'3/4',A-,B1,1,45
24.009138322,0.303854875283,3,1,23,3,'3/4',A-,B1,1,45
24.3129931973,0.305124716553,3,1,24,1,'3/4',F,B1,1,53
24.6181179138,0.321882086168,3,1,24,2,'3/4',F,B1,1,50
24.94,0.312789115646,3,1,24,3,'3/4',F,B1,1,50
25.2527891156,0.313514739229,3,1,25,1,'3/4',A-,B1,1,52
25.5663038549,0.313469387755,3,1,25,2,'3/4',A-,B1,1,45
25.8797732426,0.305215419501,3,1,25,3,'3/4',A-,B1,1,45
26.1849886621,0.303628117914,3,1,26,1,'3/4',F,B1,1,53
26.48861678,0.313650793651,3,1,26,2,'3/4',F,B1,1,53
26.8022675737,0.323287981859,3,1,26,3,'3/4',F,B1,1,46
27.1255555556,0.295215419501,3,1,27,1,'3/4',A-,B1,1,52
27.4207709751,0.293832199546,3,1,27,2,'3/4',A-,B1,1,50
27.7146031746,0.313514739229,3,1,27,3,'3/4',A-,B1,1,48
28.0281179138,0.295238095238,3,1,28,1,'3/4',F,B1,1,45
28.3233560091,0.323333333333,3,1,28,2,'3/4',F,B1,1,41
28.6466893424,0.323333333333,3,1,28,3,'3/4',F,B1,1,40
28.9700226757,0.302857142857,3,1,29,1,'3/4',G,A1,2,41
29.2728798186,0.303854875283,3,1,29,2,'3/4',G,A1,2,41
29.5767346939,0.28641723356,3,1,29,3,'3/4',G,A1,2,45
29.8631519274,0.322403628118,3,1,30,1,'3/4',G,A1,2,45
30.1855555556,0.313469387755,3,1,30,2,'3/4',G,A1,2,48
30.4990249433,0.323424036281,3,1,30,3,'3/4',G,A1,2,50
30.8224489796,0.330952380952,3,1,31,1,'3/4',Bb,A1,2,52
31.1534013605,0.305736961451,3,1,31,2,'3/4',Bb,A1,2,46
31.459138322,0.302947845805,3,1,31,3,'3/4',Bb,A1,2,46
31.7620861678,0.323378684807,3,1,32,1,'3/4',Bb,A1,2,46
32.0854648526,0.30358276644,3,1,32,2,'3/4',Bb,A1,2,52
32.389047619,0.295192743764,3,1,32,3,'3/4',Bb,A1,2,45
