onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.540430839,0.35641723356,4,1,1,1,'4/4',Bb7,A1,1,47
2.89684807256,0.344467120181,4,1,1,2,'4/4',Bb7,A1,1,38
3.24131519274,0.345691609977,4,1,1,3,'4/4',Bb7,A1,1,43
3.58700680272,0.319954648526,4,1,1,4,'4/4',Bb7,A1,1,50
3.90696145125,0.334263038549,4,1,2,1,'4/4',Eb7,A1,1,46
4.2412244898,0.332448979592,4,1,2,2,'4/4',Eb7,A1,1,50
4.57367346939,0.345170068027,4,1,2,3,'4/4',Eb7,A1,1,52
4.91884353741,0.325691609977,4,1,2,4,'4/4',Eb7,A1,1,36
5.24453514739,0.312154195011,4,1,3,1,'4/4',Bb7,A1,1,53
5.5566893424,0.345351473923,4,1,3,2,'4/4',Bb7,A1,1,42
5.90204081633,0.370476190476,4,1,3,3,'4/4',Bb7,A1,1,41
6.2725170068,0.337256235828,4,1,3,4,'4/4',Bb7,A1,1,36
6.60977324263,0.36156462585,4,1,4,1,'4/4',Bb7,A1,1,46
6.97133786848,0.315170068027,4,1,4,2,'4/4',Bb7,A1,1,52
7.28650793651,0.34253968254,4,1,4,3,'4/4',Bb7,A1,1,42
7.62904761905,0.317936507937,4,1,4,4,'4/4',Bb7,A1,1,46
7.94698412698,0.346893424036,4,1,5,1,'4/4',Eb7,A1,1,46
8.29387755102,0.348798185941,4,1,5,2,'4/4',Eb7,A1,1,50
8.64267573696,0.31970521542,4,1,5,3,'4/4',Eb7,A1,1,37
8.96238095238,0.313038548753,4,1,5,4,'4/4',Eb7,A1,1,48
9.27541950113,0.340929705215,4,1,6,1,'4/4',Eb7,A1,1,46
9.61634920635,0.315714285714,4,1,6,2,'4/4',Eb7,A1,1,47
9.93206349206,0.321836734694,4,1,6,3,'4/4',Eb7,A1,1,46
10.2539002268,0.326961451247,4,1,6,4,'4/4',Eb7,A1,1,36
10.580861678,0.343015873016,4,1,7,1,'4/4',Bb7,A1,1,50
10.923877551,0.333265306122,4,1,7,2,'4/4',Bb7,A1,1,35
11.2571428571,0.33201814059,4,1,7,3,'4/4',Bb7,A1,1,46
11.5891609977,0.335260770975,4,1,7,4,'4/4',Bb7,A1,1,44
11.9244217687,0.321201814059,4,1,8,1,'4/4',Bb7,A1,1,45
12.2456235828,0.32746031746,4,1,8,2,'4/4',Bb7,A1,1,38
12.5730839002,0.351723356009,4,1,8,3,'4/4',Bb7,A1,1,43
12.9248072562,0.323446712018,4,1,8,4,'4/4',Bb7,A1,1,47
13.2482539683,0.343537414966,4,1,9,1,'4/4',C-7,A1,1,47
13.5917913832,0.326258503401,4,1,9,2,'4/4',C-7,A1,1,48
13.9180498866,0.334399092971,4,1,9,3,'4/4',C-7,A1,1,42
14.2524489796,0.353718820862,4,1,9,4,'4/4',C-7,A1,1,48
14.6061678005,0.368390022676,4,1,10,1,'4/4',F7,A1,1,41
14.9745578231,0.335918367347,4,1,10,2,'4/4',F7,A1,1,43
15.3104761905,0.347097505669,4,1,10,3,'4/4',F7,A1,1,48
15.6575736961,0.3389569161,4,1,10,4,'4/4',F7,A1,1,49
15.9965306122,0.325079365079,4,1,11,1,'4/4',Bb7,A1,1,50
16.3216099773,0.340952380952,4,1,11,2,'4/4',Bb7,A1,1,38
16.6625623583,0.353265306122,4,1,11,3,'4/4',Bb7,A1,1,43
17.0158276644,0.335192743764,4,1,11,4,'4/4',Bb7,A1,1,36
17.3510204082,0.363265306122,4,1,12,1,'4/4',F7,A1,1,51
17.7142857143,0.334693877551,4,1,12,2,'4/4',F7,A1,1,48
18.0489795918,0.338775510204,4,1,12,3,'4/4',F7,A1,1,41
18.387755102,0.359183673469,4,1,12,4,'4/4',F7,A1,1,42
18.7469387755,0.355102040816,4,1,13,1,'4/4',Bb7,A1,2,46
19.1020408163,0.337868480726,4,1,13,2,'4/4',Bb7,A1,2,52
19.4399092971,0.321065759637,4,1,13,3,'4/4',Bb7,A1,2,53
19.7609750567,0.353968253968,4,1,13,4,'4/4',Bb7,A1,2,39
20.1149433107,0.326780045351,4,1,14,1,'4/4',Eb7,A1,2,39
20.441723356,0.32970521542,4,1,14,2,'4/4',Eb7,A1,2,37
20.7714285714,0.340884353741,4,1,14,3,'4/4',Eb7,A1,2,49
21.1123129252,0.347936507937,4,1,14,4,'4/4',Eb7,A1,2,51
21.4602494331,0.353673469388,4,1,15,1,'4/4',Bb7,A1,2,39
21.8139229025,0.335782312925,4,1,15,2,'4/4',Bb7,A1,2,43
