onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.33609977324,0.193650793651,4,1,0,1,'4/4',NC,I1,0,44
2.52975056689,0.193650793651,4,1,0,2,'4/4',NC,I1,0,40
2.72340136054,0.18873015873,4,1,0,3,'4/4',NC,I1,0,39
2.91213151927,0.18873015873,4,1,0,4,'4/4',NC,I1,0,37
3.100861678,0.200907029478,4,1,1,1,'4/4',Bj7,A1,1,47
3.30176870748,0.200907029478,4,1,1,2,'4/4',Bj7,A1,1,47
3.50267573696,0.188650793651,4,1,1,3,'4/4',D7,A1,1,45
3.69132653061,0.188650793651,4,1,1,4,'4/4',D7,A1,1,42
3.87997732426,0.183990929705,4,1,2,1,'4/4',Gj7,A1,1,45
4.06396825397,0.183990929705,4,1,2,2,'4/4',Gj7,A1,1,35
4.24795918367,0.196428571429,4,1,2,3,'4/4',Bb7,A1,1,47
4.4443877551,0.196428571429,4,1,2,4,'4/4',Bb7,A1,1,45
4.64081632653,0.195918367347,4,1,3,1,'4/4',Ebj7,A1,1,45
4.83673469388,0.195918367347,4,1,3,2,'4/4',Ebj7,A1,1,45
5.03265306122,0.19387755102,4,1,3,3,'4/4',Ebj7,A1,1,43
5.22653061224,0.19387755102,4,1,3,4,'4/4',Ebj7,A1,1,43
5.42040816327,0.190691609977,4,1,4,1,'4/4',A-7,A1,1,40
5.61109977324,0.190691609977,4,1,4,2,'4/4',A-7,A1,1,33
5.80179138322,0.205770975057,4,1,4,3,'4/4',D7,A1,1,38
6.00756235828,0.205770975057,4,1,4,4,'4/4',D7,A1,1,45
6.21333333333,0.196360544218,4,1,5,1,'4/4',Gj7,A1,1,43
6.40969387755,0.196360544218,4,1,5,2,'4/4',Gj7,A1,1,43
6.60605442177,0.188741496599,4,1,5,3,'4/4',Bb7,A1,1,44
6.79479591837,0.188741496599,4,1,5,4,'4/4',Bb7,A1,1,45
6.98353741497,0.193265306122,4,1,6,1,'4/4',Ebj7,A1,1,38
7.17680272109,0.193265306122,4,1,6,2,'4/4',Ebj7,A1,1,45
7.37006802721,0.201179138322,4,1,6,3,'4/4',F#7,A1,1,42
7.57124716553,0.201179138322,4,1,6,4,'4/4',F#7,A1,1,37
7.77242630385,0.198707482993,4,1,7,1,'4/4',Bj7,A1,1,36
7.97113378685,0.198707482993,4,1,7,2,'4/4',Bj7,A1,1,42
8.16984126984,0.196360544218,4,1,7,3,'4/4',Bj7,A1,1,46
8.36620181406,0.196360544218,4,1,7,4,'4/4',Bj7,A1,1,47
8.56256235828,0.19806122449,4,1,8,1,'4/4',F-7,A1,1,47
8.76062358277,0.19806122449,4,1,8,2,'4/4',F-7,A1,1,43
8.95868480726,0.201315192744,4,1,8,3,'4/4',Bb7,A1,1,44
9.16,0.201315192744,4,1,8,4,'4/4',Bb7,A1,1,45
9.36131519274,0.201303854875,4,1,9,1,'4/4',Ebj7,A1,1,45
9.56261904762,0.201303854875,4,1,9,2,'4/4',Ebj7,A1,1,44
9.76392290249,0.216020408163,4,1,9,3,'4/4',Ebj7,A1,1,43
9.97994331066,0.216020408163,4,1,9,4,'4/4',Ebj7,A1,1,43
10.1959637188,0.198038548753,4,1,10,1,'4/4',A-7,A1,1,45
10.3940022676,0.198038548753,4,1,10,2,'4/4',A-7,A1,1,43
10.5920408163,0.21373015873,4,1,10,3,'4/4',D7,A1,1,42
10.8057709751,0.21373015873,4,1,10,4,'4/4',D7,A1,1,40
11.0195011338,0.214739229025,4,1,11,1,'4/4',Gj7,A1,1,38
11.2342403628,0.214739229025,4,1,11,2,'4/4',Gj7,A1,1,37
11.4489795918,0.20612244898,4,1,11,3,'4/4',Gj7,A1,1,36
11.6551020408,0.20612244898,4,1,11,4,'4/4',Gj7,A1,1,38
11.8612244898,0.189637188209,4,1,12,1,'4/4',C#-7,A1,1,36
12.050861678,0.189637188209,4,1,12,2,'4/4',C#-7,A1,1,40
12.2404988662,0.19373015873,4,1,12,3,'4/4',F#7,A1,1,42
12.4342290249,0.19373015873,4,1,12,4,'4/4',F#7,A1,1,36
12.6279591837,0.196439909297,4,1,13,1,'4/4',Bj7,A1,1,35
12.824399093,0.196439909297,4,1,13,2,'4/4',Bj7,A1,1,37
13.0208390023,0.211054421769,4,1,13,3,'4/4',Bj7,A1,1,37
13.231893424,0.211054421769,4,1,13,4,'4/4',Bj7,A1,1,42
13.4429478458,0.205600907029,4,1,14,1,'4/4',F-7,A1,1,41
13.6485487528,0.205600907029,4,1,14,2,'4/4',F-7,A1,1,43
13.8541496599,0.203526077098,4,1,14,3,'4/4',Bb7,A1,1,43
14.057675737,0.203526077098,4,1,14,4,'4/4',Bb7,A1,1,45
14.2612018141,0.196439909297,4,1,15,1,'4/4',Ebj7,A1,1,45
14.4576417234,0.196439909297,4,1,15,2,'4/4',Ebj7,A1,1,44
14.6540816327,0.188741496599,4,1,15,3,'4/4',Ebj7,A1,1,43
14.8428231293,0.188741496599,4,1,15,4,'4/4',Ebj7,A1,1,39
15.0315646259,0.210589569161,4,1,16,1,'4/4',C#-7,A1,1,44
15.242154195,0.210589569161,4,1,16,2,'4/4',C#-7,A1,1,40
15.4527437642,0.2160430839,4,1,16,3,'4/4',F#7,A1,1,39
15.6687868481,0.2160430839,4,1,16,4,'4/4',F#7,A1,1,36
15.884829932,0.201303854875,4,1,17,1,'4/4',Bj7,A1,2,35
16.0861337868,0.201303854875,4,1,17,2,'4/4',Bj7,A1,2,45
16.2874376417,0.201326530612,4,1,17,3,'4/4',D7,A1,2,45
16.4887641723,0.201326530612,4,1,17,4,'4/4',D7,A1,2,42
16.6900907029,0.19806122449,4,1,18,1,'4/4',Gj7,A1,2,38
16.8881519274,0.19806122449,4,1,18,2,'4/4',Gj7,A1,2,35
17.0862131519,0.183832199546,4,1,18,3,'4/4',Bb7,A1,2,34
17.2700453515,0.183832199546,4,1,18,4,'4/4',Bb7,A1,2,45
17.453877551,0.196383219955,4,1,19,1,'4/4',Ebj7,A1,2,45
17.650260771,0.196383219955,4,1,19,2,'4/4',Ebj7,A1,2,45
17.8466439909,0.211133786848,4,1,19,3,'4/4',Ebj7,A1,2,43
18.0577777778,0.211133786848,4,1,19,4,'4/4',Ebj7,A1,2,43
18.2689115646,0.215498866213,4,1,20,1,'4/4',A-7,A1,2,45
18.4844104308,0.215498866213,4,1,20,2,'4/4',A-7,A1,2,43
18.6999092971,0.201292517007,4,1,20,3,'4/4',D7,A1,2,42
18.9012018141,0.201292517007,4,1,20,4,'4/4',D7,A1,2,39
19.1024943311,0.193650793651,4,1,21,1,'4/4',Gj7,A1,2,38
19.2961451247,0.193650793651,4,1,21,2,'4/4',Gj7,A1,2,34
19.4897959184,0.193696145125,4,1,21,3,'4/4',Bb7,A1,2,33
19.6834920635,0.193696145125,4,1,21,4,'4/4',Bb7,A1,2,45
19.8771882086,0.200827664399,4,1,22,1,'4/4',Ebj7,A1,2,39
20.078015873,0.200827664399,4,1,22,2,'4/4',Ebj7,A1,2,45
20.2788435374,0.193662131519,4,1,22,3,'4/4',F#7,A1,2,45
20.4725056689,0.193662131519,4,1,22,4,'4/4',F#7,A1,2,35
20.6661678005,0.206179138322,4,1,23,1,'4/4',Bj7,A1,2,47
20.8723469388,0.206179138322,4,1,23,2,'4/4',Bj7,A1,2,42
21.0785260771,0.206235827664,4,1,23,3,'4/4',Bj7,A1,2,46
21.2847619048,0.206235827664,4,1,23,4,'4/4',Bj7,A1,2,47
21.4909977324,0.210623582766,4,1,24,1,'4/4',F-7,A1,2,42
21.7016213152,0.210623582766,4,1,24,2,'4/4',F-7,A1,2,43
21.912244898,0.188752834467,4,1,24,3,'4/4',Bb7,A1,2,44
22.1009977324,0.188752834467,4,1,24,4,'4/4',Bb7,A1,2,45
22.2897505669,0.196405895692,4,1,25,1,'4/4',Ebj7,A1,2,45
22.4861564626,0.196405895692,4,1,25,2,'4/4',Ebj7,A1,2,44
22.6825623583,0.201292517007,4,1,25,3,'4/4',Ebj7,A1,2,43
22.8838548753,0.201292517007,4,1,25,4,'4/4',Ebj7,A1,2,45
23.0851473923,0.210600907029,4,1,26,1,'4/4',A-7,A1,2,45
23.2957482993,0.210600907029,4,1,26,2,'4/4',A-7,A1,2,43
23.5063492063,0.203469387755,4,1,26,3,'4/4',D7,A1,2,42
23.7098185941,0.203469387755,4,1,26,4,'4/4',D7,A1,2,45
23.9132879819,0.20253968254,4,1,27,1,'4/4',Gj7,A1,2,38
24.1158276644,0.20253968254,4,1,27,2,'4/4',Gj7,A1,2,36
24.3183673469,0.210204081633,4,1,27,3,'4/4',Gj7,A1,2,36
24.5285714286,0.210204081633,4,1,27,4,'4/4',Gj7,A1,2,38
