onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
0.0,0.344897959184,1,1,-9,1,'1/4',NC,I1,0,35
0.344897959184,0.313514739229,1,1,-8,1,'1/4',NC,I1,0,35
0.658412698413,0.351473922902,1,1,-7,1,'1/4',NC,I1,0,35
1.00988662132,0.36768707483,1,1,-6,1,'1/4',NC,I1,0,35
1.37757369615,0.31253968254,1,1,-5,1,'1/4',NC,I1,0,35
1.69011337868,0.342494331066,1,1,-4,1,'1/4',NC,I1,0,35
2.03260770975,0.31358276644,1,1,-3,1,'1/4',NC,I1,0,35
2.34619047619,0.322131519274,1,1,-2,1,'1/4',NC,I1,0,35
2.66832199546,0.358979591837,1,1,-1,1,'1/4',NC,I1,0,35
3.0273015873,0.391315192744,1,1,0,1,'1/4',NC,I1,0,35
3.41861678005,0.357528344671,1,1,1,1,'1/4',E-7,A1,1,40
3.77614512472,0.357006802721,1,1,2,1,'1/4',E-7,A1,1,40
4.13315192744,0.342494331066,1,1,3,1,'1/4',E-7,A1,1,40
4.4756462585,0.322176870748,1,1,4,1,'1/4',E-7,A1,1,40
4.79782312925,0.333197278912,1,1,5,1,'1/4',E-7,A1,1,42
5.13102040816,0.313560090703,1,1,6,1,'1/4',E-7,A1,1,43
5.44458049887,0.332675736961,1,1,7,1,'1/4',E-7,A1,1,45
5.77725623583,0.332358276644,1,1,8,1,'1/4',E-7,A1,1,45
6.10961451247,0.338321995465,1,1,9,1,'1/4',E-7,A1,1,47
6.44793650794,0.306848072562,1,1,10,1,'1/4',E-7,A1,1,42
6.7547845805,0.303537414966,1,1,11,1,'1/4',E-7,A1,1,40
7.05832199546,0.307959183673,1,1,12,1,'1/4',E-7,A1,1,47
7.36628117914,0.337551020408,1,1,13,1,'1/4',E-7,A1,1,49
7.70383219955,0.307891156463,1,1,14,1,'1/4',E-7,A1,1,50
8.01172335601,0.350362811791,1,1,15,1,'1/4',E-7,A1,1,51
8.3620861678,0.329863945578,1,1,16,1,'1/4',E-7,A1,1,39
8.69195011338,0.332811791383,1,1,17,1,'1/4',E-7,A1,1,39
