onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
6.00235827664,0.673378684807,4,1,0,1,'4/4',NC,I1,0,39
6.67573696145,0.700861678005,4,1,0,2,'4/4',NC,I1,0,39
7.37659863946,0.760544217687,4,1,0,3,'4/4',NC,I1,0,46
8.13714285714,0.744489795918,4,1,0,4,'4/4',NC,I1,0,40
8.88163265306,0.731428571429,4,1,1,1,'4/4',Ebj7,A1,1,39
9.61306122449,0.714013605442,4,1,1,2,'4/4',Ebj7,A1,1,37
10.3270748299,0.712040816327,4,1,1,3,'4/4',Ebj7,A1,1,39
11.0391156463,0.759523809524,4,1,1,4,'4/4',Ebj7,A1,1,39
11.7986394558,0.735782312925,4,1,2,1,'4/4',Gm7b5,A1,1,43
12.5344217687,0.722721088435,4,1,2,2,'4/4',Gm7b5,A1,1,43
13.2571428571,0.718367346939,4,1,2,3,'4/4',C7,A1,1,36
13.9755102041,0.757551020408,4,1,2,4,'4/4',C7,A1,1,43
14.7330612245,0.709659863946,4,1,3,1,'4/4',F-7,A1,1,41
15.4427210884,0.722721088435,4,1,3,2,'4/4',F-7,A1,1,36
16.1654421769,0.735782312925,4,1,3,3,'4/4',F-7,A1,1,41
16.9012244898,0.711111111111,4,1,3,4,'4/4',F-7,A1,1,37
17.6123356009,0.741950113379,4,1,4,1,'4/4',Db7,A1,1,37
18.3542857143,0.720907029478,4,1,4,2,'4/4',Db7,A1,1,44
19.0751927438,0.731428571429,4,1,4,3,'4/4',Db7,A1,1,37
19.8066213152,0.777868480726,4,1,4,4,'4/4',Db7,A1,1,37
20.5844897959,0.748843537415,4,1,5,1,'4/4',Ab-7,A1,1,44
21.3333333333,0.717278911565,4,1,5,2,'4/4',Ab-7,A1,1,44
22.0506122449,0.734693877551,4,1,5,3,'4/4',Db7,A1,1,37
22.7853061224,0.728163265306,4,1,5,4,'4/4',Do,A1,1,38
23.5134693878,0.731428571429,4,1,6,1,'4/4',Ebj7,A1,1,39
24.2448979592,0.705306122449,4,1,6,2,'4/4',Ebj7,A1,1,39
24.9502040816,0.749931972789,4,1,6,3,'4/4',G7,A1,1,43
25.7001360544,0.735782312925,4,1,6,4,'4/4',C7,A1,1,36
