onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
3.05714285714,0.449070294785,4,1,0,4,'4/4',NC,I1,0,35
3.50621315193,0.452789115646,4,1,1,1,'4/4',Eb,A1,1,51
3.95900226757,0.418548752834,4,1,1,2,'4/4',Eb,A1,1,51
4.37755102041,0.41126984127,4,1,1,3,'4/4',C7,A1,1,37
4.78882086168,0.422244897959,4,1,1,4,'4/4',C7,A1,1,36
5.21106575964,0.412380952381,4,1,2,1,'4/4',F7,A1,1,35
5.62344671202,0.441723356009,4,1,2,2,'4/4',F7,A1,1,41
6.06517006803,0.431020408163,4,1,2,3,'4/4',Bb7,A1,1,37
6.49619047619,0.437392290249,4,1,2,4,'4/4',Bb7,A1,1,41
6.93358276644,0.431972789116,4,1,3,1,'4/4',Eb,A1,1,51
7.36555555556,0.402653061224,4,1,3,2,'4/4',Eb,A1,1,38
7.76820861678,0.431337868481,4,1,3,3,'4/4',C7,A1,1,37
8.19954648526,0.452789115646,4,1,3,4,'4/4',C7,A1,1,35
8.65233560091,0.438276643991,4,1,4,1,'4/4',F7,A1,1,40
9.0906122449,0.434693877551,4,1,4,2,'4/4',F7,A1,1,41
9.52530612245,0.416780045351,4,1,4,3,'4/4',Bb7,A1,1,37
9.9420861678,0.402448979592,4,1,4,4,'4/4',Bb7,A1,1,39
10.3445351474,0.411496598639,4,1,5,1,'4/4',Eb,A1,1,35
10.756031746,0.438888888889,4,1,5,2,'4/4',Eb,A1,1,37
11.1949206349,0.430453514739,4,1,5,3,'4/4',Eb,A1,1,37
11.6253741497,0.425782312925,4,1,5,4,'4/4',Eb,A1,1,36
12.0511564626,0.449886621315,4,1,6,1,'4/4',Eb,A1,1,37
12.5010430839,0.434399092971,4,1,6,2,'4/4',Eb,A1,1,43
12.9354421769,0.412403628118,4,1,6,3,'4/4',C7,A1,1,37
13.347845805,0.418684807256,4,1,6,4,'4/4',C7,A1,1,42
13.7665306122,0.400793650794,4,1,7,1,'4/4',F7,A1,1,41
14.167324263,0.417777777778,4,1,7,2,'4/4',F7,A1,1,41
14.5851020408,0.431133786848,4,1,7,3,'4/4',F7,A1,1,41
15.0162358277,0.451496598639,4,1,7,4,'4/4',F7,A1,1,41
15.4677324263,0.402358276644,4,1,8,1,'4/4',Bb7,A1,1,37
15.8700907029,0.447414965986,4,1,8,2,'4/4',Bb7,A1,1,35
16.3175056689,0.431904761905,4,1,8,3,'4/4',Bb7,A1,1,37
16.7494104308,0.421133786848,4,1,8,4,'4/4',Bb7,A1,1,35
17.1705442177,0.412335600907,4,1,9,1,'4/4',Eb,B1,1,51
17.5828798186,0.437573696145,4,1,9,2,'4/4',Eb,B1,1,37
18.0204535147,0.406802721088,4,1,9,3,'4/4',C7,B1,1,37
18.4272562358,0.421383219955,4,1,9,4,'4/4',C7,B1,1,37
18.8486394558,0.427551020408,4,1,10,1,'4/4',F7,B1,1,35
19.2761904762,0.422244897959,4,1,10,2,'4/4',F7,B1,1,41
19.6984353741,0.396893424036,4,1,10,3,'4/4',Bb7,B1,1,36
20.0953287982,0.437573696145,4,1,10,4,'4/4',Bb7,B1,1,37
20.5329024943,0.431179138322,4,1,11,1,'4/4',C-,B1,1,37
20.9640816327,0.421836734694,4,1,11,2,'4/4',C-,B1,1,37
21.3859183673,0.4320861678,4,1,11,3,'4/4',B-,B1,1,47
21.8180045351,0.409297052154,4,1,11,4,'4/4',Bb,B1,1,35
22.2273015873,0.404807256236,4,1,12,1,'4/4',A,B1,1,40
22.6321088435,0.422063492063,4,1,12,2,'4/4',A,B1,1,37
23.0541723356,0.422290249433,4,1,12,3,'4/4',D7,B1,1,37
23.476462585,0.402630385488,4,1,12,4,'4/4',D7,B1,1,42
23.8790929705,0.405850340136,4,1,13,1,'4/4',Eb,B1,1,43
24.2849433107,0.412358276644,4,1,13,2,'4/4',Eb,B1,1,43
24.6973015873,0.42231292517,4,1,13,3,'4/4',C7,B1,1,52
25.1196145125,0.427505668934,4,1,13,4,'4/4',C7,B1,1,37
25.5471201814,0.396099773243,4,1,14,1,'4/4',F7,B1,1,41
25.9432199546,0.412403628118,4,1,14,2,'4/4',F7,B1,1,42
26.3556235828,0.402721088435,4,1,14,3,'4/4',Bb7,B1,1,44
26.7583446712,0.431904761905,4,1,14,4,'4/4',Bb7,B1,1,43
27.1902494331,0.412380952381,4,1,15,1,'4/4',Eb,B1,1,51
27.6026303855,0.431111111111,4,1,15,2,'4/4',Eb,B1,1,51
28.0337414966,0.412358276644,4,1,15,3,'4/4',Eb,B1,1,46
28.4460997732,0.402403628118,4,1,15,4,'4/4',Eb,B1,1,42
28.8485034014,0.422267573696,4,1,16,1,'4/4',Eb,B1,1,42
29.2707709751,0.405941043084,4,1,16,2,'4/4',Eb,B1,1,42
29.6767120181,0.417959183673,4,1,16,3,'4/4',Eb,B1,1,42
30.0946712018,0.451428571429,4,1,16,4,'4/4',Eb,B1,1,42
30.5460997732,0.451428571429,4,1,17,1,'4/4',Eb,A1,2,35
