onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
3.04839002268,0.29843537415,4,1,-1,1,'4/4',NC,I1,0,51
3.34682539683,0.306666666667,4,1,-1,2,'4/4',NC,I1,0,51
3.65349206349,0.288231292517,4,1,-1,3,'4/4',NC,I1,0,49
3.94172335601,0.286802721088,4,1,-1,4,'4/4',NC,I1,0,49
4.2285260771,0.287097505669,4,1,0,1,'4/4',NC,I1,0,47
4.51562358277,0.290340136054,4,1,0,2,'4/4',NC,I1,0,49
4.80596371882,0.296621315193,4,1,0,3,'4/4',NC,I1,0,49
5.10258503401,0.289659863946,4,1,0,4,'4/4',NC,I1,0,50
5.39224489796,0.287256235828,4,1,1,1,'4/4',Eb,A1,1,51
5.67950113379,0.288276643991,4,1,1,2,'4/4',Eb,A1,1,46
5.96777777778,0.287528344671,4,1,1,3,'4/4',Eb,A1,1,51
6.25530612245,0.278253968254,4,1,1,4,'4/4',Eb,A1,1,46
6.5335600907,0.288888888889,4,1,2,1,'4/4',Eb,A1,1,51
6.82244897959,0.279591836735,4,1,2,2,'4/4',Eb,A1,1,36
7.10204081633,0.274988662132,4,1,2,3,'4/4',Eb,A1,1,51
7.37702947846,0.268752834467,4,1,2,4,'4/4',Eb,A1,1,36
7.64578231293,0.277732426304,4,1,3,1,'4/4',Eb,A1,1,51
7.92351473923,0.298049886621,4,1,3,2,'4/4',Eb,A1,1,51
8.22156462585,0.28410430839,4,1,3,3,'4/4',Eb,A1,1,51
8.50566893424,0.272154195011,4,1,3,4,'4/4',Eb,A1,1,39
8.77782312925,0.268299319728,4,1,4,1,'4/4',Eb,A1,1,51
9.04612244898,0.293038548753,4,1,4,2,'4/4',Eb,A1,1,47
9.33916099773,0.288367346939,4,1,4,3,'4/4',Eb,A1,1,47
9.62752834467,0.277278911565,4,1,4,4,'4/4',Eb,A1,1,47
9.90480725624,0.288253968254,4,1,5,1,'4/4',Eb,A1,1,50
10.1930612245,0.268843537415,4,1,5,2,'4/4',Eb,A1,1,51
10.4619047619,0.267845804989,4,1,5,3,'4/4',Eb,A1,1,41
10.7297505669,0.288344671202,4,1,5,4,'4/4',Eb,A1,1,42
11.0180952381,0.259455782313,4,1,6,1,'4/4',Eb,A1,1,42
11.2775510204,0.275510204082,4,1,6,2,'4/4',Eb,A1,1,37
11.5530612245,0.283560090703,4,1,6,3,'4/4',Eb,A1,1,37
11.8366213152,0.288321995465,4,1,6,4,'4/4',Eb,A1,1,49
12.1249433107,0.292902494331,4,1,7,1,'4/4',Bb7,A1,1,50
12.417845805,0.288095238095,4,1,7,2,'4/4',Bb7,A1,1,37
12.7059410431,0.277732426304,4,1,7,3,'4/4',Bb7,A1,1,37
12.9836734694,0.27201814059,4,1,7,4,'4/4',Bb7,A1,1,49
13.25569161,0.29387755102,4,1,8,1,'4/4',Bb7,A1,1,37
13.549569161,0.268321995465,4,1,8,2,'4/4',Bb7,A1,1,37
13.8178911565,0.277800453515,4,1,8,3,'4/4',Bb7,A1,1,37
14.09569161,0.278616780045,4,1,8,4,'4/4',Bb7,A1,1,43
14.37430839,0.267732426304,4,1,9,1,'4/4',Bb7,A1,1,43
14.6420408163,0.298163265306,4,1,9,2,'4/4',Bb7,A1,1,37
14.9402040816,0.267732426304,4,1,9,3,'4/4',Bb7,A1,1,37
15.2079365079,0.288344671202,4,1,9,4,'4/4',Bb7,A1,1,37
15.4962811791,0.27746031746,4,1,10,1,'4/4',Bb7,A1,1,37
15.7737414966,0.298276643991,4,1,10,2,'4/4',Bb7,A1,1,48
16.0720181406,0.268594104308,4,1,10,3,'4/4',Bb7,A1,1,37
16.3406122449,0.287777777778,4,1,10,4,'4/4',Bb7,A1,1,47
16.6283900227,0.27798185941,4,1,11,1,'4/4',Bb7,A1,1,50
16.9063718821,0.2679138322,4,1,11,2,'4/4',Bb7,A1,1,50
17.1742857143,0.288299319728,4,1,11,3,'4/4',Bb7,A1,1,37
17.462585034,0.292517006803,4,1,11,4,'4/4',Bb7,A1,1,50
17.7551020408,0.29387755102,4,1,12,1,'4/4',Bb7,A1,1,50
18.0489795918,0.271428571429,4,1,12,2,'4/4',Bb7,A1,1,50
18.3204081633,0.299024943311,4,1,12,3,'4/4',Bb7,A1,1,37
18.6194331066,0.281609977324,4,1,12,4,'4/4',Bb7,A1,1,49
18.9010430839,0.27462585034,4,1,13,1,'4/4',Bb7,A1,1,50
19.1756689342,0.267800453515,4,1,13,2,'4/4',Bb7,A1,1,37
19.4434693878,0.278299319728,4,1,13,3,'4/4',Bb7,A1,1,37
19.7217687075,0.303446712018,4,1,13,4,'4/4',Bb7,A1,1,50
20.0252154195,0.262925170068,4,1,14,1,'4/4',Bb7,A1,1,53
20.2881405896,0.26798185941,4,1,14,2,'4/4',Bb7,A1,1,37
20.556122449,0.278321995465,4,1,14,3,'4/4',Bb7,A1,1,45
20.8344444444,0.302607709751,4,1,14,4,'4/4',Bb7,A1,1,37
21.1370521542,0.28843537415,4,1,15,1,'4/4',Eb,A1,1,51
21.4254875283,0.277482993197,4,1,15,2,'4/4',Eb,A1,1,51
21.7029705215,0.298163265306,4,1,15,3,'4/4',Eb,A1,1,49
22.0011337868,0.277505668934,4,1,15,4,'4/4',Eb,A1,1,47
22.2786394558,0.293718820862,4,1,16,1,'4/4',Eb,A1,1,42
22.5723582766,0.298276643991,4,1,16,2,'4/4',Eb,A1,1,49
22.8706349206,0.287346938776,4,1,16,3,'4/4',Eb,A1,1,49
23.1579818594,0.28820861678,4,1,16,4,'4/4',Eb,A1,1,47
23.4461904762,0.296213151927,4,1,17,1,'4/4',Eb,B1,1,36
23.7424036281,0.281541950113,4,1,17,2,'4/4',Eb,B1,1,51
24.0239455782,0.290793650794,4,1,17,3,'4/4',Eb,B1,1,51
24.314739229,0.303560090703,4,1,17,4,'4/4',Eb,B1,1,42
24.6182993197,0.277800453515,4,1,18,1,'4/4',Eb,B1,1,42
24.8960997732,0.288117913832,4,1,18,2,'4/4',Eb,B1,1,43
25.1842176871,0.287528344671,4,1,18,3,'4/4',Eb,B1,1,47
25.4717460317,0.278480725624,4,1,18,4,'4/4',Eb,B1,1,44
25.7502267574,0.274263038549,4,1,19,1,'4/4',Eb,B1,1,44
26.0244897959,0.259183673469,4,1,19,2,'4/4',Eb,B1,1,51
26.2836734694,0.265306122449,4,1,19,3,'4/4',Eb,B1,1,42
26.5489795918,0.278390022676,4,1,19,4,'4/4',Eb,B1,1,42
26.8273696145,0.288412698413,4,1,20,1,'4/4',Eb,B1,1,42
27.1157823129,0.292879818594,4,1,20,2,'4/4',Eb,B1,1,37
27.4086621315,0.26306122449,4,1,20,3,'4/4',Eb,B1,1,38
27.671723356,0.303446712018,4,1,20,4,'4/4',Eb,B1,1,37
27.975170068,0.27768707483,4,1,21,1,'4/4',Eb7,B1,1,51
28.2528571429,0.268616780045,4,1,21,2,'4/4',Eb7,B1,1,51
28.5214739229,0.277732426304,4,1,21,3,'4/4',Eb7,B1,1,51
28.7992063492,0.278412698413,4,1,21,4,'4/4',Eb7,B1,1,51
29.0776190476,0.277641723356,4,1,22,1,'4/4',Eb7,B1,1,49
29.355260771,0.281473922902,4,1,22,2,'4/4',Eb7,B1,1,37
29.6367346939,0.27462585034,4,1,22,3,'4/4',Eb7,B1,1,39
29.9113605442,0.289092970522,4,1,22,4,'4/4',Eb7,B1,1,37
30.2004535147,0.276689342404,4,1,23,1,'4/4',Ab,B1,1,37
30.4771428571,0.283492063492,4,1,23,2,'4/4',Ab,B1,1,39
30.7606349206,0.282244897959,4,1,23,3,'4/4',Ab,B1,1,39
31.0428798186,0.288480725624,4,1,23,4,'4/4',Ab,B1,1,50
31.3313605442,0.282607709751,4,1,24,1,'4/4',Ab,B1,1,51
31.613968254,0.271746031746,4,1,24,2,'4/4',Ab,B1,1,51
31.8857142857,0.279591836735,4,1,24,3,'4/4',Ab,B1,1,39
32.1653061224,0.288072562358,4,1,24,4,'4/4',Ab,B1,1,51
32.4533786848,0.278571428571,4,1,25,1,'4/4',Ab,B1,1,39
32.7319501134,0.278253968254,4,1,25,2,'4/4',Ab,B1,1,51
33.0102040816,0.287596371882,4,1,25,3,'4/4',Ab,B1,1,39
33.2978004535,0.283129251701,4,1,25,4,'4/4',Ab,B1,1,51
33.5809297052,0.278707482993,4,1,26,1,'4/4',Ao,B1,1,39
33.8596371882,0.27798185941,4,1,26,2,'4/4',Ao,B1,1,39
34.1376190476,0.277755102041,4,1,26,3,'4/4',Ao,B1,1,44
34.4153741497,0.277551020408,4,1,26,4,'4/4',Ao,B1,1,51
34.6929251701,0.288344671202,4,1,27,1,'4/4',Eb,B1,1,51
34.9812698413,0.273832199546,4,1,27,2,'4/4',Eb,B1,1,51
35.2551020408,0.282244897959,4,1,27,3,'4/4',Eb,B1,1,51
35.5373469388,0.298049886621,4,1,27,4,'4/4',Eb,B1,1,51
35.8353968254,0.302675736961,4,1,28,1,'4/4',C7,B1,1,48
36.1380725624,0.284376417234,4,1,28,2,'4/4',C7,B1,1,48
36.4224489796,0.28231292517,4,1,28,3,'4/4',C7,B1,1,37
36.7047619048,0.262199546485,4,1,28,4,'4/4',C7,B1,1,44
36.9669614512,0.257959183673,4,1,29,1,'4/4',F7,B1,1,40
37.2249206349,0.303718820862,4,1,29,2,'4/4',F7,B1,1,53
37.5286394558,0.288321995465,4,1,29,3,'4/4',F7,B1,1,52
37.8169614512,0.297233560091,4,1,29,4,'4/4',F7,B1,1,39
38.1141950113,0.278299319728,4,1,30,1,'4/4',Bb7,B1,1,50
38.3924943311,0.295442176871,4,1,30,2,'4/4',Bb7,B1,1,37
38.6879365079,0.283492063492,4,1,30,3,'4/4',Bb7,B1,1,37
38.9714285714,0.277551020408,4,1,30,4,'4/4',Bb7,B1,1,37
39.2489795918,0.245963718821,4,1,31,1,'4/4',Eb,B1,1,51
39.4949433107,0.245963718821,4,1,31,2,'4/4',Eb,B1,1,35
