onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
3.82900226757,0.304149659864,4,1,0,3,'4/4',NC,I1,0,37
4.13315192744,0.307664399093,4,1,0,4,'4/4',NC,I1,0,37
4.44081632653,0.320408163265,4,1,1,1,'4/4',Eb,A1,1,40
4.7612244898,0.323696145125,4,1,1,2,'4/4',Eb,A1,1,40
5.08492063492,0.303628117914,4,1,1,3,'4/4',Eb,A1,1,40
5.38854875283,0.297006802721,4,1,1,4,'4/4',Eb,A1,1,40
5.68555555556,0.323219954649,4,1,2,1,'4/4',Bb+7,A1,1,40
6.0087755102,0.32156462585,4,1,2,2,'4/4',Bb+7,A1,1,40
6.33034013605,0.323696145125,4,1,2,3,'4/4',Bb+7,A1,1,40
6.65403628118,0.313492063492,4,1,2,4,'4/4',Bb+7,A1,1,42
6.96752834467,0.326530612245,4,1,3,1,'4/4',Eb,A1,1,40
7.29405895692,0.313219954649,4,1,3,2,'4/4',Eb,A1,1,40
7.60727891156,0.29387755102,4,1,3,3,'4/4',Eb,A1,1,43
7.90115646259,0.31,4,1,3,4,'4/4',Eb,A1,1,43
8.21115646259,0.300498866213,4,1,4,1,'4/4',Do,A1,1,36
8.5116553288,0.313424036281,4,1,4,2,'4/4',Do,A1,1,42
8.82507936508,0.30693877551,4,1,4,3,'4/4',Do,A1,1,35
9.13201814059,0.323106575964,4,1,4,4,'4/4',Do,A1,1,35
9.45512471655,0.312448979592,4,1,5,1,'4/4',Eb7,A1,1,40
9.76757369615,0.321496598639,4,1,5,2,'4/4',Eb7,A1,1,40
10.0890702948,0.313469387755,4,1,5,3,'4/4',Eb7,A1,1,40
10.4025396825,0.32798185941,4,1,5,4,'4/4',Eb7,A1,1,40
10.730521542,0.303492063492,4,1,6,1,'4/4',Ab7,A1,1,43
11.0340136054,0.31253968254,4,1,6,2,'4/4',Ab7,A1,1,37
11.346553288,0.301156462585,4,1,6,3,'4/4',Ab7,A1,1,37
11.6477097506,0.2989569161,4,1,6,4,'4/4',Ab7,A1,1,42
11.9466666667,0.298594104308,4,1,7,1,'4/4',F-7,A1,1,43
12.245260771,0.332993197279,4,1,7,2,'4/4',F-7,A1,1,37
12.5782539683,0.300113378685,4,1,7,3,'4/4',F-7,A1,1,43
12.8783673469,0.319274376417,4,1,7,4,'4/4',F-7,A1,1,40
13.1976417234,0.318911564626,4,1,8,1,'4/4',Bb7,A1,1,40
13.516553288,0.30768707483,4,1,8,2,'4/4',Bb7,A1,1,40
13.8242403628,0.312607709751,4,1,8,3,'4/4',Bb7,A1,1,42
14.1368480726,0.307823129252,4,1,8,4,'4/4',Bb7,A1,1,43
14.4446712018,0.323151927438,4,1,9,1,'4/4',Bb7,B1,1,37
14.7678231293,0.301927437642,4,1,9,2,'4/4',Bb7,B1,1,37
15.0697505669,0.34335600907,4,1,9,3,'4/4',Bb7,B1,1,40
15.413106576,0.30358276644,4,1,9,4,'4/4',Bb7,B1,1,37
15.7166893424,0.307074829932,4,1,10,1,'4/4',Bb7,B1,1,37
16.0237641723,0.328548752834,4,1,10,2,'4/4',Bb7,B1,1,37
16.3523129252,0.317482993197,4,1,10,3,'4/4',Bb7,B1,1,37
16.6697959184,0.302698412698,4,1,10,4,'4/4',Bb7,B1,1,43
16.9724943311,0.313242630385,4,1,11,1,'4/4',Eb,B1,1,43
17.2857369615,0.3120861678,4,1,11,2,'4/4',Eb,B1,1,40
17.5978231293,0.318004535147,4,1,11,3,'4/4',Eb,B1,1,40
17.9158276644,0.303378684807,4,1,11,4,'4/4',Eb,B1,1,40
18.2192063492,0.330634920635,4,1,12,1,'4/4',C7,B1,1,43
18.5498412698,0.324671201814,4,1,12,2,'4/4',C7,B1,1,37
18.8745124717,0.312403628118,4,1,12,3,'4/4',C7,B1,1,37
19.1869160998,0.28843537415,4,1,12,4,'4/4',C7,B1,1,37
19.4753514739,0.29716553288,4,1,13,1,'4/4',F7,B1,1,39
19.7725170068,0.303537414966,4,1,13,2,'4/4',F7,B1,1,38
20.0760544218,0.323174603175,4,1,13,3,'4/4',F7,B1,1,38
20.3992290249,0.287414965986,4,1,13,4,'4/4',F7,B1,1,40
20.6866439909,0.322902494331,4,1,14,1,'4/4',F7,B1,1,37
21.0095464853,0.297891156463,4,1,14,2,'4/4',F7,B1,1,37
21.3074376417,0.31231292517,4,1,14,3,'4/4',F7,B1,1,43
21.6197505669,0.323106575964,4,1,14,4,'4/4',F7,B1,1,43
21.9428571429,0.323219954649,4,1,15,1,'4/4',Bb7,B1,1,37
22.2660770975,0.312335600907,4,1,15,2,'4/4',Bb7,B1,1,37
22.5784126984,0.333038548753,4,1,15,3,'4/4',Bb7,B1,1,47
22.9114512472,0.322199546485,4,1,15,4,'4/4',Bb7,B1,1,47
23.2336507937,0.313378684807,4,1,16,1,'4/4',Bb7,B1,1,47
23.5470294785,0.307959183673,4,1,16,2,'4/4',Bb7,B1,1,43
23.8549886621,0.302562358277,4,1,16,3,'4/4',Bb7,B1,1,37
24.1575510204,0.317800453515,4,1,16,4,'4/4',Bb7,B1,1,43
24.4753514739,0.302630385488,4,1,17,1,'4/4',NC,I1,1,37
24.7779818594,0.303605442177,4,1,17,2,'4/4',NC,I1,1,40
25.0815873016,0.297006802721,4,1,17,3,'4/4',NC,I1,1,37
25.3785941043,0.303718820862,4,1,17,4,'4/4',NC,I1,1,37
25.6823129252,0.303718820862,4,1,18,1,'4/4',NC,I1,1,37
