onset,duration,period,division,bar,beat,signature,chord,form,chorus_id
0.0326530612245,1.04489795918,4,1,0,2,'4/4',NC,I1,0
1.07755102041,1.11020408163,4,1,0,3,'4/4',NC,I1,0
2.18775510204,1.12596371882,4,1,0,4,'4/4',NC,I1,0
3.31371882086,1.08757369615,4,1,1,1,'4/4',G-j7,A1,1
4.40129251701,1.14664399093,4,1,1,2,'4/4',G-j7,A1,1
5.54793650794,1.14117913832,4,1,1,3,'4/4',G-j7,A1,1
6.68911564626,1.11142857143,4,1,1,4,'4/4',G-j7,A1,1
7.80054421769,1.20102040816,4,1,2,1,'4/4',G-j7,A1,1
9.00156462585,1.15727891156,4,1,2,2,'4/4',G-j7,A1,1
10.1588435374,1.11176870748,4,1,2,3,'4/4',G-j7,A1,1
11.2706122449,1.1212244898,4,1,2,4,'4/4',G-j7,A1,1
12.3918367347,1.21678004535,4,1,3,1,'4/4',G-j7,A1,1
13.60861678,1.18321995465,4,1,3,2,'4/4',G-j7,A1,1
14.7918367347,1.19183673469,4,1,3,3,'4/4',G-j7,A1,1
15.9836734694,1.24081632653,4,1,3,4,'4/4',G-j7,A1,1
17.2244897959,1.21632653061,4,1,4,1,'4/4',G-j7,A1,1
18.4408163265,1.15900226757,4,1,4,2,'4/4',G-j7,A1,1
19.5998185941,1.10632653061,4,1,4,3,'4/4',G-j7,A1,1
20.7061451247,1.13691609977,4,1,4,4,'4/4',G-j7,A1,1
21.8430612245,1.18142857143,4,1,5,1,'4/4',G-j7,A1,1
23.0244897959,1.18666666667,4,1,5,2,'4/4',G-j7,A1,1
24.2111564626,1.06725623583,4,1,5,3,'4/4',G-j7,A1,1
25.2784126984,1.12158730159,4,1,5,4,'4/4',G-j7,A1,1
26.4,1.18557823129,4,1,6,1,'4/4',G-j7,A1,1
27.5855782313,1.21442176871,4,1,6,2,'4/4',G-j7,A1,1
28.8,1.17551020408,4,1,6,3,'4/4',G-j7,A1,1
29.9755102041,1.19183673469,4,1,6,4,'4/4',G-j7,A1,1
31.1673469388,1.16886621315,4,1,7,1,'4/4',G-j7,A1,1
32.3362131519,1.15088435374,4,1,7,2,'4/4',G-j7,A1,1
33.4870975057,1.1414739229,4,1,7,3,'4/4',G-j7,A1,1
34.6285714286,1.17551020408,4,1,7,4,'4/4',G-j7,A1,1
35.8040816327,1.20741496599,4,1,8,1,'4/4',G-j7,A1,1
37.0114965986,1.11712018141,4,1,8,2,'4/4',G-j7,A1,1
38.12861678,1.16630385488,4,1,8,3,'4/4',G-j7,A1,1
39.2949206349,1.19487528345,4,1,8,4,'4/4',G-j7,A1,1
40.4897959184,1.19290249433,4,1,9,1,'4/4',Eb7,A1,1
41.6826984127,1.15811791383,4,1,9,2,'4/4',Eb7,A1,1
42.8408163265,1.12968253968,4,1,9,3,'4/4',Ab-6/Eb,A1,1
43.9704988662,1.15607709751,4,1,9,4,'4/4',Ab-6/Eb,A1,1
45.1265759637,1.16619047619,4,1,10,1,'4/4',Eb7,A1,1
46.2927664399,1.15750566893,4,1,10,2,'4/4',Eb7,A1,1
47.4502721088,1.14646258503,4,1,10,3,'4/4',Ab-6/Eb,A1,1
48.5967346939,1.16362811791,4,1,10,4,'4/4',Ab-6/Eb,A1,1
49.7603628118,1.18444444444,4,1,11,1,'4/4',Eb7,A1,1
50.9448072562,1.0964399093,4,1,11,2,'4/4',Eb7,A1,1
52.0412471655,1.14657596372,4,1,11,3,'4/4',Ab-6/Eb,A1,1
53.1878231293,1.12154195011,4,1,11,4,'4/4',Ab-6/Eb,A1,1
54.3093650794,1.15682539683,4,1,12,1,'4/4',Eb7,A1,1
55.4661904762,1.19192743764,4,1,12,2,'4/4',Eb7,A1,1
56.6581179138,1.13133786848,4,1,12,3,'4/4',Ab-6/Eb,A1,1
57.7894557823,1.13083900227,4,1,12,4,'4/4',Ab-6/Eb,A1,1
58.9202947846,1.15727891156,4,1,13,1,'4/4',Eb7,A1,1
60.0775736961,1.15632653061,4,1,13,2,'4/4',Eb7,A1,1
61.2339002268,1.1853968254,4,1,13,3,'4/4',Ab-6/Eb,A1,1
62.4192970522,1.12793650794,4,1,13,4,'4/4',Ab-6/Eb,A1,1
63.5472335601,1.13095238095,4,1,14,1,'4/4',Eb7,A1,1
64.678185941,1.15727891156,4,1,14,2,'4/4',Eb7,A1,1
65.8354648526,1.14630385488,4,1,14,3,'4/4',Ab-6/Eb,A1,1
66.9817687075,1.1662585034,4,1,14,4,'4/4',Ab-6/Eb,A1,1
68.1480272109,1.15653061224,4,1,15,1,'4/4',Eb7,A1,1
69.3045578231,1.15058956916,4,1,15,2,'4/4',Eb7,A1,1
70.4551473923,1.12825396825,4,1,15,3,'4/4',Ab-6/Eb,A1,1
71.5834013605,1.14653061224,4,1,15,4,'4/4',Ab-6/Eb,A1,1
72.7299319728,1.08639455782,4,1,16,1,'4/4',Eb7,A1,1
73.8163265306,1.10197278912,4,1,16,2,'4/4',Eb7,A1,1
74.9182993197,1.11183673469,4,1,16,3,'4/4',Ab-6/Eb,A1,1
76.0301360544,1.1066893424,4,1,16,4,'4/4',Ab-6/Eb,A1,1
77.1368253968,1.16174603175,4,1,17,1,'4/4',G-j7,A2,1
78.2985714286,1.13142857143,4,1,17,2,'4/4',G-j7,A2,1
79.43,1.18621315193,4,1,17,3,'4/4',G-j7,A2,1
80.6162131519,1.1470521542,4,1,17,4,'4/4',G-j7,A2,1
81.7632653061,1.16600907029,4,1,18,1,'4/4',G-j7,A2,1
82.9292743764,1.15235827664,4,1,18,2,'4/4',G-j7,A2,1
84.0816326531,1.11020408163,4,1,18,3,'4/4',G-j7,A2,1
85.1918367347,1.18750566893,4,1,18,4,'4/4',G-j7,A2,1
86.3793424036,1.16081632653,4,1,19,1,'4/4',G-j7,A2,1
87.5401587302,1.08303854875,4,1,19,2,'4/4',G-j7,A2,1
88.6231972789,1.09108843537,4,1,19,3,'4/4',G-j7,A2,1
89.7142857143,1.17551020408,4,1,19,4,'4/4',G-j7,A2,1
90.8897959184,1.15820861678,4,1,20,1,'4/4',G-j7,A2,1
92.0480045351,1.12167800454,4,1,20,2,'4/4',G-j7,A2,1
93.1696825397,1.07650793651,4,1,20,3,'4/4',G-j7,A2,1
94.2461904762,1.10274376417,4,1,20,4,'4/4',G-j7,A2,1
95.3489342404,1.16628117914,4,1,21,1,'4/4',G-j7,A2,1
96.5152154195,1.05743764172,4,1,21,2,'4/4',G-j7,A2,1
97.5726530612,1.09655328798,4,1,21,3,'4/4',G-j7,A2,1
98.6692063492,1.10113378685,4,1,21,4,'4/4',G-j7,A2,1
99.7703401361,1.12195011338,4,1,22,1,'4/4',G-j7,A2,1
100.892290249,1.1485260771,4,1,22,2,'4/4',G-j7,A2,1
102.040816327,1.17551020408,4,1,22,3,'4/4',G-j7,A2,1
103.216326531,1.19183673469,4,1,22,4,'4/4',G-j7,A2,1
104.408163265,1.15918367347,4,1,23,1,'4/4',G-j7,A2,1
105.567346939,1.17551020408,4,1,23,2,'4/4',G-j7,A2,1
106.742857143,1.12863945578,4,1,23,3,'4/4',G-j7,A2,1
107.871496599,1.11170068027,4,1,23,4,'4/4',G-j7,A2,1
108.983197279,1.10229024943,4,1,24,1,'4/4',G-j7,A2,1
110.085487528,1.05712018141,4,1,24,2,'4/4',G-j7,A2,1
111.14260771,1.13138321995,4,1,24,3,'4/4',G-j7,A2,1
112.27399093,1.13149659864,4,1,24,4,'4/4',G-j7,A2,1
113.405487528,1.11721088435,4,1,25,1,'4/4',Eb7,A2,1
114.522698413,1.15172335601,4,1,25,2,'4/4',Eb7,A2,1
115.674421769,1.06628117914,4,1,25,3,'4/4',Ab-6/Eb,A2,1
116.740702948,1.13716553288,4,1,25,4,'4/4',Ab-6/Eb,A2,1
117.877868481,1.12206349206,4,1,26,1,'4/4',Eb7,A2,1
118.999931973,1.16594104308,4,1,26,2,'4/4',Eb7,A2,1
120.165873016,1.05820861678,4,1,26,3,'4/4',Ab-6/Eb,A2,1
121.224081633,1.06698412698,4,1,26,4,'4/4',Ab-6/Eb,A2,1
122.29106576,1.16362811791,4,1,27,1,'4/4',Eb7,A2,1
123.454693878,1.11455782313,4,1,27,2,'4/4',Eb7,A2,1
124.569251701,1.03213151927,4,1,27,3,'4/4',Ab-6/Eb,A2,1
125.60138322,1.15634920635,4,1,27,4,'4/4',Ab-6/Eb,A2,1
126.757732426,1.10188208617,4,1,28,1,'4/4',Eb7,A2,1
127.859614512,1.15183673469,4,1,28,2,'4/4',Eb7,A2,1
129.011451247,1.12689342404,4,1,28,3,'4/4',Ab-6/Eb,A2,1
130.138344671,1.08680272109,4,1,28,4,'4/4',Ab-6/Eb,A2,1
131.225147392,1.13678004535,4,1,29,1,'4/4',Db7911#,A2,1
132.361927438,1.13126984127,4,1,29,2,'4/4',Db7911#,A2,1
133.493197279,1.1419047619,4,1,29,3,'4/4',C-7,A2,1
134.635102041,1.05666666667,4,1,29,4,'4/4',C-7,A2,1
135.691768707,1.09698412698,4,1,30,1,'4/4',B+7,A2,1
136.788752834,1.12712018141,4,1,30,2,'4/4',B+7,A2,1
137.915873016,1.04732426304,4,1,30,3,'4/4',Eb/Bb,A2,1
138.963197279,1.15709750567,4,1,30,4,'4/4',Eb/Bb,A2,1
140.120294785,1.08671201814,4,1,31,1,'4/4',Am7b5,A2,1
141.207006803,1.11181405896,4,1,31,2,'4/4',Am7b5,A2,1
142.318820862,1.1364399093,4,1,31,3,'4/4',D79#,A2,1
143.455260771,1.06727891156,4,1,31,4,'4/4',D79#,A2,1
144.522539683,1.11680272109,4,1,32,1,'4/4',G-j7,A2,1
145.639342404,1.10181405896,4,1,32,2,'4/4',G-j7,A2,1
146.741156463,1.08244897959,4,1,32,3,'4/4',G-j7,A2,1
147.823605442,1.11181405896,4,1,32,4,'4/4',G-j7,A2,1
148.935419501,1.10637188209,4,1,33,1,'4/4',G-j7,A2,1
150.041791383,1.06702947846,4,1,33,2,'4/4',G-j7,A2,1
151.108820862,1.09267573696,4,1,33,3,'4/4',G-j7,A2,1
152.201496599,1.19099773243,4,1,33,4,'4/4',G-j7,A2,1
153.392494331,1.07757369615,4,1,34,1,'4/4',G-j7,A2,1
154.470068027,1.09619047619,4,1,34,2,'4/4',G-j7,A2,1
155.566258503,1.12126984127,4,1,34,3,'4/4',G-j7,A2,1
156.687528345,1.09303854875,4,1,34,4,'4/4',G-j7,A2,1
157.780566893,1.03192743764,4,1,35,1,'4/4',G-j7,A2,1
158.812494331,1.05764172336,4,1,35,2,'4/4',G-j7,A2,1
159.870136054,1.04721088435,4,1,35,3,'4/4',G-j7,A2,1
160.917346939,1.05204081633,4,1,35,4,'4/4',G-j7,A2,1
161.969387755,1.07682539683,4,1,36,1,'4/4',G-j7,A2,1
163.046213152,1.10072562358,4,1,36,2,'4/4',G-j7,A2,1
164.146938776,1.07755102041,4,1,36,3,'4/4',NC,A2,1
165.224489796,1.07755102041,4,1,36,4,'4/4',NC,A2,1
