onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.77204081633,0.275804988662,4,1,0,2,'4/4',NC,I1,0,34
2.04784580499,0.267891156463,4,1,0,3,'4/4',NC,I1,0,45
2.31573696145,0.276507936508,4,1,0,4,'4/4',NC,I1,0,43
2.59224489796,0.275736961451,4,1,1,1,'4/4',F7,A1,1,49
2.86798185941,0.277732426304,4,1,1,2,'4/4',F7,A1,1,53
3.14571428571,0.275782312925,4,1,1,3,'4/4',F7,A1,1,40
3.42149659864,0.284988662132,4,1,1,4,'4/4',F7,A1,1,35
3.70648526077,0.286757369615,4,1,2,1,'4/4',F7,A1,1,37
3.99324263039,0.268004535147,4,1,2,2,'4/4',F7,A1,1,37
4.26124716553,0.285510204082,4,1,2,3,'4/4',F7,A1,1,48
4.54675736961,0.268095238095,4,1,2,4,'4/4',F7,A1,1,47
4.81485260771,0.266553287982,4,1,3,1,'4/4',F7,A1,1,45
5.08140589569,0.285328798186,4,1,3,2,'4/4',F7,A1,1,48
5.36673469388,0.26820861678,4,1,3,3,'4/4',F7,A1,1,46
5.63494331066,0.275714285714,4,1,3,4,'4/4',F7,A1,1,45
5.91065759637,0.267936507937,4,1,4,1,'4/4',F7,A1,1,41
6.17859410431,0.276621315193,4,1,4,2,'4/4',F7,A1,1,43
6.4552154195,0.268117913832,4,1,4,3,'4/4',F7,A1,1,43
6.72333333333,0.26693877551,4,1,4,4,'4/4',F7,A1,1,41
6.99027210884,0.276575963719,4,1,5,1,'4/4',Bb7,A1,1,38
7.26684807256,0.268004535147,4,1,5,2,'4/4',Bb7,A1,1,41
7.53485260771,0.285555555556,4,1,5,3,'4/4',Bb7,A1,1,39
7.82040816327,0.276371882086,4,1,5,4,'4/4',Bb7,A1,1,38
8.09678004535,0.268117913832,4,1,6,1,'4/4',Bb7,A1,1,37
8.36489795918,0.265918367347,4,1,6,2,'4/4',Bb7,A1,1,40
8.63081632653,0.258117913832,4,1,6,3,'4/4',Bb7,A1,1,39
8.88893424036,0.268095238095,4,1,6,4,'4/4',Bb7,A1,1,38
9.15702947846,0.25820861678,4,1,7,1,'4/4',F7,A1,1,36
9.41523809524,0.275827664399,4,1,7,2,'4/4',F7,A1,1,38
9.69106575964,0.267936507937,4,1,7,3,'4/4',F7,A1,1,40
9.95900226757,0.258276643991,4,1,7,4,'4/4',F7,A1,1,41
10.2172789116,0.275351473923,4,1,8,1,'4/4',A-7,A1,1,45
10.4926303855,0.268140589569,4,1,8,2,'4/4',A-7,A1,1,41
10.7607709751,0.268140589569,4,1,8,3,'4/4',D7,A1,1,38
11.0289115646,0.276394557823,4,1,8,4,'4/4',D7,A1,1,43
11.3053061224,0.268095238095,4,1,9,1,'4/4',G7,A1,1,43
11.5734013605,0.275578231293,4,1,9,2,'4/4',G7,A1,1,43
11.8489795918,0.258163265306,4,1,9,3,'4/4',G7,A1,1,43
12.1071428571,0.277891156463,4,1,9,4,'4/4',G7,A1,1,43
12.3850340136,0.265827664399,4,1,10,1,'4/4',C7,A1,1,47
12.650861678,0.268004535147,4,1,10,2,'4/4',C7,A1,1,48
12.9188662132,0.268049886621,4,1,10,3,'4/4',C7,A1,1,43
13.1869160998,0.26693877551,4,1,10,4,'4/4',C7,A1,1,37
13.4538548753,0.249591836735,4,1,11,1,'4/4',F7,A1,1,39
13.703446712,0.285487528345,4,1,11,2,'4/4',F7,A1,1,37
13.9889342404,0.276712018141,4,1,11,3,'4/4',F7,A1,1,37
14.2656462585,0.248390022676,4,1,11,4,'4/4',F7,A1,1,37
14.5140362812,0.258253968254,4,1,12,1,'4/4',C7,A1,1,37
14.7722902494,0.257210884354,4,1,12,2,'4/4',C7,A1,1,37
15.0295011338,0.268231292517,4,1,12,3,'4/4',C7,A1,1,37
15.2977324263,0.286326530612,4,1,12,4,'4/4',C7,A1,1,37
15.5840589569,0.251950113379,4,1,13,1,'4/4',F7,A1,2,37
15.8360090703,0.274308390023,4,1,13,2,'4/4',F7,A1,2,49
16.1103174603,0.275736961451,4,1,13,3,'4/4',F7,A1,2,37
16.3860544218,0.267868480726,4,1,13,4,'4/4',F7,A1,2,38
16.6539229025,0.265691609977,4,1,14,1,'4/4',Bb7,A1,2,40
16.9196145125,0.277868480726,4,1,14,2,'4/4',Bb7,A1,2,41
17.1974829932,0.27664399093,4,1,14,3,'4/4',Bb7,A1,2,43
17.4741269841,0.275532879819,4,1,14,4,'4/4',Bb7,A1,2,45
17.7496598639,0.25843537415,4,1,15,1,'4/4',F7,A1,2,45
18.0080952381,0.277868480726,4,1,15,2,'4/4',F7,A1,2,48
18.2859637188,0.258072562358,4,1,15,3,'4/4',F7,A1,2,37
18.5440362812,0.258458049887,4,1,15,4,'4/4',F7,A1,2,37
18.8024943311,0.263990929705,4,1,16,1,'4/4',F7,A1,2,37
19.0664852608,0.26,4,1,16,2,'4/4',F7,A1,2,37
19.3264852608,0.277641723356,4,1,16,3,'4/4',F7,A1,2,47
19.6041269841,0.258412698413,4,1,16,4,'4/4',F7,A1,2,47
19.8625396825,0.260453514739,4,1,17,1,'4/4',Bb7,A1,2,36
20.1229931973,0.273265306122,4,1,17,2,'4/4',Bb7,A1,2,48
20.3962585034,0.286553287982,4,1,17,3,'4/4',Bb7,A1,2,46
20.6828117914,0.275578231293,4,1,17,4,'4/4',Bb7,A1,2,43
20.9583900227,0.258185941043,4,1,18,1,'4/4',Bb7,A1,2,40
21.2165759637,0.278049886621,4,1,18,2,'4/4',Bb7,A1,2,39
21.4946258503,0.275419501134,4,1,18,3,'4/4',Bb7,A1,2,38
21.7700453515,0.268140589569,4,1,18,4,'4/4',Bb7,A1,2,39
