onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.47544217687,0.303197278912,4,1,0,3,'4/4',NC,I1,0,48
2.77863945578,0.333560090703,4,1,0,4,'4/4',NC,I1,0,38
3.11219954649,0.334353741497,4,1,1,1,'4/4',Eb7,A1,1,38
3.44655328798,0.320793650794,4,1,1,2,'4/4',Eb7,A1,1,50
3.76734693878,0.326530612245,4,1,1,3,'4/4',Eb7,A1,1,50
4.09387755102,0.326530612245,4,1,1,4,'4/4',Eb7,A1,1,47
4.42040816327,0.324489795918,4,1,2,1,'4/4',Eb7,A1,1,46
4.74489795918,0.324489795918,4,1,2,2,'4/4',Eb7,A1,1,44
5.0693877551,0.320544217687,4,1,2,3,'4/4',Eb7,A1,1,43
5.38993197279,0.310566893424,4,1,2,4,'4/4',Eb7,A1,1,40
5.70049886621,0.316371882086,4,1,3,1,'4/4',Eb7,A1,1,39
6.0168707483,0.313242630385,4,1,3,2,'4/4',Eb7,A1,1,43
6.33011337868,0.304580498866,4,1,3,3,'4/4',Eb7,A1,1,46
6.63469387755,0.333310657596,4,1,3,4,'4/4',Eb7,A1,1,43
6.96800453515,0.329954648526,4,1,4,1,'4/4',Eb7,A1,1,39
7.29795918367,0.321111111111,4,1,4,2,'4/4',Eb7,A1,1,42
7.61907029478,0.315736961451,4,1,4,3,'4/4',Eb7,A1,1,42
7.93480725624,0.305782312925,4,1,4,4,'4/4',Eb7,A1,1,43
8.24058956916,0.328594104308,4,1,5,1,'4/4',Ab7,A1,1,43
8.56918367347,0.322335600907,4,1,5,2,'4/4',Ab7,A1,1,37
8.89151927438,0.316575963719,4,1,5,3,'4/4',Ab7,A1,1,39
9.2080952381,0.312925170068,4,1,5,4,'4/4',Ab7,A1,1,43
9.52102040816,0.307619047619,4,1,6,1,'4/4',Ab7,A1,1,43
9.82863945578,0.311768707483,4,1,6,2,'4/4',Ab7,A1,1,39
10.1404081633,0.302698412698,4,1,6,3,'4/4',Ab7,A1,1,44
10.443106576,0.334988662132,4,1,6,4,'4/4',Ab7,A1,1,43
10.7780952381,0.316031746032,4,1,7,1,'4/4',Eb7,A1,1,39
11.0941269841,0.308798185941,4,1,7,2,'4/4',Eb7,A1,1,43
11.4029251701,0.332902494331,4,1,7,3,'4/4',Eb7,A1,1,43
11.7358276644,0.307528344671,4,1,7,4,'4/4',Eb7,A1,1,43
12.0433560091,0.331904761905,4,1,8,1,'4/4',Eb7,A1,1,39
12.375260771,0.333015873016,4,1,8,2,'4/4',Eb7,A1,1,46
12.708276644,0.322993197279,4,1,8,3,'4/4',Eb7,A1,1,43
13.0312698413,0.301292517007,4,1,8,4,'4/4',Eb7,A1,1,42
13.3325623583,0.323242630385,4,1,9,1,'4/4',Bb7,A1,1,42
13.6558049887,0.311882086168,4,1,9,2,'4/4',Bb7,A1,1,39
13.9676870748,0.311655328798,4,1,9,3,'4/4',Bb7,A1,1,38
14.2793424036,0.327709750567,4,1,9,4,'4/4',Bb7,A1,1,37
14.6070521542,0.305464852608,4,1,10,1,'4/4',Ab7,A1,1,43
14.9125170068,0.307074829932,4,1,10,2,'4/4',Ab7,A1,1,46
15.2195918367,0.317188208617,4,1,10,3,'4/4',Ab7,A1,1,37
15.5367800454,0.305034013605,4,1,10,4,'4/4',Ab7,A1,1,37
15.841814059,0.335714285714,4,1,11,1,'4/4',Eb7,A1,1,38
16.1775283447,0.326326530612,4,1,11,2,'4/4',Eb7,A1,1,43
16.5038548753,0.310680272109,4,1,11,3,'4/4',Eb7,A1,1,44
16.8145351474,0.336303854875,4,1,11,4,'4/4',Eb7,A1,1,44
17.1508390023,0.273650793651,4,1,12,1,'4/4',Eb7,A1,1,46
17.4244897959,0.316099773243,4,1,12,2,'4/4',Eb7,A1,1,47
17.7405895692,0.304308390023,4,1,12,3,'4/4',Eb7,A1,1,48
18.0448979592,0.323265306122,4,1,12,4,'4/4',Eb7,A1,1,43
18.3681632653,0.316485260771,4,1,13,1,'4/4',Eb7,A1,2,39
18.6846485261,0.322267573696,4,1,13,2,'4/4',Eb7,A1,2,38
19.0069160998,0.312698412698,4,1,13,3,'4/4',Eb7,A1,2,48
19.3196145125,0.346825396825,4,1,13,4,'4/4',Eb7,A1,2,48
19.6664399093,0.309206349206,4,1,14,1,'4/4',Eb7,A1,2,48
19.9756462585,0.324399092971,4,1,14,2,'4/4',Eb7,A1,2,47
20.3000453515,0.323514739229,4,1,14,3,'4/4',Eb7,A1,2,47
20.6235600907,0.300770975057,4,1,14,4,'4/4',Eb7,A1,2,46
20.9243310658,0.343560090703,4,1,15,1,'4/4',Eb7,A1,2,46
21.2678911565,0.323945578231,4,1,15,2,'4/4',Eb7,A1,2,44
21.5918367347,0.333605442177,4,1,15,3,'4/4',Eb7,A1,2,43
21.9254421769,0.32798185941,4,1,15,4,'4/4',Eb7,A1,2,43
22.2534240363,0.340907029478,4,1,16,1,'4/4',Eb7,A1,2,39
22.5943310658,0.342857142857,4,1,16,2,'4/4',Eb7,A1,2,43
22.9371882086,0.332108843537,4,1,16,3,'4/4',Eb7,A1,2,43
