onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
1.97551020408,0.363265306122,4,1,1,1,'4/4',Dj7,A1,1,42
2.3387755102,0.371428571429,4,1,1,2,'4/4',Dj7,A1,1,42
2.71020408163,0.365283446712,4,1,1,3,'4/4',Dj7,A1,1,38
3.07548752834,0.367777777778,4,1,1,4,'4/4',Dj7,A1,1,38
3.44326530612,0.353197278912,4,1,2,1,'4/4',Dj7,A1,1,38
3.79646258503,0.400839002268,4,1,2,2,'4/4',Dj7,A1,1,38
4.1973015873,0.387278911565,4,1,2,3,'4/4',Bb7,A1,1,38
4.58458049887,0.40253968254,4,1,2,4,'4/4',Bb7,A1,1,33
4.98712018141,0.376507936508,4,1,3,1,'4/4',Bj7,A1,1,47
5.36362811791,0.399637188209,4,1,3,2,'4/4',Bj7,A1,1,47
5.76326530612,0.399909297052,4,1,3,3,'4/4',Bj7,A1,1,41
6.16317460317,0.412426303855,4,1,3,4,'4/4',Bj7,A1,1,42
6.57560090703,0.387120181406,4,1,4,1,'4/4',Abj7,A1,1,43
6.96272108844,0.383151927438,4,1,4,2,'4/4',Abj7,A1,1,43
7.34587301587,0.366689342404,4,1,4,3,'4/4',Abj7,A1,1,44
7.71256235828,0.406984126984,4,1,4,4,'4/4',Abj7,A1,1,43
8.11954648526,0.392698412698,4,1,5,1,'4/4',Fm7b5,A1,1,41
8.51224489796,0.405986394558,4,1,5,2,'4/4',Fm7b5,A1,1,41
8.91823129252,0.402653061224,4,1,5,3,'4/4',Fm7b5,A1,1,41
9.32088435374,0.357891156463,4,1,5,4,'4/4',Fm7b5,A1,1,41
9.6787755102,0.387392290249,4,1,6,1,'4/4',Bb7,A1,1,46
10.0661678005,0.411587301587,4,1,6,2,'4/4',Bb7,A1,1,41
10.477755102,0.377369614512,4,1,6,3,'4/4',Bb7,A1,1,38
10.8551247166,0.402653061224,4,1,6,4,'4/4',Bb7,A1,1,43
11.2577777778,0.383038548753,4,1,7,1,'4/4',Ej7911#,A1,1,40
11.6408163265,0.395918367347,4,1,7,2,'4/4',Ej7911#,A1,1,40
12.0367346939,0.397346938776,4,1,7,3,'4/4',Ej7911#,A1,1,40
12.4340816327,0.367709750567,4,1,7,4,'4/4',Ej7911#,A1,1,39
12.8017913832,0.39179138322,4,1,8,1,'4/4',Ej7911#,A1,1,39
13.1935827664,0.387301587302,4,1,8,2,'4/4',Ej7911#,A1,1,42
13.5808843537,0.38746031746,4,1,8,3,'4/4',Ej7911#,A1,1,40
13.9683446712,0.362267573696,4,1,8,4,'4/4',Ej7911#,A1,1,40
14.3306122449,0.372358276644,4,1,9,1,'4/4',Ej7911#,A1,1,42
14.7029705215,0.367596371882,4,1,9,2,'4/4',Ej7911#,A1,1,39
15.0705668934,0.402721088435,4,1,9,3,'4/4',Ej7911#,A1,1,40
15.4732879819,0.376439909297,4,1,9,4,'4/4',Ej7911#,A1,1,40
15.8497278912,0.377573696145,4,1,10,1,'4/4',Ej7911#,A1,1,41
16.2273015873,0.402675736961,4,1,10,2,'4/4',Ej7911#,A1,1,42
16.6299773243,0.396167800454,4,1,10,3,'4/4',Eb7,A1,1,40
17.0261451247,0.402517006803,4,1,10,4,'4/4',Eb7,A1,1,40
17.4286621315,0.377573696145,4,1,11,1,'4/4',Abj7,B1,1,44
17.8062358277,0.40253968254,4,1,11,2,'4/4',Abj7,B1,1,44
18.2087755102,0.386462585034,4,1,11,3,'4/4',Abj7,B1,1,39
18.5952380952,0.377573696145,4,1,11,4,'4/4',Abj7,B1,1,42
18.9728117914,0.387052154195,4,1,12,1,'4/4',G7913,B1,1,43
19.3598639456,0.401882086168,4,1,12,2,'4/4',G7913,B1,1,45
19.7617460317,0.387346938776,4,1,12,3,'4/4',G7913,B1,1,47
20.1490929705,0.392607709751,4,1,12,4,'4/4',G7913,B1,1,43
20.5417006803,0.392993197279,4,1,13,1,'4/4',Gb7913,B1,1,42
20.9346938776,0.396825396825,4,1,13,2,'4/4',Gb7913,B1,1,47
21.3315192744,0.399092970522,4,1,13,3,'4/4',Gb7913,B1,1,35
21.7306122449,0.39947845805,4,1,13,4,'4/4',Gb7913,B1,1,37
22.1300907029,0.387505668934,4,1,14,1,'4/4',Cbj7,B1,1,33
22.5175963719,0.357891156463,4,1,14,2,'4/4',Cbj7,B1,1,45
22.8754875283,0.376598639456,4,1,14,3,'4/4',F7,B1,1,45
23.2520861678,0.377619047619,4,1,14,4,'4/4',F7,B1,1,45
23.6297052154,0.383129251701,4,1,15,1,'4/4',F7,B1,1,37
24.0128344671,0.361201814059,4,1,15,2,'4/4',F7,B1,1,43
24.3740362812,0.402789115646,4,1,15,3,'4/4',F7,B1,1,43
24.7768253968,0.402267573696,4,1,15,4,'4/4',F7,B1,1,52
25.1790929705,0.409297052154,4,1,16,1,'4/4',F7,B1,1,53
25.5883900227,0.399410430839,4,1,16,2,'4/4',F7,B1,1,47
25.9878004535,0.367641723356,4,1,16,3,'4/4',F7,B1,1,48
26.3554421769,0.402675736961,4,1,16,4,'4/4',F7,B1,1,42
26.7581179138,0.366802721088,4,1,17,1,'4/4',Gj7,B1,1,42
27.1249206349,0.413945578231,4,1,17,2,'4/4',Gj7,B1,1,42
27.5388662132,0.397868480726,4,1,17,3,'4/4',Aj7,B1,1,47
27.9367346939,0.40029478458,4,1,17,4,'4/4',Aj7,B1,1,42
28.3370294785,0.36693877551,4,1,18,1,'4/4',Bj7,B1,1,47
28.703968254,0.406689342404,4,1,18,2,'4/4',Bj7,B1,1,40
29.1106575964,0.392585034014,4,1,18,3,'4/4',Cj7911#,B1,1,37
29.5032426304,0.412335600907,4,1,18,4,'4/4',Cj7911#,B1,1,38
29.9155782313,0.377641723356,4,1,19,1,'4/4',Dj7,A1,2,38
30.2932199546,0.411201814059,4,1,19,2,'4/4',Dj7,A1,2,45
30.7044217687,0.387551020408,4,1,19,3,'4/4',Dj7,A1,2,42
31.0919727891,0.377097505669,4,1,19,4,'4/4',Dj7,A1,2,40
31.4690702948,0.387482993197,4,1,20,1,'4/4',Dj7,A1,2,38
31.856553288,0.374058956916,4,1,20,2,'4/4',Dj7,A1,2,38
32.2306122449,0.385532879819,4,1,20,3,'4/4',Bb7,A1,2,34
32.6161451247,0.400181405896,4,1,20,4,'4/4',Bb7,A1,2,34
33.0163265306,0.399387755102,4,1,21,1,'4/4',Bj7,A1,2,42
33.4157142857,0.400612244898,4,1,21,2,'4/4',Bj7,A1,2,42
33.8163265306,0.388526077098,4,1,21,3,'4/4',Bj7,A1,2,47
34.2048526077,0.367641723356,4,1,21,4,'4/4',Bj7,A1,2,42
34.5724943311,0.402630385488,4,1,22,1,'4/4',Abj7,A1,2,43
34.9751247166,0.386349206349,4,1,22,2,'4/4',Abj7,A1,2,43
35.3614739229,0.402562358277,4,1,22,3,'4/4',Abj7,A1,2,44
35.7640362812,0.406893424036,4,1,22,4,'4/4',Abj7,A1,2,44
36.1709297052,0.371927437642,4,1,23,1,'4/4',Fm7b5,A1,2,41
36.5428571429,0.362494331066,4,1,23,2,'4/4',Fm7b5,A1,2,43
36.9053514739,0.412199546485,4,1,23,3,'4/4',Fm7b5,A1,2,44
37.3175510204,0.402562358277,4,1,23,4,'4/4',Fm7b5,A1,2,45
37.7201133787,0.407052154195,4,1,24,1,'4/4',Bb7,A1,2,46
38.1271655329,0.372154195011,4,1,24,2,'4/4',Bb7,A1,2,44
38.4993197279,0.387414965986,4,1,24,3,'4/4',Bb7,A1,2,41
38.8867346939,0.387188208617,4,1,24,4,'4/4',Bb7,A1,2,35
39.2739229025,0.412380952381,4,1,25,1,'4/4',Ej7,A1,2,40
39.6863038549,0.401746031746,4,1,25,2,'4/4',Ej7,A1,2,41
40.0880498866,0.387210884354,4,1,25,3,'4/4',Ej7,A1,2,40
40.475260771,0.412380952381,4,1,25,4,'4/4',Ej7,A1,2,40
40.8876417234,0.412494331066,4,1,26,1,'4/4',Ej7,A1,2,41
41.3001360544,0.396258503401,4,1,26,2,'4/4',Ej7,A1,2,40
41.6963945578,0.377732426304,4,1,26,3,'4/4',Ej7,A1,2,38
42.0741269841,0.401723356009,4,1,26,4,'4/4',Ej7,A1,2,38
42.4758503401,0.377210884354,4,1,27,1,'4/4',Ej7,A1,2,40
42.8530612245,0.392993197279,4,1,27,2,'4/4',Ej7,A1,2,47
43.2460544218,0.4120861678,4,1,27,3,'4/4',Ej7,A1,2,42
43.6581405896,0.406870748299,4,1,27,4,'4/4',Ej7,A1,2,47
44.0650113379,0.401700680272,4,1,28,1,'4/4',Ej7,A1,2,42
44.4667120181,0.387392290249,4,1,28,2,'4/4',Eb7,A1,2,36
44.8541043084,0.416099773243,4,1,28,3,'4/4',Eb7,A1,2,47
45.2702040816,0.431836734694,4,1,28,4,'4/4',Abj7,B1,2,44
45.7020408163,0.4,4,1,29,1,'4/4',Abj7,B1,2,48
46.1020408163,0.424489795918,4,1,29,2,'4/4',Abj7,B1,2,37
46.5265306122,0.395918367347,4,1,29,3,'4/4',Abj7,B1,2,43
46.9224489796,0.389319727891,4,1,29,4,'4/4',G7913,B1,2,43
47.3117687075,0.392789115646,4,1,30,1,'4/4',G7913,B1,2,42
47.7045578231,0.366961451247,4,1,30,2,'4/4',G7913,B1,2,47
48.0715192744,0.38716553288,4,1,30,3,'4/4',G7913,B1,2,42
48.4586848073,0.41231292517,4,1,30,4,'4/4',Gb7913,B1,2,42
48.8709977324,0.387188208617,4,1,31,1,'4/4',Gb7913,B1,2,47
49.258185941,0.402426303855,4,1,31,2,'4/4',Gb7,B1,2,47
49.6606122449,0.367641723356,4,1,31,3,'4/4',Gb7,B1,2,43
50.0282539683,0.396145124717,4,1,31,4,'4/4',Cbj7,B1,2,53
50.424399093,0.39283446712,4,1,32,1,'4/4',Cbj7,B1,2,45
50.8172335601,0.403174603175,4,1,32,2,'4/4',F7,B1,2,38
51.2204081633,0.386553287982,4,1,32,3,'4/4',F7,B1,2,43
51.6069614512,0.365102040816,4,1,32,4,'4/4',F79,B1,2,45
51.9720634921,0.379297052154,4,1,33,1,'4/4',F79,B1,2,44
52.3513605442,0.387301587302,4,1,33,2,'4/4',F79,B1,2,43
52.7386621315,0.386235827664,4,1,33,3,'4/4',F79,B1,2,41
53.1248979592,0.397551020408,4,1,33,4,'4/4',F79,B1,2,41
53.5224489796,0.407664399093,4,1,34,1,'4/4',F79,B1,2,43
53.9301133787,0.367596371882,4,1,34,2,'4/4',F79,B1,2,37
54.2977097506,0.397074829932,4,1,34,3,'4/4',F79,B1,2,41
54.6947845805,0.399092970522,4,1,34,4,'4/4',Gj7,B1,2,43
55.093877551,0.395918367347,4,1,35,1,'4/4',Gj7,B1,2,47
55.4897959184,0.396258503401,4,1,35,2,'4/4',Aj7,B1,2,45
55.8860544218,0.387233560091,4,1,35,3,'4/4',Aj7,B1,2,45
56.2732879819,0.387437641723,4,1,35,4,'4/4',Bj7,B1,2,47
56.6607256236,0.401519274376,4,1,36,1,'4/4',Bj7,B1,2,36
57.062244898,0.366507936508,4,1,36,2,'4/4',Cj7911#,B1,2,37
57.4287528345,0.38022675737,4,1,36,3,'4/4',Cj7911#,B1,2,37
57.8089795918,0.391179138322,4,1,36,4,'4/4',Dj7,A1,3,38
58.2001587302,0.406213151927,4,1,37,1,'4/4',Dj7,A1,3,36
58.6063718821,0.382789115646,4,1,37,2,'4/4',Dj7,A1,3,35
58.9891609977,0.412426303855,4,1,37,3,'4/4',Dj7,A1,3,42
59.4015873016,0.367664399093,4,1,37,4,'4/4',Dj7,A1,3,42
59.7692517007,0.386326530612,4,1,38,1,'4/4',Dj7,A1,3,43
60.1555782313,0.397210884354,4,1,38,2,'4/4',Bb7,A1,3,41
60.5527891156,0.382743764172,4,1,38,3,'4/4',Bb7,A1,3,42
60.9355328798,0.397324263039,4,1,38,4,'4/4',Bj7,A1,3,35
61.3328571429,0.411496598639,4,1,39,1,'4/4',Bj7,A1,3,39
61.7443537415,0.357641723356,4,1,39,2,'4/4',Bj7,A1,3,42
62.1019954649,0.387369614512,4,1,39,3,'4/4',Bj7,A1,3,47
62.4893650794,0.367641723356,4,1,39,4,'4/4',Abj7,A1,3,43
62.8570068027,0.37641723356,4,1,40,1,'4/4',Abj7,A1,3,43
63.2334240363,0.367664399093,4,1,40,2,'4/4',Abj7,A1,3,44
63.6010884354,0.348163265306,4,1,40,3,'4/4',Abj7,A1,3,44
63.9492517007,0.406961451247,4,1,40,4,'4/4',Fm7b5,A1,3,41
64.3562131519,0.392879818594,4,1,41,1,'4/4',Fm7b5,A1,3,47
64.7490929705,0.386303854875,4,1,41,2,'4/4',Fm7b5,A1,3,52
65.1353968254,0.402562358277,4,1,41,3,'4/4',Fm7b5,A1,3,52
65.5379591837,0.361995464853,4,1,41,4,'4/4',Bb7,A1,3,43
65.8999546485,0.417823129252,4,1,42,1,'4/4',Bb7,A1,3,47
66.3177777778,0.387256235828,4,1,42,2,'4/4',Bb7,A1,3,46
