onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
3.73673469388,0.257142857143,4,1,0,1,'4/4',NC,I1,0,46
3.99387755102,0.24693877551,4,1,0,2,'4/4',NC,I1,0,43
4.24081632653,0.236167800454,4,1,0,3,'4/4',NC,I1,0,43
4.47698412698,0.26306122449,4,1,0,4,'4/4',NC,I1,0,41
4.74004535147,0.247891156463,4,1,1,1,'4/4',Bb7,A1,1,46
4.98793650794,0.236848072562,4,1,1,2,'4/4',Bb7,A1,1,45
5.2247845805,0.256916099773,4,1,1,3,'4/4',Bb7,A1,1,43
5.48170068027,0.244557823129,4,1,1,4,'4/4',Bb7,A1,1,41
5.7262585034,0.261496598639,4,1,2,1,'4/4',Eb7,A1,1,39
5.98775510204,0.249229024943,4,1,2,2,'4/4',Eb7,A1,1,41
6.23698412698,0.257437641723,4,1,2,3,'4/4',Eb7,A1,1,43
6.49442176871,0.284217687075,4,1,2,4,'4/4',Eb7,A1,1,45
6.77863945578,0.263718820862,4,1,3,1,'4/4',Bb7,A1,1,45
7.04235827664,0.244240362812,4,1,3,2,'4/4',Bb7,A1,1,40
7.28659863946,0.263151927438,4,1,3,3,'4/4',Bb7,A1,1,41
7.54975056689,0.244489795918,4,1,3,4,'4/4',Bb7,A1,1,45
7.79424036281,0.283741496599,4,1,4,1,'4/4',Bb7,A1,1,45
8.07798185941,0.273537414966,4,1,4,2,'4/4',Bb7,A1,1,44
8.35151927438,0.236961451247,4,1,4,3,'4/4',Bb7,A1,1,43
8.58848072562,0.246621315193,4,1,4,4,'4/4',Bb7,A1,1,43
8.83510204082,0.258027210884,4,1,5,1,'4/4',Eb7,A1,1,43
9.0931292517,0.249841269841,4,1,5,2,'4/4',Eb7,A1,1,46
9.34297052154,0.262607709751,4,1,5,3,'4/4',Eb7,A1,1,48
9.60557823129,0.26156462585,4,1,5,4,'4/4',Eb7,A1,1,46
9.86714285714,0.254195011338,4,1,6,1,'4/4',Eb7,A1,1,48
10.1213378685,0.250589569161,4,1,6,2,'4/4',Eb7,A1,1,49
10.3719274376,0.250022675737,4,1,6,3,'4/4',Eb7,A1,1,50
10.6219501134,0.258684807256,4,1,6,4,'4/4',Eb7,A1,1,51
10.8806349206,0.265487528345,4,1,7,1,'4/4',Bb7,A1,1,53
11.146122449,0.265623582766,4,1,7,2,'4/4',Bb7,A1,1,45
11.4117460317,0.250408163265,4,1,7,3,'4/4',Bb7,A1,1,45
11.662154195,0.258934240363,4,1,7,4,'4/4',Bb7,A1,1,53
11.9210884354,0.250702947846,4,1,8,1,'4/4',D-7,A1,1,50
12.1717913832,0.267392290249,4,1,8,2,'4/4',D-7,A1,1,45
12.4391836735,0.270861678005,4,1,8,3,'4/4',G7,A1,1,43
12.7100453515,0.256848072562,4,1,8,4,'4/4',G7,A1,1,43
12.966893424,0.261473922902,4,1,9,1,'4/4',C7,A1,1,37
13.2283673469,0.241496598639,4,1,9,2,'4/4',C7,A1,1,38
13.4698639456,0.239863945578,4,1,9,3,'4/4',C7,A1,1,39
13.7097278912,0.272494331066,4,1,9,4,'4/4',C7,A1,1,43
13.9822222222,0.241428571429,4,1,10,1,'4/4',F7,A1,1,44
14.2236507937,0.255396825397,4,1,10,2,'4/4',F7,A1,1,48
14.479047619,0.253605442177,4,1,10,3,'4/4',F7,A1,1,45
14.7326530612,0.263174603175,4,1,10,4,'4/4',F7,A1,1,41
14.9958276644,0.261383219955,4,1,11,1,'4/4',Bb7,A1,1,46
15.2572108844,0.259070294785,4,1,11,2,'4/4',Bb7,A1,1,38
15.5162811791,0.282970521542,4,1,11,3,'4/4',Bb7,A1,1,43
15.7992517007,0.241020408163,4,1,11,4,'4/4',Bb7,A1,1,41
16.0402721088,0.255782312925,4,1,12,1,'4/4',F7,A1,1,39
16.2960544218,0.242607709751,4,1,12,2,'4/4',F7,A1,1,41
16.5386621315,0.270090702948,4,1,12,3,'4/4',F7,A1,1,43
16.8087528345,0.281655328798,4,1,12,4,'4/4',F7,A1,1,45
17.0904081633,0.280634920635,4,1,13,1,'4/4',Bb7,A1,2,45
17.3710430839,0.256848072562,4,1,13,2,'4/4',Bb7,A1,2,40
17.6278911565,0.258390022676,4,1,13,3,'4/4',Bb7,A1,2,41
17.8862811791,0.248798185941,4,1,13,4,'4/4',Bb7,A1,2,37
18.1350793651,0.259365079365,4,1,14,1,'4/4',Eb7,A1,2,38
18.3944444444,0.245238095238,4,1,14,2,'4/4',Eb7,A1,2,46
18.6396825397,0.26156462585,4,1,14,3,'4/4',Eb7,A1,2,35
18.9012471655,0.280090702948,4,1,14,4,'4/4',Eb7,A1,2,41
19.1813378685,0.269297052154,4,1,15,1,'4/4',Bb7,A1,2,46
19.4506349206,0.254399092971,4,1,15,2,'4/4',Bb7,A1,2,45
19.7050340136,0.258321995465,4,1,15,3,'4/4',Bb7,A1,2,43
19.9633560091,0.261224489796,4,1,15,4,'4/4',Bb7,A1,2,41
20.2245804989,0.255419501134,4,1,16,1,'4/4',Bb7,A1,2,46
20.48,0.243401360544,4,1,16,2,'4/4',Bb7,A1,2,44
20.7234013605,0.257188208617,4,1,16,3,'4/4',Bb7,A1,2,43
20.9805895692,0.26485260771,4,1,16,4,'4/4',Bb7,A1,2,43
21.2454421769,0.258072562358,4,1,17,1,'4/4',Eb7,A1,2,39
21.5035147392,0.255351473923,4,1,17,2,'4/4',Eb7,A1,2,43
21.7588662132,0.259024943311,4,1,17,3,'4/4',Eb7,A1,2,46
22.0178911565,0.269274376417,4,1,17,4,'4/4',Eb7,A1,2,47
22.2871655329,0.246689342404,4,1,18,1,'4/4',Eb7,A1,2,47
22.5338548753,0.267233560091,4,1,18,2,'4/4',Eb7,A1,2,47
22.8010884354,0.262857142857,4,1,18,3,'4/4',Eb7,A1,2,49
23.0639455782,0.247732426304,4,1,18,4,'4/4',Eb7,A1,2,49
23.3116780045,0.256009070295,4,1,19,1,'4/4',Bb7,A1,2,50
23.5676870748,0.260907029478,4,1,19,2,'4/4',Bb7,A1,2,41
23.8285941043,0.270816326531,4,1,19,3,'4/4',Bb7,A1,2,43
24.0994104308,0.272653061224,4,1,19,4,'4/4',Bb7,A1,2,43
24.3720634921,0.261904761905,4,1,20,1,'4/4',D-7,A1,2,45
24.633968254,0.265351473923,4,1,20,2,'4/4',D-7,A1,2,43
24.8993197279,0.260839002268,4,1,20,3,'4/4',G7,A1,2,41
25.1601587302,0.258458049887,4,1,20,4,'4/4',G7,A1,2,40
25.41861678,0.272993197279,4,1,21,1,'4/4',C7,A1,2,39
25.6916099773,0.259501133787,4,1,21,2,'4/4',C7,A1,2,43
25.9511111111,0.241678004535,4,1,21,3,'4/4',C7,A1,2,43
26.1927891156,0.251836734694,4,1,21,4,'4/4',C7,A1,2,46
26.4446258503,0.259387755102,4,1,22,1,'4/4',F7,A1,2,45
26.7040136054,0.257641723356,4,1,22,2,'4/4',F7,A1,2,41
26.9616553288,0.257936507937,4,1,22,3,'4/4',F7,A1,2,45
27.2195918367,0.261224489796,4,1,22,4,'4/4',F7,A1,2,48
27.4808163265,0.27253968254,4,1,23,1,'4/4',Bb7,A1,2,46
27.7533560091,0.263922902494,4,1,23,2,'4/4',Bb7,A1,2,45
