onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
9.69768707483,0.422199546485,4,1,0,1,'4/4',NC,I1,0,36
10.1198866213,0.412448979592,4,1,0,2,'4/4',NC,I1,0,35
10.5323356009,0.405986394558,4,1,0,3,'4/4',NC,I1,0,34
10.9383219955,0.410430839002,4,1,0,4,'4/4',NC,I1,0,45
11.3487528345,0.452789115646,4,1,1,1,'4/4',Abj7,B1,1,44
11.8015419501,0.412154195011,4,1,1,2,'4/4',Abj7,B1,1,44
12.2136961451,0.400544217687,4,1,1,3,'4/4',Abj7,B1,1,39
12.6142403628,0.429319727891,4,1,1,4,'4/4',Abj7,B1,1,38
13.0435600907,0.412380952381,4,1,2,1,'4/4',Bb7,B1,1,37
13.4559410431,0.412199546485,4,1,2,2,'4/4',Bb7,B1,1,39
13.8681405896,0.441746031746,4,1,2,3,'4/4',Eb7,B1,1,41
14.3098866213,0.431678004535,4,1,2,4,'4/4',Eb7,B1,1,43
14.7415646259,0.412199546485,4,1,3,1,'4/4',Abj7,B1,1,44
15.1537641723,0.427392290249,4,1,3,2,'4/4',Abj7,B1,1,43
15.5811564626,0.396870748299,4,1,3,3,'4/4',Abj7,B1,1,41
15.9780272109,0.415260770975,4,1,3,4,'4/4',Abj7,B1,1,44
16.3932879819,0.412154195011,4,1,4,1,'4/4',Db7,B1,1,43
16.8054421769,0.417959183673,4,1,4,2,'4/4',Db7,B1,1,49
17.2234013605,0.400544217687,4,1,4,3,'4/4',C7,B1,1,48
17.6239455782,0.394739229025,4,1,4,4,'4/4',C7,B1,1,40
18.0186848073,0.412154195011,4,1,5,1,'4/4',F-7,B1,1,41
18.4308390023,0.417188208617,4,1,5,2,'4/4',F-7,B1,1,43
18.8480272109,0.424535147392,4,1,5,3,'4/4',F-7,B1,1,44
19.2725623583,0.417959183673,4,1,5,4,'4/4',F-7,B1,1,41
19.690521542,0.394739229025,4,1,6,1,'4/4',Db7,B1,1,43
20.085260771,0.400544217687,4,1,6,2,'4/4',Db7,B1,1,49
20.4858049887,0.429569160998,4,1,6,3,'4/4',C7,B1,1,48
20.9153741497,0.406349206349,4,1,6,4,'4/4',C7,B1,1,46
21.321723356,0.412154195011,4,1,7,1,'4/4',F7,B1,1,45
21.733877551,0.412154195011,4,1,7,2,'4/4',F7,B1,1,46
22.146031746,0.394739229025,4,1,7,3,'4/4',F7,B1,1,48
22.5407709751,0.403446712018,4,1,7,4,'4/4',F7,B1,1,41
22.9442176871,0.441179138322,4,1,8,1,'4/4',F-7,B1,1,46
23.3853968254,0.400544217687,4,1,8,2,'4/4',F-7,B1,1,44
23.7859410431,0.403628117914,4,1,8,3,'4/4',Bb7,B1,1,43
24.189569161,0.406870748299,4,1,8,4,'4/4',Bb7,B1,1,41
24.5964399093,0.434671201814,4,1,9,1,'4/4',Ebj7,A3,1,39
25.0311111111,0.434081632653,4,1,9,2,'4/4',Ebj7,A3,1,41
25.4651927438,0.392857142857,4,1,9,3,'4/4',Eo,A3,1,43
25.8580498866,0.406530612245,4,1,9,4,'4/4',Eo,A3,1,46
26.2645804989,0.421292517007,4,1,10,1,'4/4',F-7,A3,1,38
26.6858730159,0.427573696145,4,1,10,2,'4/4',F-7,A3,1,41
27.113446712,0.43201814059,4,1,10,3,'4/4',Bb7,A3,1,43
27.5454648526,0.402335600907,4,1,10,4,'4/4',Bb7,A3,1,44
27.9478004535,0.392154195011,4,1,11,1,'4/4',Ebj7,A3,1,46
28.3399546485,0.406712018141,4,1,11,2,'4/4',Ebj7,A3,1,39
28.7466666667,0.421927437642,4,1,11,3,'4/4',Bb-7,A3,1,43
29.1685941043,0.422789115646,4,1,11,4,'4/4',Eb7,A3,1,43
29.59138322,0.42179138322,4,1,12,1,'4/4',Abj7,A3,1,44
30.0131746032,0.428185941043,4,1,12,2,'4/4',Abj7,A3,1,46
30.4413605442,0.412154195011,4,1,12,3,'4/4',Db7,A3,1,47
