onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
0.539863945578,0.510839002268,4,1,1,1,'4/4',Eb7,A1,1,43
1.05070294785,0.475419501134,4,1,1,2,'4/4',Eb7,A1,1,38
1.52612244898,0.422108843537,4,1,1,3,'4/4',Eb7,A1,1,37
1.94823129252,0.48201814059,4,1,1,4,'4/4',Eb7,A1,1,35
2.43024943311,0.44156462585,4,1,2,1,'4/4',Bb7,A1,1,34
2.87181405896,0.46693877551,4,1,2,2,'4/4',Bb7,A1,1,41
3.33875283447,0.391836734694,4,1,2,3,'4/4',Bb7,A1,1,46
3.73058956916,0.466893424036,4,1,2,4,'4/4',Bb7,A1,1,40
4.1974829932,0.447142857143,4,1,3,1,'4/4',Eb7,A1,1,38
4.64462585034,0.466712018141,4,1,3,2,'4/4',Eb7,A1,1,38
5.11133786848,0.431882086168,4,1,3,3,'4/4',Eb7,A1,1,36
5.54321995465,0.441723356009,4,1,3,4,'4/4',Eb7,A1,1,35
5.98494331066,0.436507936508,4,1,4,1,'4/4',Eb7,A1,1,34
6.42145124717,0.43201814059,4,1,4,2,'4/4',Eb7,A1,1,46
6.85346938776,0.447074829932,4,1,4,3,'4/4',Eb7,A1,1,40
7.30054421769,0.48641723356,4,1,4,4,'4/4',Eb7,A1,1,45
7.78696145125,0.447142857143,4,1,5,1,'4/4',Bb7,A1,1,44
8.23410430839,0.441814058957,4,1,5,2,'4/4',Bb7,A1,1,37
8.67591836735,0.436281179138,4,1,5,3,'4/4',Bb7,A1,1,37
9.11219954649,0.441814058957,4,1,5,4,'4/4',Bb7,A1,1,38
9.55401360544,0.463605442177,4,1,6,1,'4/4',Bb7,A1,1,39
10.0176190476,0.456961451247,4,1,6,2,'4/4',Bb7,A1,1,44
10.4745804989,0.450408163265,4,1,6,3,'4/4',Bb7,A1,1,45
10.9249886621,0.437324263039,4,1,6,4,'4/4',Bb7,A1,1,48
11.3623129252,0.467641723356,4,1,7,1,'4/4',Eb7,A1,1,47
11.8299546485,0.465011337868,4,1,7,2,'4/4',Eb7,A1,1,47
12.2949659864,0.441179138322,4,1,7,3,'4/4',Eb7,A1,1,48
12.7361451247,0.441179138322,4,1,7,4,'4/4',Eb7,A1,1,50
13.177324263,0.444716553288,4,1,8,1,'4/4',C-7,A1,1,51
13.6220408163,0.443265306122,4,1,8,2,'4/4',C-7,A1,1,50
14.0653061224,0.445306122449,4,1,8,3,'4/4',C-7,A1,1,45
14.5106122449,0.466825396825,4,1,8,4,'4/4',C-7,A1,1,52
14.9774376417,0.447210884354,4,1,9,1,'4/4',F-7,A1,1,53
