onset,duration,period,division,bar,beat,signature,chord,form,chorus_id,bass
2.94893424036,0.394739229025,4,1,0,2,'4/4',NC,I1,0,43
3.34367346939,0.400544217687,4,1,0,3,'4/4',NC,I1,0,45
3.74421768707,0.398639455782,4,1,0,4,'4/4',NC,I1,0,38
4.14285714286,0.386439909297,4,1,1,1,'4/4',Eb7,A1,1,39
4.52929705215,0.377573696145,4,1,1,2,'4/4',Eb7,A1,1,39
4.9068707483,0.377596371882,4,1,1,3,'4/4',Eb7,A1,1,34
5.28446712018,0.382063492063,4,1,1,4,'4/4',Eb7,A1,1,38
5.66653061224,0.387437641723,4,1,2,1,'4/4',Eb7,A1,1,39
6.05396825397,0.377256235828,4,1,2,2,'4/4',Eb7,A1,1,39
6.4312244898,0.377709750567,4,1,2,3,'4/4',Eb7,A1,1,34
6.80893424036,0.391836734694,4,1,2,4,'4/4',Eb7,A1,1,38
7.20077097506,0.372040816327,4,1,3,1,'4/4',Eb7,A1,1,39
7.57281179138,0.402721088435,4,1,3,2,'4/4',Eb7,A1,1,39
7.97553287982,0.376485260771,4,1,3,3,'4/4',Eb7,A1,1,34
8.35201814059,0.383038548753,4,1,3,4,'4/4',Eb7,A1,1,38
8.73505668934,0.367732426304,4,1,4,1,'4/4',Eb7,A1,1,39
9.10278911565,0.397097505669,4,1,4,2,'4/4',Eb7,A1,1,43
9.49988662132,0.391972789116,4,1,4,3,'4/4',Eb7,A1,1,46
9.89185941043,0.377528344671,4,1,4,4,'4/4',Eb7,A1,1,38
10.2693877551,0.377369614512,4,1,5,1,'4/4',Eb7,A1,1,39
10.6467573696,0.38641723356,4,1,5,2,'4/4',Eb7,A1,1,39
11.0331746032,0.367823129252,4,1,5,3,'4/4',Eb7,A1,1,34
11.4009977324,0.387324263039,4,1,5,4,'4/4',Eb7,A1,1,38
11.7883219955,0.382154195011,4,1,6,1,'4/4',Eb7,A1,1,39
12.1704761905,0.387256235828,4,1,6,2,'4/4',Eb7,A1,1,39
12.5577324263,0.387120181406,4,1,6,3,'4/4',Eb7,A1,1,34
12.9448526077,0.368027210884,4,1,6,4,'4/4',Eb7,A1,1,38
13.3128798186,0.392517006803,4,1,7,1,'4/4',Eb7,A1,1,39
13.7053968254,0.376439909297,4,1,7,2,'4/4',Eb7,A1,1,43
14.0818367347,0.377664399093,4,1,7,3,'4/4',Eb7,A1,1,46
14.4595011338,0.360634920635,4,1,7,4,'4/4',Eb7,A1,1,46
14.8201360544,0.368480725624,4,1,8,1,'4/4',Eb7,A1,1,39
15.18861678,0.402562358277,4,1,8,2,'4/4',Eb7,A1,1,39
15.5911791383,0.377210884354,4,1,8,3,'4/4',Eb7,A1,1,38
15.9683900227,0.383174603175,4,1,8,4,'4/4',Eb7,A1,1,43
16.3515646259,0.386439909297,4,1,9,1,'4/4',Ab7,A1,1,44
16.7380045351,0.387097505669,4,1,9,2,'4/4',Ab7,A1,1,44
17.1251020408,0.383151927438,4,1,9,3,'4/4',Ab7,A1,1,39
17.5082539683,0.387120181406,4,1,9,4,'4/4',Ab7,A1,1,43
17.8953741497,0.386485260771,4,1,10,1,'4/4',Ab7,A1,1,44
18.2818594104,0.377346938776,4,1,10,2,'4/4',Ab7,A1,1,44
18.6592063492,0.392902494331,4,1,10,3,'4/4',Ab7,A1,1,39
19.0521088435,0.361360544218,4,1,10,4,'4/4',Ab7,A1,1,43
19.4134693878,0.373333333333,4,1,11,1,'4/4',Ab7,A1,1,44
19.7868027211,0.371950113379,4,1,11,2,'4/4',Ab7,A1,1,44
20.1587528345,0.38283446712,4,1,11,3,'4/4',Ab7,A1,1,39
20.5415873016,0.396077097506,4,1,11,4,'4/4',Ab7,A1,1,43
20.9376643991,0.377641723356,4,1,12,1,'4/4',Ab7,A1,1,44
21.3153061224,0.373673469388,4,1,12,2,'4/4',Ab7,A1,1,44
21.6889795918,0.386870748299,4,1,12,3,'4/4',Ab7,A1,1,45
22.0758503401,0.366802721088,4,1,12,4,'4/4',Ab7,A1,1,38
22.4426530612,0.387369614512,4,1,13,1,'4/4',Eb7,A1,1,39
